"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
224,2515,949,109,"Carphodactylus laevis"
247,1907,1471,98,"Carphodactylus laevis"
232,2336,1014,103,"Carphodactylus laevis"
245,2047,1524,93,"Carphodactylus laevis"
255,2032,2380,84,"Carphodactylus laevis"
232,2155,1045,100,"Carphodactylus laevis"
204,2363,3259,63,"Carphodactylus laevis"
239,1928,2474,90,"Carphodactylus laevis"
247,2439,3458,61,"Carphodactylus laevis"
248,2351,2872,67,"Carphodactylus laevis"
232,2540,3500,62,"Carphodactylus laevis"
235,2253,958,103,"Carphodactylus laevis"
191,1918,1793,100,"Carphodactylus laevis"
242,1971,1814,89,"Carphodactylus laevis"
254,2077,2304,84,"Carphodactylus laevis"
226,2588,1053,108,"Carphodactylus laevis"
231,2249,1088,98,"Carphodactylus laevis"
231,2248,1161,99,"Carphodactylus laevis"
205,2618,2764,67,"Carphodactylus laevis"
237,1973,2018,94,"Carphodactylus laevis"
250,2221,2039,83,"Carphodactylus laevis"
216,2508,929,90,"Carphodactylus laevis"
226,2365,1071,96,"Carphodactylus laevis"
252,1885,1596,101,"Carphodactylus laevis"
198,2470,2380,69,"Carphodactylus laevis"
206,1986,1525,94,"Carphodactylus laevis"
208,2399,1845,71,"Carphodactylus laevis"
246,2079,2019,87,"Carphodactylus laevis"
219,2529,892,95,"Carphodactylus laevis"
219,2653,884,105,"Carphodactylus laevis"
188,2459,2625,67,"Carphodactylus laevis"
241,1838,2690,92,"Carphodactylus laevis"
235,2147,1813,91,"Carphodactylus laevis"
199,2040,1789,93,"Carphodactylus laevis"
242,2490,3732,62,"Carphodactylus laevis"
202,2690,1749,76,"Carphodactylus laevis"
242,2513,3645,63,"Carphodactylus laevis"
224,2427,1180,100,"Carphodactylus laevis"
196,2570,1375,73,"Carphodactylus laevis"
228,2358,1259,102,"Carphodactylus laevis"
236,2253,975,103,"Carphodactylus laevis"
209,2707,1184,77,"Carphodactylus laevis"
205,2408,3051,64,"Carphodactylus laevis"
249,1931,1483,102,"Carphodactylus laevis"
231,2327,1100,102,"Carphodactylus laevis"
208,2643,1016,86,"Carphodactylus laevis"
188,2546,2504,68,"Carphodactylus laevis"
237,2197,1896,87,"Carphodactylus laevis"
238,2277,939,108,"Carphodactylus laevis"
228,2533,3865,63,"Carphodactylus laevis"
230,2244,2283,91,"Carphodactylus laevis"
225,2401,1246,103,"Carphodactylus laevis"
225,2510,959,110,"Carphodactylus laevis"
223,2005,1895,96,"Carphodactylus laevis"
228,2222,1473,96,"Carphodactylus laevis"
210,2325,1734,81,"Carphodactylus laevis"
230,1863,2710,91,"Carphodactylus laevis"
232,2062,1166,103,"Carphodactylus laevis"
246,2037,2791,84,"Carphodactylus laevis"
190,2545,1476,89,"Carphodactylus laevis"
230,2045,1316,104,"Carphodactylus laevis"
225,1895,2288,88,"Carphodactylus laevis"
209,2073,1213,97,"Carphodactylus laevis"
223,2103,1015,105,"Carphodactylus laevis"
200,2493,2707,64,"Carphodactylus laevis"
247,2035,1200,101,"Carphodactylus laevis"
205,2672,1311,72,"Carphodactylus laevis"
250,2267,1855,91,"Carphodactylus laevis"
199,2577,1201,77,"Carphodactylus laevis"
221,2408,888,105,"Carphodactylus laevis"
