"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
224,3293,1180,83,"Concinnia amplus"
228,3731,695,64,"Concinnia amplus"
215,3404,858,67,"Concinnia amplus"
237,3145,1471,84,"Concinnia amplus"
228,3627,692,66,"Concinnia amplus"
194,3183,1684,79,"Concinnia amplus"
218,3293,1387,83,"Concinnia amplus"
230,3121,1858,84,"Concinnia amplus"
229,3675,700,67,"Concinnia amplus"
237,3061,1706,84,"Concinnia amplus"
232,3154,1797,86,"Concinnia amplus"
229,3315,1106,82,"Concinnia amplus"
225,3399,811,77,"Concinnia amplus"
233,3024,1853,82,"Concinnia amplus"
202,3316,1143,74,"Concinnia amplus"
228,3627,711,67,"Concinnia amplus"
227,3665,655,62,"Concinnia amplus"
226,3130,1875,85,"Concinnia amplus"
232,3187,1485,84,"Concinnia amplus"
222,3454,740,72,"Concinnia amplus"
238,3021,1544,82,"Concinnia amplus"
227,3569,664,69,"Concinnia amplus"
226,3463,807,73,"Concinnia amplus"
228,3701,628,62,"Concinnia amplus"
201,3296,1000,76,"Concinnia amplus"
237,3151,1501,85,"Concinnia amplus"
228,3604,676,68,"Concinnia amplus"
228,3321,1350,82,"Concinnia amplus"
225,3428,1000,76,"Concinnia amplus"
221,3234,1336,84,"Concinnia amplus"
222,3261,1779,81,"Concinnia amplus"
229,3697,708,65,"Concinnia amplus"
236,3160,1577,86,"Concinnia amplus"
225,3510,716,69,"Concinnia amplus"
224,3174,1843,87,"Concinnia amplus"
206,3310,1373,78,"Concinnia amplus"
226,3500,826,71,"Concinnia amplus"
211,3328,1082,78,"Concinnia amplus"
206,3323,919,72,"Concinnia amplus"
228,3632,682,67,"Concinnia amplus"
224,3265,1605,85,"Concinnia amplus"
223,3430,945,74,"Concinnia amplus"
229,3708,674,65,"Concinnia amplus"
214,3294,1434,79,"Concinnia amplus"
236,3127,1715,86,"Concinnia amplus"
227,3524,916,74,"Concinnia amplus"
217,3300,1450,84,"Concinnia amplus"
236,3314,1266,79,"Concinnia amplus"
226,3590,787,65,"Concinnia amplus"
228,3605,684,67,"Concinnia amplus"
229,3709,668,65,"Concinnia amplus"
237,2990,1785,79,"Concinnia amplus"
236,3074,1618,84,"Concinnia amplus"
209,3156,1600,85,"Concinnia amplus"
236,3210,1411,85,"Concinnia amplus"
225,3502,722,71,"Concinnia amplus"
202,3244,1528,80,"Concinnia amplus"
235,3250,1362,83,"Concinnia amplus"
212,3351,1345,77,"Concinnia amplus"
221,3497,855,68,"Concinnia amplus"
213,3438,1022,73,"Concinnia amplus"
230,3734,686,64,"Concinnia amplus"
221,3307,1495,80,"Concinnia amplus"
228,3711,695,64,"Concinnia amplus"
237,2995,1949,82,"Concinnia amplus"
213,3327,1034,78,"Concinnia amplus"
216,3172,1533,85,"Concinnia amplus"
230,3175,1770,84,"Concinnia amplus"
229,3639,675,70,"Concinnia amplus"
234,3296,1426,84,"Concinnia amplus"
222,3407,1046,76,"Concinnia amplus"
232,3326,1480,80,"Concinnia amplus"
226,3314,1016,81,"Concinnia amplus"
209,3191,1615,84,"Concinnia amplus"
224,3557,921,71,"Concinnia amplus"
