"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
244,2770,2433,81,"Concinnia frerei"
240,2679,2540,92,"Concinnia frerei"
238,2709,2209,85,"Concinnia frerei"
210,2917,1002,85,"Concinnia frerei"
193,2704,1973,89,"Concinnia frerei"
211,2877,1015,83,"Concinnia frerei"
213,2747,2490,83,"Concinnia frerei"
213,2925,1231,86,"Concinnia frerei"
231,2890,1386,91,"Concinnia frerei"
241,2809,2430,90,"Concinnia frerei"
215,2979,1142,89,"Concinnia frerei"
207,3053,1020,91,"Concinnia frerei"
244,2959,1920,92,"Concinnia frerei"
211,3093,957,91,"Concinnia frerei"
203,2775,1613,81,"Concinnia frerei"
243,3060,1607,94,"Concinnia frerei"
239,3071,1721,94,"Concinnia frerei"
203,3002,1331,92,"Concinnia frerei"
213,3127,844,92,"Concinnia frerei"
239,2990,1840,94,"Concinnia frerei"
210,2967,1615,93,"Concinnia frerei"
242,2972,1601,94,"Concinnia frerei"
244,3009,1727,93,"Concinnia frerei"
225,2943,1302,90,"Concinnia frerei"
221,3193,759,91,"Concinnia frerei"
208,3071,1077,91,"Concinnia frerei"
243,2772,2132,72,"Concinnia frerei"
243,3111,1278,94,"Concinnia frerei"
242,2892,2375,91,"Concinnia frerei"
245,2819,1851,88,"Concinnia frerei"
201,2692,2500,92,"Concinnia frerei"
209,2807,1910,92,"Concinnia frerei"
245,2726,2459,81,"Concinnia frerei"
206,2808,1618,89,"Concinnia frerei"
212,3017,933,91,"Concinnia frerei"
214,3024,1676,96,"Concinnia frerei"
232,2889,1988,95,"Concinnia frerei"
211,2786,1566,88,"Concinnia frerei"
210,3000,1058,91,"Concinnia frerei"
244,2705,2614,76,"Concinnia frerei"
243,2826,2092,83,"Concinnia frerei"
213,3125,764,91,"Concinnia frerei"
211,3049,975,91,"Concinnia frerei"
212,3000,1414,93,"Concinnia frerei"
230,2755,2830,74,"Concinnia frerei"
205,2969,1178,89,"Concinnia frerei"
245,2886,1951,90,"Concinnia frerei"
243,2823,2253,79,"Concinnia frerei"
207,2826,1207,82,"Concinnia frerei"
236,3019,1320,92,"Concinnia frerei"
231,2632,2942,86,"Concinnia frerei"
207,2995,1566,93,"Concinnia frerei"
214,2977,961,89,"Concinnia frerei"
243,2800,2312,84,"Concinnia frerei"
238,2688,2940,85,"Concinnia frerei"
204,3021,1276,92,"Concinnia frerei"
210,2995,1100,89,"Concinnia frerei"
245,2901,1978,90,"Concinnia frerei"
241,2996,1541,94,"Concinnia frerei"
243,2978,1512,91,"Concinnia frerei"
239,2847,2263,90,"Concinnia frerei"
245,2965,1931,91,"Concinnia frerei"
210,2964,1138,91,"Concinnia frerei"
242,3031,1440,95,"Concinnia frerei"
208,3031,1122,92,"Concinnia frerei"
238,3028,1780,94,"Concinnia frerei"
244,2725,2231,73,"Concinnia frerei"
227,2982,1721,93,"Concinnia frerei"
210,2931,1451,89,"Concinnia frerei"
245,2757,2322,84,"Concinnia frerei"
238,3047,1149,90,"Concinnia frerei"
209,2913,2223,91,"Concinnia frerei"
219,2806,1839,83,"Concinnia frerei"
243,2763,1832,87,"Concinnia frerei"
209,3096,960,91,"Concinnia frerei"
206,3047,1092,90,"Concinnia frerei"
244,2998,1815,92,"Concinnia frerei"
211,3088,922,92,"Concinnia frerei"
245,2925,1996,91,"Concinnia frerei"
205,2991,1468,90,"Concinnia frerei"
211,2757,1589,89,"Concinnia frerei"
212,2949,1706,93,"Concinnia frerei"
199,2742,2232,91,"Concinnia frerei"
208,2923,1730,92,"Concinnia frerei"
202,2740,1933,85,"Concinnia frerei"
245,2626,2933,77,"Concinnia frerei"
201,2696,2152,77,"Concinnia frerei"
214,2893,1148,87,"Concinnia frerei"
212,2974,1531,94,"Concinnia frerei"
197,2714,1786,80,"Concinnia frerei"
235,3098,1328,92,"Concinnia frerei"
243,2831,2263,77,"Concinnia frerei"
206,2931,1103,90,"Concinnia frerei"
244,2607,2594,72,"Concinnia frerei"
209,3057,1212,94,"Concinnia frerei"
205,2717,2652,92,"Concinnia frerei"
209,2997,1397,93,"Concinnia frerei"
245,2890,2054,89,"Concinnia frerei"
233,2607,3715,72,"Concinnia frerei"
242,3083,1964,91,"Concinnia frerei"
241,2890,1428,92,"Concinnia frerei"
243,2809,2332,91,"Concinnia frerei"
224,2724,2867,72,"Concinnia frerei"
236,3000,1134,91,"Concinnia frerei"
245,2848,2067,88,"Concinnia frerei"
244,2989,1912,92,"Concinnia frerei"
210,3115,875,90,"Concinnia frerei"
245,2940,1980,90,"Concinnia frerei"
210,3022,1631,95,"Concinnia frerei"
214,3044,876,91,"Concinnia frerei"
199,2694,2392,79,"Concinnia frerei"
245,2565,3466,73,"Concinnia frerei"
229,2708,2586,88,"Concinnia frerei"
218,3194,1019,91,"Concinnia frerei"
246,2803,2103,87,"Concinnia frerei"
212,3060,992,91,"Concinnia frerei"
213,2929,1126,86,"Concinnia frerei"
213,3099,819,90,"Concinnia frerei"
226,3010,2002,93,"Concinnia frerei"
219,2951,1744,93,"Concinnia frerei"
228,2596,3138,85,"Concinnia frerei"
245,2721,2541,78,"Concinnia frerei"
245,2803,2116,87,"Concinnia frerei"
242,2815,1943,91,"Concinnia frerei"
235,2796,2496,93,"Concinnia frerei"
245,3020,1834,90,"Concinnia frerei"
198,2700,2322,86,"Concinnia frerei"
244,2786,2296,76,"Concinnia frerei"
237,2778,2756,86,"Concinnia frerei"
212,2948,1285,88,"Concinnia frerei"
240,3101,1635,96,"Concinnia frerei"
240,2832,2327,90,"Concinnia frerei"
228,3016,1525,94,"Concinnia frerei"
212,2842,1368,87,"Concinnia frerei"
244,2625,3167,75,"Concinnia frerei"
212,3008,1625,93,"Concinnia frerei"
207,2862,1611,86,"Concinnia frerei"
244,2747,1757,87,"Concinnia frerei"
244,2809,2319,80,"Concinnia frerei"
207,3038,1250,95,"Concinnia frerei"
244,2650,2745,73,"Concinnia frerei"
244,2776,2266,87,"Concinnia frerei"
245,2839,2046,88,"Concinnia frerei"
234,2807,1941,93,"Concinnia frerei"
222,3206,755,91,"Concinnia frerei"
