"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
231,2397,729,111,"Concinnia tigrinus"
220,2381,931,114,"Concinnia tigrinus"
253,2177,1915,89,"Concinnia tigrinus"
212,2430,1190,90,"Concinnia tigrinus"
220,2018,2145,93,"Concinnia tigrinus"
242,2502,3558,61,"Concinnia tigrinus"
208,2724,926,93,"Concinnia tigrinus"
229,2367,1120,101,"Concinnia tigrinus"
222,2588,938,108,"Concinnia tigrinus"
209,2415,1411,85,"Concinnia tigrinus"
240,2443,702,114,"Concinnia tigrinus"
223,2510,831,104,"Concinnia tigrinus"
208,2364,2966,68,"Concinnia tigrinus"
200,2479,3324,67,"Concinnia tigrinus"
239,2284,886,108,"Concinnia tigrinus"
244,2740,2513,74,"Concinnia tigrinus"
221,2603,731,104,"Concinnia tigrinus"
209,2780,1311,80,"Concinnia tigrinus"
210,2739,1267,75,"Concinnia tigrinus"
227,2170,1128,97,"Concinnia tigrinus"
203,2655,1394,83,"Concinnia tigrinus"
215,2179,4157,71,"Concinnia tigrinus"
217,2403,942,108,"Concinnia tigrinus"
238,2411,703,112,"Concinnia tigrinus"
230,2185,2162,92,"Concinnia tigrinus"
221,2660,1774,65,"Concinnia tigrinus"
241,2063,1642,91,"Concinnia tigrinus"
199,2563,1283,79,"Concinnia tigrinus"
237,2705,2740,69,"Concinnia tigrinus"
209,2645,2959,71,"Concinnia tigrinus"
232,2262,1081,99,"Concinnia tigrinus"
190,1941,1917,99,"Concinnia tigrinus"
225,2582,746,106,"Concinnia tigrinus"
231,2202,1281,95,"Concinnia tigrinus"
232,2823,2294,81,"Concinnia tigrinus"
235,2356,733,112,"Concinnia tigrinus"
182,2154,3903,66,"Concinnia tigrinus"
213,2770,967,84,"Concinnia tigrinus"
228,2367,1064,99,"Concinnia tigrinus"
221,2419,884,105,"Concinnia tigrinus"
199,2692,2362,79,"Concinnia tigrinus"
231,2514,767,111,"Concinnia tigrinus"
226,2723,2885,73,"Concinnia tigrinus"
213,2454,3070,62,"Concinnia tigrinus"
221,2585,3078,73,"Concinnia tigrinus"
226,2365,3521,65,"Concinnia tigrinus"
219,2796,2299,81,"Concinnia tigrinus"
247,2413,3527,62,"Concinnia tigrinus"
240,2349,824,112,"Concinnia tigrinus"
241,2454,4114,61,"Concinnia tigrinus"
232,2245,2574,77,"Concinnia tigrinus"
218,2100,2319,92,"Concinnia tigrinus"
231,2144,1763,93,"Concinnia tigrinus"
239,2499,4264,62,"Concinnia tigrinus"
215,2434,1190,105,"Concinnia tigrinus"
209,2224,4438,67,"Concinnia tigrinus"
222,2353,1112,94,"Concinnia tigrinus"
230,2124,2237,92,"Concinnia tigrinus"
202,2683,1925,73,"Concinnia tigrinus"
221,2425,1212,102,"Concinnia tigrinus"
220,2226,1420,102,"Concinnia tigrinus"
209,2343,2114,75,"Concinnia tigrinus"
239,2348,2822,75,"Concinnia tigrinus"
236,2265,944,103,"Concinnia tigrinus"
228,2505,4016,64,"Concinnia tigrinus"
196,2532,3044,65,"Concinnia tigrinus"
240,2318,812,110,"Concinnia tigrinus"
247,2240,2973,79,"Concinnia tigrinus"
221,2331,883,110,"Concinnia tigrinus"
228,2631,728,108,"Concinnia tigrinus"
245,2344,2391,86,"Concinnia tigrinus"
197,2472,2155,70,"Concinnia tigrinus"
209,2777,1262,78,"Concinnia tigrinus"
204,2380,3600,64,"Concinnia tigrinus"
254,2039,2476,84,"Concinnia tigrinus"
204,2273,2518,81,"Concinnia tigrinus"
219,2561,1128,108,"Concinnia tigrinus"
216,2628,872,103,"Concinnia tigrinus"
244,2785,2318,76,"Concinnia tigrinus"
207,2353,2825,71,"Concinnia tigrinus"
237,2257,984,105,"Concinnia tigrinus"
203,2643,1126,78,"Concinnia tigrinus"
241,2818,2520,76,"Concinnia tigrinus"
224,2560,838,104,"Concinnia tigrinus"
181,1902,2558,90,"Concinnia tigrinus"
230,2645,712,109,"Concinnia tigrinus"
201,2614,2768,70,"Concinnia tigrinus"
251,2220,1713,93,"Concinnia tigrinus"
220,2087,1319,97,"Concinnia tigrinus"
200,2701,1629,74,"Concinnia tigrinus"
243,2754,2363,73,"Concinnia tigrinus"
224,2676,784,107,"Concinnia tigrinus"
233,2523,839,112,"Concinnia tigrinus"
225,2608,886,109,"Concinnia tigrinus"
197,2035,1696,96,"Concinnia tigrinus"
244,2057,1397,99,"Concinnia tigrinus"
231,2565,2922,61,"Concinnia tigrinus"
188,2197,2334,86,"Concinnia tigrinus"
211,2633,806,96,"Concinnia tigrinus"
192,2547,1745,68,"Concinnia tigrinus"
213,2731,934,103,"Concinnia tigrinus"
248,2348,2385,72,"Concinnia tigrinus"
205,2372,2701,69,"Concinnia tigrinus"
248,2345,2033,79,"Concinnia tigrinus"
248,1916,2827,88,"Concinnia tigrinus"
198,2478,978,90,"Concinnia tigrinus"
249,2321,1890,85,"Concinnia tigrinus"
230,2338,1102,101,"Concinnia tigrinus"
233,2388,767,112,"Concinnia tigrinus"
198,2724,1854,81,"Concinnia tigrinus"
215,2864,992,93,"Concinnia tigrinus"
228,2292,1159,97,"Concinnia tigrinus"
224,2158,1362,103,"Concinnia tigrinus"
252,2191,1870,89,"Concinnia tigrinus"
217,2723,847,105,"Concinnia tigrinus"
226,2182,1653,95,"Concinnia tigrinus"
244,2019,1683,94,"Concinnia tigrinus"
215,2663,795,102,"Concinnia tigrinus"
222,2625,957,109,"Concinnia tigrinus"
221,2175,1348,105,"Concinnia tigrinus"
214,2806,998,89,"Concinnia tigrinus"
231,2309,1042,101,"Concinnia tigrinus"
249,2293,1747,90,"Concinnia tigrinus"
204,2594,1067,85,"Concinnia tigrinus"
241,2088,2439,87,"Concinnia tigrinus"
215,2753,796,104,"Concinnia tigrinus"
227,2244,1461,96,"Concinnia tigrinus"
241,2535,3585,65,"Concinnia tigrinus"
254,2148,2122,86,"Concinnia tigrinus"
227,2394,1144,101,"Concinnia tigrinus"
202,2714,1505,77,"Concinnia tigrinus"
254,2090,2184,86,"Concinnia tigrinus"
227,2579,795,108,"Concinnia tigrinus"
223,2489,896,102,"Concinnia tigrinus"
222,2431,1140,98,"Concinnia tigrinus"
218,2421,981,113,"Concinnia tigrinus"
228,2124,2259,90,"Concinnia tigrinus"
225,2520,894,112,"Concinnia tigrinus"
239,1989,1990,91,"Concinnia tigrinus"
224,2510,971,108,"Concinnia tigrinus"
240,2332,3677,70,"Concinnia tigrinus"
237,2277,940,105,"Concinnia tigrinus"
233,2166,1131,99,"Concinnia tigrinus"
230,2325,767,108,"Concinnia tigrinus"
222,2682,1060,107,"Concinnia tigrinus"
216,2420,1197,94,"Concinnia tigrinus"
239,2401,733,113,"Concinnia tigrinus"
190,1920,2559,90,"Concinnia tigrinus"
225,2211,1522,96,"Concinnia tigrinus"
225,2135,1053,100,"Concinnia tigrinus"
242,2414,761,113,"Concinnia tigrinus"
211,2805,1207,88,"Concinnia tigrinus"
204,2680,1579,72,"Concinnia tigrinus"
190,2516,1587,70,"Concinnia tigrinus"
194,2576,1581,73,"Concinnia tigrinus"
244,2745,2520,77,"Concinnia tigrinus"
216,2318,967,108,"Concinnia tigrinus"
205,2557,1023,88,"Concinnia tigrinus"
243,2828,2270,80,"Concinnia tigrinus"
235,2232,1037,99,"Concinnia tigrinus"
238,2844,2446,79,"Concinnia tigrinus"
239,2371,704,114,"Concinnia tigrinus"
225,2712,2397,67,"Concinnia tigrinus"
238,2343,727,112,"Concinnia tigrinus"
208,2474,3551,62,"Concinnia tigrinus"
232,1938,2346,88,"Concinnia tigrinus"
231,2475,4253,61,"Concinnia tigrinus"
233,2366,754,111,"Concinnia tigrinus"
212,2834,1090,81,"Concinnia tigrinus"
206,2681,790,97,"Concinnia tigrinus"
232,2351,2115,83,"Concinnia tigrinus"
231,2532,3400,61,"Concinnia tigrinus"
225,2301,966,109,"Concinnia tigrinus"
233,2267,878,111,"Concinnia tigrinus"
239,2441,2469,68,"Concinnia tigrinus"
225,2227,1663,94,"Concinnia tigrinus"
190,2485,1639,81,"Concinnia tigrinus"
235,2226,1097,100,"Concinnia tigrinus"
225,2421,1168,100,"Concinnia tigrinus"
239,2329,850,111,"Concinnia tigrinus"
247,2467,3495,64,"Concinnia tigrinus"
239,2437,4322,61,"Concinnia tigrinus"
205,2445,2001,71,"Concinnia tigrinus"
246,2023,1897,87,"Concinnia tigrinus"
225,2372,2812,71,"Concinnia tigrinus"
237,2498,697,112,"Concinnia tigrinus"
240,1980,2046,87,"Concinnia tigrinus"
212,2459,2768,62,"Concinnia tigrinus"
209,2845,1196,83,"Concinnia tigrinus"
218,2265,1377,94,"Concinnia tigrinus"
227,2150,1313,101,"Concinnia tigrinus"
226,2470,779,109,"Concinnia tigrinus"
247,2424,3506,62,"Concinnia tigrinus"
223,2074,2452,88,"Concinnia tigrinus"
226,2355,1237,105,"Concinnia tigrinus"
