"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
232,6331,252,48,"Crenadactylus ocellatus"
210,6308,297,43,"Crenadactylus ocellatus"
237,5452,342,80,"Crenadactylus ocellatus"
275,3042,810,113,"Crenadactylus ocellatus"
242,6390,285,64,"Crenadactylus ocellatus"
248,6289,237,66,"Crenadactylus ocellatus"
197,5265,238,31,"Crenadactylus ocellatus"
263,5789,330,68,"Crenadactylus ocellatus"
242,6379,201,45,"Crenadactylus ocellatus"
234,6317,214,40,"Crenadactylus ocellatus"
249,6397,244,59,"Crenadactylus ocellatus"
215,6283,255,45,"Crenadactylus ocellatus"
263,3533,655,117,"Crenadactylus ocellatus"
247,6533,193,55,"Crenadactylus ocellatus"
272,4230,310,101,"Crenadactylus ocellatus"
224,5791,229,60,"Crenadactylus ocellatus"
250,6303,223,62,"Crenadactylus ocellatus"
270,4125,350,105,"Crenadactylus ocellatus"
186,4502,208,22,"Crenadactylus ocellatus"
213,5717,272,64,"Crenadactylus ocellatus"
223,6408,316,43,"Crenadactylus ocellatus"
176,4447,297,19,"Crenadactylus ocellatus"
243,6567,198,47,"Crenadactylus ocellatus"
260,5125,371,90,"Crenadactylus ocellatus"
170,3435,334,19,"Crenadactylus ocellatus"
196,5474,246,27,"Crenadactylus ocellatus"
233,6425,249,50,"Crenadactylus ocellatus"
175,4976,422,69,"Crenadactylus ocellatus"
210,6009,285,61,"Crenadactylus ocellatus"
196,5449,325,69,"Crenadactylus ocellatus"
263,4308,494,113,"Crenadactylus ocellatus"
270,3356,778,113,"Crenadactylus ocellatus"
280,2533,655,111,"Crenadactylus ocellatus"
261,4890,345,92,"Crenadactylus ocellatus"
260,6117,280,76,"Crenadactylus ocellatus"
211,6079,212,26,"Crenadactylus ocellatus"
255,5216,431,90,"Crenadactylus ocellatus"
286,3835,486,120,"Crenadactylus ocellatus"
249,6245,228,65,"Crenadactylus ocellatus"
191,4660,196,18,"Crenadactylus ocellatus"
259,4560,541,115,"Crenadactylus ocellatus"
256,5080,373,95,"Crenadactylus ocellatus"
221,6350,213,38,"Crenadactylus ocellatus"
249,5749,289,86,"Crenadactylus ocellatus"
284,2729,848,112,"Crenadactylus ocellatus"
249,5378,291,85,"Crenadactylus ocellatus"
262,5316,423,93,"Crenadactylus ocellatus"
207,5717,226,38,"Crenadactylus ocellatus"
264,2802,769,114,"Crenadactylus ocellatus"
262,4670,392,99,"Crenadactylus ocellatus"
267,2513,1043,110,"Crenadactylus ocellatus"
235,6190,337,55,"Crenadactylus ocellatus"
224,6328,228,46,"Crenadactylus ocellatus"
268,5913,347,76,"Crenadactylus ocellatus"
203,5881,317,53,"Crenadactylus ocellatus"
285,3584,553,120,"Crenadactylus ocellatus"
190,4561,207,16,"Crenadactylus ocellatus"
253,6273,289,73,"Crenadactylus ocellatus"
226,6213,235,39,"Crenadactylus ocellatus"
243,5653,292,85,"Crenadactylus ocellatus"
218,6055,249,49,"Crenadactylus ocellatus"
245,6029,248,71,"Crenadactylus ocellatus"
273,5827,312,83,"Crenadactylus ocellatus"
248,5235,338,97,"Crenadactylus ocellatus"
281,4301,506,116,"Crenadactylus ocellatus"
205,6057,276,29,"Crenadactylus ocellatus"
224,6376,280,43,"Crenadactylus ocellatus"
261,4977,421,94,"Crenadactylus ocellatus"
168,3349,478,30,"Crenadactylus ocellatus"
241,6336,277,67,"Crenadactylus ocellatus"
271,4999,407,87,"Crenadactylus ocellatus"
162,3858,341,25,"Crenadactylus ocellatus"
226,6212,221,37,"Crenadactylus ocellatus"
248,6242,260,57,"Crenadactylus ocellatus"
268,5078,396,96,"Crenadactylus ocellatus"
285,3575,560,119,"Crenadactylus ocellatus"
259,4628,356,105,"Crenadactylus ocellatus"
231,6389,235,51,"Crenadactylus ocellatus"
237,6021,209,65,"Crenadactylus ocellatus"
242,5861,305,69,"Crenadactylus ocellatus"
234,5655,360,72,"Crenadactylus ocellatus"
242,6115,270,67,"Crenadactylus ocellatus"
229,6461,209,46,"Crenadactylus ocellatus"
163,4148,347,26,"Crenadactylus ocellatus"
239,6264,286,63,"Crenadactylus ocellatus"
269,5194,358,88,"Crenadactylus ocellatus"
267,4895,377,98,"Crenadactylus ocellatus"
270,3824,525,128,"Crenadactylus ocellatus"
201,5701,223,22,"Crenadactylus ocellatus"
250,5690,343,81,"Crenadactylus ocellatus"
273,4360,458,106,"Crenadactylus ocellatus"
204,5829,241,21,"Crenadactylus ocellatus"
247,4544,253,77,"Crenadactylus ocellatus"
258,5171,330,84,"Crenadactylus ocellatus"
240,6326,330,55,"Crenadactylus ocellatus"
235,6407,259,58,"Crenadactylus ocellatus"
190,4553,192,19,"Crenadactylus ocellatus"
218,6001,221,30,"Crenadactylus ocellatus"
289,3513,586,120,"Crenadactylus ocellatus"
247,5796,285,85,"Crenadactylus ocellatus"
258,6258,252,60,"Crenadactylus ocellatus"
213,6003,235,35,"Crenadactylus ocellatus"
259,4933,458,113,"Crenadactylus ocellatus"
242,5787,295,73,"Crenadactylus ocellatus"
225,6229,286,54,"Crenadactylus ocellatus"
276,2699,876,119,"Crenadactylus ocellatus"
265,4371,502,112,"Crenadactylus ocellatus"
264,1906,1410,111,"Crenadactylus ocellatus"
257,5312,297,93,"Crenadactylus ocellatus"
211,6128,255,55,"Crenadactylus ocellatus"
216,6107,219,45,"Crenadactylus ocellatus"
240,4600,230,69,"Crenadactylus ocellatus"
205,5722,255,26,"Crenadactylus ocellatus"
261,3734,569,112,"Crenadactylus ocellatus"
206,6167,261,32,"Crenadactylus ocellatus"
