"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
222,2522,845,114,"Cryptoblepharus adamsi"
233,2823,764,108,"Cryptoblepharus adamsi"
236,3778,668,82,"Cryptoblepharus adamsi"
209,2412,1803,72,"Cryptoblepharus adamsi"
244,2998,1655,94,"Cryptoblepharus adamsi"
211,2447,2890,62,"Cryptoblepharus adamsi"
223,3089,690,107,"Cryptoblepharus adamsi"
215,3210,847,89,"Cryptoblepharus adamsi"
233,3612,604,86,"Cryptoblepharus adamsi"
224,2946,883,107,"Cryptoblepharus adamsi"
232,3500,621,86,"Cryptoblepharus adamsi"
216,2554,975,97,"Cryptoblepharus adamsi"
234,2492,693,111,"Cryptoblepharus adamsi"
238,3578,666,82,"Cryptoblepharus adamsi"
251,2179,2115,89,"Cryptoblepharus adamsi"
215,2973,958,101,"Cryptoblepharus adamsi"
211,2831,992,87,"Cryptoblepharus adamsi"
248,3040,1133,102,"Cryptoblepharus adamsi"
247,3204,927,93,"Cryptoblepharus adamsi"
242,3149,1022,93,"Cryptoblepharus adamsi"
247,2674,773,113,"Cryptoblepharus adamsi"
244,3377,692,83,"Cryptoblepharus adamsi"
237,3744,603,77,"Cryptoblepharus adamsi"
234,3503,576,81,"Cryptoblepharus adamsi"
239,3689,645,71,"Cryptoblepharus adamsi"
232,3499,555,83,"Cryptoblepharus adamsi"
241,2941,1673,93,"Cryptoblepharus adamsi"
240,3623,698,76,"Cryptoblepharus adamsi"
238,3556,675,79,"Cryptoblepharus adamsi"
215,3161,849,89,"Cryptoblepharus adamsi"
242,2247,3150,80,"Cryptoblepharus adamsi"
220,3335,844,94,"Cryptoblepharus adamsi"
214,2959,1150,89,"Cryptoblepharus adamsi"
244,3097,866,94,"Cryptoblepharus adamsi"
243,2213,2092,87,"Cryptoblepharus adamsi"
231,3019,1959,93,"Cryptoblepharus adamsi"
224,3329,706,86,"Cryptoblepharus adamsi"
229,3555,662,95,"Cryptoblepharus adamsi"
214,2651,902,104,"Cryptoblepharus adamsi"
204,3035,1016,90,"Cryptoblepharus adamsi"
216,3128,751,94,"Cryptoblepharus adamsi"
230,3396,684,85,"Cryptoblepharus adamsi"
196,2618,1467,89,"Cryptoblepharus adamsi"
225,3524,730,95,"Cryptoblepharus adamsi"
233,3405,669,83,"Cryptoblepharus adamsi"
218,2905,1051,107,"Cryptoblepharus adamsi"
235,3468,676,83,"Cryptoblepharus adamsi"
209,3047,912,100,"Cryptoblepharus adamsi"
246,3064,1703,91,"Cryptoblepharus adamsi"
204,3052,1204,89,"Cryptoblepharus adamsi"
239,2779,2659,72,"Cryptoblepharus adamsi"
223,2141,1850,93,"Cryptoblepharus adamsi"
244,3407,654,83,"Cryptoblepharus adamsi"
232,3483,544,83,"Cryptoblepharus adamsi"
226,3604,723,94,"Cryptoblepharus adamsi"
214,3124,1349,88,"Cryptoblepharus adamsi"
215,3066,1261,92,"Cryptoblepharus adamsi"
218,3191,831,91,"Cryptoblepharus adamsi"
226,3323,753,84,"Cryptoblepharus adamsi"
206,2681,1877,72,"Cryptoblepharus adamsi"
223,3323,812,87,"Cryptoblepharus adamsi"
235,3609,698,75,"Cryptoblepharus adamsi"
232,3739,670,85,"Cryptoblepharus adamsi"
233,3747,710,84,"Cryptoblepharus adamsi"
237,3599,669,81,"Cryptoblepharus adamsi"
209,2845,1040,82,"Cryptoblepharus adamsi"
233,3785,620,83,"Cryptoblepharus adamsi"
218,3174,776,92,"Cryptoblepharus adamsi"
214,2929,1053,91,"Cryptoblepharus adamsi"
240,3794,711,72,"Cryptoblepharus adamsi"
207,3063,985,91,"Cryptoblepharus adamsi"
205,2802,1275,81,"Cryptoblepharus adamsi"
225,2183,1639,94,"Cryptoblepharus adamsi"
229,2519,833,112,"Cryptoblepharus adamsi"
235,3570,600,82,"Cryptoblepharus adamsi"
234,3672,687,80,"Cryptoblepharus adamsi"
234,3474,730,79,"Cryptoblepharus adamsi"
241,3318,693,84,"Cryptoblepharus adamsi"
205,2899,1608,91,"Cryptoblepharus adamsi"
222,2826,748,104,"Cryptoblepharus adamsi"
205,2798,1393,81,"Cryptoblepharus adamsi"
228,2443,818,114,"Cryptoblepharus adamsi"
242,2884,1039,91,"Cryptoblepharus adamsi"
218,2708,1022,106,"Cryptoblepharus adamsi"
205,2772,2081,91,"Cryptoblepharus adamsi"
205,3057,1487,89,"Cryptoblepharus adamsi"
226,3487,713,95,"Cryptoblepharus adamsi"
214,3013,835,105,"Cryptoblepharus adamsi"
245,3036,904,94,"Cryptoblepharus adamsi"
248,2919,1000,99,"Cryptoblepharus adamsi"
243,3049,1770,94,"Cryptoblepharus adamsi"
213,2518,1017,110,"Cryptoblepharus adamsi"
240,3852,642,78,"Cryptoblepharus adamsi"
225,2366,1062,96,"Cryptoblepharus adamsi"
217,2923,884,94,"Cryptoblepharus adamsi"
241,3140,1115,96,"Cryptoblepharus adamsi"
228,3094,707,108,"Cryptoblepharus adamsi"
