"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
271,1350,1588,101,"Cryptoblepharus cygnatus"
274,1506,1233,109,"Cryptoblepharus cygnatus"
275,1705,1612,111,"Cryptoblepharus cygnatus"
279,1673,1460,102,"Cryptoblepharus cygnatus"
273,1537,1331,109,"Cryptoblepharus cygnatus"
274,1319,1387,108,"Cryptoblepharus cygnatus"
253,2217,1224,107,"Cryptoblepharus cygnatus"
264,2272,921,106,"Cryptoblepharus cygnatus"
274,1294,1587,98,"Cryptoblepharus cygnatus"
271,1631,1324,112,"Cryptoblepharus cygnatus"
269,1730,1298,109,"Cryptoblepharus cygnatus"
270,1327,1780,98,"Cryptoblepharus cygnatus"
274,1518,1462,106,"Cryptoblepharus cygnatus"
260,1666,1545,109,"Cryptoblepharus cygnatus"
278,1996,1546,108,"Cryptoblepharus cygnatus"
278,1545,1708,105,"Cryptoblepharus cygnatus"
267,1640,1645,113,"Cryptoblepharus cygnatus"
278,1593,1649,105,"Cryptoblepharus cygnatus"
276,2129,1323,104,"Cryptoblepharus cygnatus"
272,1319,1566,96,"Cryptoblepharus cygnatus"
276,1654,1646,108,"Cryptoblepharus cygnatus"
273,1672,1160,112,"Cryptoblepharus cygnatus"
263,1744,1337,107,"Cryptoblepharus cygnatus"
278,1749,1286,100,"Cryptoblepharus cygnatus"
277,1504,1871,106,"Cryptoblepharus cygnatus"
277,1632,1601,102,"Cryptoblepharus cygnatus"
273,1608,1191,107,"Cryptoblepharus cygnatus"
277,1536,1728,106,"Cryptoblepharus cygnatus"
263,1860,1293,106,"Cryptoblepharus cygnatus"
262,1647,1519,113,"Cryptoblepharus cygnatus"
276,1470,1773,106,"Cryptoblepharus cygnatus"
260,1801,1256,109,"Cryptoblepharus cygnatus"
271,1512,1329,108,"Cryptoblepharus cygnatus"
268,1937,1169,108,"Cryptoblepharus cygnatus"
264,1687,1353,104,"Cryptoblepharus cygnatus"
264,1729,1378,112,"Cryptoblepharus cygnatus"
279,1626,1675,104,"Cryptoblepharus cygnatus"
268,1956,1090,108,"Cryptoblepharus cygnatus"
277,1771,1429,108,"Cryptoblepharus cygnatus"
271,1592,1287,108,"Cryptoblepharus cygnatus"
277,1955,1391,103,"Cryptoblepharus cygnatus"
278,1513,1758,105,"Cryptoblepharus cygnatus"
278,1637,1575,105,"Cryptoblepharus cygnatus"
277,1790,1569,107,"Cryptoblepharus cygnatus"
278,1561,1751,103,"Cryptoblepharus cygnatus"
278,1805,1420,102,"Cryptoblepharus cygnatus"
253,2075,1244,109,"Cryptoblepharus cygnatus"
274,1736,1211,112,"Cryptoblepharus cygnatus"
265,1743,1256,106,"Cryptoblepharus cygnatus"
275,1521,1884,106,"Cryptoblepharus cygnatus"
279,1621,1445,103,"Cryptoblepharus cygnatus"
273,1577,1179,106,"Cryptoblepharus cygnatus"
274,1313,1453,96,"Cryptoblepharus cygnatus"
277,1491,1727,108,"Cryptoblepharus cygnatus"
279,1883,1310,101,"Cryptoblepharus cygnatus"
275,1254,1700,96,"Cryptoblepharus cygnatus"
