"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
252,1753,1179,103,"Cryptoblepharus fuhni"
259,1762,1085,109,"Cryptoblepharus fuhni"
247,1552,1613,105,"Cryptoblepharus fuhni"
261,1671,1369,97,"Cryptoblepharus fuhni"
259,1938,1036,112,"Cryptoblepharus fuhni"
262,1790,1101,114,"Cryptoblepharus fuhni"
261,1914,1055,114,"Cryptoblepharus fuhni"
258,1926,1078,111,"Cryptoblepharus fuhni"
251,1661,1460,104,"Cryptoblepharus fuhni"
251,1673,1493,107,"Cryptoblepharus fuhni"
262,1887,1070,114,"Cryptoblepharus fuhni"
251,1724,1185,105,"Cryptoblepharus fuhni"
253,1691,1190,106,"Cryptoblepharus fuhni"
261,1844,1052,113,"Cryptoblepharus fuhni"
258,1814,1190,111,"Cryptoblepharus fuhni"
261,1675,1232,104,"Cryptoblepharus fuhni"
262,1825,1071,114,"Cryptoblepharus fuhni"
260,1912,1068,112,"Cryptoblepharus fuhni"
260,1912,1038,112,"Cryptoblepharus fuhni"
260,1702,1107,112,"Cryptoblepharus fuhni"
257,1930,1046,110,"Cryptoblepharus fuhni"
260,1943,1110,114,"Cryptoblepharus fuhni"
260,1892,1083,113,"Cryptoblepharus fuhni"
255,1729,1117,110,"Cryptoblepharus fuhni"
260,1916,1030,112,"Cryptoblepharus fuhni"
257,1849,1130,107,"Cryptoblepharus fuhni"
258,1707,1160,100,"Cryptoblepharus fuhni"
262,1807,1113,114,"Cryptoblepharus fuhni"
258,1900,1091,109,"Cryptoblepharus fuhni"
261,1631,1313,103,"Cryptoblepharus fuhni"
259,1608,1319,111,"Cryptoblepharus fuhni"
251,1799,1381,104,"Cryptoblepharus fuhni"
261,1676,1398,98,"Cryptoblepharus fuhni"
261,1787,1099,114,"Cryptoblepharus fuhni"
258,1968,1037,113,"Cryptoblepharus fuhni"
257,1831,1131,108,"Cryptoblepharus fuhni"
251,1775,1252,105,"Cryptoblepharus fuhni"
262,1844,1086,114,"Cryptoblepharus fuhni"
259,1672,1401,100,"Cryptoblepharus fuhni"
255,1644,1283,109,"Cryptoblepharus fuhni"
259,1755,1113,109,"Cryptoblepharus fuhni"
259,1797,1124,110,"Cryptoblepharus fuhni"
259,1955,1027,114,"Cryptoblepharus fuhni"
261,1718,1094,111,"Cryptoblepharus fuhni"
262,1881,1059,113,"Cryptoblepharus fuhni"
261,1643,1169,107,"Cryptoblepharus fuhni"
260,1781,1111,110,"Cryptoblepharus fuhni"
258,1706,1119,109,"Cryptoblepharus fuhni"
249,1665,1620,100,"Cryptoblepharus fuhni"
261,1872,1079,113,"Cryptoblepharus fuhni"
257,1866,1230,107,"Cryptoblepharus fuhni"
245,1523,1667,106,"Cryptoblepharus fuhni"
259,1548,1605,103,"Cryptoblepharus fuhni"
257,1645,1468,105,"Cryptoblepharus fuhni"
257,1933,1109,111,"Cryptoblepharus fuhni"
258,1899,1101,111,"Cryptoblepharus fuhni"
258,1676,1137,109,"Cryptoblepharus fuhni"
261,1895,1068,114,"Cryptoblepharus fuhni"
261,1909,1068,113,"Cryptoblepharus fuhni"
258,1869,1093,110,"Cryptoblepharus fuhni"
262,1664,1138,112,"Cryptoblepharus fuhni"
260,1744,1179,111,"Cryptoblepharus fuhni"
246,1686,1516,105,"Cryptoblepharus fuhni"
259,1769,1208,112,"Cryptoblepharus fuhni"
258,1827,1149,109,"Cryptoblepharus fuhni"
261,1681,1404,96,"Cryptoblepharus fuhni"
253,1576,1488,108,"Cryptoblepharus fuhni"
