"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
274,1371,1340,106,"Cryptoblepharus gurrmul"
274,1370,1335,107,"Cryptoblepharus gurrmul"
274,1389,1332,107,"Cryptoblepharus gurrmul"
274,1390,1310,107,"Cryptoblepharus gurrmul"
274,1294,1388,108,"Cryptoblepharus gurrmul"
273,1289,1422,104,"Cryptoblepharus gurrmul"
274,1300,1314,103,"Cryptoblepharus gurrmul"
273,1289,1307,102,"Cryptoblepharus gurrmul"
274,1377,1295,106,"Cryptoblepharus gurrmul"
272,1288,1472,105,"Cryptoblepharus gurrmul"
274,1297,1332,104,"Cryptoblepharus gurrmul"
273,1289,1407,109,"Cryptoblepharus gurrmul"
273,1283,1411,105,"Cryptoblepharus gurrmul"
274,1383,1282,104,"Cryptoblepharus gurrmul"
273,1292,1351,105,"Cryptoblepharus gurrmul"
274,1285,1381,107,"Cryptoblepharus gurrmul"
274,1284,1388,105,"Cryptoblepharus gurrmul"
273,1293,1424,108,"Cryptoblepharus gurrmul"
274,1401,1268,105,"Cryptoblepharus gurrmul"
274,1396,1282,105,"Cryptoblepharus gurrmul"
