"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
262,2423,947,112,"Cryptoblepharus megastictus"
285,2766,786,108,"Cryptoblepharus megastictus"
276,3009,709,112,"Cryptoblepharus megastictus"
268,2758,909,120,"Cryptoblepharus megastictus"
262,2835,865,119,"Cryptoblepharus megastictus"
265,3528,679,119,"Cryptoblepharus megastictus"
268,3208,823,120,"Cryptoblepharus megastictus"
278,1712,1687,108,"Cryptoblepharus megastictus"
263,2858,945,115,"Cryptoblepharus megastictus"
278,3046,701,110,"Cryptoblepharus megastictus"
277,1529,1571,126,"Cryptoblepharus megastictus"
273,1600,1255,112,"Cryptoblepharus megastictus"
275,2385,1005,114,"Cryptoblepharus megastictus"
267,3105,871,112,"Cryptoblepharus megastictus"
284,2676,745,110,"Cryptoblepharus megastictus"
261,3162,849,112,"Cryptoblepharus megastictus"
277,2851,726,112,"Cryptoblepharus megastictus"
260,3623,588,112,"Cryptoblepharus megastictus"
284,2486,861,113,"Cryptoblepharus megastictus"
267,3801,594,114,"Cryptoblepharus megastictus"
270,2964,827,108,"Cryptoblepharus megastictus"
276,1624,1629,108,"Cryptoblepharus megastictus"
275,2682,913,110,"Cryptoblepharus megastictus"
264,2814,930,115,"Cryptoblepharus megastictus"
276,2717,909,114,"Cryptoblepharus megastictus"
260,3259,787,111,"Cryptoblepharus megastictus"
279,1746,1446,103,"Cryptoblepharus megastictus"
269,2786,772,110,"Cryptoblepharus megastictus"
264,1594,1631,117,"Cryptoblepharus megastictus"
276,2681,912,115,"Cryptoblepharus megastictus"
264,3252,699,111,"Cryptoblepharus megastictus"
272,2252,1169,113,"Cryptoblepharus megastictus"
277,1671,1512,101,"Cryptoblepharus megastictus"
285,3107,663,106,"Cryptoblepharus megastictus"
277,1555,1660,103,"Cryptoblepharus megastictus"
262,3734,608,112,"Cryptoblepharus megastictus"
259,2194,1043,105,"Cryptoblepharus megastictus"
258,3184,822,113,"Cryptoblepharus megastictus"
275,2135,1304,111,"Cryptoblepharus megastictus"
285,2478,811,119,"Cryptoblepharus megastictus"
262,3114,765,116,"Cryptoblepharus megastictus"
261,2275,1036,108,"Cryptoblepharus megastictus"
286,2593,776,115,"Cryptoblepharus megastictus"
260,3171,754,114,"Cryptoblepharus megastictus"
262,3699,601,113,"Cryptoblepharus megastictus"
264,1985,1353,108,"Cryptoblepharus megastictus"
