"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
255,2412,1026,112,"Cryptoblepharus ruber"
258,2292,934,114,"Cryptoblepharus ruber"
281,3885,538,111,"Cryptoblepharus ruber"
267,2945,889,120,"Cryptoblepharus ruber"
269,2926,908,113,"Cryptoblepharus ruber"
263,1891,1505,114,"Cryptoblepharus ruber"
284,2533,836,114,"Cryptoblepharus ruber"
260,2237,1347,111,"Cryptoblepharus ruber"
286,3580,525,121,"Cryptoblepharus ruber"
276,2697,834,119,"Cryptoblepharus ruber"
277,2512,936,116,"Cryptoblepharus ruber"
267,3278,810,117,"Cryptoblepharus ruber"
273,3231,751,117,"Cryptoblepharus ruber"
263,1845,1319,124,"Cryptoblepharus ruber"
271,4292,462,106,"Cryptoblepharus ruber"
281,2386,903,113,"Cryptoblepharus ruber"
277,1639,1135,122,"Cryptoblepharus ruber"
264,2120,1291,113,"Cryptoblepharus ruber"
270,3728,546,109,"Cryptoblepharus ruber"
266,2572,1118,119,"Cryptoblepharus ruber"
268,2939,780,115,"Cryptoblepharus ruber"
264,3440,671,114,"Cryptoblepharus ruber"
271,4251,484,108,"Cryptoblepharus ruber"
266,4226,487,112,"Cryptoblepharus ruber"
285,3191,607,124,"Cryptoblepharus ruber"
282,3588,555,114,"Cryptoblepharus ruber"
267,2726,781,114,"Cryptoblepharus ruber"
268,2771,868,112,"Cryptoblepharus ruber"
276,1832,1178,125,"Cryptoblepharus ruber"
281,3862,564,111,"Cryptoblepharus ruber"
266,3578,612,117,"Cryptoblepharus ruber"
280,3218,648,126,"Cryptoblepharus ruber"
276,2854,720,109,"Cryptoblepharus ruber"
264,4568,474,109,"Cryptoblepharus ruber"
279,2924,678,124,"Cryptoblepharus ruber"
283,4079,540,118,"Cryptoblepharus ruber"
260,3202,720,113,"Cryptoblepharus ruber"
274,2775,737,110,"Cryptoblepharus ruber"
277,1550,1347,119,"Cryptoblepharus ruber"
272,4410,459,108,"Cryptoblepharus ruber"
272,3957,515,106,"Cryptoblepharus ruber"
260,2333,1016,109,"Cryptoblepharus ruber"
262,4375,483,114,"Cryptoblepharus ruber"
272,3752,577,107,"Cryptoblepharus ruber"
285,3949,533,121,"Cryptoblepharus ruber"
266,3779,613,106,"Cryptoblepharus ruber"
268,2005,1055,110,"Cryptoblepharus ruber"
276,2900,722,122,"Cryptoblepharus ruber"
280,1766,1056,111,"Cryptoblepharus ruber"
278,2888,712,124,"Cryptoblepharus ruber"
268,3169,848,118,"Cryptoblepharus ruber"
272,3316,666,116,"Cryptoblepharus ruber"
276,3029,761,115,"Cryptoblepharus ruber"
284,3293,642,119,"Cryptoblepharus ruber"
263,4341,460,114,"Cryptoblepharus ruber"
269,3674,545,111,"Cryptoblepharus ruber"
266,2883,912,112,"Cryptoblepharus ruber"
246,2360,1046,114,"Cryptoblepharus ruber"
283,2873,779,127,"Cryptoblepharus ruber"
283,3034,736,123,"Cryptoblepharus ruber"
268,3202,823,117,"Cryptoblepharus ruber"
262,4099,536,111,"Cryptoblepharus ruber"
270,4611,456,102,"Cryptoblepharus ruber"
280,3755,554,105,"Cryptoblepharus ruber"
259,2053,1428,109,"Cryptoblepharus ruber"
282,2486,699,108,"Cryptoblepharus ruber"
281,2315,1047,115,"Cryptoblepharus ruber"
276,2971,788,108,"Cryptoblepharus ruber"
269,3879,529,111,"Cryptoblepharus ruber"
282,2863,851,118,"Cryptoblepharus ruber"
269,3839,529,111,"Cryptoblepharus ruber"
263,3349,670,111,"Cryptoblepharus ruber"
267,3636,634,105,"Cryptoblepharus ruber"
281,2401,771,114,"Cryptoblepharus ruber"
274,3718,532,107,"Cryptoblepharus ruber"
265,3415,708,119,"Cryptoblepharus ruber"
281,2774,771,111,"Cryptoblepharus ruber"
273,3133,709,118,"Cryptoblepharus ruber"
268,3694,593,107,"Cryptoblepharus ruber"
283,3110,709,123,"Cryptoblepharus ruber"
270,4581,426,105,"Cryptoblepharus ruber"
273,3236,670,121,"Cryptoblepharus ruber"
270,3192,620,108,"Cryptoblepharus ruber"
261,2280,1189,119,"Cryptoblepharus ruber"
270,3708,655,115,"Cryptoblepharus ruber"
287,4043,522,118,"Cryptoblepharus ruber"
272,4368,508,109,"Cryptoblepharus ruber"
272,4402,463,110,"Cryptoblepharus ruber"
270,4389,439,108,"Cryptoblepharus ruber"
265,3545,606,121,"Cryptoblepharus ruber"
284,3327,705,112,"Cryptoblepharus ruber"
282,2839,769,114,"Cryptoblepharus ruber"
