"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
275,1538,1596,109,"Cryptoblepharus wulbu"
274,1741,1370,112,"Cryptoblepharus wulbu"
274,1715,1299,108,"Cryptoblepharus wulbu"
278,1657,1573,108,"Cryptoblepharus wulbu"
276,1614,1400,110,"Cryptoblepharus wulbu"
277,1678,1640,106,"Cryptoblepharus wulbu"
277,1800,1442,107,"Cryptoblepharus wulbu"
265,1616,1729,109,"Cryptoblepharus wulbu"
273,1591,1474,111,"Cryptoblepharus wulbu"
276,1726,1262,106,"Cryptoblepharus wulbu"
276,1643,1584,105,"Cryptoblepharus wulbu"
276,1706,1584,106,"Cryptoblepharus wulbu"
275,1721,1685,108,"Cryptoblepharus wulbu"
276,1567,1511,109,"Cryptoblepharus wulbu"
274,1674,1522,113,"Cryptoblepharus wulbu"
273,1705,1715,110,"Cryptoblepharus wulbu"
278,1550,1557,106,"Cryptoblepharus wulbu"
277,1761,1430,107,"Cryptoblepharus wulbu"
278,1642,1559,105,"Cryptoblepharus wulbu"
277,1541,1491,107,"Cryptoblepharus wulbu"
277,1527,1469,108,"Cryptoblepharus wulbu"
277,1519,1638,107,"Cryptoblepharus wulbu"
276,1594,1501,109,"Cryptoblepharus wulbu"
275,1505,1522,109,"Cryptoblepharus wulbu"
277,1564,1368,107,"Cryptoblepharus wulbu"
272,1735,1573,112,"Cryptoblepharus wulbu"
278,1626,1510,106,"Cryptoblepharus wulbu"
277,1499,1547,107,"Cryptoblepharus wulbu"
276,1604,1566,107,"Cryptoblepharus wulbu"
275,1785,1292,110,"Cryptoblepharus wulbu"
273,1613,1407,112,"Cryptoblepharus wulbu"
276,1495,1539,108,"Cryptoblepharus wulbu"
277,1817,1533,108,"Cryptoblepharus wulbu"
267,1662,1484,108,"Cryptoblepharus wulbu"
278,1532,1570,106,"Cryptoblepharus wulbu"
277,1627,1427,109,"Cryptoblepharus wulbu"
260,1715,1643,107,"Cryptoblepharus wulbu"
275,1609,1650,105,"Cryptoblepharus wulbu"
275,1533,1371,109,"Cryptoblepharus wulbu"
271,1830,1368,111,"Cryptoblepharus wulbu"
277,1514,1538,106,"Cryptoblepharus wulbu"
275,1537,1657,107,"Cryptoblepharus wulbu"
276,1685,1476,108,"Cryptoblepharus wulbu"
276,1738,1484,105,"Cryptoblepharus wulbu"
274,1553,1394,109,"Cryptoblepharus wulbu"
276,1541,1384,106,"Cryptoblepharus wulbu"
277,1670,1475,107,"Cryptoblepharus wulbu"
274,1502,1397,108,"Cryptoblepharus wulbu"
275,1655,1693,106,"Cryptoblepharus wulbu"
275,1568,1557,104,"Cryptoblepharus wulbu"
276,1718,1570,106,"Cryptoblepharus wulbu"
275,1538,1383,108,"Cryptoblepharus wulbu"
277,1669,1479,105,"Cryptoblepharus wulbu"
275,1801,1283,109,"Cryptoblepharus wulbu"
265,1775,1675,107,"Cryptoblepharus wulbu"
278,1608,1563,105,"Cryptoblepharus wulbu"
277,1660,1495,109,"Cryptoblepharus wulbu"
276,1552,1534,103,"Cryptoblepharus wulbu"
274,1647,1574,110,"Cryptoblepharus wulbu"
277,1719,1554,108,"Cryptoblepharus wulbu"
276,1643,1424,110,"Cryptoblepharus wulbu"
277,1618,1657,107,"Cryptoblepharus wulbu"
278,1688,1611,107,"Cryptoblepharus wulbu"
277,1573,1503,107,"Cryptoblepharus wulbu"
274,1520,1417,106,"Cryptoblepharus wulbu"
277,1516,1492,108,"Cryptoblepharus wulbu"
274,1566,1475,110,"Cryptoblepharus wulbu"
276,1691,1612,106,"Cryptoblepharus wulbu"
278,1720,1509,107,"Cryptoblepharus wulbu"
278,1669,1600,107,"Cryptoblepharus wulbu"
277,1664,1525,105,"Cryptoblepharus wulbu"
274,1619,1398,112,"Cryptoblepharus wulbu"
275,1821,1154,108,"Cryptoblepharus wulbu"
271,1658,1553,114,"Cryptoblepharus wulbu"
277,1583,1434,107,"Cryptoblepharus wulbu"
277,1494,1559,106,"Cryptoblepharus wulbu"
276,1705,1234,107,"Cryptoblepharus wulbu"
266,1753,1382,107,"Cryptoblepharus wulbu"
264,1621,1788,110,"Cryptoblepharus wulbu"
274,1515,1508,105,"Cryptoblepharus wulbu"
276,1764,1586,106,"Cryptoblepharus wulbu"
278,1556,1513,108,"Cryptoblepharus wulbu"
260,1701,1803,110,"Cryptoblepharus wulbu"
276,1629,1557,107,"Cryptoblepharus wulbu"
277,1638,1482,106,"Cryptoblepharus wulbu"
277,1577,1477,108,"Cryptoblepharus wulbu"
277,1559,1459,108,"Cryptoblepharus wulbu"
277,1680,1526,105,"Cryptoblepharus wulbu"
276,1834,1363,110,"Cryptoblepharus wulbu"
272,1563,1484,109,"Cryptoblepharus wulbu"
269,1650,1747,111,"Cryptoblepharus wulbu"
275,1520,1369,108,"Cryptoblepharus wulbu"
277,1588,1460,106,"Cryptoblepharus wulbu"
277,1509,1543,107,"Cryptoblepharus wulbu"
277,1638,1561,108,"Cryptoblepharus wulbu"
275,1717,1637,105,"Cryptoblepharus wulbu"
276,1665,1574,107,"Cryptoblepharus wulbu"
275,1587,1424,111,"Cryptoblepharus wulbu"
276,1594,1522,104,"Cryptoblepharus wulbu"
275,1514,1505,110,"Cryptoblepharus wulbu"
277,1627,1528,109,"Cryptoblepharus wulbu"
273,1695,1204,105,"Cryptoblepharus wulbu"
277,1769,1506,106,"Cryptoblepharus wulbu"
276,1696,1574,106,"Cryptoblepharus wulbu"
276,1631,1520,105,"Cryptoblepharus wulbu"
277,1606,1449,108,"Cryptoblepharus wulbu"
276,1812,1471,111,"Cryptoblepharus wulbu"
263,1639,1702,109,"Cryptoblepharus wulbu"
277,1490,1545,106,"Cryptoblepharus wulbu"
277,1746,1395,109,"Cryptoblepharus wulbu"
265,1739,1626,112,"Cryptoblepharus wulbu"
278,1587,1555,106,"Cryptoblepharus wulbu"
276,1699,1539,111,"Cryptoblepharus wulbu"
275,1728,1495,111,"Cryptoblepharus wulbu"
277,1612,1466,105,"Cryptoblepharus wulbu"
275,1535,1717,107,"Cryptoblepharus wulbu"
276,1777,1476,112,"Cryptoblepharus wulbu"
277,1627,1431,107,"Cryptoblepharus wulbu"
278,1607,1550,107,"Cryptoblepharus wulbu"
277,1696,1519,107,"Cryptoblepharus wulbu"
277,1790,1489,107,"Cryptoblepharus wulbu"
277,1721,1395,109,"Cryptoblepharus wulbu"
278,1572,1532,107,"Cryptoblepharus wulbu"
277,1585,1531,106,"Cryptoblepharus wulbu"
262,1770,1775,109,"Cryptoblepharus wulbu"
268,1821,1450,105,"Cryptoblepharus wulbu"
277,1818,1492,107,"Cryptoblepharus wulbu"
276,1760,1247,105,"Cryptoblepharus wulbu"
277,1605,1484,107,"Cryptoblepharus wulbu"
277,1644,1493,107,"Cryptoblepharus wulbu"
276,1590,1577,110,"Cryptoblepharus wulbu"
277,1604,1563,107,"Cryptoblepharus wulbu"
278,1510,1564,106,"Cryptoblepharus wulbu"
268,1735,1744,111,"Cryptoblepharus wulbu"
276,1566,1419,110,"Cryptoblepharus wulbu"
