"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
224,3633,711,66,"Cryptophis nigrescens"
222,3937,827,53,"Cryptophis nigrescens"
258,1619,1237,116,"Cryptophis nigrescens"
203,5040,610,40,"Cryptophis nigrescens"
214,2495,860,113,"Cryptophis nigrescens"
260,1237,1522,99,"Cryptophis nigrescens"
131,3029,1096,17,"Cryptophis nigrescens"
146,2749,836,20,"Cryptophis nigrescens"
223,4376,737,50,"Cryptophis nigrescens"
62,4730,1213,21,"Cryptophis nigrescens"
140,5207,756,10,"Cryptophis nigrescens"
207,3610,1121,44,"Cryptophis nigrescens"
135,3729,1031,17,"Cryptophis nigrescens"
191,3482,1330,45,"Cryptophis nigrescens"
249,1354,1683,97,"Cryptophis nigrescens"
241,2458,923,114,"Cryptophis nigrescens"
183,4178,680,37,"Cryptophis nigrescens"
161,5637,529,11,"Cryptophis nigrescens"
219,3236,1164,59,"Cryptophis nigrescens"
156,5144,509,24,"Cryptophis nigrescens"
140,5200,748,18,"Cryptophis nigrescens"
131,4156,779,25,"Cryptophis nigrescens"
206,3678,646,49,"Cryptophis nigrescens"
261,1931,1024,114,"Cryptophis nigrescens"
196,3272,1522,40,"Cryptophis nigrescens"
244,2762,2390,82,"Cryptophis nigrescens"
136,5028,735,17,"Cryptophis nigrescens"
212,3710,981,51,"Cryptophis nigrescens"
232,3532,764,77,"Cryptophis nigrescens"
113,4241,776,11,"Cryptophis nigrescens"
160,5462,526,19,"Cryptophis nigrescens"
168,3688,932,19,"Cryptophis nigrescens"
133,3689,936,15,"Cryptophis nigrescens"
201,3770,969,55,"Cryptophis nigrescens"
183,4241,613,35,"Cryptophis nigrescens"
225,3020,773,109,"Cryptophis nigrescens"
210,4937,583,45,"Cryptophis nigrescens"
266,1045,1695,103,"Cryptophis nigrescens"
148,3226,908,10,"Cryptophis nigrescens"
238,2732,2550,72,"Cryptophis nigrescens"
244,3276,981,93,"Cryptophis nigrescens"
171,4166,967,46,"Cryptophis nigrescens"
151,5483,550,6,"Cryptophis nigrescens"
145,3684,948,21,"Cryptophis nigrescens"
234,3948,598,63,"Cryptophis nigrescens"
157,2862,936,9,"Cryptophis nigrescens"
218,4399,569,54,"Cryptophis nigrescens"
236,2180,935,113,"Cryptophis nigrescens"
221,3543,1067,72,"Cryptophis nigrescens"
109,3621,1039,14,"Cryptophis nigrescens"
217,3140,869,90,"Cryptophis nigrescens"
262,1123,1696,114,"Cryptophis nigrescens"
237,3108,1697,84,"Cryptophis nigrescens"
153,4636,670,13,"Cryptophis nigrescens"
137,5232,855,28,"Cryptophis nigrescens"
156,5204,540,17,"Cryptophis nigrescens"
170,3992,1124,51,"Cryptophis nigrescens"
96,3905,1117,15,"Cryptophis nigrescens"
194,4717,700,40,"Cryptophis nigrescens"
228,3453,626,93,"Cryptophis nigrescens"
144,3592,849,16,"Cryptophis nigrescens"
215,3632,940,53,"Cryptophis nigrescens"
224,2653,760,105,"Cryptophis nigrescens"
230,4249,618,53,"Cryptophis nigrescens"
226,3650,639,73,"Cryptophis nigrescens"
196,3509,1129,57,"Cryptophis nigrescens"
160,5584,596,13,"Cryptophis nigrescens"
189,3534,1187,43,"Cryptophis nigrescens"
183,3791,1145,52,"Cryptophis nigrescens"
208,4033,665,45,"Cryptophis nigrescens"
157,5486,613,15,"Cryptophis nigrescens"
232,3637,621,86,"Cryptophis nigrescens"
244,3087,870,100,"Cryptophis nigrescens"
141,4496,851,24,"Cryptophis nigrescens"
182,4318,638,35,"Cryptophis nigrescens"
212,3034,826,89,"Cryptophis nigrescens"
152,5002,681,25,"Cryptophis nigrescens"
217,3423,1056,49,"Cryptophis nigrescens"
190,3313,1302,40,"Cryptophis nigrescens"
217,3219,697,87,"Cryptophis nigrescens"
133,3830,679,13,"Cryptophis nigrescens"
204,4539,739,46,"Cryptophis nigrescens"
228,3319,1024,62,"Cryptophis nigrescens"
115,4635,901,10,"Cryptophis nigrescens"
159,3977,1188,43,"Cryptophis nigrescens"
234,2701,728,110,"Cryptophis nigrescens"
204,4190,629,39,"Cryptophis nigrescens"
184,3762,1061,23,"Cryptophis nigrescens"
92,4947,1163,25,"Cryptophis nigrescens"
153,5586,551,6,"Cryptophis nigrescens"
122,4142,608,12,"Cryptophis nigrescens"
249,1867,1525,99,"Cryptophis nigrescens"
116,4578,707,20,"Cryptophis nigrescens"
176,3750,882,27,"Cryptophis nigrescens"
149,3360,825,15,"Cryptophis nigrescens"
159,2897,876,12,"Cryptophis nigrescens"
150,3408,694,12,"Cryptophis nigrescens"
162,3928,992,19,"Cryptophis nigrescens"
230,3315,1010,61,"Cryptophis nigrescens"
180,3597,1180,22,"Cryptophis nigrescens"
94,3832,1005,10,"Cryptophis nigrescens"
174,4121,887,37,"Cryptophis nigrescens"
230,4148,602,54,"Cryptophis nigrescens"
120,5046,754,9,"Cryptophis nigrescens"
137,5249,643,11,"Cryptophis nigrescens"
218,2936,782,104,"Cryptophis nigrescens"
141,4488,625,18,"Cryptophis nigrescens"
157,4667,770,34,"Cryptophis nigrescens"
203,4358,634,41,"Cryptophis nigrescens"
255,1732,1149,116,"Cryptophis nigrescens"
