"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
168,3158,479,65,"Ctenophorus adelaidensis"
170,3916,327,14,"Ctenophorus adelaidensis"
179,4057,195,17,"Ctenophorus adelaidensis"
155,3554,409,36,"Ctenophorus adelaidensis"
188,5012,467,69,"Ctenophorus adelaidensis"
158,3196,473,30,"Ctenophorus adelaidensis"
178,4444,280,28,"Ctenophorus adelaidensis"
184,3969,226,18,"Ctenophorus adelaidensis"
176,4131,286,41,"Ctenophorus adelaidensis"
177,3566,232,21,"Ctenophorus adelaidensis"
193,4802,449,76,"Ctenophorus adelaidensis"
161,3162,434,53,"Ctenophorus adelaidensis"
190,4498,204,16,"Ctenophorus adelaidensis"
173,4152,348,49,"Ctenophorus adelaidensis"
182,4864,276,20,"Ctenophorus adelaidensis"
180,4060,190,20,"Ctenophorus adelaidensis"
175,3640,383,54,"Ctenophorus adelaidensis"
167,4218,358,23,"Ctenophorus adelaidensis"
165,4331,310,38,"Ctenophorus adelaidensis"
181,4078,234,19,"Ctenophorus adelaidensis"
169,3261,353,25,"Ctenophorus adelaidensis"
186,4188,211,17,"Ctenophorus adelaidensis"
173,4705,635,78,"Ctenophorus adelaidensis"
179,4501,276,30,"Ctenophorus adelaidensis"
180,2993,311,31,"Ctenophorus adelaidensis"
187,4295,607,87,"Ctenophorus adelaidensis"
169,3259,383,18,"Ctenophorus adelaidensis"
166,3085,391,29,"Ctenophorus adelaidensis"
194,5408,348,71,"Ctenophorus adelaidensis"
165,2933,440,61,"Ctenophorus adelaidensis"
173,4141,322,21,"Ctenophorus adelaidensis"
170,4945,372,41,"Ctenophorus adelaidensis"
178,3636,220,18,"Ctenophorus adelaidensis"
178,3821,208,21,"Ctenophorus adelaidensis"
184,4395,191,13,"Ctenophorus adelaidensis"
172,3861,352,49,"Ctenophorus adelaidensis"
162,3151,350,51,"Ctenophorus adelaidensis"
165,4351,361,32,"Ctenophorus adelaidensis"
173,3674,360,52,"Ctenophorus adelaidensis"
158,4311,372,48,"Ctenophorus adelaidensis"
178,4026,332,48,"Ctenophorus adelaidensis"
181,4289,240,20,"Ctenophorus adelaidensis"
184,5107,439,71,"Ctenophorus adelaidensis"
196,5363,369,70,"Ctenophorus adelaidensis"
174,4008,279,19,"Ctenophorus adelaidensis"
164,3488,462,61,"Ctenophorus adelaidensis"
168,3840,367,25,"Ctenophorus adelaidensis"
190,4998,444,70,"Ctenophorus adelaidensis"
168,4052,390,44,"Ctenophorus adelaidensis"
179,4158,183,18,"Ctenophorus adelaidensis"
178,3848,210,20,"Ctenophorus adelaidensis"
212,5341,294,69,"Ctenophorus adelaidensis"
183,4090,214,16,"Ctenophorus adelaidensis"
179,4648,659,80,"Ctenophorus adelaidensis"
172,3991,337,45,"Ctenophorus adelaidensis"
188,4505,188,15,"Ctenophorus adelaidensis"
184,4308,232,22,"Ctenophorus adelaidensis"
175,4962,364,67,"Ctenophorus adelaidensis"
187,4274,202,16,"Ctenophorus adelaidensis"
180,3592,224,21,"Ctenophorus adelaidensis"
173,4182,293,20,"Ctenophorus adelaidensis"
187,4441,190,14,"Ctenophorus adelaidensis"
