"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
261,5090,421,89,"Ctenophorus caudicinctus"
253,6157,221,72,"Ctenophorus caudicinctus"
248,5784,265,73,"Ctenophorus caudicinctus"
266,3406,670,111,"Ctenophorus caudicinctus"
274,4177,467,117,"Ctenophorus caudicinctus"
272,4522,436,107,"Ctenophorus caudicinctus"
236,6414,249,58,"Ctenophorus caudicinctus"
249,6346,295,72,"Ctenophorus caudicinctus"
218,6291,331,44,"Ctenophorus caudicinctus"
259,4631,403,98,"Ctenophorus caudicinctus"
264,2733,904,112,"Ctenophorus caudicinctus"
248,6460,190,55,"Ctenophorus caudicinctus"
261,1974,1185,109,"Ctenophorus caudicinctus"
220,6012,287,59,"Ctenophorus caudicinctus"
244,5634,352,87,"Ctenophorus caudicinctus"
200,5579,339,66,"Ctenophorus caudicinctus"
260,4105,507,113,"Ctenophorus caudicinctus"
234,6443,237,51,"Ctenophorus caudicinctus"
256,5170,357,90,"Ctenophorus caudicinctus"
255,4959,408,101,"Ctenophorus caudicinctus"
250,5862,251,74,"Ctenophorus caudicinctus"
254,6328,263,61,"Ctenophorus caudicinctus"
253,6182,261,69,"Ctenophorus caudicinctus"
231,6423,257,49,"Ctenophorus caudicinctus"
257,5498,388,89,"Ctenophorus caudicinctus"
230,6430,229,42,"Ctenophorus caudicinctus"
231,5920,268,62,"Ctenophorus caudicinctus"
222,6409,247,45,"Ctenophorus caudicinctus"
264,4708,404,96,"Ctenophorus caudicinctus"
227,6282,229,44,"Ctenophorus caudicinctus"
261,3232,694,115,"Ctenophorus caudicinctus"
259,5292,264,88,"Ctenophorus caudicinctus"
242,6417,241,63,"Ctenophorus caudicinctus"
256,4743,486,107,"Ctenophorus caudicinctus"
265,3209,691,113,"Ctenophorus caudicinctus"
212,6021,278,55,"Ctenophorus caudicinctus"
264,5532,195,81,"Ctenophorus caudicinctus"
263,3204,790,114,"Ctenophorus caudicinctus"
222,6217,207,34,"Ctenophorus caudicinctus"
258,4410,456,105,"Ctenophorus caudicinctus"
228,6451,242,46,"Ctenophorus caudicinctus"
240,5152,418,87,"Ctenophorus caudicinctus"
222,6403,310,48,"Ctenophorus caudicinctus"
227,6249,234,59,"Ctenophorus caudicinctus"
215,6138,227,30,"Ctenophorus caudicinctus"
250,5141,374,96,"Ctenophorus caudicinctus"
238,6380,264,64,"Ctenophorus caudicinctus"
234,6329,237,52,"Ctenophorus caudicinctus"
274,5859,303,82,"Ctenophorus caudicinctus"
272,4328,457,106,"Ctenophorus caudicinctus"
268,3462,570,118,"Ctenophorus caudicinctus"
268,4048,517,104,"Ctenophorus caudicinctus"
273,1326,1411,106,"Ctenophorus caudicinctus"
254,5291,382,89,"Ctenophorus caudicinctus"
243,6571,203,48,"Ctenophorus caudicinctus"
269,4104,564,107,"Ctenophorus caudicinctus"
252,5304,404,84,"Ctenophorus caudicinctus"
287,3532,551,118,"Ctenophorus caudicinctus"
253,5373,334,85,"Ctenophorus caudicinctus"
241,5241,441,96,"Ctenophorus caudicinctus"
258,6141,306,63,"Ctenophorus caudicinctus"
259,4628,421,99,"Ctenophorus caudicinctus"
272,3659,328,98,"Ctenophorus caudicinctus"
265,4516,476,101,"Ctenophorus caudicinctus"
222,6102,224,41,"Ctenophorus caudicinctus"
266,3321,765,112,"Ctenophorus caudicinctus"
277,3826,529,127,"Ctenophorus caudicinctus"
232,6426,299,50,"Ctenophorus caudicinctus"
262,3224,662,113,"Ctenophorus caudicinctus"
274,4242,479,110,"Ctenophorus caudicinctus"
258,4456,270,83,"Ctenophorus caudicinctus"
252,6111,262,72,"Ctenophorus caudicinctus"
249,6105,231,69,"Ctenophorus caudicinctus"
247,6347,271,53,"Ctenophorus caudicinctus"
242,6433,220,63,"Ctenophorus caudicinctus"
284,3008,707,126,"Ctenophorus caudicinctus"
252,5034,364,90,"Ctenophorus caudicinctus"
215,6073,304,58,"Ctenophorus caudicinctus"
256,5830,380,69,"Ctenophorus caudicinctus"
255,4293,554,111,"Ctenophorus caudicinctus"
244,5563,372,77,"Ctenophorus caudicinctus"
275,4451,457,108,"Ctenophorus caudicinctus"
242,5498,305,86,"Ctenophorus caudicinctus"
247,6085,227,68,"Ctenophorus caudicinctus"
281,3445,562,114,"Ctenophorus caudicinctus"
230,6072,299,55,"Ctenophorus caudicinctus"
251,4690,485,99,"Ctenophorus caudicinctus"
249,6214,270,58,"Ctenophorus caudicinctus"
250,6097,334,69,"Ctenophorus caudicinctus"
260,4589,519,109,"Ctenophorus caudicinctus"
267,4800,333,93,"Ctenophorus caudicinctus"
261,2856,832,114,"Ctenophorus caudicinctus"
242,6341,219,48,"Ctenophorus caudicinctus"
253,5503,324,82,"Ctenophorus caudicinctus"
256,5194,380,86,"Ctenophorus caudicinctus"
255,2311,1167,111,"Ctenophorus caudicinctus"
243,5205,402,87,"Ctenophorus caudicinctus"
249,5834,219,83,"Ctenophorus caudicinctus"
259,5882,268,79,"Ctenophorus caudicinctus"
264,3393,751,118,"Ctenophorus caudicinctus"
263,4720,308,89,"Ctenophorus caudicinctus"
271,6004,296,78,"Ctenophorus caudicinctus"
270,5859,305,84,"Ctenophorus caudicinctus"
286,3480,535,119,"Ctenophorus caudicinctus"
268,5541,351,93,"Ctenophorus caudicinctus"
260,4545,533,107,"Ctenophorus caudicinctus"
250,5341,364,87,"Ctenophorus caudicinctus"
241,6216,297,71,"Ctenophorus caudicinctus"
249,6030,243,75,"Ctenophorus caudicinctus"
271,4700,446,95,"Ctenophorus caudicinctus"
246,6121,223,64,"Ctenophorus caudicinctus"
223,6229,202,34,"Ctenophorus caudicinctus"
238,6377,290,56,"Ctenophorus caudicinctus"
252,5282,404,90,"Ctenophorus caudicinctus"
254,5626,418,85,"Ctenophorus caudicinctus"
237,6286,223,58,"Ctenophorus caudicinctus"
251,5592,295,80,"Ctenophorus caudicinctus"
253,5061,392,97,"Ctenophorus caudicinctus"
263,3756,586,113,"Ctenophorus caudicinctus"
