"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
226,6451,182,30,"Ctenophorus gibba"
212,6126,134,27,"Ctenophorus gibba"
233,6615,156,42,"Ctenophorus gibba"
220,6345,137,35,"Ctenophorus gibba"
223,6367,172,29,"Ctenophorus gibba"
229,6492,167,39,"Ctenophorus gibba"
217,6247,138,34,"Ctenophorus gibba"
227,6459,178,35,"Ctenophorus gibba"
228,6474,177,38,"Ctenophorus gibba"
228,6572,147,37,"Ctenophorus gibba"
211,6133,140,30,"Ctenophorus gibba"
218,6318,176,36,"Ctenophorus gibba"
229,6473,153,38,"Ctenophorus gibba"
229,6579,138,38,"Ctenophorus gibba"
213,6214,158,30,"Ctenophorus gibba"
230,6537,195,45,"Ctenophorus gibba"
209,6101,146,29,"Ctenophorus gibba"
214,6175,135,30,"Ctenophorus gibba"
221,6332,139,38,"Ctenophorus gibba"
227,6496,148,36,"Ctenophorus gibba"
227,6490,202,37,"Ctenophorus gibba"
222,6354,136,33,"Ctenophorus gibba"
213,6205,156,27,"Ctenophorus gibba"
228,6477,174,38,"Ctenophorus gibba"
220,6306,135,30,"Ctenophorus gibba"
216,6271,152,30,"Ctenophorus gibba"
220,6313,170,32,"Ctenophorus gibba"
221,6343,171,35,"Ctenophorus gibba"
219,6386,168,41,"Ctenophorus gibba"
227,6438,180,33,"Ctenophorus gibba"
220,6342,146,36,"Ctenophorus gibba"
227,6552,149,38,"Ctenophorus gibba"
211,6204,165,27,"Ctenophorus gibba"
229,6524,143,36,"Ctenophorus gibba"
213,6137,136,31,"Ctenophorus gibba"
220,6308,136,38,"Ctenophorus gibba"
222,6370,144,34,"Ctenophorus gibba"
233,6598,156,43,"Ctenophorus gibba"
224,6458,201,39,"Ctenophorus gibba"
233,6612,165,41,"Ctenophorus gibba"
216,6244,171,30,"Ctenophorus gibba"
221,6336,168,31,"Ctenophorus gibba"
223,6390,135,33,"Ctenophorus gibba"
228,6452,175,35,"Ctenophorus gibba"
230,6591,147,39,"Ctenophorus gibba"
215,6206,132,31,"Ctenophorus gibba"
214,6198,147,33,"Ctenophorus gibba"
224,6400,126,37,"Ctenophorus gibba"
218,6266,137,32,"Ctenophorus gibba"
230,6577,144,37,"Ctenophorus gibba"
222,6360,143,32,"Ctenophorus gibba"
218,6337,210,30,"Ctenophorus gibba"
216,6263,170,27,"Ctenophorus gibba"
228,6546,148,37,"Ctenophorus gibba"
227,6469,181,34,"Ctenophorus gibba"
219,6281,138,30,"Ctenophorus gibba"
213,6171,164,24,"Ctenophorus gibba"
233,6576,161,42,"Ctenophorus gibba"
231,6529,166,41,"Ctenophorus gibba"
229,6577,139,37,"Ctenophorus gibba"
229,6517,144,38,"Ctenophorus gibba"
231,6535,149,38,"Ctenophorus gibba"
231,6556,152,39,"Ctenophorus gibba"
218,6303,152,33,"Ctenophorus gibba"
221,6338,138,33,"Ctenophorus gibba"
225,6461,150,36,"Ctenophorus gibba"
228,6505,145,36,"Ctenophorus gibba"
220,6304,170,27,"Ctenophorus gibba"
218,6308,152,33,"Ctenophorus gibba"
221,6330,136,37,"Ctenophorus gibba"
219,6305,165,30,"Ctenophorus gibba"
221,6334,165,28,"Ctenophorus gibba"
231,6582,148,38,"Ctenophorus gibba"
222,6357,166,29,"Ctenophorus gibba"
221,6354,175,35,"Ctenophorus gibba"
218,6278,132,32,"Ctenophorus gibba"
228,6515,142,36,"Ctenophorus gibba"
226,6480,143,37,"Ctenophorus gibba"
230,6556,147,37,"Ctenophorus gibba"
214,6188,140,33,"Ctenophorus gibba"
211,6194,169,32,"Ctenophorus gibba"
210,6080,140,29,"Ctenophorus gibba"
227,6449,136,34,"Ctenophorus gibba"
211,6147,151,27,"Ctenophorus gibba"
231,6599,140,39,"Ctenophorus gibba"
221,6351,136,33,"Ctenophorus gibba"
210,6131,155,26,"Ctenophorus gibba"
222,6364,159,34,"Ctenophorus gibba"
221,6355,168,32,"Ctenophorus gibba"
229,6531,142,36,"Ctenophorus gibba"
223,6381,165,33,"Ctenophorus gibba"
223,6402,151,35,"Ctenophorus gibba"
