"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
202,5802,290,23,"Ctenophorus isolepis"
215,6418,199,42,"Ctenophorus isolepis"
265,5275,306,91,"Ctenophorus isolepis"
254,5532,375,88,"Ctenophorus isolepis"
269,5075,383,95,"Ctenophorus isolepis"
273,4074,322,99,"Ctenophorus isolepis"
212,6152,317,53,"Ctenophorus isolepis"
216,6324,266,46,"Ctenophorus isolepis"
252,5925,275,77,"Ctenophorus isolepis"
211,6079,215,28,"Ctenophorus isolepis"
243,4787,487,97,"Ctenophorus isolepis"
258,4648,470,116,"Ctenophorus isolepis"
264,4070,466,117,"Ctenophorus isolepis"
274,3836,319,96,"Ctenophorus isolepis"
247,6369,253,57,"Ctenophorus isolepis"
246,4211,266,82,"Ctenophorus isolepis"
271,4522,504,99,"Ctenophorus isolepis"
272,5593,326,91,"Ctenophorus isolepis"
257,6232,271,61,"Ctenophorus isolepis"
196,5679,182,16,"Ctenophorus isolepis"
242,6302,265,57,"Ctenophorus isolepis"
259,4692,509,97,"Ctenophorus isolepis"
229,6529,174,42,"Ctenophorus isolepis"
273,4613,301,99,"Ctenophorus isolepis"
274,4707,441,103,"Ctenophorus isolepis"
236,6416,253,60,"Ctenophorus isolepis"
225,6035,237,61,"Ctenophorus isolepis"
268,3771,545,113,"Ctenophorus isolepis"
205,5319,218,21,"Ctenophorus isolepis"
224,6353,270,43,"Ctenophorus isolepis"
225,6470,265,43,"Ctenophorus isolepis"
211,6057,286,52,"Ctenophorus isolepis"
262,3861,651,117,"Ctenophorus isolepis"
258,5817,230,81,"Ctenophorus isolepis"
260,5073,408,94,"Ctenophorus isolepis"
236,5657,284,64,"Ctenophorus isolepis"
186,4244,181,15,"Ctenophorus isolepis"
262,4909,312,89,"Ctenophorus isolepis"
263,4605,420,98,"Ctenophorus isolepis"
268,5494,337,87,"Ctenophorus isolepis"
266,4645,418,106,"Ctenophorus isolepis"
255,5943,358,68,"Ctenophorus isolepis"
256,5215,331,93,"Ctenophorus isolepis"
231,6254,226,40,"Ctenophorus isolepis"
252,4982,245,82,"Ctenophorus isolepis"
197,5856,294,24,"Ctenophorus isolepis"
196,5661,159,17,"Ctenophorus isolepis"
238,6411,176,54,"Ctenophorus isolepis"
276,4091,495,115,"Ctenophorus isolepis"
244,5462,236,75,"Ctenophorus isolepis"
197,5739,261,25,"Ctenophorus isolepis"
268,3120,638,111,"Ctenophorus isolepis"
249,5388,374,88,"Ctenophorus isolepis"
247,6321,193,52,"Ctenophorus isolepis"
247,6360,191,52,"Ctenophorus isolepis"
245,6288,241,64,"Ctenophorus isolepis"
268,4371,473,104,"Ctenophorus isolepis"
241,5868,259,78,"Ctenophorus isolepis"
255,5080,266,83,"Ctenophorus isolepis"
256,5960,351,73,"Ctenophorus isolepis"
260,5464,420,91,"Ctenophorus isolepis"
243,6478,185,60,"Ctenophorus isolepis"
