"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
280,3089,659,124,"Ctenophorus nuchalis"
220,6488,195,38,"Ctenophorus nuchalis"
256,5544,311,87,"Ctenophorus nuchalis"
243,4058,237,76,"Ctenophorus nuchalis"
269,5973,300,81,"Ctenophorus nuchalis"
243,5200,397,87,"Ctenophorus nuchalis"
220,6460,164,47,"Ctenophorus nuchalis"
210,6321,309,27,"Ctenophorus nuchalis"
203,5945,153,27,"Ctenophorus nuchalis"
195,5508,244,24,"Ctenophorus nuchalis"
271,4156,475,109,"Ctenophorus nuchalis"
229,6241,242,48,"Ctenophorus nuchalis"
217,6439,233,44,"Ctenophorus nuchalis"
237,6194,223,64,"Ctenophorus nuchalis"
189,5171,220,16,"Ctenophorus nuchalis"
227,6277,273,47,"Ctenophorus nuchalis"
234,5812,266,67,"Ctenophorus nuchalis"
241,6377,268,57,"Ctenophorus nuchalis"
182,6047,344,12,"Ctenophorus nuchalis"
259,5520,405,88,"Ctenophorus nuchalis"
225,6531,212,41,"Ctenophorus nuchalis"
230,6559,178,48,"Ctenophorus nuchalis"
234,5994,364,59,"Ctenophorus nuchalis"
251,5774,288,73,"Ctenophorus nuchalis"
253,5226,370,87,"Ctenophorus nuchalis"
202,5921,155,24,"Ctenophorus nuchalis"
239,6364,229,46,"Ctenophorus nuchalis"
254,6240,280,75,"Ctenophorus nuchalis"
198,6079,400,22,"Ctenophorus nuchalis"
247,6360,250,67,"Ctenophorus nuchalis"
229,6515,171,32,"Ctenophorus nuchalis"
270,4726,330,96,"Ctenophorus nuchalis"
217,6380,164,25,"Ctenophorus nuchalis"
239,6376,211,57,"Ctenophorus nuchalis"
262,5981,246,78,"Ctenophorus nuchalis"
248,6072,297,64,"Ctenophorus nuchalis"
206,6148,232,41,"Ctenophorus nuchalis"
224,6408,221,38,"Ctenophorus nuchalis"
239,6364,223,47,"Ctenophorus nuchalis"
265,5502,363,86,"Ctenophorus nuchalis"
265,5796,325,69,"Ctenophorus nuchalis"
261,4985,424,90,"Ctenophorus nuchalis"
246,6156,239,72,"Ctenophorus nuchalis"
236,6674,169,50,"Ctenophorus nuchalis"
258,4913,391,97,"Ctenophorus nuchalis"
208,6242,266,30,"Ctenophorus nuchalis"
274,3369,492,120,"Ctenophorus nuchalis"
178,5974,412,13,"Ctenophorus nuchalis"
225,6284,274,46,"Ctenophorus nuchalis"
283,2841,765,128,"Ctenophorus nuchalis"
259,5921,250,69,"Ctenophorus nuchalis"
254,5723,292,85,"Ctenophorus nuchalis"
238,6398,247,61,"Ctenophorus nuchalis"
220,6460,236,43,"Ctenophorus nuchalis"
228,6416,237,45,"Ctenophorus nuchalis"
210,6126,220,39,"Ctenophorus nuchalis"
219,6265,254,38,"Ctenophorus nuchalis"
198,5793,166,15,"Ctenophorus nuchalis"
233,5601,441,61,"Ctenophorus nuchalis"
211,6012,431,32,"Ctenophorus nuchalis"
236,6409,243,59,"Ctenophorus nuchalis"
209,6053,416,33,"Ctenophorus nuchalis"
255,5091,368,93,"Ctenophorus nuchalis"
213,6034,250,49,"Ctenophorus nuchalis"
195,6150,331,18,"Ctenophorus nuchalis"
216,5237,491,53,"Ctenophorus nuchalis"
252,5641,302,79,"Ctenophorus nuchalis"
225,6304,327,45,"Ctenophorus nuchalis"
185,4733,213,29,"Ctenophorus nuchalis"
237,6380,209,57,"Ctenophorus nuchalis"
216,5838,474,46,"Ctenophorus nuchalis"
208,5906,472,35,"Ctenophorus nuchalis"
259,4575,427,101,"Ctenophorus nuchalis"
193,5243,237,31,"Ctenophorus nuchalis"
202,5977,337,48,"Ctenophorus nuchalis"
271,3373,333,98,"Ctenophorus nuchalis"
230,6124,320,54,"Ctenophorus nuchalis"
193,4774,187,15,"Ctenophorus nuchalis"
279,2925,726,123,"Ctenophorus nuchalis"
178,6007,382,9,"Ctenophorus nuchalis"
211,6274,280,41,"Ctenophorus nuchalis"
218,6353,236,46,"Ctenophorus nuchalis"
267,5077,390,95,"Ctenophorus nuchalis"
252,5429,251,82,"Ctenophorus nuchalis"
189,5368,237,15,"Ctenophorus nuchalis"
265,3875,555,110,"Ctenophorus nuchalis"
216,6073,220,37,"Ctenophorus nuchalis"
267,4022,505,110,"Ctenophorus nuchalis"
211,5951,246,36,"Ctenophorus nuchalis"
201,6120,183,16,"Ctenophorus nuchalis"
272,4937,423,89,"Ctenophorus nuchalis"
207,5651,316,61,"Ctenophorus nuchalis"
247,6424,234,58,"Ctenophorus nuchalis"
265,4887,303,92,"Ctenophorus nuchalis"
281,3259,668,111,"Ctenophorus nuchalis"
218,6286,258,40,"Ctenophorus nuchalis"
261,3950,560,114,"Ctenophorus nuchalis"
226,6521,144,43,"Ctenophorus nuchalis"
250,5366,349,98,"Ctenophorus nuchalis"
229,6240,246,53,"Ctenophorus nuchalis"
240,5373,246,74,"Ctenophorus nuchalis"
245,6220,188,63,"Ctenophorus nuchalis"
264,4566,488,109,"Ctenophorus nuchalis"
249,5542,264,91,"Ctenophorus nuchalis"
191,5843,211,17,"Ctenophorus nuchalis"
258,5765,378,70,"Ctenophorus nuchalis"
225,6304,220,49,"Ctenophorus nuchalis"
205,6199,158,24,"Ctenophorus nuchalis"
206,6182,155,19,"Ctenophorus nuchalis"
214,6299,155,32,"Ctenophorus nuchalis"
209,6180,170,24,"Ctenophorus nuchalis"
219,6198,236,58,"Ctenophorus nuchalis"
237,6615,156,47,"Ctenophorus nuchalis"
229,6460,231,42,"Ctenophorus nuchalis"
263,4793,412,97,"Ctenophorus nuchalis"
224,6294,334,49,"Ctenophorus nuchalis"
226,6542,151,30,"Ctenophorus nuchalis"
218,6395,158,32,"Ctenophorus nuchalis"
274,5719,309,85,"Ctenophorus nuchalis"
235,6603,182,44,"Ctenophorus nuchalis"
247,6380,247,57,"Ctenophorus nuchalis"
261,4532,461,104,"Ctenophorus nuchalis"
212,6375,270,30,"Ctenophorus nuchalis"
193,5239,380,70,"Ctenophorus nuchalis"
258,5178,489,98,"Ctenophorus nuchalis"
211,6239,166,35,"Ctenophorus nuchalis"
243,6372,243,58,"Ctenophorus nuchalis"
188,4964,247,28,"Ctenophorus nuchalis"
202,4704,380,81,"Ctenophorus nuchalis"
239,5360,404,63,"Ctenophorus nuchalis"
267,5068,343,93,"Ctenophorus nuchalis"
239,4678,222,67,"Ctenophorus nuchalis"
235,6064,309,61,"Ctenophorus nuchalis"
238,6215,332,60,"Ctenophorus nuchalis"
197,5470,217,18,"Ctenophorus nuchalis"
246,6115,223,64,"Ctenophorus nuchalis"
244,6591,165,62,"Ctenophorus nuchalis"
267,5819,313,76,"Ctenophorus nuchalis"
245,5045,464,79,"Ctenophorus nuchalis"
212,6339,234,40,"Ctenophorus nuchalis"
271,6024,304,75,"Ctenophorus nuchalis"
258,4482,438,103,"Ctenophorus nuchalis"
225,6141,297,58,"Ctenophorus nuchalis"
204,5674,241,41,"Ctenophorus nuchalis"
197,5476,242,19,"Ctenophorus nuchalis"
212,6378,232,39,"Ctenophorus nuchalis"
242,6430,209,62,"Ctenophorus nuchalis"
225,6220,226,34,"Ctenophorus nuchalis"
260,4544,413,99,"Ctenophorus nuchalis"
245,5784,244,57,"Ctenophorus nuchalis"
189,5443,184,13,"Ctenophorus nuchalis"
187,5109,203,12,"Ctenophorus nuchalis"
253,6342,251,55,"Ctenophorus nuchalis"
200,6123,386,23,"Ctenophorus nuchalis"
264,5262,399,92,"Ctenophorus nuchalis"
260,4146,488,110,"Ctenophorus nuchalis"
237,6152,233,62,"Ctenophorus nuchalis"
265,5408,346,83,"Ctenophorus nuchalis"
191,5682,306,39,"Ctenophorus nuchalis"
249,4715,408,88,"Ctenophorus nuchalis"
235,6531,175,48,"Ctenophorus nuchalis"
203,5933,207,19,"Ctenophorus nuchalis"
187,5784,288,30,"Ctenophorus nuchalis"
249,6112,232,69,"Ctenophorus nuchalis"
216,6409,206,34,"Ctenophorus nuchalis"
241,6566,179,47,"Ctenophorus nuchalis"
238,6432,210,57,"Ctenophorus nuchalis"
271,5895,275,77,"Ctenophorus nuchalis"
269,4796,300,95,"Ctenophorus nuchalis"
271,4358,321,101,"Ctenophorus nuchalis"
243,4605,243,74,"Ctenophorus nuchalis"
228,6464,170,37,"Ctenophorus nuchalis"
213,5968,209,27,"Ctenophorus nuchalis"
196,5580,308,59,"Ctenophorus nuchalis"
222,6138,302,52,"Ctenophorus nuchalis"
252,5940,252,77,"Ctenophorus nuchalis"
259,4917,376,93,"Ctenophorus nuchalis"
253,4803,425,104,"Ctenophorus nuchalis"
241,5649,293,81,"Ctenophorus nuchalis"
263,3814,551,113,"Ctenophorus nuchalis"
264,4628,449,106,"Ctenophorus nuchalis"
238,5784,374,60,"Ctenophorus nuchalis"
249,5539,312,89,"Ctenophorus nuchalis"
259,5217,347,93,"Ctenophorus nuchalis"
185,5627,223,11,"Ctenophorus nuchalis"
243,6457,191,68,"Ctenophorus nuchalis"
224,4602,243,72,"Ctenophorus nuchalis"
272,3715,406,107,"Ctenophorus nuchalis"
255,6222,275,61,"Ctenophorus nuchalis"
217,6160,212,47,"Ctenophorus nuchalis"
249,5649,274,80,"Ctenophorus nuchalis"
225,6545,142,30,"Ctenophorus nuchalis"
269,4357,430,106,"Ctenophorus nuchalis"
208,6077,144,27,"Ctenophorus nuchalis"
211,6374,197,30,"Ctenophorus nuchalis"
220,6443,239,34,"Ctenophorus nuchalis"
