"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
208,5947,292,55,"Ctenophorus ornatus"
171,2846,613,48,"Ctenophorus ornatus"
214,6342,218,49,"Ctenophorus ornatus"
156,3986,360,41,"Ctenophorus ornatus"
202,6087,240,28,"Ctenophorus ornatus"
159,3481,423,25,"Ctenophorus ornatus"
166,4745,402,56,"Ctenophorus ornatus"
181,5225,328,47,"Ctenophorus ornatus"
211,6022,293,55,"Ctenophorus ornatus"
197,5684,318,59,"Ctenophorus ornatus"
174,4867,346,46,"Ctenophorus ornatus"
176,5078,318,38,"Ctenophorus ornatus"
156,4273,481,59,"Ctenophorus ornatus"
193,5814,271,28,"Ctenophorus ornatus"
210,5875,286,54,"Ctenophorus ornatus"
154,3942,426,52,"Ctenophorus ornatus"
204,5866,296,51,"Ctenophorus ornatus"
156,4178,438,53,"Ctenophorus ornatus"
216,6233,243,43,"Ctenophorus ornatus"
159,4156,363,49,"Ctenophorus ornatus"
174,4831,515,70,"Ctenophorus ornatus"
193,5894,302,54,"Ctenophorus ornatus"
202,6055,251,28,"Ctenophorus ornatus"
215,6326,218,47,"Ctenophorus ornatus"
200,5902,223,27,"Ctenophorus ornatus"
170,4908,371,40,"Ctenophorus ornatus"
220,6402,241,47,"Ctenophorus ornatus"
161,4111,345,38,"Ctenophorus ornatus"
208,5878,302,49,"Ctenophorus ornatus"
199,5683,299,60,"Ctenophorus ornatus"
171,4607,700,77,"Ctenophorus ornatus"
204,6138,256,36,"Ctenophorus ornatus"
201,6102,257,23,"Ctenophorus ornatus"
202,5861,320,56,"Ctenophorus ornatus"
206,5813,295,56,"Ctenophorus ornatus"
192,5697,299,30,"Ctenophorus ornatus"
210,6231,258,42,"Ctenophorus ornatus"
178,5224,342,48,"Ctenophorus ornatus"
216,6328,265,45,"Ctenophorus ornatus"
191,5803,284,27,"Ctenophorus ornatus"
201,6017,276,46,"Ctenophorus ornatus"
208,5760,297,62,"Ctenophorus ornatus"
191,5688,302,40,"Ctenophorus ornatus"
173,4055,323,23,"Ctenophorus ornatus"
185,5455,295,37,"Ctenophorus ornatus"
170,3781,345,24,"Ctenophorus ornatus"
