"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
210,4315,341,82,"Ctenophorus parviceps"
235,3574,235,80,"Ctenophorus parviceps"
239,3535,236,81,"Ctenophorus parviceps"
263,4777,299,85,"Ctenophorus parviceps"
218,3659,305,92,"Ctenophorus parviceps"
260,4002,308,86,"Ctenophorus parviceps"
237,3656,228,80,"Ctenophorus parviceps"
215,3709,328,96,"Ctenophorus parviceps"
220,4014,282,83,"Ctenophorus parviceps"
264,4234,312,87,"Ctenophorus parviceps"
263,4682,305,86,"Ctenophorus parviceps"
221,4243,266,78,"Ctenophorus parviceps"
215,4813,304,70,"Ctenophorus parviceps"
258,4211,279,81,"Ctenophorus parviceps"
217,2773,332,96,"Ctenophorus parviceps"
247,3778,260,77,"Ctenophorus parviceps"
236,4805,219,68,"Ctenophorus parviceps"
233,3975,211,71,"Ctenophorus parviceps"
217,3891,323,89,"Ctenophorus parviceps"
219,2913,310,98,"Ctenophorus parviceps"
236,4009,236,74,"Ctenophorus parviceps"
225,5115,232,66,"Ctenophorus parviceps"
232,5216,225,71,"Ctenophorus parviceps"
232,3685,215,73,"Ctenophorus parviceps"
249,4360,251,81,"Ctenophorus parviceps"
249,3277,231,77,"Ctenophorus parviceps"
261,4712,289,84,"Ctenophorus parviceps"
264,4315,312,87,"Ctenophorus parviceps"
218,3966,294,87,"Ctenophorus parviceps"
238,3803,231,77,"Ctenophorus parviceps"
255,4525,257,83,"Ctenophorus parviceps"
243,3816,245,79,"Ctenophorus parviceps"
248,4222,248,82,"Ctenophorus parviceps"
242,3321,282,76,"Ctenophorus parviceps"
231,4983,218,68,"Ctenophorus parviceps"
237,4539,218,68,"Ctenophorus parviceps"
243,4419,242,73,"Ctenophorus parviceps"
260,4141,301,85,"Ctenophorus parviceps"
237,4425,215,68,"Ctenophorus parviceps"
253,3992,250,76,"Ctenophorus parviceps"
236,3747,231,78,"Ctenophorus parviceps"
231,4205,211,75,"Ctenophorus parviceps"
234,3884,227,74,"Ctenophorus parviceps"
242,3756,239,83,"Ctenophorus parviceps"
257,4695,262,85,"Ctenophorus parviceps"
223,2993,221,77,"Ctenophorus parviceps"
234,4146,216,69,"Ctenophorus parviceps"
212,3598,384,93,"Ctenophorus parviceps"
250,4333,256,81,"Ctenophorus parviceps"
214,4319,313,80,"Ctenophorus parviceps"
232,4276,226,71,"Ctenophorus parviceps"
249,4353,258,81,"Ctenophorus parviceps"
233,4147,215,70,"Ctenophorus parviceps"
248,4584,255,77,"Ctenophorus parviceps"
233,4023,210,70,"Ctenophorus parviceps"
221,3236,284,97,"Ctenophorus parviceps"
244,4091,243,76,"Ctenophorus parviceps"
239,3835,225,78,"Ctenophorus parviceps"
233,4691,224,68,"Ctenophorus parviceps"
243,3486,309,76,"Ctenophorus parviceps"
235,3976,228,74,"Ctenophorus parviceps"
232,5080,230,68,"Ctenophorus parviceps"
235,3784,232,78,"Ctenophorus parviceps"
259,4703,278,86,"Ctenophorus parviceps"
232,3391,228,79,"Ctenophorus parviceps"
211,3628,386,97,"Ctenophorus parviceps"
206,3899,465,86,"Ctenophorus parviceps"
226,5030,234,69,"Ctenophorus parviceps"
241,4191,233,75,"Ctenophorus parviceps"
216,3522,322,98,"Ctenophorus parviceps"
248,3631,280,78,"Ctenophorus parviceps"
226,2673,239,93,"Ctenophorus parviceps"
260,4692,286,84,"Ctenophorus parviceps"
202,4506,386,80,"Ctenophorus parviceps"
224,4217,252,75,"Ctenophorus parviceps"
224,2840,220,76,"Ctenophorus parviceps"
248,3020,314,88,"Ctenophorus parviceps"
206,4338,403,78,"Ctenophorus parviceps"
207,4544,339,79,"Ctenophorus parviceps"
253,4077,242,79,"Ctenophorus parviceps"
231,4430,226,71,"Ctenophorus parviceps"
249,3067,245,82,"Ctenophorus parviceps"
219,2502,309,92,"Ctenophorus parviceps"
253,4498,261,83,"Ctenophorus parviceps"
249,3728,263,78,"Ctenophorus parviceps"
220,4215,278,81,"Ctenophorus parviceps"
236,4400,213,70,"Ctenophorus parviceps"
211,4610,315,74,"Ctenophorus parviceps"
244,4324,246,74,"Ctenophorus parviceps"
251,4707,249,80,"Ctenophorus parviceps"
221,3734,273,85,"Ctenophorus parviceps"
239,4067,230,74,"Ctenophorus parviceps"
216,3723,319,92,"Ctenophorus parviceps"
261,4831,293,85,"Ctenophorus parviceps"
260,4762,292,85,"Ctenophorus parviceps"
226,4900,248,67,"Ctenophorus parviceps"
208,3691,429,87,"Ctenophorus parviceps"
238,3711,224,79,"Ctenophorus parviceps"
248,3688,250,75,"Ctenophorus parviceps"
234,4512,219,70,"Ctenophorus parviceps"
251,4125,252,79,"Ctenophorus parviceps"
248,3624,247,76,"Ctenophorus parviceps"
210,3852,407,84,"Ctenophorus parviceps"
221,4345,258,78,"Ctenophorus parviceps"
220,3672,285,88,"Ctenophorus parviceps"
223,3580,269,85,"Ctenophorus parviceps"
240,4035,228,75,"Ctenophorus parviceps"
251,4584,245,80,"Ctenophorus parviceps"
250,4493,251,81,"Ctenophorus parviceps"
223,3107,259,84,"Ctenophorus parviceps"
238,3454,234,83,"Ctenophorus parviceps"
232,3114,227,86,"Ctenophorus parviceps"
260,4154,300,84,"Ctenophorus parviceps"
223,2987,246,81,"Ctenophorus parviceps"
235,3512,231,82,"Ctenophorus parviceps"
247,3936,263,81,"Ctenophorus parviceps"
251,3771,295,78,"Ctenophorus parviceps"
239,4550,229,67,"Ctenophorus parviceps"
223,4423,245,75,"Ctenophorus parviceps"
