"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
204,6001,261,24,"Ctenophorus scutulatus"
175,4566,318,31,"Ctenophorus scutulatus"
228,6353,224,50,"Ctenophorus scutulatus"
240,6055,229,67,"Ctenophorus scutulatus"
194,5347,215,27,"Ctenophorus scutulatus"
190,4349,606,80,"Ctenophorus scutulatus"
195,5427,218,30,"Ctenophorus scutulatus"
191,5158,223,27,"Ctenophorus scutulatus"
209,6197,260,43,"Ctenophorus scutulatus"
181,5191,284,39,"Ctenophorus scutulatus"
203,5438,206,29,"Ctenophorus scutulatus"
236,6389,221,56,"Ctenophorus scutulatus"
171,4894,395,42,"Ctenophorus scutulatus"
216,6248,218,39,"Ctenophorus scutulatus"
193,5730,304,50,"Ctenophorus scutulatus"
186,5614,331,47,"Ctenophorus scutulatus"
205,5680,248,41,"Ctenophorus scutulatus"
217,5954,233,32,"Ctenophorus scutulatus"
226,6301,220,51,"Ctenophorus scutulatus"
207,6137,239,37,"Ctenophorus scutulatus"
205,5849,248,30,"Ctenophorus scutulatus"
212,5842,244,43,"Ctenophorus scutulatus"
242,5496,233,72,"Ctenophorus scutulatus"
204,5705,251,32,"Ctenophorus scutulatus"
211,6296,250,44,"Ctenophorus scutulatus"
241,6160,261,70,"Ctenophorus scutulatus"
200,5983,301,42,"Ctenophorus scutulatus"
210,6021,232,52,"Ctenophorus scutulatus"
209,5680,233,30,"Ctenophorus scutulatus"
208,6214,252,28,"Ctenophorus scutulatus"
206,5704,241,31,"Ctenophorus scutulatus"
189,5640,270,28,"Ctenophorus scutulatus"
169,4331,339,16,"Ctenophorus scutulatus"
206,6248,226,37,"Ctenophorus scutulatus"
181,5185,331,56,"Ctenophorus scutulatus"
194,5050,220,26,"Ctenophorus scutulatus"
203,5749,231,44,"Ctenophorus scutulatus"
169,4188,339,18,"Ctenophorus scutulatus"
206,5667,228,35,"Ctenophorus scutulatus"
193,5686,287,36,"Ctenophorus scutulatus"
208,6069,254,26,"Ctenophorus scutulatus"
215,6213,246,41,"Ctenophorus scutulatus"
240,6082,213,66,"Ctenophorus scutulatus"
181,4531,254,24,"Ctenophorus scutulatus"
215,5970,233,45,"Ctenophorus scutulatus"
209,5089,320,67,"Ctenophorus scutulatus"
189,5008,215,24,"Ctenophorus scutulatus"
233,6445,234,52,"Ctenophorus scutulatus"
190,5588,290,40,"Ctenophorus scutulatus"
221,6026,212,35,"Ctenophorus scutulatus"
182,4831,263,16,"Ctenophorus scutulatus"
186,5322,281,31,"Ctenophorus scutulatus"
239,6362,215,61,"Ctenophorus scutulatus"
185,5174,263,24,"Ctenophorus scutulatus"
231,6383,248,54,"Ctenophorus scutulatus"
223,6317,226,50,"Ctenophorus scutulatus"
186,5322,281,32,"Ctenophorus scutulatus"
221,6353,221,45,"Ctenophorus scutulatus"
226,6184,231,44,"Ctenophorus scutulatus"
218,6123,253,55,"Ctenophorus scutulatus"
208,5873,285,51,"Ctenophorus scutulatus"
206,5834,235,39,"Ctenophorus scutulatus"
206,5341,218,27,"Ctenophorus scutulatus"
197,5760,254,19,"Ctenophorus scutulatus"
224,6350,208,39,"Ctenophorus scutulatus"
201,5519,217,30,"Ctenophorus scutulatus"
225,6417,207,54,"Ctenophorus scutulatus"
177,4514,295,14,"Ctenophorus scutulatus"
235,6437,230,55,"Ctenophorus scutulatus"
207,6199,226,39,"Ctenophorus scutulatus"
222,6166,227,49,"Ctenophorus scutulatus"
225,6153,227,56,"Ctenophorus scutulatus"
231,6376,229,52,"Ctenophorus scutulatus"
202,4236,461,86,"Ctenophorus scutulatus"
224,6173,210,34,"Ctenophorus scutulatus"
240,6137,258,70,"Ctenophorus scutulatus"
208,6158,281,45,"Ctenophorus scutulatus"
174,4529,298,22,"Ctenophorus scutulatus"
194,5749,277,47,"Ctenophorus scutulatus"
192,5374,395,66,"Ctenophorus scutulatus"
193,5799,281,30,"Ctenophorus scutulatus"
183,5055,262,18,"Ctenophorus scutulatus"
220,6401,216,48,"Ctenophorus scutulatus"
225,6293,235,50,"Ctenophorus scutulatus"
189,5624,264,26,"Ctenophorus scutulatus"
213,5792,201,36,"Ctenophorus scutulatus"
217,6226,226,50,"Ctenophorus scutulatus"
198,5865,248,33,"Ctenophorus scutulatus"
229,6430,218,48,"Ctenophorus scutulatus"
202,4968,372,80,"Ctenophorus scutulatus"
177,4636,302,15,"Ctenophorus scutulatus"
