"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
275,2773,685,119,"Ctenotus angusticeps"
276,3069,647,128,"Ctenotus angusticeps"
277,2826,694,122,"Ctenotus angusticeps"
270,3332,650,129,"Ctenotus angusticeps"
277,3321,626,126,"Ctenotus angusticeps"
270,3413,589,128,"Ctenotus angusticeps"
274,2960,622,123,"Ctenotus angusticeps"
274,2527,711,124,"Ctenotus angusticeps"
274,3077,620,124,"Ctenotus angusticeps"
274,2571,708,124,"Ctenotus angusticeps"
278,2870,633,124,"Ctenotus angusticeps"
274,2903,528,120,"Ctenotus angusticeps"
273,3063,594,125,"Ctenotus angusticeps"
278,3017,609,124,"Ctenotus angusticeps"
274,2788,613,123,"Ctenotus angusticeps"
274,2624,718,123,"Ctenotus angusticeps"
277,3046,708,128,"Ctenotus angusticeps"
276,2744,641,121,"Ctenotus angusticeps"
269,3008,614,122,"Ctenotus angusticeps"
274,2910,640,124,"Ctenotus angusticeps"
274,3267,616,124,"Ctenotus angusticeps"
277,2767,643,122,"Ctenotus angusticeps"
270,3433,591,128,"Ctenotus angusticeps"
271,2981,576,122,"Ctenotus angusticeps"
273,3214,664,128,"Ctenotus angusticeps"
270,3239,563,123,"Ctenotus angusticeps"
269,3352,642,128,"Ctenotus angusticeps"
271,3387,644,131,"Ctenotus angusticeps"
279,3237,646,126,"Ctenotus angusticeps"
278,2830,655,121,"Ctenotus angusticeps"
276,2847,599,123,"Ctenotus angusticeps"
274,2575,732,125,"Ctenotus angusticeps"
276,2787,684,121,"Ctenotus angusticeps"
274,2744,594,123,"Ctenotus angusticeps"
279,3068,710,128,"Ctenotus angusticeps"
278,2859,684,123,"Ctenotus angusticeps"
272,3229,627,128,"Ctenotus angusticeps"
273,2919,599,123,"Ctenotus angusticeps"
271,2994,598,123,"Ctenotus angusticeps"
274,3013,579,122,"Ctenotus angusticeps"
273,2632,727,121,"Ctenotus angusticeps"
274,2729,741,122,"Ctenotus angusticeps"
269,3492,608,129,"Ctenotus angusticeps"
269,3100,596,120,"Ctenotus angusticeps"
272,3252,668,126,"Ctenotus angusticeps"
274,2506,742,124,"Ctenotus angusticeps"
