"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
224,2699,1400,37,"Ctenotus arcanus"
195,3913,801,48,"Ctenotus arcanus"
212,3392,1608,42,"Ctenotus arcanus"
215,3530,1044,51,"Ctenotus arcanus"
220,3197,1204,43,"Ctenotus arcanus"
209,3458,1642,45,"Ctenotus arcanus"
201,3716,1031,46,"Ctenotus arcanus"
201,3822,736,43,"Ctenotus arcanus"
201,3971,827,46,"Ctenotus arcanus"
201,3905,816,52,"Ctenotus arcanus"
224,2691,1440,36,"Ctenotus arcanus"
191,4044,910,44,"Ctenotus arcanus"
182,3776,986,40,"Ctenotus arcanus"
197,3959,935,46,"Ctenotus arcanus"
189,3833,812,39,"Ctenotus arcanus"
178,4046,758,43,"Ctenotus arcanus"
203,3754,913,43,"Ctenotus arcanus"
200,3623,1165,45,"Ctenotus arcanus"
213,3680,912,48,"Ctenotus arcanus"
182,3768,1077,54,"Ctenotus arcanus"
214,3411,1299,44,"Ctenotus arcanus"
198,3966,849,43,"Ctenotus arcanus"
209,3468,1645,43,"Ctenotus arcanus"
204,3460,1024,38,"Ctenotus arcanus"
209,3450,1599,42,"Ctenotus arcanus"
211,3675,947,49,"Ctenotus arcanus"
190,3690,1447,49,"Ctenotus arcanus"
183,3650,1489,49,"Ctenotus arcanus"
213,3478,1123,41,"Ctenotus arcanus"
215,3494,1142,49,"Ctenotus arcanus"
210,3425,1567,41,"Ctenotus arcanus"
197,3987,919,45,"Ctenotus arcanus"
219,3371,1028,49,"Ctenotus arcanus"
188,3890,803,35,"Ctenotus arcanus"
172,3656,1410,46,"Ctenotus arcanus"
199,4010,691,50,"Ctenotus arcanus"
199,3322,1492,45,"Ctenotus arcanus"
183,3976,1016,45,"Ctenotus arcanus"
195,3940,697,41,"Ctenotus arcanus"
214,3182,1722,41,"Ctenotus arcanus"
208,3780,1051,50,"Ctenotus arcanus"
184,3719,1228,45,"Ctenotus arcanus"
207,3666,1273,51,"Ctenotus arcanus"
