"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
243,5865,289,69,"Ctenotus astarte"
243,5837,283,68,"Ctenotus astarte"
247,6141,227,67,"Ctenotus astarte"
247,5675,317,72,"Ctenotus astarte"
246,6362,193,58,"Ctenotus astarte"
249,5821,252,76,"Ctenotus astarte"
247,6095,230,66,"Ctenotus astarte"
239,6091,265,55,"Ctenotus astarte"
245,6272,218,63,"Ctenotus astarte"
247,5839,255,79,"Ctenotus astarte"
246,6354,185,52,"Ctenotus astarte"
245,6326,195,60,"Ctenotus astarte"
247,6187,207,69,"Ctenotus astarte"
245,6045,246,68,"Ctenotus astarte"
243,6489,168,62,"Ctenotus astarte"
247,5482,376,89,"Ctenotus astarte"
248,6018,234,68,"Ctenotus astarte"
246,6108,224,65,"Ctenotus astarte"
244,6253,213,61,"Ctenotus astarte"
249,5891,270,74,"Ctenotus astarte"
245,5719,314,79,"Ctenotus astarte"
246,5981,245,73,"Ctenotus astarte"
244,6145,220,65,"Ctenotus astarte"
244,6227,207,59,"Ctenotus astarte"
242,5676,317,69,"Ctenotus astarte"
245,6235,196,59,"Ctenotus astarte"
250,5612,283,75,"Ctenotus astarte"
242,6459,174,54,"Ctenotus astarte"
247,6201,212,65,"Ctenotus astarte"
244,6354,208,62,"Ctenotus astarte"
247,6163,210,67,"Ctenotus astarte"
244,6453,195,63,"Ctenotus astarte"
246,6190,233,67,"Ctenotus astarte"
243,5819,277,68,"Ctenotus astarte"
246,5683,311,71,"Ctenotus astarte"
249,5939,240,70,"Ctenotus astarte"
241,6491,172,56,"Ctenotus astarte"
244,6243,211,60,"Ctenotus astarte"
247,6357,190,53,"Ctenotus astarte"
248,6049,235,69,"Ctenotus astarte"
242,5907,268,69,"Ctenotus astarte"
250,5882,252,74,"Ctenotus astarte"
247,5950,247,76,"Ctenotus astarte"
246,5646,329,76,"Ctenotus astarte"
241,6178,254,63,"Ctenotus astarte"
239,6308,209,59,"Ctenotus astarte"
236,6012,255,60,"Ctenotus astarte"
243,6426,206,62,"Ctenotus astarte"
245,6179,216,63,"Ctenotus astarte"
245,6131,237,66,"Ctenotus astarte"
243,6410,180,56,"Ctenotus astarte"
249,5697,289,70,"Ctenotus astarte"
242,6479,178,56,"Ctenotus astarte"
245,5625,350,79,"Ctenotus astarte"
248,6121,223,65,"Ctenotus astarte"
243,6449,169,56,"Ctenotus astarte"
244,6334,218,60,"Ctenotus astarte"
239,6017,299,58,"Ctenotus astarte"
246,5948,244,72,"Ctenotus astarte"
246,5711,308,79,"Ctenotus astarte"
249,6053,226,69,"Ctenotus astarte"
248,6109,222,67,"Ctenotus astarte"
247,6094,240,66,"Ctenotus astarte"
248,6128,222,65,"Ctenotus astarte"
248,5806,246,76,"Ctenotus astarte"
240,5902,281,57,"Ctenotus astarte"
250,5830,265,80,"Ctenotus astarte"
243,6429,191,60,"Ctenotus astarte"
239,6217,228,60,"Ctenotus astarte"
244,6182,223,65,"Ctenotus astarte"
237,6335,228,56,"Ctenotus astarte"
241,5899,290,67,"Ctenotus astarte"
239,6410,196,54,"Ctenotus astarte"
246,5841,260,69,"Ctenotus astarte"
249,5955,244,73,"Ctenotus astarte"
247,6429,188,54,"Ctenotus astarte"
237,6343,209,56,"Ctenotus astarte"
240,5934,274,62,"Ctenotus astarte"
240,6464,190,59,"Ctenotus astarte"
243,6469,169,58,"Ctenotus astarte"
249,5758,273,72,"Ctenotus astarte"
248,6092,225,68,"Ctenotus astarte"
243,6509,170,56,"Ctenotus astarte"
243,6426,186,57,"Ctenotus astarte"
250,5778,279,78,"Ctenotus astarte"
236,6328,198,58,"Ctenotus astarte"
248,6443,186,55,"Ctenotus astarte"
243,6420,204,62,"Ctenotus astarte"
251,5790,273,74,"Ctenotus astarte"
247,5759,246,78,"Ctenotus astarte"
245,6262,204,56,"Ctenotus astarte"
247,6429,184,54,"Ctenotus astarte"
247,6311,198,53,"Ctenotus astarte"
246,6072,224,68,"Ctenotus astarte"
249,6001,236,74,"Ctenotus astarte"
238,6252,227,58,"Ctenotus astarte"
242,6230,228,61,"Ctenotus astarte"
249,5699,266,78,"Ctenotus astarte"
237,6301,246,61,"Ctenotus astarte"
240,6057,258,59,"Ctenotus astarte"
238,6072,293,57,"Ctenotus astarte"
241,5924,259,67,"Ctenotus astarte"
234,6063,283,65,"Ctenotus astarte"
249,5731,271,71,"Ctenotus astarte"
245,6150,214,63,"Ctenotus astarte"
248,5566,301,85,"Ctenotus astarte"
247,5854,272,78,"Ctenotus astarte"
249,5721,259,75,"Ctenotus astarte"
246,5923,259,75,"Ctenotus astarte"
249,5736,282,71,"Ctenotus astarte"
247,5989,247,73,"Ctenotus astarte"
251,5639,286,80,"Ctenotus astarte"
244,6400,184,53,"Ctenotus astarte"
239,6479,173,50,"Ctenotus astarte"
251,5695,308,77,"Ctenotus astarte"
248,5630,291,76,"Ctenotus astarte"
248,6067,231,69,"Ctenotus astarte"
243,6408,177,55,"Ctenotus astarte"
242,6278,229,58,"Ctenotus astarte"
251,5680,304,76,"Ctenotus astarte"
235,6085,281,59,"Ctenotus astarte"
249,6310,204,61,"Ctenotus astarte"
246,5776,278,73,"Ctenotus astarte"
241,5808,316,64,"Ctenotus astarte"
237,6285,217,62,"Ctenotus astarte"
245,6372,194,61,"Ctenotus astarte"
240,5900,309,58,"Ctenotus astarte"
243,6249,241,60,"Ctenotus astarte"
244,6264,204,60,"Ctenotus astarte"
243,5760,325,72,"Ctenotus astarte"
246,5838,269,70,"Ctenotus astarte"
246,6385,185,52,"Ctenotus astarte"
242,6450,184,55,"Ctenotus astarte"
241,5762,325,70,"Ctenotus astarte"
238,5981,249,65,"Ctenotus astarte"
248,5520,359,86,"Ctenotus astarte"
249,5848,259,74,"Ctenotus astarte"
247,6405,188,53,"Ctenotus astarte"
244,6370,209,62,"Ctenotus astarte"
239,6137,271,61,"Ctenotus astarte"
242,6128,246,61,"Ctenotus astarte"
243,6432,205,65,"Ctenotus astarte"
248,6101,224,66,"Ctenotus astarte"
240,5889,292,62,"Ctenotus astarte"
243,6033,240,68,"Ctenotus astarte"
248,5687,290,74,"Ctenotus astarte"
245,6076,245,67,"Ctenotus astarte"
243,6011,262,64,"Ctenotus astarte"
243,6091,238,63,"Ctenotus astarte"
245,6251,225,65,"Ctenotus astarte"
246,6383,180,51,"Ctenotus astarte"
249,5514,297,85,"Ctenotus astarte"
250,5686,267,76,"Ctenotus astarte"
250,5955,249,70,"Ctenotus astarte"
246,6174,214,62,"Ctenotus astarte"
250,5686,270,74,"Ctenotus astarte"
243,5828,265,70,"Ctenotus astarte"
246,5909,247,70,"Ctenotus astarte"
250,5939,246,73,"Ctenotus astarte"
250,5796,270,73,"Ctenotus astarte"
247,6134,227,66,"Ctenotus astarte"
245,6252,199,58,"Ctenotus astarte"
247,5816,271,78,"Ctenotus astarte"
241,6345,195,60,"Ctenotus astarte"
245,6319,216,63,"Ctenotus astarte"
248,6306,217,59,"Ctenotus astarte"
242,5779,297,68,"Ctenotus astarte"
248,5956,248,75,"Ctenotus astarte"
241,5821,317,66,"Ctenotus astarte"
244,6466,189,62,"Ctenotus astarte"
243,6395,209,62,"Ctenotus astarte"
247,6057,244,70,"Ctenotus astarte"
242,6029,244,65,"Ctenotus astarte"
242,6429,196,61,"Ctenotus astarte"
240,6193,228,59,"Ctenotus astarte"
247,6229,219,58,"Ctenotus astarte"
243,5836,298,69,"Ctenotus astarte"
244,6440,170,57,"Ctenotus astarte"
238,6250,242,67,"Ctenotus astarte"
249,5994,244,71,"Ctenotus astarte"
244,6372,196,56,"Ctenotus astarte"
245,5652,314,76,"Ctenotus astarte"
245,5600,381,80,"Ctenotus astarte"
245,6017,257,70,"Ctenotus astarte"
239,6127,223,60,"Ctenotus astarte"
242,5910,304,68,"Ctenotus astarte"
246,6104,221,66,"Ctenotus astarte"
240,6214,233,60,"Ctenotus astarte"
246,6295,196,53,"Ctenotus astarte"
248,5567,343,85,"Ctenotus astarte"
241,6143,230,61,"Ctenotus astarte"
247,6056,227,68,"Ctenotus astarte"
250,5722,282,76,"Ctenotus astarte"
245,6034,229,66,"Ctenotus astarte"
244,6013,232,65,"Ctenotus astarte"
236,6003,290,63,"Ctenotus astarte"
242,6060,253,62,"Ctenotus astarte"
239,6132,264,61,"Ctenotus astarte"
241,5762,311,66,"Ctenotus astarte"
244,5851,293,69,"Ctenotus astarte"
243,6355,214,59,"Ctenotus astarte"
245,6069,237,67,"Ctenotus astarte"
242,6034,257,62,"Ctenotus astarte"
245,6375,191,58,"Ctenotus astarte"
248,6069,231,69,"Ctenotus astarte"
244,6134,227,63,"Ctenotus astarte"
249,5817,262,75,"Ctenotus astarte"
249,6015,217,73,"Ctenotus astarte"
249,5766,276,80,"Ctenotus astarte"
249,6195,203,69,"Ctenotus astarte"
245,6355,181,58,"Ctenotus astarte"
236,6308,237,61,"Ctenotus astarte"
243,6424,176,54,"Ctenotus astarte"
244,6115,220,67,"Ctenotus astarte"
239,6359,200,56,"Ctenotus astarte"
247,6220,208,58,"Ctenotus astarte"
248,5725,288,72,"Ctenotus astarte"
240,6079,267,59,"Ctenotus astarte"
244,6469,185,60,"Ctenotus astarte"
243,6024,253,62,"Ctenotus astarte"
239,6078,272,60,"Ctenotus astarte"
233,6387,213,55,"Ctenotus astarte"
239,6113,233,59,"Ctenotus astarte"
236,6332,250,57,"Ctenotus astarte"
243,5865,272,68,"Ctenotus astarte"
243,6485,167,54,"Ctenotus astarte"
244,6330,216,63,"Ctenotus astarte"
243,6203,228,64,"Ctenotus astarte"
244,6271,198,55,"Ctenotus astarte"
242,6281,234,59,"Ctenotus astarte"
245,6311,196,59,"Ctenotus astarte"
251,5571,324,85,"Ctenotus astarte"
252,5623,316,81,"Ctenotus astarte"
245,6282,205,60,"Ctenotus astarte"
249,6282,205,62,"Ctenotus astarte"
248,5724,297,72,"Ctenotus astarte"
238,5975,249,64,"Ctenotus astarte"
239,6153,264,61,"Ctenotus astarte"
244,6476,165,58,"Ctenotus astarte"
247,6413,183,54,"Ctenotus astarte"
247,6284,201,54,"Ctenotus astarte"
251,5783,269,72,"Ctenotus astarte"
243,5751,282,73,"Ctenotus astarte"
243,6196,221,65,"Ctenotus astarte"
238,5971,278,64,"Ctenotus astarte"
246,6073,221,67,"Ctenotus astarte"
244,6232,225,64,"Ctenotus astarte"
246,6021,234,70,"Ctenotus astarte"
246,5476,339,87,"Ctenotus astarte"
246,6246,194,59,"Ctenotus astarte"
