"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
188,4108,721,82,"Ctenotus australis"
171,4568,735,82,"Ctenotus australis"
229,4570,229,71,"Ctenotus australis"
168,3924,1082,83,"Ctenotus australis"
209,4314,323,82,"Ctenotus australis"
193,4231,604,82,"Ctenotus australis"
198,3885,571,82,"Ctenotus australis"
205,5033,361,73,"Ctenotus australis"
204,5245,338,71,"Ctenotus australis"
219,2433,272,90,"Ctenotus australis"
182,3583,991,83,"Ctenotus australis"
205,3768,430,85,"Ctenotus australis"
167,3784,1209,80,"Ctenotus australis"
202,4746,401,78,"Ctenotus australis"
205,4594,390,81,"Ctenotus australis"
218,3254,292,98,"Ctenotus australis"
208,4518,326,78,"Ctenotus australis"
190,4045,708,84,"Ctenotus australis"
177,4462,757,83,"Ctenotus australis"
159,3783,1208,78,"Ctenotus australis"
236,4574,218,67,"Ctenotus australis"
233,4890,227,69,"Ctenotus australis"
198,4713,418,78,"Ctenotus australis"
221,3331,274,97,"Ctenotus australis"
203,5036,365,80,"Ctenotus australis"
211,3971,355,91,"Ctenotus australis"
234,4628,217,69,"Ctenotus australis"
199,4339,434,83,"Ctenotus australis"
186,4781,527,78,"Ctenotus australis"
196,4022,575,83,"Ctenotus australis"
206,4294,376,80,"Ctenotus australis"
189,4750,453,77,"Ctenotus australis"
189,4579,541,79,"Ctenotus australis"
193,4770,429,78,"Ctenotus australis"
203,3963,382,86,"Ctenotus australis"
189,3816,714,85,"Ctenotus australis"
159,3452,1146,84,"Ctenotus australis"
198,4472,454,86,"Ctenotus australis"
202,5046,358,81,"Ctenotus australis"
203,4698,384,88,"Ctenotus australis"
205,4563,384,81,"Ctenotus australis"
217,4661,296,73,"Ctenotus australis"
233,4765,222,67,"Ctenotus australis"
226,4182,228,76,"Ctenotus australis"
162,4001,832,81,"Ctenotus australis"
175,4792,638,75,"Ctenotus australis"
189,4950,454,75,"Ctenotus australis"
218,3759,312,90,"Ctenotus australis"
212,4041,332,91,"Ctenotus australis"
209,3566,417,95,"Ctenotus australis"
192,4551,483,82,"Ctenotus australis"
208,4612,359,75,"Ctenotus australis"
171,4390,878,83,"Ctenotus australis"
180,3381,963,80,"Ctenotus australis"
188,4341,567,84,"Ctenotus australis"
211,4535,307,78,"Ctenotus australis"
223,4694,261,72,"Ctenotus australis"
207,3843,438,91,"Ctenotus australis"
200,4888,411,80,"Ctenotus australis"
191,5023,433,75,"Ctenotus australis"
215,2558,342,93,"Ctenotus australis"
193,4818,427,77,"Ctenotus australis"
203,4473,380,80,"Ctenotus australis"
186,3784,886,83,"Ctenotus australis"
190,4937,441,72,"Ctenotus australis"
221,4010,258,80,"Ctenotus australis"
209,3991,384,89,"Ctenotus australis"
187,3920,827,86,"Ctenotus australis"
167,4161,745,75,"Ctenotus australis"
206,5131,351,75,"Ctenotus australis"
160,4068,1037,77,"Ctenotus australis"
211,3556,365,95,"Ctenotus australis"
167,3880,973,81,"Ctenotus australis"
230,4480,230,72,"Ctenotus australis"
203,3959,488,93,"Ctenotus australis"
221,2811,278,94,"Ctenotus australis"
207,4313,342,81,"Ctenotus australis"
189,4942,464,72,"Ctenotus australis"
213,4819,280,73,"Ctenotus australis"
223,3269,266,95,"Ctenotus australis"
189,4533,550,84,"Ctenotus australis"
170,3355,949,85,"Ctenotus australis"
206,4175,415,89,"Ctenotus australis"
202,5178,374,71,"Ctenotus australis"
213,3995,305,90,"Ctenotus australis"
187,3672,788,84,"Ctenotus australis"
180,3721,1147,87,"Ctenotus australis"
225,3726,253,85,"Ctenotus australis"
166,4173,863,80,"Ctenotus australis"
207,3755,480,88,"Ctenotus australis"
235,4133,217,71,"Ctenotus australis"
233,4565,228,67,"Ctenotus australis"
165,3897,1169,79,"Ctenotus australis"
223,2780,231,79,"Ctenotus australis"
192,4987,434,75,"Ctenotus australis"
188,4467,595,83,"Ctenotus australis"
188,4276,595,81,"Ctenotus australis"
177,3684,1201,87,"Ctenotus australis"
204,4583,398,89,"Ctenotus australis"
170,4196,941,84,"Ctenotus australis"
189,3726,773,86,"Ctenotus australis"
234,4760,223,66,"Ctenotus australis"
205,4043,480,85,"Ctenotus australis"
184,3906,955,87,"Ctenotus australis"
223,4005,241,81,"Ctenotus australis"
203,4780,373,76,"Ctenotus australis"
188,3566,788,85,"Ctenotus australis"
184,4462,682,83,"Ctenotus australis"
180,4894,560,76,"Ctenotus australis"
234,4849,216,68,"Ctenotus australis"
214,3446,378,90,"Ctenotus australis"
172,4462,893,86,"Ctenotus australis"
197,4603,458,82,"Ctenotus australis"
190,4800,486,78,"Ctenotus australis"
203,4119,390,82,"Ctenotus australis"
203,4742,367,75,"Ctenotus australis"
221,4795,265,71,"Ctenotus australis"
190,3997,734,86,"Ctenotus australis"
206,3916,456,90,"Ctenotus australis"
209,3422,452,86,"Ctenotus australis"
172,4089,1007,85,"Ctenotus australis"
173,4666,683,80,"Ctenotus australis"
175,4255,907,80,"Ctenotus australis"
202,4556,386,81,"Ctenotus australis"
193,3853,603,83,"Ctenotus australis"
193,4135,575,86,"Ctenotus australis"
178,3264,948,81,"Ctenotus australis"
188,4507,545,87,"Ctenotus australis"
235,4185,214,71,"Ctenotus australis"
195,4735,447,75,"Ctenotus australis"
202,4327,392,81,"Ctenotus australis"
208,4020,355,89,"Ctenotus australis"
189,3879,803,86,"Ctenotus australis"
229,4200,224,75,"Ctenotus australis"
217,3842,313,88,"Ctenotus australis"
203,3960,482,87,"Ctenotus australis"
178,3396,978,79,"Ctenotus australis"
201,4908,389,81,"Ctenotus australis"
164,4324,881,81,"Ctenotus australis"
237,4472,217,68,"Ctenotus australis"
211,3598,408,95,"Ctenotus australis"
234,4079,214,70,"Ctenotus australis"
229,4317,217,72,"Ctenotus australis"
233,3981,211,70,"Ctenotus australis"
156,3485,1136,81,"Ctenotus australis"
170,4234,781,82,"Ctenotus australis"
203,4888,380,85,"Ctenotus australis"
170,4426,748,82,"Ctenotus australis"
207,3886,445,87,"Ctenotus australis"
202,4361,406,94,"Ctenotus australis"
229,3957,218,77,"Ctenotus australis"
200,4353,471,94,"Ctenotus australis"
202,4604,388,77,"Ctenotus australis"
187,4283,739,79,"Ctenotus australis"
169,3979,1088,86,"Ctenotus australis"
201,4265,480,81,"Ctenotus australis"
200,4403,456,86,"Ctenotus australis"
224,3124,233,75,"Ctenotus australis"
227,4551,226,72,"Ctenotus australis"
232,4870,213,68,"Ctenotus australis"
159,3895,820,72,"Ctenotus australis"
177,4713,627,79,"Ctenotus australis"
