"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
195,5727,241,21,"Ctenotus calurus"
258,5597,251,84,"Ctenotus calurus"
216,6308,289,44,"Ctenotus calurus"
259,5549,256,83,"Ctenotus calurus"
212,5851,234,47,"Ctenotus calurus"
259,5898,344,67,"Ctenotus calurus"
242,6354,259,53,"Ctenotus calurus"
269,5706,324,81,"Ctenotus calurus"
217,6040,197,48,"Ctenotus calurus"
241,6436,236,60,"Ctenotus calurus"
260,5356,395,82,"Ctenotus calurus"
264,5647,375,77,"Ctenotus calurus"
208,5579,218,29,"Ctenotus calurus"
264,4886,413,101,"Ctenotus calurus"
234,6408,256,58,"Ctenotus calurus"
213,5916,201,47,"Ctenotus calurus"
212,5469,217,26,"Ctenotus calurus"
200,5887,264,28,"Ctenotus calurus"
243,5603,379,76,"Ctenotus calurus"
251,6331,246,64,"Ctenotus calurus"
269,5747,327,82,"Ctenotus calurus"
251,6107,235,71,"Ctenotus calurus"
238,6365,235,52,"Ctenotus calurus"
193,5649,293,20,"Ctenotus calurus"
240,6388,215,63,"Ctenotus calurus"
218,6140,293,51,"Ctenotus calurus"
241,6304,302,57,"Ctenotus calurus"
258,5829,331,67,"Ctenotus calurus"
212,6003,222,24,"Ctenotus calurus"
271,5536,315,89,"Ctenotus calurus"
268,5310,355,84,"Ctenotus calurus"
256,6213,316,58,"Ctenotus calurus"
201,5467,234,21,"Ctenotus calurus"
260,5675,396,84,"Ctenotus calurus"
263,5756,315,74,"Ctenotus calurus"
245,5595,233,75,"Ctenotus calurus"
240,6424,208,59,"Ctenotus calurus"
235,6150,330,55,"Ctenotus calurus"
233,6299,234,43,"Ctenotus calurus"
246,5768,281,85,"Ctenotus calurus"
201,5471,233,22,"Ctenotus calurus"
264,5144,354,91,"Ctenotus calurus"
216,6422,292,45,"Ctenotus calurus"
269,5688,318,83,"Ctenotus calurus"
240,5719,333,76,"Ctenotus calurus"
260,5873,331,66,"Ctenotus calurus"
249,5638,347,82,"Ctenotus calurus"
203,5567,243,26,"Ctenotus calurus"
243,5090,389,92,"Ctenotus calurus"
263,5184,253,86,"Ctenotus calurus"
264,5667,366,72,"Ctenotus calurus"
274,4772,413,107,"Ctenotus calurus"
209,6108,248,27,"Ctenotus calurus"
259,6283,260,65,"Ctenotus calurus"
269,4114,483,118,"Ctenotus calurus"
253,6318,262,71,"Ctenotus calurus"
191,5370,231,15,"Ctenotus calurus"
200,6104,298,37,"Ctenotus calurus"
213,5853,234,36,"Ctenotus calurus"
260,5473,361,78,"Ctenotus calurus"
196,5289,211,29,"Ctenotus calurus"
227,6310,219,49,"Ctenotus calurus"
224,6107,252,35,"Ctenotus calurus"
215,6001,233,35,"Ctenotus calurus"
266,6100,285,79,"Ctenotus calurus"
241,6272,283,56,"Ctenotus calurus"
239,6351,217,45,"Ctenotus calurus"
272,4843,446,90,"Ctenotus calurus"
259,5095,435,94,"Ctenotus calurus"
224,6210,232,34,"Ctenotus calurus"
224,6362,327,44,"Ctenotus calurus"
254,6290,240,58,"Ctenotus calurus"
256,5832,361,67,"Ctenotus calurus"
265,5245,372,86,"Ctenotus calurus"
201,6114,262,37,"Ctenotus calurus"
211,5715,217,34,"Ctenotus calurus"
238,6364,208,49,"Ctenotus calurus"
259,6293,277,58,"Ctenotus calurus"
262,5018,419,95,"Ctenotus calurus"
267,4941,256,89,"Ctenotus calurus"
243,5667,278,82,"Ctenotus calurus"
225,6288,263,61,"Ctenotus calurus"
257,5935,348,76,"Ctenotus calurus"
235,6012,335,59,"Ctenotus calurus"
212,5911,200,47,"Ctenotus calurus"
272,4374,388,102,"Ctenotus calurus"
217,6444,283,41,"Ctenotus calurus"
209,6349,284,47,"Ctenotus calurus"
208,6338,315,47,"Ctenotus calurus"
210,6265,280,41,"Ctenotus calurus"
265,4602,364,99,"Ctenotus calurus"
200,5148,202,19,"Ctenotus calurus"
267,5431,344,83,"Ctenotus calurus"
264,5264,400,85,"Ctenotus calurus"
205,5748,230,21,"Ctenotus calurus"
259,5603,250,81,"Ctenotus calurus"
259,6111,302,65,"Ctenotus calurus"
259,5940,296,64,"Ctenotus calurus"
214,6073,265,56,"Ctenotus calurus"
225,6429,284,48,"Ctenotus calurus"
195,5098,213,26,"Ctenotus calurus"
257,5100,489,100,"Ctenotus calurus"
236,6385,325,55,"Ctenotus calurus"
250,6318,283,56,"Ctenotus calurus"
257,6281,295,76,"Ctenotus calurus"
253,6344,268,72,"Ctenotus calurus"
202,5542,242,24,"Ctenotus calurus"
225,6308,246,55,"Ctenotus calurus"
256,5979,345,75,"Ctenotus calurus"
265,5112,340,94,"Ctenotus calurus"
264,4607,356,99,"Ctenotus calurus"
233,6323,203,56,"Ctenotus calurus"
232,6305,215,39,"Ctenotus calurus"
256,6244,273,63,"Ctenotus calurus"
267,5600,278,86,"Ctenotus calurus"
232,6122,297,59,"Ctenotus calurus"
229,6214,336,53,"Ctenotus calurus"
259,5533,366,77,"Ctenotus calurus"
266,5499,332,80,"Ctenotus calurus"
218,6158,213,51,"Ctenotus calurus"
236,6367,210,57,"Ctenotus calurus"
260,5690,245,84,"Ctenotus calurus"
265,4884,260,91,"Ctenotus calurus"
267,6172,289,77,"Ctenotus calurus"
203,5663,240,33,"Ctenotus calurus"
213,5999,238,37,"Ctenotus calurus"
241,5923,346,67,"Ctenotus calurus"
208,5887,243,27,"Ctenotus calurus"
252,5998,358,65,"Ctenotus calurus"
231,6348,243,59,"Ctenotus calurus"
239,6187,339,60,"Ctenotus calurus"
264,5767,375,76,"Ctenotus calurus"
267,5249,357,91,"Ctenotus calurus"
269,5369,292,89,"Ctenotus calurus"
219,6374,326,49,"Ctenotus calurus"
190,5179,217,15,"Ctenotus calurus"
247,5684,268,78,"Ctenotus calurus"
243,6338,237,68,"Ctenotus calurus"
220,6142,215,40,"Ctenotus calurus"
258,6251,290,77,"Ctenotus calurus"
194,4863,202,23,"Ctenotus calurus"
249,6404,247,67,"Ctenotus calurus"
218,6046,224,31,"Ctenotus calurus"
250,6058,272,75,"Ctenotus calurus"
208,5572,230,27,"Ctenotus calurus"
236,6004,297,61,"Ctenotus calurus"
271,5947,299,82,"Ctenotus calurus"
199,5607,227,19,"Ctenotus calurus"
238,5986,316,64,"Ctenotus calurus"
238,6411,223,58,"Ctenotus calurus"
251,6404,250,69,"Ctenotus calurus"
272,4728,420,106,"Ctenotus calurus"
240,5622,338,75,"Ctenotus calurus"
275,4309,451,114,"Ctenotus calurus"
202,6143,305,41,"Ctenotus calurus"
248,5618,353,82,"Ctenotus calurus"
247,5620,250,73,"Ctenotus calurus"
261,4845,499,113,"Ctenotus calurus"
263,5478,352,79,"Ctenotus calurus"
261,6119,294,69,"Ctenotus calurus"
238,6420,237,58,"Ctenotus calurus"
267,5397,351,86,"Ctenotus calurus"
263,4598,475,110,"Ctenotus calurus"
205,5797,239,38,"Ctenotus calurus"
246,6288,282,56,"Ctenotus calurus"
208,5466,221,24,"Ctenotus calurus"
206,5860,244,23,"Ctenotus calurus"
257,5948,328,64,"Ctenotus calurus"
266,5354,365,86,"Ctenotus calurus"
211,5718,235,28,"Ctenotus calurus"
233,6326,224,54,"Ctenotus calurus"
219,6407,303,48,"Ctenotus calurus"
200,5313,213,21,"Ctenotus calurus"
227,6475,269,43,"Ctenotus calurus"
269,4347,390,99,"Ctenotus calurus"
223,6100,226,40,"Ctenotus calurus"
240,6352,314,57,"Ctenotus calurus"
216,5858,227,35,"Ctenotus calurus"
265,5675,319,80,"Ctenotus calurus"
202,5507,239,33,"Ctenotus calurus"
193,5674,310,25,"Ctenotus calurus"
257,5211,300,83,"Ctenotus calurus"
225,6130,340,52,"Ctenotus calurus"
223,5732,359,65,"Ctenotus calurus"
249,6089,312,60,"Ctenotus calurus"
258,6242,255,58,"Ctenotus calurus"
264,6281,274,76,"Ctenotus calurus"
267,4452,355,99,"Ctenotus calurus"
268,5461,308,91,"Ctenotus calurus"
188,4785,202,25,"Ctenotus calurus"
210,6181,276,34,"Ctenotus calurus"
217,6122,223,42,"Ctenotus calurus"
207,5787,240,35,"Ctenotus calurus"
209,5771,219,39,"Ctenotus calurus"
245,6381,270,69,"Ctenotus calurus"
250,5529,360,83,"Ctenotus calurus"
246,5591,257,73,"Ctenotus calurus"
200,5699,290,40,"Ctenotus calurus"
271,5985,301,79,"Ctenotus calurus"
247,6371,262,57,"Ctenotus calurus"
199,5047,211,27,"Ctenotus calurus"
255,5282,393,86,"Ctenotus calurus"
218,6113,223,40,"Ctenotus calurus"
261,5862,340,68,"Ctenotus calurus"
223,6463,258,40,"Ctenotus calurus"
207,6178,283,34,"Ctenotus calurus"
257,5318,396,93,"Ctenotus calurus"
264,4683,437,104,"Ctenotus calurus"
244,6344,250,54,"Ctenotus calurus"
