"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
277,1936,1473,107,"Ctenotus coggeri"
278,1809,1512,104,"Ctenotus coggeri"
277,1912,1576,105,"Ctenotus coggeri"
279,1785,1527,105,"Ctenotus coggeri"
277,1516,1696,105,"Ctenotus coggeri"
278,1829,1506,107,"Ctenotus coggeri"
277,1602,1530,107,"Ctenotus coggeri"
277,1508,1665,107,"Ctenotus coggeri"
277,1626,1536,108,"Ctenotus coggeri"
265,1731,1653,113,"Ctenotus coggeri"
278,1850,1542,107,"Ctenotus coggeri"
266,1844,1857,109,"Ctenotus coggeri"
276,1592,1644,108,"Ctenotus coggeri"
277,1673,1525,106,"Ctenotus coggeri"
278,1564,1523,102,"Ctenotus coggeri"
276,1787,1367,113,"Ctenotus coggeri"
261,1905,1484,111,"Ctenotus coggeri"
275,1650,1615,105,"Ctenotus coggeri"
276,1937,1350,108,"Ctenotus coggeri"
278,1654,1539,104,"Ctenotus coggeri"
277,1762,1454,106,"Ctenotus coggeri"
277,1495,1528,107,"Ctenotus coggeri"
277,1691,1470,110,"Ctenotus coggeri"
277,1659,1451,107,"Ctenotus coggeri"
267,1659,1694,111,"Ctenotus coggeri"
277,1809,1508,107,"Ctenotus coggeri"
278,1568,1539,107,"Ctenotus coggeri"
277,1518,1539,105,"Ctenotus coggeri"
276,1627,1506,106,"Ctenotus coggeri"
279,1873,1482,104,"Ctenotus coggeri"
276,1922,1257,107,"Ctenotus coggeri"
278,1741,1603,103,"Ctenotus coggeri"
277,1870,1637,106,"Ctenotus coggeri"
276,1709,1229,107,"Ctenotus coggeri"
272,1978,1573,115,"Ctenotus coggeri"
277,1586,1482,107,"Ctenotus coggeri"
277,1888,1579,106,"Ctenotus coggeri"
278,1632,1524,107,"Ctenotus coggeri"
277,1621,1408,109,"Ctenotus coggeri"
277,1591,1487,107,"Ctenotus coggeri"
277,1854,1456,110,"Ctenotus coggeri"
265,1759,1432,108,"Ctenotus coggeri"
276,1512,1625,107,"Ctenotus coggeri"
270,1894,1488,113,"Ctenotus coggeri"
279,1692,1549,106,"Ctenotus coggeri"
279,1669,1565,105,"Ctenotus coggeri"
278,1747,1625,104,"Ctenotus coggeri"
275,1538,1695,106,"Ctenotus coggeri"
277,1765,1364,112,"Ctenotus coggeri"
276,1598,1643,106,"Ctenotus coggeri"
278,1788,1529,107,"Ctenotus coggeri"
276,1695,1619,106,"Ctenotus coggeri"
278,1606,1603,107,"Ctenotus coggeri"
276,1962,1603,105,"Ctenotus coggeri"
275,1643,1437,109,"Ctenotus coggeri"
274,1566,1709,107,"Ctenotus coggeri"
277,1714,1580,109,"Ctenotus coggeri"
277,1596,1653,104,"Ctenotus coggeri"
276,1992,1433,109,"Ctenotus coggeri"
278,1775,1563,106,"Ctenotus coggeri"
277,1519,1638,107,"Ctenotus coggeri"
268,1878,1745,108,"Ctenotus coggeri"
277,1495,1552,106,"Ctenotus coggeri"
276,1785,1520,105,"Ctenotus coggeri"
278,1779,1577,105,"Ctenotus coggeri"
278,1632,1663,106,"Ctenotus coggeri"
277,1897,1528,105,"Ctenotus coggeri"
278,1712,1518,106,"Ctenotus coggeri"
276,1835,1465,108,"Ctenotus coggeri"
277,1687,1667,104,"Ctenotus coggeri"
277,1588,1425,107,"Ctenotus coggeri"
279,1845,1495,105,"Ctenotus coggeri"
277,1722,1496,107,"Ctenotus coggeri"
275,1852,1394,111,"Ctenotus coggeri"
264,1934,1412,111,"Ctenotus coggeri"
265,1824,1879,108,"Ctenotus coggeri"
277,1537,1607,103,"Ctenotus coggeri"
259,1877,1519,109,"Ctenotus coggeri"
276,1823,1406,111,"Ctenotus coggeri"
277,1562,1617,107,"Ctenotus coggeri"
278,1837,1564,106,"Ctenotus coggeri"
279,1680,1557,105,"Ctenotus coggeri"
277,1791,1557,108,"Ctenotus coggeri"
278,1795,1529,107,"Ctenotus coggeri"
279,1720,1544,106,"Ctenotus coggeri"
269,1865,1398,109,"Ctenotus coggeri"
277,1486,1563,105,"Ctenotus coggeri"
277,1670,1374,110,"Ctenotus coggeri"
273,1952,1582,114,"Ctenotus coggeri"
278,1913,1440,108,"Ctenotus coggeri"
277,1565,1463,106,"Ctenotus coggeri"
262,1717,1682,108,"Ctenotus coggeri"
278,1547,1529,105,"Ctenotus coggeri"
277,1572,1410,106,"Ctenotus coggeri"
263,1773,1677,106,"Ctenotus coggeri"
275,1616,1677,107,"Ctenotus coggeri"
276,1537,1612,107,"Ctenotus coggeri"
279,1823,1483,104,"Ctenotus coggeri"
278,1657,1573,108,"Ctenotus coggeri"
277,1945,1474,105,"Ctenotus coggeri"
278,1724,1567,103,"Ctenotus coggeri"
277,1881,1530,110,"Ctenotus coggeri"
277,1634,1499,105,"Ctenotus coggeri"
275,1715,1612,111,"Ctenotus coggeri"
278,1677,1569,103,"Ctenotus coggeri"
276,1947,1332,111,"Ctenotus coggeri"
274,1743,1473,110,"Ctenotus coggeri"
274,1720,1696,105,"Ctenotus coggeri"
276,1968,1502,109,"Ctenotus coggeri"
277,1756,1397,108,"Ctenotus coggeri"
275,1882,1293,110,"Ctenotus coggeri"
278,1889,1498,107,"Ctenotus coggeri"
273,1768,1563,105,"Ctenotus coggeri"
278,1612,1589,107,"Ctenotus coggeri"
278,1659,1565,105,"Ctenotus coggeri"
278,1592,1574,105,"Ctenotus coggeri"
276,1735,1295,110,"Ctenotus coggeri"
277,1684,1474,106,"Ctenotus coggeri"
278,1821,1558,106,"Ctenotus coggeri"
277,1618,1449,107,"Ctenotus coggeri"
277,1633,1482,108,"Ctenotus coggeri"
278,1660,1624,107,"Ctenotus coggeri"
277,1565,1476,109,"Ctenotus coggeri"
257,1925,1755,108,"Ctenotus coggeri"
275,1706,1645,106,"Ctenotus coggeri"
277,1987,1439,105,"Ctenotus coggeri"
276,1776,1723,104,"Ctenotus coggeri"
278,1804,1558,103,"Ctenotus coggeri"
278,1548,1513,104,"Ctenotus coggeri"
278,1691,1659,105,"Ctenotus coggeri"
278,1604,1563,105,"Ctenotus coggeri"
279,1711,1552,104,"Ctenotus coggeri"
277,1859,1484,109,"Ctenotus coggeri"
278,1536,1542,107,"Ctenotus coggeri"
278,1663,1604,106,"Ctenotus coggeri"
277,1669,1556,107,"Ctenotus coggeri"
277,1937,1420,110,"Ctenotus coggeri"
278,1837,1572,103,"Ctenotus coggeri"
260,1895,1493,108,"Ctenotus coggeri"
278,1567,1546,104,"Ctenotus coggeri"
278,1645,1541,105,"Ctenotus coggeri"
276,1955,1597,108,"Ctenotus coggeri"
277,1783,1423,107,"Ctenotus coggeri"
278,1730,1582,104,"Ctenotus coggeri"
264,1828,1758,112,"Ctenotus coggeri"
275,1692,1538,111,"Ctenotus coggeri"
277,1968,1401,108,"Ctenotus coggeri"
264,1788,1592,106,"Ctenotus coggeri"
260,1834,1676,107,"Ctenotus coggeri"
279,1879,1503,107,"Ctenotus coggeri"
278,1585,1567,105,"Ctenotus coggeri"
277,1937,1481,105,"Ctenotus coggeri"
267,1829,1540,111,"Ctenotus coggeri"
277,1835,1461,108,"Ctenotus coggeri"
276,1758,1521,107,"Ctenotus coggeri"
277,1752,1515,108,"Ctenotus coggeri"
277,1828,1420,109,"Ctenotus coggeri"
276,1556,1546,103,"Ctenotus coggeri"
278,1761,1554,103,"Ctenotus coggeri"
278,1866,1510,106,"Ctenotus coggeri"
259,1884,1650,107,"Ctenotus coggeri"
278,1621,1602,106,"Ctenotus coggeri"
273,1716,1578,113,"Ctenotus coggeri"
277,1516,1567,107,"Ctenotus coggeri"
277,1537,1495,107,"Ctenotus coggeri"
278,1917,1451,106,"Ctenotus coggeri"
276,1579,1495,104,"Ctenotus coggeri"
278,1632,1575,105,"Ctenotus coggeri"
262,1845,1623,112,"Ctenotus coggeri"
278,1745,1598,107,"Ctenotus coggeri"
277,1564,1489,107,"Ctenotus coggeri"
277,1613,1522,104,"Ctenotus coggeri"
277,1593,1448,105,"Ctenotus coggeri"
276,1677,1658,107,"Ctenotus coggeri"
277,1807,1504,108,"Ctenotus coggeri"
265,1712,1858,108,"Ctenotus coggeri"
277,1649,1471,106,"Ctenotus coggeri"
278,1570,1472,108,"Ctenotus coggeri"
267,1783,1571,113,"Ctenotus coggeri"
278,1707,1491,108,"Ctenotus coggeri"
279,1751,1549,105,"Ctenotus coggeri"
273,1666,1546,111,"Ctenotus coggeri"
277,1712,1529,106,"Ctenotus coggeri"
276,1756,1543,105,"Ctenotus coggeri"
277,1612,1652,105,"Ctenotus coggeri"
277,1615,1569,106,"Ctenotus coggeri"
276,1648,1637,108,"Ctenotus coggeri"
275,1810,1134,107,"Ctenotus coggeri"
275,1543,1682,107,"Ctenotus coggeri"
274,1726,1413,105,"Ctenotus coggeri"
262,1857,1715,111,"Ctenotus coggeri"
277,1477,1586,106,"Ctenotus coggeri"
278,1590,1558,106,"Ctenotus coggeri"
277,1690,1471,108,"Ctenotus coggeri"
277,1660,1495,109,"Ctenotus coggeri"
278,1522,1563,105,"Ctenotus coggeri"
261,1863,1576,113,"Ctenotus coggeri"
278,1526,1518,103,"Ctenotus coggeri"
278,1924,1453,107,"Ctenotus coggeri"
278,1639,1549,106,"Ctenotus coggeri"
276,1680,1578,106,"Ctenotus coggeri"
275,1839,1270,112,"Ctenotus coggeri"
275,1832,1241,105,"Ctenotus coggeri"
276,1737,1507,104,"Ctenotus coggeri"
279,1809,1522,105,"Ctenotus coggeri"
275,1598,1711,107,"Ctenotus coggeri"
277,1645,1426,109,"Ctenotus coggeri"
267,1831,1492,110,"Ctenotus coggeri"
277,1669,1468,107,"Ctenotus coggeri"
277,1648,1492,106,"Ctenotus coggeri"
