"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
237,6279,356,55,"Ctenotus dux"
209,5717,236,34,"Ctenotus dux"
260,6067,334,62,"Ctenotus dux"
244,6354,225,50,"Ctenotus dux"
236,6337,207,45,"Ctenotus dux"
215,6426,240,40,"Ctenotus dux"
210,6318,304,45,"Ctenotus dux"
239,6542,182,51,"Ctenotus dux"
229,6539,183,53,"Ctenotus dux"
223,6400,316,49,"Ctenotus dux"
206,5948,258,24,"Ctenotus dux"
210,6177,278,34,"Ctenotus dux"
249,6057,324,65,"Ctenotus dux"
206,5487,211,29,"Ctenotus dux"
243,6295,250,56,"Ctenotus dux"
215,6036,294,52,"Ctenotus dux"
207,6364,232,36,"Ctenotus dux"
201,5593,253,37,"Ctenotus dux"
239,6353,270,55,"Ctenotus dux"
231,6325,299,52,"Ctenotus dux"
238,6354,206,42,"Ctenotus dux"
207,5398,226,23,"Ctenotus dux"
259,6155,282,63,"Ctenotus dux"
205,5859,247,22,"Ctenotus dux"
263,5726,342,77,"Ctenotus dux"
213,6081,219,26,"Ctenotus dux"
251,5962,371,64,"Ctenotus dux"
237,6281,272,58,"Ctenotus dux"
240,6367,223,47,"Ctenotus dux"
238,6375,319,55,"Ctenotus dux"
208,5434,208,26,"Ctenotus dux"
214,6417,231,41,"Ctenotus dux"
259,6299,267,57,"Ctenotus dux"
201,6182,307,41,"Ctenotus dux"
252,5967,245,80,"Ctenotus dux"
204,6332,290,51,"Ctenotus dux"
245,6044,256,71,"Ctenotus dux"
236,6350,266,55,"Ctenotus dux"
205,6026,337,51,"Ctenotus dux"
236,6396,301,51,"Ctenotus dux"
257,6323,262,62,"Ctenotus dux"
240,6198,295,62,"Ctenotus dux"
207,6051,261,28,"Ctenotus dux"
253,6292,285,56,"Ctenotus dux"
228,6265,196,37,"Ctenotus dux"
252,5944,249,78,"Ctenotus dux"
220,6228,319,48,"Ctenotus dux"
229,6466,228,42,"Ctenotus dux"
232,6201,325,72,"Ctenotus dux"
228,6274,214,57,"Ctenotus dux"
244,6574,197,50,"Ctenotus dux"
217,6008,226,43,"Ctenotus dux"
236,6312,253,45,"Ctenotus dux"
219,6222,239,32,"Ctenotus dux"
200,5650,262,38,"Ctenotus dux"
225,6430,281,42,"Ctenotus dux"
247,6239,194,59,"Ctenotus dux"
229,6290,212,38,"Ctenotus dux"
199,6294,279,40,"Ctenotus dux"
246,6358,243,56,"Ctenotus dux"
214,5961,204,47,"Ctenotus dux"
241,6594,182,45,"Ctenotus dux"
201,5118,210,26,"Ctenotus dux"
210,6334,316,46,"Ctenotus dux"
209,5683,228,31,"Ctenotus dux"
246,6024,226,69,"Ctenotus dux"
255,6021,356,72,"Ctenotus dux"
234,6391,312,54,"Ctenotus dux"
200,5538,260,22,"Ctenotus dux"
249,6200,222,66,"Ctenotus dux"
218,6134,324,50,"Ctenotus dux"
245,6292,294,53,"Ctenotus dux"
220,6259,248,47,"Ctenotus dux"
222,6471,256,40,"Ctenotus dux"
225,6412,312,49,"Ctenotus dux"
249,6380,243,57,"Ctenotus dux"
246,6364,216,52,"Ctenotus dux"
217,6213,247,30,"Ctenotus dux"
237,6067,331,59,"Ctenotus dux"
205,5853,233,21,"Ctenotus dux"
207,6202,297,36,"Ctenotus dux"
248,6263,235,64,"Ctenotus dux"
260,6143,307,62,"Ctenotus dux"
221,6250,221,33,"Ctenotus dux"
215,6279,261,39,"Ctenotus dux"
213,6408,291,47,"Ctenotus dux"
232,6288,202,40,"Ctenotus dux"
234,6415,268,49,"Ctenotus dux"
259,6075,322,66,"Ctenotus dux"
223,6053,354,70,"Ctenotus dux"
212,6403,243,38,"Ctenotus dux"
207,6027,245,24,"Ctenotus dux"
248,6014,262,78,"Ctenotus dux"
256,5964,344,63,"Ctenotus dux"
199,5819,266,24,"Ctenotus dux"
235,6323,196,48,"Ctenotus dux"
259,6044,318,62,"Ctenotus dux"
212,5903,213,46,"Ctenotus dux"
236,6517,230,46,"Ctenotus dux"
242,6393,225,54,"Ctenotus dux"
240,6372,307,57,"Ctenotus dux"
225,6164,230,37,"Ctenotus dux"
221,6423,271,42,"Ctenotus dux"
228,6251,210,38,"Ctenotus dux"
236,6042,324,59,"Ctenotus dux"
218,6250,250,35,"Ctenotus dux"
252,6022,335,67,"Ctenotus dux"
239,6352,299,53,"Ctenotus dux"
202,5741,225,20,"Ctenotus dux"
254,6369,215,54,"Ctenotus dux"
255,6278,289,63,"Ctenotus dux"
217,5951,216,30,"Ctenotus dux"
224,6128,218,36,"Ctenotus dux"
206,5783,201,43,"Ctenotus dux"
265,5690,323,73,"Ctenotus dux"
230,6081,302,56,"Ctenotus dux"
212,6218,281,36,"Ctenotus dux"
218,6041,209,51,"Ctenotus dux"
223,6369,307,42,"Ctenotus dux"
231,6448,291,50,"Ctenotus dux"
219,6102,219,51,"Ctenotus dux"
213,6327,312,45,"Ctenotus dux"
201,5983,283,29,"Ctenotus dux"
219,6447,212,44,"Ctenotus dux"
215,6113,276,57,"Ctenotus dux"
199,5425,208,31,"Ctenotus dux"
215,6307,316,46,"Ctenotus dux"
241,6361,302,57,"Ctenotus dux"
210,6015,229,23,"Ctenotus dux"
260,5905,334,66,"Ctenotus dux"
244,5933,274,76,"Ctenotus dux"
250,6381,221,63,"Ctenotus dux"
203,5692,236,41,"Ctenotus dux"
231,6495,215,42,"Ctenotus dux"
245,6376,250,59,"Ctenotus dux"
249,6013,400,66,"Ctenotus dux"
259,6145,311,62,"Ctenotus dux"
250,5992,228,75,"Ctenotus dux"
249,6181,342,63,"Ctenotus dux"
248,6291,286,58,"Ctenotus dux"
249,6391,216,57,"Ctenotus dux"
248,6128,347,65,"Ctenotus dux"
216,5845,209,37,"Ctenotus dux"
