"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
184,3620,1319,42,"Ctenotus eurydice"
201,3894,867,42,"Ctenotus eurydice"
150,4288,767,25,"Ctenotus eurydice"
165,4249,892,51,"Ctenotus eurydice"
181,4276,631,37,"Ctenotus eurydice"
188,3949,1020,50,"Ctenotus eurydice"
135,4125,1085,36,"Ctenotus eurydice"
199,3652,1185,47,"Ctenotus eurydice"
140,4379,806,30,"Ctenotus eurydice"
193,3623,1190,41,"Ctenotus eurydice"
148,4257,809,33,"Ctenotus eurydice"
195,3694,1139,46,"Ctenotus eurydice"
159,4249,846,38,"Ctenotus eurydice"
156,4313,749,32,"Ctenotus eurydice"
197,3620,1035,45,"Ctenotus eurydice"
195,3709,1073,46,"Ctenotus eurydice"
191,3357,1367,40,"Ctenotus eurydice"
197,3478,1185,42,"Ctenotus eurydice"
123,4224,1035,34,"Ctenotus eurydice"
184,3694,1250,44,"Ctenotus eurydice"
192,3973,1004,45,"Ctenotus eurydice"
164,3991,1227,41,"Ctenotus eurydice"
190,4058,879,44,"Ctenotus eurydice"
200,3712,902,41,"Ctenotus eurydice"
122,4196,1130,42,"Ctenotus eurydice"
155,4239,782,31,"Ctenotus eurydice"
182,3863,1023,46,"Ctenotus eurydice"
114,4304,951,37,"Ctenotus eurydice"
176,4171,710,37,"Ctenotus eurydice"
163,4168,889,42,"Ctenotus eurydice"
182,4155,716,38,"Ctenotus eurydice"
200,3872,854,46,"Ctenotus eurydice"
186,3758,1194,47,"Ctenotus eurydice"
191,3410,1429,46,"Ctenotus eurydice"
154,4163,844,38,"Ctenotus eurydice"
187,3846,1005,50,"Ctenotus eurydice"
195,3561,1005,44,"Ctenotus eurydice"
198,3180,1805,44,"Ctenotus eurydice"
175,4168,692,37,"Ctenotus eurydice"
115,4311,927,35,"Ctenotus eurydice"
188,4011,952,52,"Ctenotus eurydice"
121,4259,807,39,"Ctenotus eurydice"
159,4138,908,38,"Ctenotus eurydice"
117,4082,943,38,"Ctenotus eurydice"
164,4019,1224,40,"Ctenotus eurydice"
196,3856,1040,44,"Ctenotus eurydice"
164,4084,875,35,"Ctenotus eurydice"
128,4263,921,41,"Ctenotus eurydice"
129,4093,1135,42,"Ctenotus eurydice"
194,3807,949,40,"Ctenotus eurydice"
180,3880,1078,49,"Ctenotus eurydice"
164,4205,911,53,"Ctenotus eurydice"
178,4085,1133,54,"Ctenotus eurydice"
177,4125,1064,51,"Ctenotus eurydice"
157,4040,1249,40,"Ctenotus eurydice"
167,4090,1218,49,"Ctenotus eurydice"
183,3947,1178,49,"Ctenotus eurydice"
161,3926,1244,42,"Ctenotus eurydice"
118,4289,1003,35,"Ctenotus eurydice"
186,4054,896,50,"Ctenotus eurydice"
193,3671,1067,41,"Ctenotus eurydice"
191,3921,994,48,"Ctenotus eurydice"
135,4171,1085,45,"Ctenotus eurydice"
118,4268,901,44,"Ctenotus eurydice"
181,3965,1018,47,"Ctenotus eurydice"
139,4297,840,31,"Ctenotus eurydice"
204,3783,843,41,"Ctenotus eurydice"
154,4267,786,36,"Ctenotus eurydice"
166,4087,1151,51,"Ctenotus eurydice"
160,4121,809,39,"Ctenotus eurydice"
140,3404,1936,43,"Ctenotus eurydice"
133,4189,785,38,"Ctenotus eurydice"
165,3986,1252,47,"Ctenotus eurydice"
156,4327,713,38,"Ctenotus eurydice"
175,4255,769,41,"Ctenotus eurydice"
114,4336,935,31,"Ctenotus eurydice"
118,4205,883,37,"Ctenotus eurydice"
178,3868,1158,51,"Ctenotus eurydice"
157,4069,1126,53,"Ctenotus eurydice"
187,3822,1035,49,"Ctenotus eurydice"
170,4326,669,40,"Ctenotus eurydice"
188,3701,1140,44,"Ctenotus eurydice"
193,3727,1056,47,"Ctenotus eurydice"
185,3930,968,44,"Ctenotus eurydice"
206,3363,1145,40,"Ctenotus eurydice"
181,4042,896,38,"Ctenotus eurydice"
182,4051,1081,57,"Ctenotus eurydice"
141,4237,998,44,"Ctenotus eurydice"
151,4177,859,38,"Ctenotus eurydice"
199,3891,806,41,"Ctenotus eurydice"
127,4298,967,37,"Ctenotus eurydice"
148,4009,1163,51,"Ctenotus eurydice"
173,4106,1140,52,"Ctenotus eurydice"
199,3660,1197,44,"Ctenotus eurydice"
192,3557,1023,41,"Ctenotus eurydice"
173,3981,1285,45,"Ctenotus eurydice"
204,3535,958,35,"Ctenotus eurydice"
158,4063,833,39,"Ctenotus eurydice"
196,3399,1113,35,"Ctenotus eurydice"
187,3417,1467,45,"Ctenotus eurydice"
147,4097,1140,51,"Ctenotus eurydice"
197,3834,857,41,"Ctenotus eurydice"
175,4167,795,34,"Ctenotus eurydice"
132,4165,1056,38,"Ctenotus eurydice"
196,3656,1021,45,"Ctenotus eurydice"
136,4260,987,31,"Ctenotus eurydice"
169,4094,782,35,"Ctenotus eurydice"
175,4161,716,34,"Ctenotus eurydice"
190,3252,1904,44,"Ctenotus eurydice"
139,4025,1294,42,"Ctenotus eurydice"
118,4382,875,34,"Ctenotus eurydice"
174,4144,677,37,"Ctenotus eurydice"
189,3982,931,41,"Ctenotus eurydice"
196,3710,901,44,"Ctenotus eurydice"
199,3409,1154,35,"Ctenotus eurydice"
192,3809,1017,46,"Ctenotus eurydice"
203,3535,876,37,"Ctenotus eurydice"
207,3272,1305,39,"Ctenotus eurydice"
197,4054,854,45,"Ctenotus eurydice"
169,4162,1010,46,"Ctenotus eurydice"
194,3801,820,40,"Ctenotus eurydice"
128,4253,922,29,"Ctenotus eurydice"
190,3727,1124,49,"Ctenotus eurydice"
150,4283,853,34,"Ctenotus eurydice"
179,4021,983,46,"Ctenotus eurydice"
171,4306,789,42,"Ctenotus eurydice"
136,4105,1126,43,"Ctenotus eurydice"
129,4015,1177,26,"Ctenotus eurydice"
111,3867,1554,40,"Ctenotus eurydice"
190,3808,968,48,"Ctenotus eurydice"
197,3260,1684,46,"Ctenotus eurydice"
201,3269,1425,42,"Ctenotus eurydice"
193,3734,1053,51,"Ctenotus eurydice"
136,4398,849,32,"Ctenotus eurydice"
201,3476,1106,39,"Ctenotus eurydice"
200,4006,877,45,"Ctenotus eurydice"
175,4177,759,42,"Ctenotus eurydice"
205,3556,1032,40,"Ctenotus eurydice"
177,4105,923,50,"Ctenotus eurydice"
195,3926,1014,45,"Ctenotus eurydice"
141,4226,862,29,"Ctenotus eurydice"
140,4074,1028,49,"Ctenotus eurydice"
151,3808,1455,48,"Ctenotus eurydice"
139,4421,880,37,"Ctenotus eurydice"
150,4224,878,30,"Ctenotus eurydice"
172,3873,1116,44,"Ctenotus eurydice"
206,3215,1384,38,"Ctenotus eurydice"
148,3884,1374,42,"Ctenotus eurydice"
149,4001,896,34,"Ctenotus eurydice"
187,4093,836,45,"Ctenotus eurydice"
130,4415,877,33,"Ctenotus eurydice"
179,4124,916,41,"Ctenotus eurydice"
152,3976,1072,47,"Ctenotus eurydice"
173,3842,1163,49,"Ctenotus eurydice"
124,3866,1361,49,"Ctenotus eurydice"
192,4083,811,39,"Ctenotus eurydice"
193,3701,1063,44,"Ctenotus eurydice"
153,4137,1033,44,"Ctenotus eurydice"
182,4313,631,36,"Ctenotus eurydice"
167,4052,1241,54,"Ctenotus eurydice"
141,4140,1051,44,"Ctenotus eurydice"
177,4051,1060,39,"Ctenotus eurydice"
168,4152,880,40,"Ctenotus eurydice"
172,4198,772,39,"Ctenotus eurydice"
166,3989,1095,48,"Ctenotus eurydice"
193,4024,936,46,"Ctenotus eurydice"
199,3317,1498,45,"Ctenotus eurydice"
175,4195,801,38,"Ctenotus eurydice"
173,4162,783,39,"Ctenotus eurydice"
176,3916,1186,42,"Ctenotus eurydice"
179,4222,670,36,"Ctenotus eurydice"
172,4158,802,37,"Ctenotus eurydice"
176,4144,654,40,"Ctenotus eurydice"
149,4152,973,39,"Ctenotus eurydice"
147,3952,1014,38,"Ctenotus eurydice"
125,4348,929,33,"Ctenotus eurydice"
148,4413,724,32,"Ctenotus eurydice"
159,3978,993,47,"Ctenotus eurydice"
115,4271,962,40,"Ctenotus eurydice"
151,4258,794,25,"Ctenotus eurydice"
189,3723,1248,47,"Ctenotus eurydice"
179,3923,1005,46,"Ctenotus eurydice"
