"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
277,1949,1569,106,"Ctenotus kurnbudj"
259,1943,1459,111,"Ctenotus kurnbudj"
278,1588,1521,105,"Ctenotus kurnbudj"
279,1945,1439,104,"Ctenotus kurnbudj"
278,1748,1599,104,"Ctenotus kurnbudj"
277,1753,1594,107,"Ctenotus kurnbudj"
278,1774,1595,103,"Ctenotus kurnbudj"
276,1669,1597,106,"Ctenotus kurnbudj"
277,1619,1690,105,"Ctenotus kurnbudj"
279,1788,1529,104,"Ctenotus kurnbudj"
262,1858,1690,111,"Ctenotus kurnbudj"
278,1855,1541,106,"Ctenotus kurnbudj"
265,2047,1657,103,"Ctenotus kurnbudj"
278,1968,1450,105,"Ctenotus kurnbudj"
277,1801,1504,108,"Ctenotus kurnbudj"
277,1652,1600,108,"Ctenotus kurnbudj"
277,2022,1428,109,"Ctenotus kurnbudj"
274,1976,1759,105,"Ctenotus kurnbudj"
277,1726,1626,103,"Ctenotus kurnbudj"
278,1864,1564,106,"Ctenotus kurnbudj"
275,1624,1601,106,"Ctenotus kurnbudj"
276,2033,1482,103,"Ctenotus kurnbudj"
275,1835,1690,103,"Ctenotus kurnbudj"
275,1642,1740,107,"Ctenotus kurnbudj"
275,1811,1401,111,"Ctenotus kurnbudj"
276,1954,1622,105,"Ctenotus kurnbudj"
278,2009,1398,105,"Ctenotus kurnbudj"
277,2090,1448,104,"Ctenotus kurnbudj"
276,1840,1519,109,"Ctenotus kurnbudj"
278,1821,1502,107,"Ctenotus kurnbudj"
277,1773,1595,103,"Ctenotus kurnbudj"
276,2019,1506,101,"Ctenotus kurnbudj"
277,1842,1518,105,"Ctenotus kurnbudj"
262,1981,1293,106,"Ctenotus kurnbudj"
277,1722,1612,104,"Ctenotus kurnbudj"
277,2007,1481,105,"Ctenotus kurnbudj"
278,1980,1468,108,"Ctenotus kurnbudj"
277,1816,1523,108,"Ctenotus kurnbudj"
277,1775,1501,105,"Ctenotus kurnbudj"
277,2138,1173,107,"Ctenotus kurnbudj"
262,2060,1813,106,"Ctenotus kurnbudj"
276,1997,1501,104,"Ctenotus kurnbudj"
278,1668,1575,103,"Ctenotus kurnbudj"
278,1886,1505,102,"Ctenotus kurnbudj"
267,2069,1433,111,"Ctenotus kurnbudj"
278,1754,1540,103,"Ctenotus kurnbudj"
278,1631,1574,105,"Ctenotus kurnbudj"
278,1633,1596,106,"Ctenotus kurnbudj"
276,1562,1597,108,"Ctenotus kurnbudj"
276,1678,1617,105,"Ctenotus kurnbudj"
261,1907,1460,109,"Ctenotus kurnbudj"
278,1964,1502,104,"Ctenotus kurnbudj"
277,1929,1496,105,"Ctenotus kurnbudj"
278,1614,1601,106,"Ctenotus kurnbudj"
277,1665,1706,107,"Ctenotus kurnbudj"
277,2060,1478,106,"Ctenotus kurnbudj"
277,1713,1602,103,"Ctenotus kurnbudj"
277,1891,1426,111,"Ctenotus kurnbudj"
277,1728,1467,107,"Ctenotus kurnbudj"
277,1638,1561,108,"Ctenotus kurnbudj"
273,1885,1528,108,"Ctenotus kurnbudj"
278,1797,1488,104,"Ctenotus kurnbudj"
260,2076,1565,109,"Ctenotus kurnbudj"
262,2058,1807,104,"Ctenotus kurnbudj"
277,1700,1648,106,"Ctenotus kurnbudj"
276,1662,1591,107,"Ctenotus kurnbudj"
273,1902,1503,108,"Ctenotus kurnbudj"
278,1907,1439,108,"Ctenotus kurnbudj"
276,2067,1431,102,"Ctenotus kurnbudj"
254,1924,1654,108,"Ctenotus kurnbudj"
277,1767,1365,111,"Ctenotus kurnbudj"
279,1775,1505,106,"Ctenotus kurnbudj"
278,1851,1553,103,"Ctenotus kurnbudj"
277,2055,1338,103,"Ctenotus kurnbudj"
268,2079,1614,108,"Ctenotus kurnbudj"
262,2085,1715,103,"Ctenotus kurnbudj"
279,1701,1536,104,"Ctenotus kurnbudj"
277,1899,1558,105,"Ctenotus kurnbudj"
277,1966,1476,105,"Ctenotus kurnbudj"
277,2063,1422,104,"Ctenotus kurnbudj"
278,1771,1614,106,"Ctenotus kurnbudj"
264,2051,1755,109,"Ctenotus kurnbudj"
274,2017,1494,102,"Ctenotus kurnbudj"
274,2004,1584,107,"Ctenotus kurnbudj"
276,1592,1630,109,"Ctenotus kurnbudj"
277,1609,1577,108,"Ctenotus kurnbudj"
278,1704,1558,104,"Ctenotus kurnbudj"
278,1832,1575,103,"Ctenotus kurnbudj"
277,1585,1531,106,"Ctenotus kurnbudj"
277,1808,1585,105,"Ctenotus kurnbudj"
260,1928,1656,113,"Ctenotus kurnbudj"
278,1997,1473,107,"Ctenotus kurnbudj"
278,1861,1540,106,"Ctenotus kurnbudj"
275,1855,1705,104,"Ctenotus kurnbudj"
275,1601,1615,105,"Ctenotus kurnbudj"
262,2114,1609,103,"Ctenotus kurnbudj"
278,1799,1549,103,"Ctenotus kurnbudj"
278,1813,1524,107,"Ctenotus kurnbudj"
277,1801,1621,104,"Ctenotus kurnbudj"
277,1829,1615,104,"Ctenotus kurnbudj"
267,2064,1547,110,"Ctenotus kurnbudj"
261,2069,1589,112,"Ctenotus kurnbudj"
277,2054,1432,105,"Ctenotus kurnbudj"
278,1875,1483,109,"Ctenotus kurnbudj"
276,1680,1754,103,"Ctenotus kurnbudj"
277,2044,1412,106,"Ctenotus kurnbudj"
277,1991,1367,109,"Ctenotus kurnbudj"
277,1836,1477,104,"Ctenotus kurnbudj"
278,1924,1545,105,"Ctenotus kurnbudj"
277,1756,1465,106,"Ctenotus kurnbudj"
276,1896,1580,102,"Ctenotus kurnbudj"
278,1831,1595,106,"Ctenotus kurnbudj"
276,2030,1360,105,"Ctenotus kurnbudj"
270,1866,1489,115,"Ctenotus kurnbudj"
277,1930,1428,100,"Ctenotus kurnbudj"
277,1688,1641,106,"Ctenotus kurnbudj"
278,1647,1560,107,"Ctenotus kurnbudj"
278,1830,1566,106,"Ctenotus kurnbudj"
277,1805,1617,104,"Ctenotus kurnbudj"
279,1967,1351,103,"Ctenotus kurnbudj"
276,1639,1570,105,"Ctenotus kurnbudj"
278,1750,1558,104,"Ctenotus kurnbudj"
