"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
254,4550,451,95,"Ctenotus lateralis"
249,5358,325,86,"Ctenotus lateralis"
250,5920,268,69,"Ctenotus lateralis"
264,4106,523,112,"Ctenotus lateralis"
248,5759,293,73,"Ctenotus lateralis"
264,4092,528,111,"Ctenotus lateralis"
218,3848,794,87,"Ctenotus lateralis"
211,3551,731,99,"Ctenotus lateralis"
252,5195,402,93,"Ctenotus lateralis"
233,3852,525,97,"Ctenotus lateralis"
247,5304,352,95,"Ctenotus lateralis"
257,4747,419,97,"Ctenotus lateralis"
239,2956,1113,116,"Ctenotus lateralis"
250,5024,437,84,"Ctenotus lateralis"
250,5840,268,73,"Ctenotus lateralis"
247,4916,433,81,"Ctenotus lateralis"
271,3539,648,119,"Ctenotus lateralis"
229,3231,948,111,"Ctenotus lateralis"
251,4758,463,92,"Ctenotus lateralis"
266,3880,553,113,"Ctenotus lateralis"
248,4950,370,92,"Ctenotus lateralis"
264,3904,589,113,"Ctenotus lateralis"
244,4394,455,88,"Ctenotus lateralis"
252,4705,415,95,"Ctenotus lateralis"
237,4093,490,90,"Ctenotus lateralis"
249,4731,409,98,"Ctenotus lateralis"
242,3817,553,104,"Ctenotus lateralis"
247,5847,276,78,"Ctenotus lateralis"
245,5371,393,73,"Ctenotus lateralis"
270,3778,578,113,"Ctenotus lateralis"
247,5316,353,90,"Ctenotus lateralis"
249,4473,487,93,"Ctenotus lateralis"
250,3463,725,120,"Ctenotus lateralis"
259,3881,598,110,"Ctenotus lateralis"
244,5357,371,74,"Ctenotus lateralis"
251,5262,351,86,"Ctenotus lateralis"
243,5218,454,75,"Ctenotus lateralis"
220,3410,867,104,"Ctenotus lateralis"
249,5667,292,77,"Ctenotus lateralis"
250,5695,271,79,"Ctenotus lateralis"
224,3672,685,93,"Ctenotus lateralis"
247,5246,347,96,"Ctenotus lateralis"
263,4286,544,111,"Ctenotus lateralis"
251,5266,332,95,"Ctenotus lateralis"
245,5602,348,82,"Ctenotus lateralis"
241,4544,489,79,"Ctenotus lateralis"
271,3377,654,120,"Ctenotus lateralis"
251,4831,407,91,"Ctenotus lateralis"
236,4287,527,84,"Ctenotus lateralis"
246,5624,329,80,"Ctenotus lateralis"
226,3644,640,102,"Ctenotus lateralis"
245,5403,351,78,"Ctenotus lateralis"
248,5978,246,75,"Ctenotus lateralis"
249,5685,315,81,"Ctenotus lateralis"
255,3079,769,118,"Ctenotus lateralis"
235,3085,752,116,"Ctenotus lateralis"
249,6017,231,71,"Ctenotus lateralis"
262,4358,458,104,"Ctenotus lateralis"
247,5354,319,87,"Ctenotus lateralis"
251,5622,292,80,"Ctenotus lateralis"
249,6000,244,71,"Ctenotus lateralis"
243,5599,322,77,"Ctenotus lateralis"
263,4336,536,109,"Ctenotus lateralis"
240,3456,776,120,"Ctenotus lateralis"
254,4632,428,96,"Ctenotus lateralis"
263,2926,748,120,"Ctenotus lateralis"
269,3643,585,118,"Ctenotus lateralis"
252,5717,286,82,"Ctenotus lateralis"
245,5207,348,90,"Ctenotus lateralis"
268,3482,655,120,"Ctenotus lateralis"
244,4839,489,75,"Ctenotus lateralis"
243,5488,356,71,"Ctenotus lateralis"
266,3840,611,109,"Ctenotus lateralis"
245,5370,399,73,"Ctenotus lateralis"
241,4854,516,96,"Ctenotus lateralis"
255,4886,402,100,"Ctenotus lateralis"
246,5561,354,81,"Ctenotus lateralis"
239,3941,534,94,"Ctenotus lateralis"
269,3440,664,120,"Ctenotus lateralis"
252,4946,398,92,"Ctenotus lateralis"
