"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
266,3081,764,112,"Ctenotus militaris"
272,2366,843,116,"Ctenotus militaris"
282,2915,765,122,"Ctenotus militaris"
275,2977,807,112,"Ctenotus militaris"
281,2841,818,122,"Ctenotus militaris"
265,1931,1063,116,"Ctenotus militaris"
267,2349,947,112,"Ctenotus militaris"
270,2075,1022,114,"Ctenotus militaris"
276,3294,748,114,"Ctenotus militaris"
264,2311,1094,111,"Ctenotus militaris"
275,2824,892,110,"Ctenotus militaris"
268,2263,1274,117,"Ctenotus militaris"
275,1697,1195,119,"Ctenotus militaris"
274,3777,644,113,"Ctenotus militaris"
265,2123,965,116,"Ctenotus militaris"
256,2139,1126,111,"Ctenotus militaris"
276,2470,904,120,"Ctenotus militaris"
271,2240,929,109,"Ctenotus militaris"
272,1903,1101,110,"Ctenotus militaris"
280,2531,794,115,"Ctenotus militaris"
281,2822,823,112,"Ctenotus militaris"
262,2350,1037,118,"Ctenotus militaris"
272,2668,732,116,"Ctenotus militaris"
275,2826,967,124,"Ctenotus militaris"
268,2321,1202,113,"Ctenotus militaris"
252,2188,1266,111,"Ctenotus militaris"
274,2925,811,116,"Ctenotus militaris"
261,2412,1000,116,"Ctenotus militaris"
272,2748,824,118,"Ctenotus militaris"
280,2658,810,114,"Ctenotus militaris"
265,3352,671,119,"Ctenotus militaris"
278,3065,680,112,"Ctenotus militaris"
282,2330,1037,116,"Ctenotus militaris"
263,2055,1402,113,"Ctenotus militaris"
256,2433,1045,118,"Ctenotus militaris"
281,3600,620,111,"Ctenotus militaris"
262,2605,904,113,"Ctenotus militaris"
257,2249,1113,110,"Ctenotus militaris"
279,2449,725,108,"Ctenotus militaris"
272,2044,906,109,"Ctenotus militaris"
262,2782,1011,112,"Ctenotus militaris"
281,2879,881,112,"Ctenotus militaris"
272,2412,897,115,"Ctenotus militaris"
281,2194,1031,116,"Ctenotus militaris"
273,2662,889,118,"Ctenotus militaris"
280,3697,594,106,"Ctenotus militaris"
263,3160,699,118,"Ctenotus militaris"
272,2059,1514,111,"Ctenotus militaris"
259,2368,891,110,"Ctenotus militaris"
266,2464,843,111,"Ctenotus militaris"
274,2271,923,115,"Ctenotus militaris"
269,2345,868,113,"Ctenotus militaris"
273,2822,656,113,"Ctenotus militaris"
268,2632,906,120,"Ctenotus militaris"
270,2016,980,109,"Ctenotus militaris"
287,3251,642,112,"Ctenotus militaris"
269,2686,894,119,"Ctenotus militaris"
261,2754,804,110,"Ctenotus militaris"
253,2458,1036,116,"Ctenotus militaris"
264,1909,1273,110,"Ctenotus militaris"
271,2578,734,113,"Ctenotus militaris"
283,2185,864,117,"Ctenotus militaris"
272,2595,715,112,"Ctenotus militaris"
266,2792,646,112,"Ctenotus militaris"
261,2329,1039,118,"Ctenotus militaris"
278,1619,1006,120,"Ctenotus militaris"
272,3753,545,113,"Ctenotus militaris"
267,2676,755,113,"Ctenotus militaris"
277,2781,939,125,"Ctenotus militaris"
260,2150,1065,119,"Ctenotus militaris"
257,2521,949,116,"Ctenotus militaris"
268,3118,739,106,"Ctenotus militaris"
287,2717,723,108,"Ctenotus militaris"
270,2059,1105,123,"Ctenotus militaris"
282,3000,759,111,"Ctenotus militaris"
269,2132,1094,108,"Ctenotus militaris"
278,2329,950,110,"Ctenotus militaris"
265,1823,1505,125,"Ctenotus militaris"
274,2163,809,109,"Ctenotus militaris"
282,2451,754,119,"Ctenotus militaris"
262,3080,790,111,"Ctenotus militaris"
263,2429,1110,112,"Ctenotus militaris"
267,2404,809,112,"Ctenotus militaris"
282,2363,905,114,"Ctenotus militaris"
285,3181,616,114,"Ctenotus militaris"
276,3374,588,115,"Ctenotus militaris"
262,2455,944,116,"Ctenotus militaris"
259,2168,1191,108,"Ctenotus militaris"
286,2707,765,115,"Ctenotus militaris"
265,2487,850,111,"Ctenotus militaris"
281,3193,578,117,"Ctenotus militaris"
269,1935,1057,110,"Ctenotus militaris"
261,3228,715,116,"Ctenotus militaris"
277,3367,554,110,"Ctenotus militaris"
270,2776,894,112,"Ctenotus militaris"
265,2412,1098,112,"Ctenotus militaris"
264,2525,934,118,"Ctenotus militaris"
272,2799,675,113,"Ctenotus militaris"
265,3347,651,118,"Ctenotus militaris"
267,1885,1237,111,"Ctenotus militaris"
260,2378,994,117,"Ctenotus militaris"
266,2118,1030,117,"Ctenotus militaris"
288,2551,739,112,"Ctenotus militaris"
263,2426,874,110,"Ctenotus militaris"
275,2561,1005,122,"Ctenotus militaris"
281,2956,648,110,"Ctenotus militaris"
287,3167,660,112,"Ctenotus militaris"
280,2221,1085,114,"Ctenotus militaris"
263,3358,697,116,"Ctenotus militaris"
280,3086,628,115,"Ctenotus militaris"
252,2381,941,115,"Ctenotus militaris"
274,2732,903,119,"Ctenotus militaris"
272,3271,614,119,"Ctenotus militaris"
274,2164,810,111,"Ctenotus militaris"
264,2047,1146,108,"Ctenotus militaris"
273,2115,904,119,"Ctenotus militaris"
279,1992,1201,110,"Ctenotus militaris"
273,1790,1290,122,"Ctenotus militaris"
283,3339,701,112,"Ctenotus militaris"
278,1860,1245,115,"Ctenotus militaris"
279,3368,619,116,"Ctenotus militaris"
