"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
220,2144,1016,112,"Ctenotus monticola"
227,2879,774,107,"Ctenotus monticola"
221,2476,757,113,"Ctenotus monticola"
192,1948,1285,102,"Ctenotus monticola"
228,2157,1467,94,"Ctenotus monticola"
223,2282,875,108,"Ctenotus monticola"
220,2717,949,105,"Ctenotus monticola"
231,2207,922,110,"Ctenotus monticola"
227,2849,736,106,"Ctenotus monticola"
212,2781,885,102,"Ctenotus monticola"
213,2603,1031,109,"Ctenotus monticola"
226,2244,1526,97,"Ctenotus monticola"
216,2812,743,104,"Ctenotus monticola"
230,2345,750,109,"Ctenotus monticola"
227,2284,1363,99,"Ctenotus monticola"
235,2118,896,107,"Ctenotus monticola"
240,2622,1072,113,"Ctenotus monticola"
224,2787,748,105,"Ctenotus monticola"
225,2464,713,114,"Ctenotus monticola"
231,2340,867,112,"Ctenotus monticola"
223,2201,1089,108,"Ctenotus monticola"
233,2045,2392,89,"Ctenotus monticola"
220,1996,1935,97,"Ctenotus monticola"
222,2386,825,108,"Ctenotus monticola"
232,2277,1185,102,"Ctenotus monticola"
228,2637,712,108,"Ctenotus monticola"
187,1969,2130,93,"Ctenotus monticola"
210,2069,1375,107,"Ctenotus monticola"
235,2561,734,112,"Ctenotus monticola"
217,2540,894,95,"Ctenotus monticola"
191,1959,2245,91,"Ctenotus monticola"
236,2077,2372,88,"Ctenotus monticola"
235,2484,824,116,"Ctenotus monticola"
233,2778,791,108,"Ctenotus monticola"
235,2431,870,116,"Ctenotus monticola"
242,2369,765,113,"Ctenotus monticola"
231,2182,903,111,"Ctenotus monticola"
234,2859,783,110,"Ctenotus monticola"
229,2206,765,111,"Ctenotus monticola"
224,2374,816,108,"Ctenotus monticola"
231,2718,867,111,"Ctenotus monticola"
223,2162,977,106,"Ctenotus monticola"
230,2711,748,109,"Ctenotus monticola"
229,2420,799,112,"Ctenotus monticola"
212,1974,1729,101,"Ctenotus monticola"
233,2830,918,110,"Ctenotus monticola"
234,2703,845,113,"Ctenotus monticola"
231,2151,917,110,"Ctenotus monticola"
235,2433,708,113,"Ctenotus monticola"
232,2725,913,111,"Ctenotus monticola"
241,2340,812,112,"Ctenotus monticola"
222,2513,799,113,"Ctenotus monticola"
249,2417,769,112,"Ctenotus monticola"
234,2222,1137,98,"Ctenotus monticola"
232,2245,1071,100,"Ctenotus monticola"
234,2170,877,110,"Ctenotus monticola"
224,2730,831,108,"Ctenotus monticola"
243,2332,902,111,"Ctenotus monticola"
227,2828,726,105,"Ctenotus monticola"
240,2440,968,113,"Ctenotus monticola"
209,2683,841,101,"Ctenotus monticola"
225,2661,766,110,"Ctenotus monticola"
233,2209,1022,100,"Ctenotus monticola"
215,2636,1003,108,"Ctenotus monticola"
244,2628,704,112,"Ctenotus monticola"
238,2470,687,113,"Ctenotus monticola"
232,2499,1057,112,"Ctenotus monticola"
241,2306,763,111,"Ctenotus monticola"
194,1973,1628,94,"Ctenotus monticola"
235,2428,827,115,"Ctenotus monticola"
229,2502,710,113,"Ctenotus monticola"
209,2477,1138,111,"Ctenotus monticola"
225,2431,793,116,"Ctenotus monticola"
224,2680,878,107,"Ctenotus monticola"
218,2616,1111,107,"Ctenotus monticola"
203,2046,2217,92,"Ctenotus monticola"
211,2636,954,100,"Ctenotus monticola"
237,2498,698,112,"Ctenotus monticola"
206,2072,1326,109,"Ctenotus monticola"
235,2776,797,109,"Ctenotus monticola"
233,2297,938,102,"Ctenotus monticola"
197,1969,1830,97,"Ctenotus monticola"
207,2322,1405,103,"Ctenotus monticola"
226,2193,1355,96,"Ctenotus monticola"
225,2358,1303,103,"Ctenotus monticola"
207,2570,882,96,"Ctenotus monticola"
227,2856,996,108,"Ctenotus monticola"
213,2531,989,109,"Ctenotus monticola"
212,2307,1336,104,"Ctenotus monticola"
242,2339,751,113,"Ctenotus monticola"
239,2273,966,109,"Ctenotus monticola"
227,2525,878,112,"Ctenotus monticola"
238,2295,861,108,"Ctenotus monticola"
240,2803,822,111,"Ctenotus monticola"
228,2856,901,109,"Ctenotus monticola"
234,2807,760,108,"Ctenotus monticola"
229,2359,1072,99,"Ctenotus monticola"
240,2675,839,114,"Ctenotus monticola"
234,2318,751,111,"Ctenotus monticola"
236,2234,1026,104,"Ctenotus monticola"
239,2329,850,111,"Ctenotus monticola"
230,2227,1113,110,"Ctenotus monticola"
228,2608,830,111,"Ctenotus monticola"
239,2489,744,115,"Ctenotus monticola"
226,2499,1043,111,"Ctenotus monticola"
199,1943,1868,99,"Ctenotus monticola"
226,2402,767,109,"Ctenotus monticola"
232,2314,1095,102,"Ctenotus monticola"
235,2812,800,109,"Ctenotus monticola"
235,2817,898,110,"Ctenotus monticola"
228,2377,1178,101,"Ctenotus monticola"
241,2432,802,114,"Ctenotus monticola"
217,2413,1039,113,"Ctenotus monticola"
240,2339,853,111,"Ctenotus monticola"
222,2793,738,105,"Ctenotus monticola"
228,2599,777,107,"Ctenotus monticola"
