"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
241,1939,1241,112,"Ctenotus nullum"
221,2101,1451,99,"Ctenotus nullum"
255,1866,1656,99,"Ctenotus nullum"
192,1960,1869,99,"Ctenotus nullum"
242,2006,1700,96,"Ctenotus nullum"
250,1947,1368,103,"Ctenotus nullum"
235,1930,1354,108,"Ctenotus nullum"
254,1917,1089,109,"Ctenotus nullum"
249,2081,1042,111,"Ctenotus nullum"
255,1855,1081,107,"Ctenotus nullum"
237,1962,1341,100,"Ctenotus nullum"
247,1907,1662,99,"Ctenotus nullum"
196,1938,1402,103,"Ctenotus nullum"
251,1872,1150,106,"Ctenotus nullum"
225,2025,1285,103,"Ctenotus nullum"
214,2030,1339,95,"Ctenotus nullum"
245,1738,2126,96,"Ctenotus nullum"
249,1817,1538,100,"Ctenotus nullum"
191,1959,2245,91,"Ctenotus nullum"
229,2151,847,108,"Ctenotus nullum"
255,1898,1118,106,"Ctenotus nullum"
251,1756,1601,98,"Ctenotus nullum"
228,1896,2339,93,"Ctenotus nullum"
246,1911,1678,94,"Ctenotus nullum"
243,2024,1164,110,"Ctenotus nullum"
212,2001,2056,94,"Ctenotus nullum"
249,1890,1730,98,"Ctenotus nullum"
242,1894,1515,105,"Ctenotus nullum"
187,1969,2130,93,"Ctenotus nullum"
244,2037,1451,105,"Ctenotus nullum"
251,1959,1244,104,"Ctenotus nullum"
246,1977,947,114,"Ctenotus nullum"
245,2043,1462,102,"Ctenotus nullum"
250,1985,1249,104,"Ctenotus nullum"
251,1791,1319,104,"Ctenotus nullum"
237,2119,963,109,"Ctenotus nullum"
253,1888,1472,98,"Ctenotus nullum"
227,2010,1714,101,"Ctenotus nullum"
242,1898,1412,108,"Ctenotus nullum"
212,2097,1336,108,"Ctenotus nullum"
237,1954,1068,113,"Ctenotus nullum"
217,2095,1019,104,"Ctenotus nullum"
251,1803,1462,101,"Ctenotus nullum"
248,1993,1220,104,"Ctenotus nullum"
229,2206,917,108,"Ctenotus nullum"
257,1766,1509,97,"Ctenotus nullum"
241,1994,1427,100,"Ctenotus nullum"
205,1964,2121,95,"Ctenotus nullum"
250,1931,1170,106,"Ctenotus nullum"
241,1992,2063,86,"Ctenotus nullum"
237,2068,1138,106,"Ctenotus nullum"
247,1739,1952,97,"Ctenotus nullum"
233,2083,1004,109,"Ctenotus nullum"
215,1871,2362,95,"Ctenotus nullum"
222,2009,1742,99,"Ctenotus nullum"
208,2069,1227,97,"Ctenotus nullum"
251,2074,979,111,"Ctenotus nullum"
235,1802,1989,100,"Ctenotus nullum"
253,2055,945,111,"Ctenotus nullum"
236,1965,1984,91,"Ctenotus nullum"
257,1896,1113,107,"Ctenotus nullum"
243,1840,1688,101,"Ctenotus nullum"
227,2120,938,107,"Ctenotus nullum"
235,1946,1119,113,"Ctenotus nullum"
235,2044,2568,88,"Ctenotus nullum"
248,1974,1257,100,"Ctenotus nullum"
227,2161,1106,101,"Ctenotus nullum"
246,2056,1033,110,"Ctenotus nullum"
222,2151,1140,105,"Ctenotus nullum"
239,1941,1227,111,"Ctenotus nullum"
241,2049,1131,109,"Ctenotus nullum"
193,1948,1262,105,"Ctenotus nullum"
234,2043,1317,109,"Ctenotus nullum"
252,1944,1269,105,"Ctenotus nullum"
228,2060,2497,88,"Ctenotus nullum"
254,1914,1375,102,"Ctenotus nullum"
258,1854,1557,98,"Ctenotus nullum"
250,2050,936,111,"Ctenotus nullum"
193,1972,1275,103,"Ctenotus nullum"
249,1959,1036,110,"Ctenotus nullum"
245,2036,1251,100,"Ctenotus nullum"
258,1875,1519,98,"Ctenotus nullum"
255,1920,1069,109,"Ctenotus nullum"
245,2013,1135,109,"Ctenotus nullum"
237,2107,1018,110,"Ctenotus nullum"
236,2078,1649,93,"Ctenotus nullum"
239,2095,895,111,"Ctenotus nullum"
248,1808,1273,105,"Ctenotus nullum"
236,2123,968,109,"Ctenotus nullum"
256,1887,1079,107,"Ctenotus nullum"
248,1949,1250,101,"Ctenotus nullum"
245,2033,1662,92,"Ctenotus nullum"
253,1895,1508,102,"Ctenotus nullum"
251,1927,1361,105,"Ctenotus nullum"
249,2001,1305,105,"Ctenotus nullum"
250,2027,940,110,"Ctenotus nullum"
212,1970,1859,98,"Ctenotus nullum"
226,2064,1145,108,"Ctenotus nullum"
248,1849,1293,105,"Ctenotus nullum"
259,1764,1382,98,"Ctenotus nullum"
203,1992,1922,96,"Ctenotus nullum"
218,2098,1101,110,"Ctenotus nullum"
236,2094,943,110,"Ctenotus nullum"
244,1914,1591,99,"Ctenotus nullum"
247,2006,1422,106,"Ctenotus nullum"
250,1911,1459,104,"Ctenotus nullum"
257,1847,1705,98,"Ctenotus nullum"
232,2065,1075,110,"Ctenotus nullum"
212,2049,1257,96,"Ctenotus nullum"
190,1925,1700,100,"Ctenotus nullum"
225,2047,1329,105,"Ctenotus nullum"
241,2116,2530,87,"Ctenotus nullum"
249,1771,1431,101,"Ctenotus nullum"
188,1912,2414,91,"Ctenotus nullum"
251,1941,1266,103,"Ctenotus nullum"
244,2034,1296,107,"Ctenotus nullum"
235,2050,1344,108,"Ctenotus nullum"
248,1983,1439,105,"Ctenotus nullum"
255,1789,1784,97,"Ctenotus nullum"
246,2013,1437,105,"Ctenotus nullum"
