"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
168,2915,932,88,"Ctenotus ora"
156,3497,1066,75,"Ctenotus ora"
175,3384,915,81,"Ctenotus ora"
171,2636,851,82,"Ctenotus ora"
183,3640,988,84,"Ctenotus ora"
183,3321,904,82,"Ctenotus ora"
174,3161,895,83,"Ctenotus ora"
184,3633,969,82,"Ctenotus ora"
164,2498,1143,82,"Ctenotus ora"
181,3444,999,81,"Ctenotus ora"
182,3384,984,81,"Ctenotus ora"
171,3692,1254,87,"Ctenotus ora"
169,3250,908,84,"Ctenotus ora"
184,3521,921,82,"Ctenotus ora"
171,3301,872,83,"Ctenotus ora"
161,2992,952,84,"Ctenotus ora"
165,3270,937,80,"Ctenotus ora"
161,3109,918,73,"Ctenotus ora"
162,2685,1043,80,"Ctenotus ora"
158,3511,1069,82,"Ctenotus ora"
177,3336,958,79,"Ctenotus ora"
172,2776,865,83,"Ctenotus ora"
170,3013,872,83,"Ctenotus ora"
167,3714,1251,87,"Ctenotus ora"
182,3311,936,82,"Ctenotus ora"
163,3393,1046,79,"Ctenotus ora"
161,3380,994,83,"Ctenotus ora"
163,2984,841,71,"Ctenotus ora"
184,3734,955,84,"Ctenotus ora"
165,3273,834,79,"Ctenotus ora"
172,3171,844,80,"Ctenotus ora"
176,3228,924,81,"Ctenotus ora"
180,3722,1146,86,"Ctenotus ora"
161,2715,1074,77,"Ctenotus ora"
163,3652,1279,85,"Ctenotus ora"
164,3082,975,85,"Ctenotus ora"
172,3119,865,82,"Ctenotus ora"
179,3214,951,81,"Ctenotus ora"
167,3727,1286,85,"Ctenotus ora"
165,2525,1017,78,"Ctenotus ora"
184,3217,851,82,"Ctenotus ora"
165,3205,828,79,"Ctenotus ora"
172,2621,828,82,"Ctenotus ora"
182,3273,886,81,"Ctenotus ora"
168,2381,1196,84,"Ctenotus ora"
170,3458,1076,85,"Ctenotus ora"
171,2443,1123,84,"Ctenotus ora"
161,2785,970,74,"Ctenotus ora"
160,2905,1017,81,"Ctenotus ora"
160,3147,909,71,"Ctenotus ora"
166,2780,956,88,"Ctenotus ora"
165,2575,964,76,"Ctenotus ora"
169,2847,906,88,"Ctenotus ora"
182,3779,1057,85,"Ctenotus ora"
160,3594,1188,82,"Ctenotus ora"
172,2941,883,82,"Ctenotus ora"
163,2528,1155,82,"Ctenotus ora"
183,3506,954,83,"Ctenotus ora"
173,3534,1117,87,"Ctenotus ora"
180,3634,1095,86,"Ctenotus ora"
169,2399,1157,86,"Ctenotus ora"
161,2771,1028,76,"Ctenotus ora"
184,3630,928,82,"Ctenotus ora"
171,2870,884,84,"Ctenotus ora"
181,3159,976,82,"Ctenotus ora"
173,3084,867,83,"Ctenotus ora"
175,3264,909,82,"Ctenotus ora"
175,3643,1217,86,"Ctenotus ora"
167,3324,917,79,"Ctenotus ora"
170,3188,839,82,"Ctenotus ora"
165,3135,884,82,"Ctenotus ora"
165,2634,981,84,"Ctenotus ora"
175,3293,988,81,"Ctenotus ora"
173,3204,881,81,"Ctenotus ora"
161,3593,1072,76,"Ctenotus ora"
158,3537,1153,80,"Ctenotus ora"
184,3243,863,84,"Ctenotus ora"
167,3010,921,86,"Ctenotus ora"
166,2464,1143,84,"Ctenotus ora"
163,2639,1095,81,"Ctenotus ora"
171,2703,878,83,"Ctenotus ora"
163,3430,961,75,"Ctenotus ora"
181,3618,1043,84,"Ctenotus ora"
164,3441,1138,83,"Ctenotus ora"
164,2519,1016,77,"Ctenotus ora"
165,2443,1148,78,"Ctenotus ora"
173,3283,862,82,"Ctenotus ora"
176,3407,927,79,"Ctenotus ora"
161,3232,913,79,"Ctenotus ora"
179,3577,1091,84,"Ctenotus ora"
164,2618,1031,81,"Ctenotus ora"
179,3780,1136,88,"Ctenotus ora"
182,3533,992,83,"Ctenotus ora"
179,3464,979,79,"Ctenotus ora"
184,3359,882,83,"Ctenotus ora"
165,2406,1180,81,"Ctenotus ora"
177,3223,934,81,"Ctenotus ora"
183,3121,916,83,"Ctenotus ora"
173,3044,853,82,"Ctenotus ora"
174,3552,1139,85,"Ctenotus ora"
169,2586,866,80,"Ctenotus ora"
176,3308,913,80,"Ctenotus ora"
169,3351,970,85,"Ctenotus ora"
168,2595,855,82,"Ctenotus ora"
167,3184,908,82,"Ctenotus ora"
174,3266,878,82,"Ctenotus ora"
165,3276,859,72,"Ctenotus ora"
159,2854,1040,74,"Ctenotus ora"
173,3144,898,82,"Ctenotus ora"
172,3590,1024,86,"Ctenotus ora"
165,2532,1077,84,"Ctenotus ora"
180,3490,1019,80,"Ctenotus ora"
164,3509,1186,83,"Ctenotus ora"
164,2714,966,86,"Ctenotus ora"
161,3047,939,75,"Ctenotus ora"
172,2967,888,83,"Ctenotus ora"
181,3350,949,81,"Ctenotus ora"
183,3242,907,84,"Ctenotus ora"
162,2652,1050,75,"Ctenotus ora"
161,2927,860,71,"Ctenotus ora"
172,2846,881,83,"Ctenotus ora"
179,3362,969,79,"Ctenotus ora"
170,2753,878,85,"Ctenotus ora"
175,3168,876,82,"Ctenotus ora"
168,2372,1163,86,"Ctenotus ora"
185,3551,886,83,"Ctenotus ora"
164,2702,908,72,"Ctenotus ora"
165,3710,1321,80,"Ctenotus ora"
160,3650,1265,80,"Ctenotus ora"
184,3412,892,83,"Ctenotus ora"
177,3420,968,79,"Ctenotus ora"
155,3452,1137,80,"Ctenotus ora"
162,2699,1022,78,"Ctenotus ora"
171,3207,860,81,"Ctenotus ora"
177,3555,1118,84,"Ctenotus ora"
177,3255,949,81,"Ctenotus ora"
166,3350,864,82,"Ctenotus ora"
165,2550,963,80,"Ctenotus ora"
178,3433,965,79,"Ctenotus ora"
183,3130,896,84,"Ctenotus ora"
171,3486,903,84,"Ctenotus ora"
184,3535,931,83,"Ctenotus ora"
167,3422,1029,83,"Ctenotus ora"
180,3551,1038,82,"Ctenotus ora"
163,3056,820,72,"Ctenotus ora"
162,3443,1088,85,"Ctenotus ora"
185,3428,863,84,"Ctenotus ora"
180,3376,970,79,"Ctenotus ora"
178,3275,1047,82,"Ctenotus ora"
178,3277,960,81,"Ctenotus ora"
171,3032,894,82,"Ctenotus ora"
163,2769,955,80,"Ctenotus ora"
170,3534,1006,86,"Ctenotus ora"
160,2983,889,73,"Ctenotus ora"
181,3558,1036,82,"Ctenotus ora"
179,3275,1010,81,"Ctenotus ora"
160,2829,1052,81,"Ctenotus ora"
173,3410,944,86,"Ctenotus ora"
171,2940,868,84,"Ctenotus ora"
170,3081,868,82,"Ctenotus ora"
