"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
263,4682,441,99,"Ctenotus pallescens"
270,4208,481,109,"Ctenotus pallescens"
261,4886,408,98,"Ctenotus pallescens"
263,3788,575,112,"Ctenotus pallescens"
270,4143,511,109,"Ctenotus pallescens"
264,4574,427,101,"Ctenotus pallescens"
268,4061,559,107,"Ctenotus pallescens"
266,4248,451,112,"Ctenotus pallescens"
264,4617,451,101,"Ctenotus pallescens"
263,3835,566,112,"Ctenotus pallescens"
268,4263,481,104,"Ctenotus pallescens"
271,4046,474,112,"Ctenotus pallescens"
266,4325,444,115,"Ctenotus pallescens"
268,4277,473,104,"Ctenotus pallescens"
263,4463,465,109,"Ctenotus pallescens"
263,4756,413,96,"Ctenotus pallescens"
259,4697,401,98,"Ctenotus pallescens"
264,4722,422,94,"Ctenotus pallescens"
267,3814,566,111,"Ctenotus pallescens"
263,4201,495,107,"Ctenotus pallescens"
263,4818,389,96,"Ctenotus pallescens"
266,4532,430,102,"Ctenotus pallescens"
269,4342,462,105,"Ctenotus pallescens"
264,4040,476,110,"Ctenotus pallescens"
268,4425,442,103,"Ctenotus pallescens"
263,4679,425,99,"Ctenotus pallescens"
269,4070,494,106,"Ctenotus pallescens"
270,4066,460,107,"Ctenotus pallescens"
266,3941,559,106,"Ctenotus pallescens"
262,5002,413,91,"Ctenotus pallescens"
268,4449,452,104,"Ctenotus pallescens"
261,4976,419,91,"Ctenotus pallescens"
263,3649,556,110,"Ctenotus pallescens"
267,4185,463,108,"Ctenotus pallescens"
265,4569,469,101,"Ctenotus pallescens"
269,4057,498,113,"Ctenotus pallescens"
264,4060,461,116,"Ctenotus pallescens"
264,3645,614,109,"Ctenotus pallescens"
266,4361,442,112,"Ctenotus pallescens"
267,4312,482,110,"Ctenotus pallescens"
263,3966,522,113,"Ctenotus pallescens"
264,4216,464,114,"Ctenotus pallescens"
265,4144,475,110,"Ctenotus pallescens"
268,4315,483,106,"Ctenotus pallescens"
264,4615,399,98,"Ctenotus pallescens"
269,4443,458,105,"Ctenotus pallescens"
268,3940,540,109,"Ctenotus pallescens"
260,3800,575,114,"Ctenotus pallescens"
261,4663,422,99,"Ctenotus pallescens"
264,4613,442,100,"Ctenotus pallescens"
264,4709,385,96,"Ctenotus pallescens"
267,4173,470,107,"Ctenotus pallescens"
262,4542,409,106,"Ctenotus pallescens"
270,4116,471,107,"Ctenotus pallescens"
264,4725,385,97,"Ctenotus pallescens"
268,4348,433,106,"Ctenotus pallescens"
262,4817,408,97,"Ctenotus pallescens"
262,3899,535,114,"Ctenotus pallescens"
265,4396,447,104,"Ctenotus pallescens"
262,4948,451,92,"Ctenotus pallescens"
259,4906,419,99,"Ctenotus pallescens"
269,4250,473,105,"Ctenotus pallescens"
262,4765,438,96,"Ctenotus pallescens"
257,4789,463,98,"Ctenotus pallescens"
265,3973,517,108,"Ctenotus pallescens"
265,4527,426,102,"Ctenotus pallescens"
270,4280,466,108,"Ctenotus pallescens"
266,4658,449,100,"Ctenotus pallescens"
268,4303,473,104,"Ctenotus pallescens"
272,3998,495,108,"Ctenotus pallescens"
