"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
236,6334,205,48,"Ctenotus pantherinus"
244,6209,206,62,"Ctenotus pantherinus"
199,5563,261,37,"Ctenotus pantherinus"
206,6215,239,44,"Ctenotus pantherinus"
267,5365,354,87,"Ctenotus pantherinus"
178,5998,226,22,"Ctenotus pantherinus"
217,6109,212,44,"Ctenotus pantherinus"
237,6207,262,60,"Ctenotus pantherinus"
273,4906,398,100,"Ctenotus pantherinus"
263,3164,675,112,"Ctenotus pantherinus"
242,6520,157,57,"Ctenotus pantherinus"
258,5055,469,104,"Ctenotus pantherinus"
239,6369,214,50,"Ctenotus pantherinus"
263,4666,449,105,"Ctenotus pantherinus"
204,5995,166,25,"Ctenotus pantherinus"
261,3451,708,109,"Ctenotus pantherinus"
175,5985,250,31,"Ctenotus pantherinus"
266,4738,409,103,"Ctenotus pantherinus"
206,5572,498,38,"Ctenotus pantherinus"
252,5932,235,74,"Ctenotus pantherinus"
217,5995,219,51,"Ctenotus pantherinus"
254,4055,599,111,"Ctenotus pantherinus"
250,5383,335,90,"Ctenotus pantherinus"
228,6543,211,42,"Ctenotus pantherinus"
198,5064,211,27,"Ctenotus pantherinus"
263,3458,704,109,"Ctenotus pantherinus"
260,3849,563,113,"Ctenotus pantherinus"
237,6650,166,55,"Ctenotus pantherinus"
266,4395,437,110,"Ctenotus pantherinus"
252,5468,309,84,"Ctenotus pantherinus"
197,5845,239,22,"Ctenotus pantherinus"
247,6435,216,62,"Ctenotus pantherinus"
265,4596,407,98,"Ctenotus pantherinus"
198,5918,258,26,"Ctenotus pantherinus"
236,4362,588,79,"Ctenotus pantherinus"
203,5847,330,59,"Ctenotus pantherinus"
216,6079,253,56,"Ctenotus pantherinus"
231,6519,203,48,"Ctenotus pantherinus"
200,5948,297,53,"Ctenotus pantherinus"
193,5353,222,17,"Ctenotus pantherinus"
198,5459,230,30,"Ctenotus pantherinus"
257,5914,313,65,"Ctenotus pantherinus"
250,5526,277,89,"Ctenotus pantherinus"
214,6247,228,41,"Ctenotus pantherinus"
269,5841,301,76,"Ctenotus pantherinus"
