"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
246,6234,273,56,"Ctenotus quattuordecimlineatus"
215,6305,275,42,"Ctenotus quattuordecimlineatus"
257,5748,369,81,"Ctenotus quattuordecimlineatus"
264,5874,269,81,"Ctenotus quattuordecimlineatus"
229,6436,249,49,"Ctenotus quattuordecimlineatus"
248,6272,203,62,"Ctenotus quattuordecimlineatus"
245,6286,233,66,"Ctenotus quattuordecimlineatus"
267,4876,333,92,"Ctenotus quattuordecimlineatus"
232,5928,299,61,"Ctenotus quattuordecimlineatus"
224,6359,264,43,"Ctenotus quattuordecimlineatus"
245,6443,213,62,"Ctenotus quattuordecimlineatus"
268,5278,217,82,"Ctenotus quattuordecimlineatus"
266,5692,346,74,"Ctenotus quattuordecimlineatus"
259,6124,302,65,"Ctenotus quattuordecimlineatus"
255,5594,382,85,"Ctenotus quattuordecimlineatus"
260,6042,305,67,"Ctenotus quattuordecimlineatus"
253,5968,339,64,"Ctenotus quattuordecimlineatus"
269,5053,362,99,"Ctenotus quattuordecimlineatus"
250,6000,234,73,"Ctenotus quattuordecimlineatus"
261,6040,338,66,"Ctenotus quattuordecimlineatus"
265,4952,380,96,"Ctenotus quattuordecimlineatus"
231,6288,198,37,"Ctenotus quattuordecimlineatus"
241,6352,262,56,"Ctenotus quattuordecimlineatus"
268,5216,270,89,"Ctenotus quattuordecimlineatus"
236,6552,195,46,"Ctenotus quattuordecimlineatus"
247,5743,325,72,"Ctenotus quattuordecimlineatus"
213,6256,265,39,"Ctenotus quattuordecimlineatus"
231,6547,179,41,"Ctenotus quattuordecimlineatus"
257,5963,311,64,"Ctenotus quattuordecimlineatus"
245,6409,228,62,"Ctenotus quattuordecimlineatus"
229,6084,304,56,"Ctenotus quattuordecimlineatus"
257,6047,329,62,"Ctenotus quattuordecimlineatus"
266,5434,341,83,"Ctenotus quattuordecimlineatus"
250,6007,237,77,"Ctenotus quattuordecimlineatus"
263,4853,361,95,"Ctenotus quattuordecimlineatus"
253,5915,255,80,"Ctenotus quattuordecimlineatus"
260,5698,217,82,"Ctenotus quattuordecimlineatus"
254,6030,285,75,"Ctenotus quattuordecimlineatus"
256,5540,368,73,"Ctenotus quattuordecimlineatus"
250,6372,248,59,"Ctenotus quattuordecimlineatus"
258,6235,323,59,"Ctenotus quattuordecimlineatus"
251,6076,337,69,"Ctenotus quattuordecimlineatus"
258,6217,289,60,"Ctenotus quattuordecimlineatus"
224,6427,299,48,"Ctenotus quattuordecimlineatus"
254,6288,271,60,"Ctenotus quattuordecimlineatus"
254,6029,350,73,"Ctenotus quattuordecimlineatus"
236,6145,328,57,"Ctenotus quattuordecimlineatus"
242,6300,284,56,"Ctenotus quattuordecimlineatus"
264,4833,342,92,"Ctenotus quattuordecimlineatus"
246,6383,247,59,"Ctenotus quattuordecimlineatus"
217,6012,330,54,"Ctenotus quattuordecimlineatus"
220,6328,332,51,"Ctenotus quattuordecimlineatus"
256,5222,393,92,"Ctenotus quattuordecimlineatus"
249,6014,393,67,"Ctenotus quattuordecimlineatus"
218,6427,304,46,"Ctenotus quattuordecimlineatus"
247,5629,352,82,"Ctenotus quattuordecimlineatus"
242,6121,269,66,"Ctenotus quattuordecimlineatus"
264,4551,316,95,"Ctenotus quattuordecimlineatus"
247,6389,241,57,"Ctenotus quattuordecimlineatus"
253,5659,373,83,"Ctenotus quattuordecimlineatus"
214,6401,214,43,"Ctenotus quattuordecimlineatus"
270,4761,312,95,"Ctenotus quattuordecimlineatus"
250,6230,265,58,"Ctenotus quattuordecimlineatus"
269,5667,311,79,"Ctenotus quattuordecimlineatus"
245,6386,221,58,"Ctenotus quattuordecimlineatus"
250,6107,306,73,"Ctenotus quattuordecimlineatus"
247,6371,238,57,"Ctenotus quattuordecimlineatus"
272,3934,314,99,"Ctenotus quattuordecimlineatus"
219,6447,213,44,"Ctenotus quattuordecimlineatus"
232,6275,312,52,"Ctenotus quattuordecimlineatus"
216,6277,291,45,"Ctenotus quattuordecimlineatus"
230,6302,220,43,"Ctenotus quattuordecimlineatus"
248,6503,197,56,"Ctenotus quattuordecimlineatus"
267,4856,368,101,"Ctenotus quattuordecimlineatus"
260,5854,216,80,"Ctenotus quattuordecimlineatus"
271,3992,324,98,"Ctenotus quattuordecimlineatus"
246,6426,237,67,"Ctenotus quattuordecimlineatus"
209,6083,334,50,"Ctenotus quattuordecimlineatus"
245,5558,380,79,"Ctenotus quattuordecimlineatus"
247,6429,226,66,"Ctenotus quattuordecimlineatus"
243,6388,224,48,"Ctenotus quattuordecimlineatus"
262,6186,272,65,"Ctenotus quattuordecimlineatus"
255,5822,332,78,"Ctenotus quattuordecimlineatus"
254,6136,255,72,"Ctenotus quattuordecimlineatus"
220,6203,216,31,"Ctenotus quattuordecimlineatus"
261,5852,282,82,"Ctenotus quattuordecimlineatus"
242,6401,230,66,"Ctenotus quattuordecimlineatus"
221,6326,266,49,"Ctenotus quattuordecimlineatus"
239,5699,347,87,"Ctenotus quattuordecimlineatus"
253,5808,268,77,"Ctenotus quattuordecimlineatus"
224,6105,283,53,"Ctenotus quattuordecimlineatus"
225,6455,226,39,"Ctenotus quattuordecimlineatus"
246,6419,215,62,"Ctenotus quattuordecimlineatus"
215,6277,249,38,"Ctenotus quattuordecimlineatus"
249,6004,319,68,"Ctenotus quattuordecimlineatus"
272,4010,302,102,"Ctenotus quattuordecimlineatus"
254,6281,295,75,"Ctenotus quattuordecimlineatus"
249,5969,224,80,"Ctenotus quattuordecimlineatus"
215,6110,253,51,"Ctenotus quattuordecimlineatus"
242,6479,222,52,"Ctenotus quattuordecimlineatus"
258,6322,261,65,"Ctenotus quattuordecimlineatus"
241,5701,292,79,"Ctenotus quattuordecimlineatus"
260,5495,419,78,"Ctenotus quattuordecimlineatus"
256,5929,340,66,"Ctenotus quattuordecimlineatus"
243,6179,321,63,"Ctenotus quattuordecimlineatus"
266,4300,333,99,"Ctenotus quattuordecimlineatus"
265,6076,268,77,"Ctenotus quattuordecimlineatus"
254,6283,295,61,"Ctenotus quattuordecimlineatus"
247,6288,224,65,"Ctenotus quattuordecimlineatus"
221,6432,244,41,"Ctenotus quattuordecimlineatus"
187,6127,382,48,"Ctenotus quattuordecimlineatus"
256,5798,327,80,"Ctenotus quattuordecimlineatus"
239,6417,234,61,"Ctenotus quattuordecimlineatus"
261,6060,328,63,"Ctenotus quattuordecimlineatus"
216,6250,246,35,"Ctenotus quattuordecimlineatus"
212,6229,305,37,"Ctenotus quattuordecimlineatus"
275,3977,315,99,"Ctenotus quattuordecimlineatus"
238,6359,217,46,"Ctenotus quattuordecimlineatus"
218,6450,201,43,"Ctenotus quattuordecimlineatus"
273,4039,353,103,"Ctenotus quattuordecimlineatus"
262,5564,364,75,"Ctenotus quattuordecimlineatus"
260,5237,262,84,"Ctenotus quattuordecimlineatus"
244,6051,254,69,"Ctenotus quattuordecimlineatus"
263,6264,289,76,"Ctenotus quattuordecimlineatus"
246,6044,314,66,"Ctenotus quattuordecimlineatus"
263,4912,311,92,"Ctenotus quattuordecimlineatus"
269,5500,355,85,"Ctenotus quattuordecimlineatus"
259,5747,235,80,"Ctenotus quattuordecimlineatus"
239,6406,206,57,"Ctenotus quattuordecimlineatus"
247,6291,198,54,"Ctenotus quattuordecimlineatus"
237,6095,310,60,"Ctenotus quattuordecimlineatus"
239,6371,257,57,"Ctenotus quattuordecimlineatus"
263,6158,286,78,"Ctenotus quattuordecimlineatus"
249,5994,223,75,"Ctenotus quattuordecimlineatus"
260,6123,282,64,"Ctenotus quattuordecimlineatus"
264,5221,374,93,"Ctenotus quattuordecimlineatus"
221,6462,271,44,"Ctenotus quattuordecimlineatus"
266,4957,352,94,"Ctenotus quattuordecimlineatus"
232,6439,308,50,"Ctenotus quattuordecimlineatus"
239,6123,289,66,"Ctenotus quattuordecimlineatus"
243,6354,235,65,"Ctenotus quattuordecimlineatus"
267,5413,375,86,"Ctenotus quattuordecimlineatus"
250,6333,236,58,"Ctenotus quattuordecimlineatus"
263,5085,383,93,"Ctenotus quattuordecimlineatus"
243,5855,301,77,"Ctenotus quattuordecimlineatus"
233,5916,257,70,"Ctenotus quattuordecimlineatus"
258,5180,263,79,"Ctenotus quattuordecimlineatus"
230,6323,296,51,"Ctenotus quattuordecimlineatus"
263,6016,325,70,"Ctenotus quattuordecimlineatus"
266,5806,284,83,"Ctenotus quattuordecimlineatus"
252,5746,343,80,"Ctenotus quattuordecimlineatus"
224,6137,305,56,"Ctenotus quattuordecimlineatus"
233,6352,258,53,"Ctenotus quattuordecimlineatus"
269,4752,328,99,"Ctenotus quattuordecimlineatus"
243,6375,236,50,"Ctenotus quattuordecimlineatus"
254,5703,295,87,"Ctenotus quattuordecimlineatus"
253,5904,327,74,"Ctenotus quattuordecimlineatus"
261,5896,250,78,"Ctenotus quattuordecimlineatus"
235,5635,279,66,"Ctenotus quattuordecimlineatus"
254,6318,257,56,"Ctenotus quattuordecimlineatus"
235,6311,213,44,"Ctenotus quattuordecimlineatus"
241,5852,255,81,"Ctenotus quattuordecimlineatus"
267,5904,281,83,"Ctenotus quattuordecimlineatus"
249,6013,234,74,"Ctenotus quattuordecimlineatus"
248,6365,244,68,"Ctenotus quattuordecimlineatus"
240,6215,328,58,"Ctenotus quattuordecimlineatus"
265,5764,362,76,"Ctenotus quattuordecimlineatus"
249,5917,281,70,"Ctenotus quattuordecimlineatus"
265,4801,386,100,"Ctenotus quattuordecimlineatus"
245,6498,216,52,"Ctenotus quattuordecimlineatus"
248,6344,234,54,"Ctenotus quattuordecimlineatus"
235,6359,211,56,"Ctenotus quattuordecimlineatus"
214,6430,256,37,"Ctenotus quattuordecimlineatus"
232,5901,279,63,"Ctenotus quattuordecimlineatus"
236,6328,203,46,"Ctenotus quattuordecimlineatus"
249,6117,211,69,"Ctenotus quattuordecimlineatus"
240,5893,266,76,"Ctenotus quattuordecimlineatus"
249,6399,238,59,"Ctenotus quattuordecimlineatus"
248,6374,248,57,"Ctenotus quattuordecimlineatus"
250,6303,288,74,"Ctenotus quattuordecimlineatus"
238,6232,326,60,"Ctenotus quattuordecimlineatus"
253,6416,219,66,"Ctenotus quattuordecimlineatus"
213,6305,321,47,"Ctenotus quattuordecimlineatus"
249,6382,216,57,"Ctenotus quattuordecimlineatus"
271,5985,306,79,"Ctenotus quattuordecimlineatus"
242,6135,329,63,"Ctenotus quattuordecimlineatus"
220,6458,210,45,"Ctenotus quattuordecimlineatus"
228,6461,216,40,"Ctenotus quattuordecimlineatus"
260,5639,270,84,"Ctenotus quattuordecimlineatus"
248,6194,326,64,"Ctenotus quattuordecimlineatus"
265,6042,272,81,"Ctenotus quattuordecimlineatus"
246,6261,316,58,"Ctenotus quattuordecimlineatus"
249,5678,304,74,"Ctenotus quattuordecimlineatus"
236,6313,288,63,"Ctenotus quattuordecimlineatus"
206,6362,286,37,"Ctenotus quattuordecimlineatus"
264,5329,240,85,"Ctenotus quattuordecimlineatus"
213,6310,300,48,"Ctenotus quattuordecimlineatus"
251,5940,250,75,"Ctenotus quattuordecimlineatus"
228,6249,207,34,"Ctenotus quattuordecimlineatus"
261,4912,336,95,"Ctenotus quattuordecimlineatus"
273,4555,311,102,"Ctenotus quattuordecimlineatus"
231,6199,336,72,"Ctenotus quattuordecimlineatus"
263,6185,283,69,"Ctenotus quattuordecimlineatus"
255,5795,329,70,"Ctenotus quattuordecimlineatus"
258,5788,349,79,"Ctenotus quattuordecimlineatus"
239,6366,225,47,"Ctenotus quattuordecimlineatus"
219,6233,229,35,"Ctenotus quattuordecimlineatus"
233,6299,322,53,"Ctenotus quattuordecimlineatus"
274,4283,318,99,"Ctenotus quattuordecimlineatus"
264,5955,307,69,"Ctenotus quattuordecimlineatus"
261,5135,378,101,"Ctenotus quattuordecimlineatus"
252,6322,268,59,"Ctenotus quattuordecimlineatus"
258,5919,231,79,"Ctenotus quattuordecimlineatus"
270,4467,314,89,"Ctenotus quattuordecimlineatus"
221,6428,255,39,"Ctenotus quattuordecimlineatus"
257,5191,273,83,"Ctenotus quattuordecimlineatus"
268,5315,288,89,"Ctenotus quattuordecimlineatus"
256,5477,388,77,"Ctenotus quattuordecimlineatus"
261,5863,272,82,"Ctenotus quattuordecimlineatus"
238,6459,212,52,"Ctenotus quattuordecimlineatus"
262,5749,272,84,"Ctenotus quattuordecimlineatus"
235,6047,324,59,"Ctenotus quattuordecimlineatus"
226,6377,313,51,"Ctenotus quattuordecimlineatus"
253,6065,341,71,"Ctenotus quattuordecimlineatus"
228,6479,219,43,"Ctenotus quattuordecimlineatus"
268,4396,363,99,"Ctenotus quattuordecimlineatus"
266,5216,368,90,"Ctenotus quattuordecimlineatus"
264,6040,289,68,"Ctenotus quattuordecimlineatus"
264,5618,333,80,"Ctenotus quattuordecimlineatus"
251,5964,253,78,"Ctenotus quattuordecimlineatus"
232,5771,300,65,"Ctenotus quattuordecimlineatus"
266,5409,359,84,"Ctenotus quattuordecimlineatus"
271,4395,326,99,"Ctenotus quattuordecimlineatus"
266,4935,385,100,"Ctenotus quattuordecimlineatus"
233,6229,330,69,"Ctenotus quattuordecimlineatus"
223,6243,296,51,"Ctenotus quattuordecimlineatus"
236,5633,360,72,"Ctenotus quattuordecimlineatus"
206,6016,347,51,"Ctenotus quattuordecimlineatus"
256,5395,286,82,"Ctenotus quattuordecimlineatus"
263,5908,323,72,"Ctenotus quattuordecimlineatus"
272,3984,336,98,"Ctenotus quattuordecimlineatus"
270,4832,413,104,"Ctenotus quattuordecimlineatus"
261,5282,226,82,"Ctenotus quattuordecimlineatus"
266,4981,292,87,"Ctenotus quattuordecimlineatus"
221,5190,536,89,"Ctenotus quattuordecimlineatus"
270,5718,313,81,"Ctenotus quattuordecimlineatus"
233,5700,351,68,"Ctenotus quattuordecimlineatus"
230,5917,315,72,"Ctenotus quattuordecimlineatus"
233,5717,342,71,"Ctenotus quattuordecimlineatus"
258,5931,251,77,"Ctenotus quattuordecimlineatus"
267,4697,337,94,"Ctenotus quattuordecimlineatus"
265,5273,365,88,"Ctenotus quattuordecimlineatus"
258,6098,324,61,"Ctenotus quattuordecimlineatus"
251,6318,252,72,"Ctenotus quattuordecimlineatus"
259,6211,244,75,"Ctenotus quattuordecimlineatus"
256,6048,253,74,"Ctenotus quattuordecimlineatus"
229,6248,206,36,"Ctenotus quattuordecimlineatus"
221,6143,324,51,"Ctenotus quattuordecimlineatus"
251,5811,275,81,"Ctenotus quattuordecimlineatus"
224,6474,262,42,"Ctenotus quattuordecimlineatus"
213,6402,228,41,"Ctenotus quattuordecimlineatus"
229,6380,336,53,"Ctenotus quattuordecimlineatus"
240,6516,185,53,"Ctenotus quattuordecimlineatus"
242,6586,194,46,"Ctenotus quattuordecimlineatus"
261,5777,362,70,"Ctenotus quattuordecimlineatus"
267,5285,368,91,"Ctenotus quattuordecimlineatus"
250,5963,263,76,"Ctenotus quattuordecimlineatus"
224,6385,249,41,"Ctenotus quattuordecimlineatus"
211,5891,381,62,"Ctenotus quattuordecimlineatus"
273,4359,318,99,"Ctenotus quattuordecimlineatus"
265,5781,326,69,"Ctenotus quattuordecimlineatus"
243,6602,189,48,"Ctenotus quattuordecimlineatus"
259,5514,347,90,"Ctenotus quattuordecimlineatus"
246,6483,226,54,"Ctenotus quattuordecimlineatus"
253,6097,331,62,"Ctenotus quattuordecimlineatus"
246,6281,215,62,"Ctenotus quattuordecimlineatus"
242,6524,198,51,"Ctenotus quattuordecimlineatus"
259,6247,264,60,"Ctenotus quattuordecimlineatus"
239,6320,357,57,"Ctenotus quattuordecimlineatus"
211,6393,242,37,"Ctenotus quattuordecimlineatus"
226,6269,338,50,"Ctenotus quattuordecimlineatus"
223,6405,299,41,"Ctenotus quattuordecimlineatus"
265,4706,366,98,"Ctenotus quattuordecimlineatus"
256,6240,294,62,"Ctenotus quattuordecimlineatus"
232,5715,308,66,"Ctenotus quattuordecimlineatus"
261,5222,272,83,"Ctenotus quattuordecimlineatus"
267,5158,267,88,"Ctenotus quattuordecimlineatus"
254,6222,230,71,"Ctenotus quattuordecimlineatus"
234,5702,387,71,"Ctenotus quattuordecimlineatus"
256,5740,397,80,"Ctenotus quattuordecimlineatus"
241,5954,236,76,"Ctenotus quattuordecimlineatus"
243,6322,231,50,"Ctenotus quattuordecimlineatus"
260,6254,278,67,"Ctenotus quattuordecimlineatus"
254,5605,313,89,"Ctenotus quattuordecimlineatus"
223,6441,245,43,"Ctenotus quattuordecimlineatus"
247,6495,213,55,"Ctenotus quattuordecimlineatus"
250,6111,327,61,"Ctenotus quattuordecimlineatus"
256,6188,292,60,"Ctenotus quattuordecimlineatus"
218,6176,239,32,"Ctenotus quattuordecimlineatus"
205,6352,311,40,"Ctenotus quattuordecimlineatus"
264,5631,366,80,"Ctenotus quattuordecimlineatus"
236,6350,232,52,"Ctenotus quattuordecimlineatus"
241,6378,234,65,"Ctenotus quattuordecimlineatus"
248,6327,238,62,"Ctenotus quattuordecimlineatus"
219,6072,359,61,"Ctenotus quattuordecimlineatus"
253,6060,336,59,"Ctenotus quattuordecimlineatus"
255,6256,251,57,"Ctenotus quattuordecimlineatus"
266,6160,269,70,"Ctenotus quattuordecimlineatus"
218,6450,243,38,"Ctenotus quattuordecimlineatus"
243,5568,360,76,"Ctenotus quattuordecimlineatus"
254,5634,366,85,"Ctenotus quattuordecimlineatus"
272,5915,298,81,"Ctenotus quattuordecimlineatus"
263,6093,311,72,"Ctenotus quattuordecimlineatus"
266,6045,277,80,"Ctenotus quattuordecimlineatus"
264,5091,403,94,"Ctenotus quattuordecimlineatus"
238,6150,342,59,"Ctenotus quattuordecimlineatus"
212,6048,340,57,"Ctenotus quattuordecimlineatus"
263,4991,385,96,"Ctenotus quattuordecimlineatus"
249,6282,224,64,"Ctenotus quattuordecimlineatus"
266,5114,391,90,"Ctenotus quattuordecimlineatus"
272,4664,312,93,"Ctenotus quattuordecimlineatus"
241,6384,228,53,"Ctenotus quattuordecimlineatus"
249,6356,216,67,"Ctenotus quattuordecimlineatus"
251,6143,303,60,"Ctenotus quattuordecimlineatus"
241,6407,243,62,"Ctenotus quattuordecimlineatus"
257,6343,238,68,"Ctenotus quattuordecimlineatus"
253,5817,392,70,"Ctenotus quattuordecimlineatus"
236,6383,300,55,"Ctenotus quattuordecimlineatus"
238,5371,362,86,"Ctenotus quattuordecimlineatus"
247,6297,243,53,"Ctenotus quattuordecimlineatus"
239,6413,224,53,"Ctenotus quattuordecimlineatus"
245,6009,241,75,"Ctenotus quattuordecimlineatus"
216,6255,363,46,"Ctenotus quattuordecimlineatus"
258,6216,283,64,"Ctenotus quattuordecimlineatus"
252,5016,465,96,"Ctenotus quattuordecimlineatus"
237,6314,260,47,"Ctenotus quattuordecimlineatus"
251,5967,228,76,"Ctenotus quattuordecimlineatus"
237,6574,190,44,"Ctenotus quattuordecimlineatus"
233,6414,280,49,"Ctenotus quattuordecimlineatus"
247,5636,313,74,"Ctenotus quattuordecimlineatus"
215,6253,342,44,"Ctenotus quattuordecimlineatus"
244,6077,327,64,"Ctenotus quattuordecimlineatus"
273,4581,346,103,"Ctenotus quattuordecimlineatus"
243,5831,310,71,"Ctenotus quattuordecimlineatus"
257,5529,256,85,"Ctenotus quattuordecimlineatus"
216,6128,366,50,"Ctenotus quattuordecimlineatus"
226,6314,331,50,"Ctenotus quattuordecimlineatus"
266,5598,327,76,"Ctenotus quattuordecimlineatus"
221,5992,281,62,"Ctenotus quattuordecimlineatus"
244,5693,288,85,"Ctenotus quattuordecimlineatus"
217,6240,358,52,"Ctenotus quattuordecimlineatus"
258,6227,288,62,"Ctenotus quattuordecimlineatus"
212,6321,304,45,"Ctenotus quattuordecimlineatus"
259,6010,261,75,"Ctenotus quattuordecimlineatus"
257,5794,332,68,"Ctenotus quattuordecimlineatus"
231,6496,220,40,"Ctenotus quattuordecimlineatus"
254,6148,238,69,"Ctenotus quattuordecimlineatus"
230,6135,280,61,"Ctenotus quattuordecimlineatus"
225,6327,249,47,"Ctenotus quattuordecimlineatus"
265,6007,305,71,"Ctenotus quattuordecimlineatus"
268,4396,353,100,"Ctenotus quattuordecimlineatus"
265,6240,280,71,"Ctenotus quattuordecimlineatus"
244,6328,265,55,"Ctenotus quattuordecimlineatus"
243,6379,237,46,"Ctenotus quattuordecimlineatus"
239,6064,319,60,"Ctenotus quattuordecimlineatus"
267,5118,211,85,"Ctenotus quattuordecimlineatus"
251,6188,212,67,"Ctenotus quattuordecimlineatus"
230,6282,191,38,"Ctenotus quattuordecimlineatus"
267,5640,361,80,"Ctenotus quattuordecimlineatus"
246,5793,317,75,"Ctenotus quattuordecimlineatus"
252,6227,240,66,"Ctenotus quattuordecimlineatus"
267,5941,291,72,"Ctenotus quattuordecimlineatus"
222,6467,164,54,"Ctenotus quattuordecimlineatus"
252,6369,234,54,"Ctenotus quattuordecimlineatus"
252,5838,266,78,"Ctenotus quattuordecimlineatus"
271,4310,325,99,"Ctenotus quattuordecimlineatus"
264,4808,409,102,"Ctenotus quattuordecimlineatus"
216,6290,274,41,"Ctenotus quattuordecimlineatus"
243,6615,187,48,"Ctenotus quattuordecimlineatus"
238,5995,338,63,"Ctenotus quattuordecimlineatus"
247,6113,334,66,"Ctenotus quattuordecimlineatus"
237,5418,367,91,"Ctenotus quattuordecimlineatus"
264,5883,265,80,"Ctenotus quattuordecimlineatus"
225,6260,216,36,"Ctenotus quattuordecimlineatus"
236,5997,297,70,"Ctenotus quattuordecimlineatus"
228,6453,217,40,"Ctenotus quattuordecimlineatus"
223,6329,264,48,"Ctenotus quattuordecimlineatus"
247,6347,265,61,"Ctenotus quattuordecimlineatus"
247,6504,190,57,"Ctenotus quattuordecimlineatus"
235,6335,247,50,"Ctenotus quattuordecimlineatus"
219,6452,275,43,"Ctenotus quattuordecimlineatus"
211,6267,276,40,"Ctenotus quattuordecimlineatus"
229,6336,308,48,"Ctenotus quattuordecimlineatus"
242,6350,249,69,"Ctenotus quattuordecimlineatus"
271,3911,323,99,"Ctenotus quattuordecimlineatus"
255,6337,253,71,"Ctenotus quattuordecimlineatus"
247,6374,255,56,"Ctenotus quattuordecimlineatus"
251,5911,309,76,"Ctenotus quattuordecimlineatus"
241,6328,254,68,"Ctenotus quattuordecimlineatus"
249,6003,231,73,"Ctenotus quattuordecimlineatus"
265,5001,379,95,"Ctenotus quattuordecimlineatus"
198,6278,310,56,"Ctenotus quattuordecimlineatus"
242,6436,223,61,"Ctenotus quattuordecimlineatus"
248,6105,366,68,"Ctenotus quattuordecimlineatus"
249,6330,226,62,"Ctenotus quattuordecimlineatus"
241,5493,354,86,"Ctenotus quattuordecimlineatus"
259,5933,277,80,"Ctenotus quattuordecimlineatus"
271,3960,359,106,"Ctenotus quattuordecimlineatus"
241,6374,304,57,"Ctenotus quattuordecimlineatus"
268,4840,413,104,"Ctenotus quattuordecimlineatus"
248,6340,281,53,"Ctenotus quattuordecimlineatus"
243,6370,242,67,"Ctenotus quattuordecimlineatus"
224,6204,222,34,"Ctenotus quattuordecimlineatus"
237,6347,214,50,"Ctenotus quattuordecimlineatus"
265,4867,410,102,"Ctenotus quattuordecimlineatus"
226,6424,246,41,"Ctenotus quattuordecimlineatus"
235,5400,391,82,"Ctenotus quattuordecimlineatus"
238,5918,284,74,"Ctenotus quattuordecimlineatus"
247,6158,216,65,"Ctenotus quattuordecimlineatus"
242,6610,190,45,"Ctenotus quattuordecimlineatus"
239,6370,211,48,"Ctenotus quattuordecimlineatus"
259,5690,401,84,"Ctenotus quattuordecimlineatus"
265,5762,331,77,"Ctenotus quattuordecimlineatus"
253,5920,250,74,"Ctenotus quattuordecimlineatus"
237,6112,311,69,"Ctenotus quattuordecimlineatus"
255,6207,240,72,"Ctenotus quattuordecimlineatus"
255,5817,380,77,"Ctenotus quattuordecimlineatus"
247,6411,243,67,"Ctenotus quattuordecimlineatus"
243,6571,201,47,"Ctenotus quattuordecimlineatus"
231,6523,187,41,"Ctenotus quattuordecimlineatus"
259,6172,284,77,"Ctenotus quattuordecimlineatus"
264,4595,388,98,"Ctenotus quattuordecimlineatus"
245,6422,231,66,"Ctenotus quattuordecimlineatus"
218,6298,334,50,"Ctenotus quattuordecimlineatus"
256,5871,355,65,"Ctenotus quattuordecimlineatus"
252,5609,349,83,"Ctenotus quattuordecimlineatus"
271,4090,324,105,"Ctenotus quattuordecimlineatus"
223,6280,266,48,"Ctenotus quattuordecimlineatus"
248,6297,236,67,"Ctenotus quattuordecimlineatus"
243,5754,284,84,"Ctenotus quattuordecimlineatus"
246,5799,284,83,"Ctenotus quattuordecimlineatus"
219,6449,213,43,"Ctenotus quattuordecimlineatus"
241,5653,295,81,"Ctenotus quattuordecimlineatus"
256,5997,339,74,"Ctenotus quattuordecimlineatus"
263,5963,345,71,"Ctenotus quattuordecimlineatus"
227,6400,257,48,"Ctenotus quattuordecimlineatus"
258,6293,278,75,"Ctenotus quattuordecimlineatus"
237,6056,335,60,"Ctenotus quattuordecimlineatus"
267,5820,309,85,"Ctenotus quattuordecimlineatus"
265,6005,272,80,"Ctenotus quattuordecimlineatus"
263,5485,198,80,"Ctenotus quattuordecimlineatus"
220,6204,240,34,"Ctenotus quattuordecimlineatus"
266,6042,245,79,"Ctenotus quattuordecimlineatus"
257,6236,259,57,"Ctenotus quattuordecimlineatus"
243,6416,214,60,"Ctenotus quattuordecimlineatus"
212,6408,254,37,"Ctenotus quattuordecimlineatus"
242,6614,185,46,"Ctenotus quattuordecimlineatus"
226,6247,213,34,"Ctenotus quattuordecimlineatus"
255,5774,401,76,"Ctenotus quattuordecimlineatus"
211,6322,312,45,"Ctenotus quattuordecimlineatus"
249,6366,245,57,"Ctenotus quattuordecimlineatus"
260,5953,244,77,"Ctenotus quattuordecimlineatus"
265,5474,256,85,"Ctenotus quattuordecimlineatus"
248,6128,221,65,"Ctenotus quattuordecimlineatus"
268,5126,342,91,"Ctenotus quattuordecimlineatus"
249,6274,263,67,"Ctenotus quattuordecimlineatus"
253,5905,350,65,"Ctenotus quattuordecimlineatus"
