"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
242,5202,415,94,"Ctenotus rutilans"
232,5168,419,87,"Ctenotus rutilans"
262,5157,372,103,"Ctenotus rutilans"
251,5537,326,81,"Ctenotus rutilans"
252,5519,337,95,"Ctenotus rutilans"
246,5339,337,97,"Ctenotus rutilans"
240,5660,351,85,"Ctenotus rutilans"
256,5319,312,98,"Ctenotus rutilans"
252,6083,236,74,"Ctenotus rutilans"
254,6136,233,69,"Ctenotus rutilans"
234,5416,361,82,"Ctenotus rutilans"
263,5870,227,78,"Ctenotus rutilans"
259,5107,385,96,"Ctenotus rutilans"
242,5612,332,87,"Ctenotus rutilans"
238,5334,350,85,"Ctenotus rutilans"
237,5413,397,92,"Ctenotus rutilans"
243,5215,393,88,"Ctenotus rutilans"
262,5699,256,86,"Ctenotus rutilans"
255,5322,448,96,"Ctenotus rutilans"
242,5206,366,90,"Ctenotus rutilans"
247,5494,352,80,"Ctenotus rutilans"
248,5904,295,77,"Ctenotus rutilans"
253,5739,302,77,"Ctenotus rutilans"
257,5280,416,95,"Ctenotus rutilans"
233,5383,393,94,"Ctenotus rutilans"
248,5932,268,77,"Ctenotus rutilans"
261,5240,373,96,"Ctenotus rutilans"
242,5433,378,86,"Ctenotus rutilans"
241,5735,299,87,"Ctenotus rutilans"
244,4981,386,98,"Ctenotus rutilans"
262,5575,286,92,"Ctenotus rutilans"
236,5428,358,92,"Ctenotus rutilans"
261,5947,234,68,"Ctenotus rutilans"
257,5109,382,100,"Ctenotus rutilans"
255,4824,363,96,"Ctenotus rutilans"
238,5486,411,85,"Ctenotus rutilans"
236,5467,410,83,"Ctenotus rutilans"
252,6010,283,77,"Ctenotus rutilans"
255,5077,376,101,"Ctenotus rutilans"
254,5983,319,78,"Ctenotus rutilans"
242,5215,372,89,"Ctenotus rutilans"
243,5124,441,91,"Ctenotus rutilans"
246,5671,372,85,"Ctenotus rutilans"
245,4933,399,94,"Ctenotus rutilans"
241,5640,309,88,"Ctenotus rutilans"
232,5296,498,91,"Ctenotus rutilans"
244,5697,329,82,"Ctenotus rutilans"
