"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
257,5498,405,90,"Ctenotus saxatilis"
249,5390,351,96,"Ctenotus saxatilis"
231,6620,157,43,"Ctenotus saxatilis"
200,5895,150,23,"Ctenotus saxatilis"
267,5419,338,94,"Ctenotus saxatilis"
275,4073,309,98,"Ctenotus saxatilis"
254,6248,240,67,"Ctenotus saxatilis"
243,6359,252,56,"Ctenotus saxatilis"
276,3707,576,114,"Ctenotus saxatilis"
194,5654,157,19,"Ctenotus saxatilis"
223,6229,236,37,"Ctenotus saxatilis"
267,4160,460,108,"Ctenotus saxatilis"
249,5470,395,95,"Ctenotus saxatilis"
246,6244,286,56,"Ctenotus saxatilis"
265,4884,418,98,"Ctenotus saxatilis"
247,6499,221,55,"Ctenotus saxatilis"
253,5443,363,88,"Ctenotus saxatilis"
272,4318,481,106,"Ctenotus saxatilis"
265,4498,429,102,"Ctenotus saxatilis"
194,5630,166,14,"Ctenotus saxatilis"
272,5050,370,96,"Ctenotus saxatilis"
231,6119,299,60,"Ctenotus saxatilis"
188,4937,182,11,"Ctenotus saxatilis"
211,6274,179,28,"Ctenotus saxatilis"
198,5795,153,23,"Ctenotus saxatilis"
211,6227,133,25,"Ctenotus saxatilis"
204,5725,251,25,"Ctenotus saxatilis"
222,6473,156,27,"Ctenotus saxatilis"
263,5960,311,69,"Ctenotus saxatilis"
276,4711,409,106,"Ctenotus saxatilis"
189,5142,190,18,"Ctenotus saxatilis"
227,6560,139,29,"Ctenotus saxatilis"
278,3970,446,108,"Ctenotus saxatilis"
268,4205,524,111,"Ctenotus saxatilis"
221,6473,201,45,"Ctenotus saxatilis"
188,5392,179,10,"Ctenotus saxatilis"
262,4838,350,94,"Ctenotus saxatilis"
208,6260,280,39,"Ctenotus saxatilis"
289,3421,553,117,"Ctenotus saxatilis"
197,5866,160,25,"Ctenotus saxatilis"
261,6078,296,65,"Ctenotus saxatilis"
271,5789,306,86,"Ctenotus saxatilis"
223,6353,294,50,"Ctenotus saxatilis"
226,6460,137,38,"Ctenotus saxatilis"
206,5409,217,22,"Ctenotus saxatilis"
253,5669,345,82,"Ctenotus saxatilis"
269,4314,388,101,"Ctenotus saxatilis"
268,5693,290,90,"Ctenotus saxatilis"
205,5947,212,16,"Ctenotus saxatilis"
188,5142,200,12,"Ctenotus saxatilis"
206,6017,178,16,"Ctenotus saxatilis"
275,3038,687,120,"Ctenotus saxatilis"
256,6278,242,58,"Ctenotus saxatilis"
249,5673,324,85,"Ctenotus saxatilis"
265,3690,640,110,"Ctenotus saxatilis"
198,5843,225,24,"Ctenotus saxatilis"
261,5640,273,88,"Ctenotus saxatilis"
219,6268,134,30,"Ctenotus saxatilis"
276,3444,691,106,"Ctenotus saxatilis"
213,6207,162,26,"Ctenotus saxatilis"
247,4972,412,95,"Ctenotus saxatilis"
262,4711,383,95,"Ctenotus saxatilis"
244,5493,357,89,"Ctenotus saxatilis"
195,5577,213,15,"Ctenotus saxatilis"
213,6297,172,35,"Ctenotus saxatilis"
186,4844,185,12,"Ctenotus saxatilis"
253,6113,310,61,"Ctenotus saxatilis"
266,4038,515,108,"Ctenotus saxatilis"
206,6083,206,36,"Ctenotus saxatilis"
227,6449,174,31,"Ctenotus saxatilis"
198,5737,243,21,"Ctenotus saxatilis"
212,6325,323,46,"Ctenotus saxatilis"
227,6447,274,47,"Ctenotus saxatilis"
220,6464,233,40,"Ctenotus saxatilis"
240,6009,325,63,"Ctenotus saxatilis"
276,3220,751,113,"Ctenotus saxatilis"
247,6175,235,68,"Ctenotus saxatilis"
211,6004,256,25,"Ctenotus saxatilis"
261,5222,431,93,"Ctenotus saxatilis"
259,5003,368,94,"Ctenotus saxatilis"
266,2927,762,110,"Ctenotus saxatilis"
257,5000,523,102,"Ctenotus saxatilis"
225,6488,136,32,"Ctenotus saxatilis"
271,3941,344,104,"Ctenotus saxatilis"
253,5892,262,78,"Ctenotus saxatilis"
257,5209,367,98,"Ctenotus saxatilis"
255,5963,360,70,"Ctenotus saxatilis"
266,3601,611,118,"Ctenotus saxatilis"
228,6061,297,55,"Ctenotus saxatilis"
272,4094,506,119,"Ctenotus saxatilis"
198,5741,172,21,"Ctenotus saxatilis"
241,5576,380,74,"Ctenotus saxatilis"
239,6628,155,54,"Ctenotus saxatilis"
232,6638,152,42,"Ctenotus saxatilis"
261,5026,427,94,"Ctenotus saxatilis"
201,5879,155,24,"Ctenotus saxatilis"
205,6326,243,37,"Ctenotus saxatilis"
259,5161,455,99,"Ctenotus saxatilis"
