"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
247,4976,396,82,"Ctenotus schevilli"
246,5023,381,78,"Ctenotus schevilli"
225,3934,507,91,"Ctenotus schevilli"
249,5145,407,94,"Ctenotus schevilli"
244,5384,350,80,"Ctenotus schevilli"
234,4052,488,89,"Ctenotus schevilli"
246,5245,383,75,"Ctenotus schevilli"
256,4254,473,100,"Ctenotus schevilli"
243,5442,389,79,"Ctenotus schevilli"
248,5153,413,75,"Ctenotus schevilli"
244,4892,474,76,"Ctenotus schevilli"
249,4559,448,91,"Ctenotus schevilli"
245,5124,441,73,"Ctenotus schevilli"
249,4665,412,89,"Ctenotus schevilli"
253,5005,395,92,"Ctenotus schevilli"
244,5436,392,70,"Ctenotus schevilli"
250,4573,456,91,"Ctenotus schevilli"
243,5579,382,75,"Ctenotus schevilli"
249,5036,396,84,"Ctenotus schevilli"
243,5525,345,74,"Ctenotus schevilli"
256,4294,522,100,"Ctenotus schevilli"
247,4574,476,88,"Ctenotus schevilli"
242,4663,489,77,"Ctenotus schevilli"
243,4587,454,79,"Ctenotus schevilli"
244,4848,471,73,"Ctenotus schevilli"
239,4780,511,73,"Ctenotus schevilli"
247,4915,428,81,"Ctenotus schevilli"
245,5212,423,71,"Ctenotus schevilli"
250,4974,403,87,"Ctenotus schevilli"
240,5288,432,62,"Ctenotus schevilli"
239,4404,495,83,"Ctenotus schevilli"
245,5239,426,69,"Ctenotus schevilli"
243,4733,486,77,"Ctenotus schevilli"
239,5005,476,61,"Ctenotus schevilli"
252,5004,388,91,"Ctenotus schevilli"
244,5397,389,69,"Ctenotus schevilli"
259,4384,455,101,"Ctenotus schevilli"
243,5149,421,69,"Ctenotus schevilli"
240,4258,477,90,"Ctenotus schevilli"
237,5358,435,61,"Ctenotus schevilli"
251,4619,464,94,"Ctenotus schevilli"
247,4499,469,91,"Ctenotus schevilli"
241,4841,455,71,"Ctenotus schevilli"
248,4725,465,87,"Ctenotus schevilli"
242,5454,377,76,"Ctenotus schevilli"
243,4733,485,79,"Ctenotus schevilli"
256,4549,432,97,"Ctenotus schevilli"
238,5046,462,61,"Ctenotus schevilli"
247,4909,439,82,"Ctenotus schevilli"
248,4999,417,81,"Ctenotus schevilli"
243,4767,491,77,"Ctenotus schevilli"
238,5229,404,59,"Ctenotus schevilli"
253,4463,436,94,"Ctenotus schevilli"
238,5300,438,57,"Ctenotus schevilli"
242,4627,480,79,"Ctenotus schevilli"
244,4812,446,84,"Ctenotus schevilli"
240,4433,502,82,"Ctenotus schevilli"
238,3988,508,95,"Ctenotus schevilli"
244,5123,400,75,"Ctenotus schevilli"
244,5251,395,75,"Ctenotus schevilli"
249,4466,461,90,"Ctenotus schevilli"
244,5181,408,73,"Ctenotus schevilli"
245,5133,423,72,"Ctenotus schevilli"
243,4726,493,75,"Ctenotus schevilli"
243,5210,434,72,"Ctenotus schevilli"
245,5176,400,74,"Ctenotus schevilli"
244,5233,434,74,"Ctenotus schevilli"
252,5177,402,86,"Ctenotus schevilli"
246,4335,491,95,"Ctenotus schevilli"
244,5173,441,75,"Ctenotus schevilli"
257,4644,429,101,"Ctenotus schevilli"
247,5268,401,81,"Ctenotus schevilli"
253,4921,406,97,"Ctenotus schevilli"
240,4455,498,81,"Ctenotus schevilli"
246,4967,401,80,"Ctenotus schevilli"
245,5517,328,79,"Ctenotus schevilli"
244,5588,371,73,"Ctenotus schevilli"
233,4001,486,93,"Ctenotus schevilli"
252,4843,438,92,"Ctenotus schevilli"
238,4188,475,88,"Ctenotus schevilli"
252,4936,396,95,"Ctenotus schevilli"
246,4877,436,86,"Ctenotus schevilli"
244,4373,446,89,"Ctenotus schevilli"
244,5469,351,72,"Ctenotus schevilli"
245,4982,453,75,"Ctenotus schevilli"
254,4921,413,94,"Ctenotus schevilli"
250,5039,434,95,"Ctenotus schevilli"
250,4425,456,95,"Ctenotus schevilli"
245,5435,345,77,"Ctenotus schevilli"
250,5578,298,80,"Ctenotus schevilli"
241,4194,526,91,"Ctenotus schevilli"
236,5019,501,59,"Ctenotus schevilli"
243,5541,390,67,"Ctenotus schevilli"
237,4363,543,87,"Ctenotus schevilli"
253,4348,458,100,"Ctenotus schevilli"
243,4772,508,76,"Ctenotus schevilli"
253,5010,408,93,"Ctenotus schevilli"
254,4598,429,95,"Ctenotus schevilli"
251,5380,356,86,"Ctenotus schevilli"
247,5014,391,78,"Ctenotus schevilli"
241,4908,499,67,"Ctenotus schevilli"
242,5247,457,67,"Ctenotus schevilli"
251,5161,378,87,"Ctenotus schevilli"
246,4978,386,80,"Ctenotus schevilli"
246,4868,454,82,"Ctenotus schevilli"
244,5170,409,73,"Ctenotus schevilli"
248,4599,460,86,"Ctenotus schevilli"
243,5513,391,69,"Ctenotus schevilli"
250,5118,388,98,"Ctenotus schevilli"
253,4405,444,97,"Ctenotus schevilli"
259,4268,492,100,"Ctenotus schevilli"
255,4898,388,97,"Ctenotus schevilli"
250,4990,406,87,"Ctenotus schevilli"
246,4559,458,86,"Ctenotus schevilli"
257,4599,439,99,"Ctenotus schevilli"
244,4969,502,77,"Ctenotus schevilli"
244,5425,372,81,"Ctenotus schevilli"
254,5106,383,92,"Ctenotus schevilli"
236,5238,439,57,"Ctenotus schevilli"
245,5326,407,74,"Ctenotus schevilli"
244,5459,381,80,"Ctenotus schevilli"
245,5402,401,69,"Ctenotus schevilli"
259,4489,443,102,"Ctenotus schevilli"
252,4588,467,94,"Ctenotus schevilli"
247,5104,396,74,"Ctenotus schevilli"
256,4137,483,102,"Ctenotus schevilli"
246,4803,415,86,"Ctenotus schevilli"
250,4996,393,85,"Ctenotus schevilli"
245,5189,415,71,"Ctenotus schevilli"
242,4923,496,70,"Ctenotus schevilli"
250,4968,414,86,"Ctenotus schevilli"
258,4621,421,101,"Ctenotus schevilli"
246,5349,362,79,"Ctenotus schevilli"
249,5252,418,82,"Ctenotus schevilli"
242,4614,493,77,"Ctenotus schevilli"
243,5290,414,78,"Ctenotus schevilli"
255,4268,494,100,"Ctenotus schevilli"
243,5562,342,79,"Ctenotus schevilli"
254,4890,408,96,"Ctenotus schevilli"
253,5501,304,86,"Ctenotus schevilli"
253,5249,370,86,"Ctenotus schevilli"
252,5299,374,88,"Ctenotus schevilli"
252,5061,407,89,"Ctenotus schevilli"
241,4492,508,82,"Ctenotus schevilli"
252,5402,316,94,"Ctenotus schevilli"
244,5411,347,77,"Ctenotus schevilli"
253,4836,408,96,"Ctenotus schevilli"
247,4729,463,88,"Ctenotus schevilli"
244,5269,391,74,"Ctenotus schevilli"
252,5473,335,88,"Ctenotus schevilli"
239,4333,612,91,"Ctenotus schevilli"
241,4542,482,79,"Ctenotus schevilli"
247,4743,452,90,"Ctenotus schevilli"
249,4402,463,95,"Ctenotus schevilli"
244,5537,361,68,"Ctenotus schevilli"
250,5355,359,95,"Ctenotus schevilli"
243,5475,376,73,"Ctenotus schevilli"
248,4789,402,87,"Ctenotus schevilli"
241,4909,473,66,"Ctenotus schevilli"
243,5134,466,76,"Ctenotus schevilli"
244,5435,400,70,"Ctenotus schevilli"
246,4450,463,89,"Ctenotus schevilli"
246,4172,432,95,"Ctenotus schevilli"
243,4622,451,79,"Ctenotus schevilli"
238,4334,512,85,"Ctenotus schevilli"
243,5408,357,71,"Ctenotus schevilli"
252,5353,328,96,"Ctenotus schevilli"
251,5370,327,84,"Ctenotus schevilli"
238,5189,441,63,"Ctenotus schevilli"
244,4698,472,81,"Ctenotus schevilli"
256,4817,415,95,"Ctenotus schevilli"
239,5261,418,61,"Ctenotus schevilli"
248,4670,451,87,"Ctenotus schevilli"
245,4762,474,80,"Ctenotus schevilli"
242,4607,478,79,"Ctenotus schevilli"
244,5531,372,67,"Ctenotus schevilli"
249,4453,500,94,"Ctenotus schevilli"
