"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
213,6394,203,41,"Ctenotus septenarius"
231,6543,162,40,"Ctenotus septenarius"
221,6415,175,31,"Ctenotus septenarius"
224,6485,227,45,"Ctenotus septenarius"
223,6451,177,32,"Ctenotus septenarius"
217,6384,202,39,"Ctenotus septenarius"
228,6442,256,42,"Ctenotus septenarius"
239,6606,180,43,"Ctenotus septenarius"
220,6419,176,34,"Ctenotus septenarius"
231,6494,217,40,"Ctenotus septenarius"
230,6546,191,50,"Ctenotus septenarius"
227,6468,230,41,"Ctenotus septenarius"
224,6411,321,41,"Ctenotus septenarius"
227,6412,263,42,"Ctenotus septenarius"
225,6492,178,36,"Ctenotus septenarius"
218,6415,200,41,"Ctenotus septenarius"
224,6467,223,43,"Ctenotus septenarius"
214,6374,206,39,"Ctenotus septenarius"
226,6503,151,39,"Ctenotus septenarius"
225,6407,245,43,"Ctenotus septenarius"
231,6536,195,44,"Ctenotus septenarius"
223,6408,330,43,"Ctenotus septenarius"
212,6356,233,41,"Ctenotus septenarius"
222,6459,148,39,"Ctenotus septenarius"
237,6594,181,42,"Ctenotus septenarius"
217,6391,200,39,"Ctenotus septenarius"
215,6410,221,42,"Ctenotus septenarius"
226,6480,189,32,"Ctenotus septenarius"
222,6422,288,42,"Ctenotus septenarius"
227,6467,225,43,"Ctenotus septenarius"
232,6551,155,40,"Ctenotus septenarius"
227,6510,153,35,"Ctenotus septenarius"
228,6521,147,35,"Ctenotus septenarius"
230,6526,196,45,"Ctenotus septenarius"
218,6448,235,45,"Ctenotus septenarius"
215,6401,214,43,"Ctenotus septenarius"
228,6480,216,38,"Ctenotus septenarius"
234,6567,179,40,"Ctenotus septenarius"
225,6493,153,34,"Ctenotus septenarius"
212,6371,229,39,"Ctenotus septenarius"
233,6560,169,41,"Ctenotus septenarius"
222,6449,261,40,"Ctenotus septenarius"
217,6439,214,42,"Ctenotus septenarius"
237,6586,165,42,"Ctenotus septenarius"
222,6452,233,40,"Ctenotus septenarius"
218,6448,229,40,"Ctenotus septenarius"
223,6473,173,49,"Ctenotus septenarius"
224,6484,174,47,"Ctenotus septenarius"
224,6478,183,34,"Ctenotus septenarius"
217,6436,231,41,"Ctenotus septenarius"
236,6599,178,38,"Ctenotus septenarius"
228,6518,202,50,"Ctenotus septenarius"
230,6503,221,38,"Ctenotus septenarius"
225,6499,180,53,"Ctenotus septenarius"
226,6464,221,38,"Ctenotus septenarius"
218,6421,209,55,"Ctenotus septenarius"
215,6245,368,44,"Ctenotus septenarius"
228,6509,183,40,"Ctenotus septenarius"
226,6475,233,39,"Ctenotus septenarius"
221,6453,230,43,"Ctenotus septenarius"
228,6467,267,43,"Ctenotus septenarius"
207,6346,262,36,"Ctenotus septenarius"
235,6587,179,37,"Ctenotus septenarius"
233,6522,171,42,"Ctenotus septenarius"
219,6424,183,39,"Ctenotus septenarius"
238,6593,183,44,"Ctenotus septenarius"
231,6541,156,36,"Ctenotus septenarius"
222,6467,257,40,"Ctenotus septenarius"
221,6435,279,41,"Ctenotus septenarius"
226,6488,231,40,"Ctenotus septenarius"
226,6445,211,40,"Ctenotus septenarius"
218,6435,198,54,"Ctenotus septenarius"
224,6440,251,40,"Ctenotus septenarius"
227,6439,247,45,"Ctenotus septenarius"
228,6524,170,37,"Ctenotus septenarius"
220,6460,211,45,"Ctenotus septenarius"
215,6369,218,41,"Ctenotus septenarius"
224,6485,223,47,"Ctenotus septenarius"
229,6521,170,32,"Ctenotus septenarius"
224,6495,200,45,"Ctenotus septenarius"
211,6368,235,39,"Ctenotus septenarius"
228,6510,174,34,"Ctenotus septenarius"
217,6434,194,44,"Ctenotus septenarius"
236,6583,176,41,"Ctenotus septenarius"
226,6443,230,41,"Ctenotus septenarius"
225,6450,227,39,"Ctenotus septenarius"
226,6499,223,44,"Ctenotus septenarius"
222,6477,226,45,"Ctenotus septenarius"
227,6429,289,41,"Ctenotus septenarius"
228,6459,221,40,"Ctenotus septenarius"
226,6390,243,43,"Ctenotus septenarius"
229,6530,198,44,"Ctenotus septenarius"
212,6380,229,40,"Ctenotus septenarius"
227,6419,287,42,"Ctenotus septenarius"
224,6491,197,45,"Ctenotus septenarius"
226,6431,241,40,"Ctenotus septenarius"
235,6552,197,46,"Ctenotus septenarius"
225,6472,178,32,"Ctenotus septenarius"
217,6421,207,58,"Ctenotus septenarius"
227,6518,170,39,"Ctenotus septenarius"
231,6530,176,36,"Ctenotus septenarius"
226,6460,250,42,"Ctenotus septenarius"
226,6426,266,41,"Ctenotus septenarius"
230,6525,201,45,"Ctenotus septenarius"
239,6608,179,42,"Ctenotus septenarius"
231,6546,200,38,"Ctenotus septenarius"
226,6396,302,43,"Ctenotus septenarius"
235,6586,176,37,"Ctenotus septenarius"
226,6431,261,41,"Ctenotus septenarius"
228,6468,256,42,"Ctenotus septenarius"
233,6559,171,41,"Ctenotus septenarius"
223,6470,253,40,"Ctenotus septenarius"
228,6519,182,37,"Ctenotus septenarius"
221,6468,231,39,"Ctenotus septenarius"
216,6421,189,44,"Ctenotus septenarius"
228,6487,204,42,"Ctenotus septenarius"
221,6473,215,46,"Ctenotus septenarius"
234,6569,191,38,"Ctenotus septenarius"
234,6547,195,43,"Ctenotus septenarius"
223,6340,331,45,"Ctenotus septenarius"
226,6449,240,42,"Ctenotus septenarius"
227,6441,222,40,"Ctenotus septenarius"
228,6520,205,46,"Ctenotus septenarius"
228,6482,209,40,"Ctenotus septenarius"
213,6377,215,40,"Ctenotus septenarius"
232,6552,174,37,"Ctenotus septenarius"
219,6451,216,49,"Ctenotus septenarius"
221,6462,186,58,"Ctenotus septenarius"
232,6553,170,35,"Ctenotus septenarius"
236,6589,178,36,"Ctenotus septenarius"
224,6494,197,49,"Ctenotus septenarius"
228,6523,165,35,"Ctenotus septenarius"
220,6439,174,31,"Ctenotus septenarius"
213,6366,212,40,"Ctenotus septenarius"
222,6419,303,41,"Ctenotus septenarius"
220,6411,175,34,"Ctenotus septenarius"
218,6283,316,45,"Ctenotus septenarius"
222,6422,263,39,"Ctenotus septenarius"
228,6467,230,41,"Ctenotus septenarius"
216,6430,198,42,"Ctenotus septenarius"
210,6383,237,38,"Ctenotus septenarius"
235,6582,175,38,"Ctenotus septenarius"
226,6383,308,43,"Ctenotus septenarius"
235,6581,170,38,"Ctenotus septenarius"
234,6520,215,45,"Ctenotus septenarius"
225,6488,219,44,"Ctenotus septenarius"
228,6395,297,48,"Ctenotus septenarius"
216,6409,217,54,"Ctenotus septenarius"
226,6496,215,50,"Ctenotus septenarius"
223,6477,230,42,"Ctenotus septenarius"
228,6471,211,38,"Ctenotus septenarius"
219,6416,182,35,"Ctenotus septenarius"
223,6455,152,31,"Ctenotus septenarius"
227,6506,152,34,"Ctenotus septenarius"
227,6484,226,37,"Ctenotus septenarius"
225,6491,209,41,"Ctenotus septenarius"
221,6437,162,32,"Ctenotus septenarius"
220,6435,158,31,"Ctenotus septenarius"
229,6529,180,50,"Ctenotus septenarius"
222,6456,143,33,"Ctenotus septenarius"
236,6575,185,44,"Ctenotus septenarius"
229,6463,283,44,"Ctenotus septenarius"
216,6384,216,41,"Ctenotus septenarius"
228,6482,225,38,"Ctenotus septenarius"
230,6430,278,47,"Ctenotus septenarius"
236,6589,174,38,"Ctenotus septenarius"
219,6434,196,52,"Ctenotus septenarius"
235,6578,181,38,"Ctenotus septenarius"
212,6353,243,41,"Ctenotus septenarius"
217,6406,206,44,"Ctenotus septenarius"
227,6511,188,39,"Ctenotus septenarius"
214,6391,230,54,"Ctenotus septenarius"
212,6378,229,39,"Ctenotus septenarius"
226,6468,207,44,"Ctenotus septenarius"
223,6472,135,34,"Ctenotus septenarius"
215,6396,227,42,"Ctenotus septenarius"
223,6381,316,42,"Ctenotus septenarius"
213,6354,225,42,"Ctenotus septenarius"
223,6402,308,42,"Ctenotus septenarius"
220,6420,180,36,"Ctenotus septenarius"
228,6525,175,50,"Ctenotus septenarius"
235,6577,175,42,"Ctenotus septenarius"
235,6577,177,37,"Ctenotus septenarius"
228,6518,200,46,"Ctenotus septenarius"
238,6601,180,43,"Ctenotus septenarius"
234,6563,188,43,"Ctenotus septenarius"
228,6519,179,39,"Ctenotus septenarius"
222,6465,156,36,"Ctenotus septenarius"
221,6342,377,44,"Ctenotus septenarius"
212,6377,224,39,"Ctenotus septenarius"
224,6483,146,36,"Ctenotus septenarius"
221,6451,242,42,"Ctenotus septenarius"
211,6379,202,38,"Ctenotus septenarius"
228,6474,258,43,"Ctenotus septenarius"
235,6581,190,37,"Ctenotus septenarius"
222,6481,211,45,"Ctenotus septenarius"
228,6459,238,42,"Ctenotus septenarius"
226,6511,166,54,"Ctenotus septenarius"
227,6512,198,41,"Ctenotus septenarius"
226,6485,210,46,"Ctenotus septenarius"
221,6461,192,58,"Ctenotus septenarius"
215,6405,219,56,"Ctenotus septenarius"
225,6473,180,31,"Ctenotus septenarius"
222,6461,246,41,"Ctenotus septenarius"
224,6429,283,41,"Ctenotus septenarius"
224,6359,306,46,"Ctenotus septenarius"
219,6447,208,49,"Ctenotus septenarius"
231,6545,156,39,"Ctenotus septenarius"
227,6412,269,43,"Ctenotus septenarius"
222,6443,163,31,"Ctenotus septenarius"
236,6588,180,41,"Ctenotus septenarius"
226,6494,168,34,"Ctenotus septenarius"
222,6442,265,41,"Ctenotus septenarius"
222,6474,232,40,"Ctenotus septenarius"
223,6356,295,43,"Ctenotus septenarius"
216,6407,218,51,"Ctenotus septenarius"
226,6483,222,44,"Ctenotus septenarius"
227,6428,227,42,"Ctenotus septenarius"
227,6383,312,48,"Ctenotus septenarius"
222,6454,138,31,"Ctenotus septenarius"
211,6356,239,39,"Ctenotus septenarius"
220,6325,360,44,"Ctenotus septenarius"
223,6472,235,47,"Ctenotus septenarius"
228,6438,244,47,"Ctenotus septenarius"
217,6431,208,42,"Ctenotus septenarius"
226,6494,171,36,"Ctenotus septenarius"
212,6361,228,40,"Ctenotus septenarius"
230,6539,168,37,"Ctenotus septenarius"
236,6532,197,45,"Ctenotus septenarius"
215,6407,216,43,"Ctenotus septenarius"
235,6585,181,37,"Ctenotus septenarius"
232,6518,208,42,"Ctenotus septenarius"
228,6419,294,47,"Ctenotus septenarius"
226,6451,249,43,"Ctenotus septenarius"
226,6470,231,39,"Ctenotus septenarius"
220,6443,181,51,"Ctenotus septenarius"
227,6416,221,41,"Ctenotus septenarius"
227,6442,244,41,"Ctenotus septenarius"
224,6473,254,40,"Ctenotus septenarius"
236,6574,186,43,"Ctenotus septenarius"
224,6492,192,54,"Ctenotus septenarius"
222,6354,259,45,"Ctenotus septenarius"
226,6442,220,41,"Ctenotus septenarius"
227,6488,222,37,"Ctenotus septenarius"
214,6417,238,39,"Ctenotus septenarius"
