"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
199,5546,226,34,"Ctenotus uber"
221,5774,232,65,"Ctenotus uber"
221,6447,153,30,"Ctenotus uber"
180,5230,317,36,"Ctenotus uber"
221,6413,198,47,"Ctenotus uber"
226,6305,288,60,"Ctenotus uber"
222,6092,226,40,"Ctenotus uber"
213,6394,223,41,"Ctenotus uber"
197,5687,202,18,"Ctenotus uber"
233,6595,163,43,"Ctenotus uber"
188,4414,198,16,"Ctenotus uber"
191,5312,189,9,"Ctenotus uber"
212,5976,221,36,"Ctenotus uber"
221,6349,144,32,"Ctenotus uber"
174,3835,343,53,"Ctenotus uber"
167,4512,279,22,"Ctenotus uber"
191,5574,301,51,"Ctenotus uber"
241,6364,269,51,"Ctenotus uber"
219,6263,216,45,"Ctenotus uber"
214,5945,243,49,"Ctenotus uber"
191,5874,225,13,"Ctenotus uber"
211,6182,147,20,"Ctenotus uber"
181,5419,336,47,"Ctenotus uber"
161,3784,388,29,"Ctenotus uber"
237,6381,326,54,"Ctenotus uber"
221,6450,165,30,"Ctenotus uber"
222,6254,219,45,"Ctenotus uber"
247,6348,232,63,"Ctenotus uber"
197,5673,214,17,"Ctenotus uber"
227,6204,202,37,"Ctenotus uber"
211,6164,159,28,"Ctenotus uber"
202,5908,185,20,"Ctenotus uber"
193,5695,272,38,"Ctenotus uber"
186,5166,189,19,"Ctenotus uber"
220,6465,202,44,"Ctenotus uber"
209,5552,235,31,"Ctenotus uber"
198,5754,174,15,"Ctenotus uber"
221,6463,169,24,"Ctenotus uber"
202,5174,216,26,"Ctenotus uber"
244,4367,246,74,"Ctenotus uber"
219,6125,217,39,"Ctenotus uber"
223,6356,318,43,"Ctenotus uber"
179,4609,287,41,"Ctenotus uber"
192,5115,204,17,"Ctenotus uber"
213,5772,233,35,"Ctenotus uber"
241,6622,187,44,"Ctenotus uber"
210,5583,233,31,"Ctenotus uber"
221,6492,178,40,"Ctenotus uber"
202,5917,151,24,"Ctenotus uber"
240,6407,221,59,"Ctenotus uber"
242,6017,206,64,"Ctenotus uber"
182,4104,214,16,"Ctenotus uber"
231,6372,231,55,"Ctenotus uber"
253,6014,274,75,"Ctenotus uber"
221,6048,216,48,"Ctenotus uber"
211,6299,321,47,"Ctenotus uber"
123,4944,1351,36,"Ctenotus uber"
263,4749,375,87,"Ctenotus uber"
195,5494,235,19,"Ctenotus uber"
188,5407,192,11,"Ctenotus uber"
205,5635,197,36,"Ctenotus uber"
204,6212,231,35,"Ctenotus uber"
237,6225,222,58,"Ctenotus uber"
234,6624,160,44,"Ctenotus uber"
190,5834,208,16,"Ctenotus uber"
182,4070,196,12,"Ctenotus uber"
191,5332,191,10,"Ctenotus uber"
186,4325,182,13,"Ctenotus uber"
209,6129,231,35,"Ctenotus uber"
179,5441,251,13,"Ctenotus uber"
183,4981,239,29,"Ctenotus uber"
167,5085,252,14,"Ctenotus uber"
201,6243,269,39,"Ctenotus uber"
225,6523,155,45,"Ctenotus uber"
218,6175,239,52,"Ctenotus uber"
223,6423,168,32,"Ctenotus uber"
206,5681,234,31,"Ctenotus uber"
184,5678,215,15,"Ctenotus uber"
173,4667,284,41,"Ctenotus uber"
148,4804,354,33,"Ctenotus uber"
266,6259,275,74,"Ctenotus uber"
266,4163,309,88,"Ctenotus uber"
