"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
220,3833,280,86,"Ctenotus youngsoni"
223,3598,258,85,"Ctenotus youngsoni"
217,3530,314,94,"Ctenotus youngsoni"
227,4073,221,75,"Ctenotus youngsoni"
223,3529,268,90,"Ctenotus youngsoni"
225,3072,216,77,"Ctenotus youngsoni"
219,2733,290,95,"Ctenotus youngsoni"
216,4361,280,80,"Ctenotus youngsoni"
224,2895,219,77,"Ctenotus youngsoni"
229,4604,226,71,"Ctenotus youngsoni"
223,3600,249,86,"Ctenotus youngsoni"
213,3818,325,91,"Ctenotus youngsoni"
222,4363,247,77,"Ctenotus youngsoni"
218,4191,281,84,"Ctenotus youngsoni"
220,3544,287,91,"Ctenotus youngsoni"
214,4031,314,88,"Ctenotus youngsoni"
222,3810,259,83,"Ctenotus youngsoni"
223,3489,266,90,"Ctenotus youngsoni"
222,4335,255,75,"Ctenotus youngsoni"
219,3782,297,88,"Ctenotus youngsoni"
224,2778,221,80,"Ctenotus youngsoni"
224,3482,242,88,"Ctenotus youngsoni"
230,4009,229,72,"Ctenotus youngsoni"
219,2436,268,92,"Ctenotus youngsoni"
212,3554,399,91,"Ctenotus youngsoni"
225,4277,242,74,"Ctenotus youngsoni"
220,2420,255,88,"Ctenotus youngsoni"
227,4198,227,76,"Ctenotus youngsoni"
220,3659,283,89,"Ctenotus youngsoni"
229,4665,215,71,"Ctenotus youngsoni"
212,3854,345,90,"Ctenotus youngsoni"
221,2770,266,93,"Ctenotus youngsoni"
222,4553,251,75,"Ctenotus youngsoni"
224,3484,250,85,"Ctenotus youngsoni"
216,2750,355,97,"Ctenotus youngsoni"
228,4396,238,73,"Ctenotus youngsoni"
223,2938,230,79,"Ctenotus youngsoni"
223,2900,229,76,"Ctenotus youngsoni"
217,2577,329,93,"Ctenotus youngsoni"
223,2973,231,77,"Ctenotus youngsoni"
222,4637,255,74,"Ctenotus youngsoni"
220,2738,296,95,"Ctenotus youngsoni"
