"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
198,5285,356,73,"Cyclodomorphus branchialis"
213,5934,290,55,"Cyclodomorphus branchialis"
224,5746,231,58,"Cyclodomorphus branchialis"
205,4124,399,89,"Cyclodomorphus branchialis"
216,5689,260,59,"Cyclodomorphus branchialis"
193,4097,547,79,"Cyclodomorphus branchialis"
190,4852,453,77,"Cyclodomorphus branchialis"
223,5666,246,62,"Cyclodomorphus branchialis"
209,3680,444,95,"Cyclodomorphus branchialis"
193,4327,534,87,"Cyclodomorphus branchialis"
209,5858,293,57,"Cyclodomorphus branchialis"
197,3988,546,90,"Cyclodomorphus branchialis"
203,5114,368,75,"Cyclodomorphus branchialis"
198,5404,386,68,"Cyclodomorphus branchialis"
211,4741,306,73,"Cyclodomorphus branchialis"
196,5409,376,68,"Cyclodomorphus branchialis"
201,4793,392,80,"Cyclodomorphus branchialis"
204,3993,363,89,"Cyclodomorphus branchialis"
194,5167,397,71,"Cyclodomorphus branchialis"
203,4888,380,85,"Cyclodomorphus branchialis"
199,3610,600,85,"Cyclodomorphus branchialis"
207,5740,280,60,"Cyclodomorphus branchialis"
215,4236,294,83,"Cyclodomorphus branchialis"
193,4074,621,80,"Cyclodomorphus branchialis"
212,5872,294,54,"Cyclodomorphus branchialis"
216,5005,283,66,"Cyclodomorphus branchialis"
214,5747,287,63,"Cyclodomorphus branchialis"
202,4866,402,82,"Cyclodomorphus branchialis"
207,3751,473,89,"Cyclodomorphus branchialis"
203,4076,522,81,"Cyclodomorphus branchialis"
206,5305,336,72,"Cyclodomorphus branchialis"
212,5316,321,63,"Cyclodomorphus branchialis"
225,5888,223,59,"Cyclodomorphus branchialis"
204,5560,312,71,"Cyclodomorphus branchialis"
210,4743,333,72,"Cyclodomorphus branchialis"
202,5254,361,76,"Cyclodomorphus branchialis"
185,4702,540,84,"Cyclodomorphus branchialis"
198,5505,333,65,"Cyclodomorphus branchialis"
190,4822,478,81,"Cyclodomorphus branchialis"
221,5857,251,60,"Cyclodomorphus branchialis"
202,4563,449,80,"Cyclodomorphus branchialis"
215,5509,271,62,"Cyclodomorphus branchialis"
221,5677,257,62,"Cyclodomorphus branchialis"
225,5710,230,58,"Cyclodomorphus branchialis"
207,3846,446,86,"Cyclodomorphus branchialis"
209,5192,317,73,"Cyclodomorphus branchialis"
198,3683,591,86,"Cyclodomorphus branchialis"
200,4377,469,82,"Cyclodomorphus branchialis"
211,5902,286,54,"Cyclodomorphus branchialis"
201,5421,341,71,"Cyclodomorphus branchialis"
197,5229,411,69,"Cyclodomorphus branchialis"
204,4749,378,76,"Cyclodomorphus branchialis"
209,5172,332,69,"Cyclodomorphus branchialis"
202,5145,345,78,"Cyclodomorphus branchialis"
200,4867,391,88,"Cyclodomorphus branchialis"
217,5784,266,59,"Cyclodomorphus branchialis"
202,4634,398,79,"Cyclodomorphus branchialis"
210,5812,279,61,"Cyclodomorphus branchialis"
