"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
252,2054,1346,117,"Cyclodomorphus maxima"
277,1720,1169,125,"Cyclodomorphus maxima"
261,2076,1209,114,"Cyclodomorphus maxima"
272,1757,1107,114,"Cyclodomorphus maxima"
277,1478,1319,122,"Cyclodomorphus maxima"
278,1759,970,113,"Cyclodomorphus maxima"
277,1729,1103,114,"Cyclodomorphus maxima"
270,1780,1168,113,"Cyclodomorphus maxima"
275,1568,1367,120,"Cyclodomorphus maxima"
274,1999,1006,115,"Cyclodomorphus maxima"
266,1820,1518,125,"Cyclodomorphus maxima"
265,2045,1126,109,"Cyclodomorphus maxima"
272,1774,964,110,"Cyclodomorphus maxima"
273,1512,1637,124,"Cyclodomorphus maxima"
274,1772,1263,127,"Cyclodomorphus maxima"
263,1614,1650,118,"Cyclodomorphus maxima"
270,1785,1203,113,"Cyclodomorphus maxima"
263,1748,1490,113,"Cyclodomorphus maxima"
266,1911,1141,110,"Cyclodomorphus maxima"
269,1918,1024,110,"Cyclodomorphus maxima"
265,1943,1511,114,"Cyclodomorphus maxima"
268,1723,1321,117,"Cyclodomorphus maxima"
267,1661,1401,112,"Cyclodomorphus maxima"
254,2149,1323,112,"Cyclodomorphus maxima"
258,2028,1445,110,"Cyclodomorphus maxima"
277,1708,1119,115,"Cyclodomorphus maxima"
278,1600,1046,120,"Cyclodomorphus maxima"
262,2028,1425,109,"Cyclodomorphus maxima"
262,2021,1189,108,"Cyclodomorphus maxima"
262,2152,1155,106,"Cyclodomorphus maxima"
269,2052,1113,112,"Cyclodomorphus maxima"
260,1885,1516,112,"Cyclodomorphus maxima"
277,1734,1015,121,"Cyclodomorphus maxima"
263,2060,1349,108,"Cyclodomorphus maxima"
266,1789,1340,113,"Cyclodomorphus maxima"
271,1786,1145,110,"Cyclodomorphus maxima"
270,1811,1131,120,"Cyclodomorphus maxima"
277,1487,1419,120,"Cyclodomorphus maxima"
271,2067,1103,106,"Cyclodomorphus maxima"
256,2088,1323,115,"Cyclodomorphus maxima"
263,2011,1173,113,"Cyclodomorphus maxima"
276,1622,1521,126,"Cyclodomorphus maxima"
274,1617,1466,126,"Cyclodomorphus maxima"
274,1941,1122,114,"Cyclodomorphus maxima"
259,2007,1305,116,"Cyclodomorphus maxima"
262,1954,1109,121,"Cyclodomorphus maxima"
262,2033,1057,119,"Cyclodomorphus maxima"
273,2099,981,109,"Cyclodomorphus maxima"
272,1902,964,112,"Cyclodomorphus maxima"
270,1891,1124,110,"Cyclodomorphus maxima"
254,1884,1596,117,"Cyclodomorphus maxima"
259,2049,1147,120,"Cyclodomorphus maxima"
257,2115,1194,119,"Cyclodomorphus maxima"
273,1857,1031,113,"Cyclodomorphus maxima"
257,1828,1649,118,"Cyclodomorphus maxima"
277,1785,1048,115,"Cyclodomorphus maxima"
270,1845,1143,109,"Cyclodomorphus maxima"
269,2069,955,110,"Cyclodomorphus maxima"
261,2070,1286,110,"Cyclodomorphus maxima"
278,1689,1487,120,"Cyclodomorphus maxima"
274,2050,865,110,"Cyclodomorphus maxima"
268,2043,1183,106,"Cyclodomorphus maxima"
270,1712,1483,124,"Cyclodomorphus maxima"
267,1933,1320,115,"Cyclodomorphus maxima"
274,1708,1121,123,"Cyclodomorphus maxima"
266,1822,1266,112,"Cyclodomorphus maxima"
278,1597,1070,121,"Cyclodomorphus maxima"
266,2182,1159,107,"Cyclodomorphus maxima"
272,2153,1118,117,"Cyclodomorphus maxima"
275,2130,1091,111,"Cyclodomorphus maxima"
268,2029,915,117,"Cyclodomorphus maxima"
270,1677,1296,112,"Cyclodomorphus maxima"
268,2093,1053,113,"Cyclodomorphus maxima"
277,1609,1077,114,"Cyclodomorphus maxima"
261,1971,1332,108,"Cyclodomorphus maxima"
260,1979,1566,115,"Cyclodomorphus maxima"
271,1852,1007,107,"Cyclodomorphus maxima"
258,2068,1350,110,"Cyclodomorphus maxima"
258,2079,1382,111,"Cyclodomorphus maxima"
272,1826,1114,114,"Cyclodomorphus maxima"
257,2104,1287,109,"Cyclodomorphus maxima"
269,1898,1122,111,"Cyclodomorphus maxima"
269,1617,1307,111,"Cyclodomorphus maxima"
267,2004,1178,113,"Cyclodomorphus maxima"
274,1714,1023,122,"Cyclodomorphus maxima"
265,2119,1158,116,"Cyclodomorphus maxima"
278,1664,1212,123,"Cyclodomorphus maxima"
275,2011,1046,110,"Cyclodomorphus maxima"
275,2002,1088,115,"Cyclodomorphus maxima"
258,1899,1494,108,"Cyclodomorphus maxima"
260,2062,1410,110,"Cyclodomorphus maxima"
267,1771,1293,111,"Cyclodomorphus maxima"
267,1867,1145,111,"Cyclodomorphus maxima"
279,1706,1140,116,"Cyclodomorphus maxima"
277,1628,1085,115,"Cyclodomorphus maxima"
271,1718,1511,119,"Cyclodomorphus maxima"
268,1774,1545,122,"Cyclodomorphus maxima"
273,1708,1283,116,"Cyclodomorphus maxima"
270,2023,1284,111,"Cyclodomorphus maxima"
258,2151,1149,106,"Cyclodomorphus maxima"
263,2014,1235,107,"Cyclodomorphus maxima"
262,1830,1460,112,"Cyclodomorphus maxima"
269,1673,1630,118,"Cyclodomorphus maxima"
273,1964,928,109,"Cyclodomorphus maxima"
276,1496,1402,121,"Cyclodomorphus maxima"
269,2022,1050,112,"Cyclodomorphus maxima"
269,2011,975,110,"Cyclodomorphus maxima"
262,2114,1203,107,"Cyclodomorphus maxima"
272,1774,1188,115,"Cyclodomorphus maxima"
278,1795,1192,123,"Cyclodomorphus maxima"
274,1673,1129,121,"Cyclodomorphus maxima"
257,2156,1375,119,"Cyclodomorphus maxima"
272,1848,1025,111,"Cyclodomorphus maxima"
261,2035,1422,110,"Cyclodomorphus maxima"
277,1763,1014,113,"Cyclodomorphus maxima"
277,1774,1126,124,"Cyclodomorphus maxima"
277,1702,1032,117,"Cyclodomorphus maxima"
279,1477,1317,123,"Cyclodomorphus maxima"
273,1546,1528,122,"Cyclodomorphus maxima"
273,1811,1022,113,"Cyclodomorphus maxima"
259,1876,1592,110,"Cyclodomorphus maxima"
260,2184,1110,107,"Cyclodomorphus maxima"
273,1647,1194,126,"Cyclodomorphus maxima"
264,1985,1247,111,"Cyclodomorphus maxima"
252,2133,1241,113,"Cyclodomorphus maxima"
268,1817,1294,112,"Cyclodomorphus maxima"
261,1928,1322,119,"Cyclodomorphus maxima"
268,1607,1732,122,"Cyclodomorphus maxima"
280,1923,864,108,"Cyclodomorphus maxima"
274,1981,1219,113,"Cyclodomorphus maxima"
268,2104,1002,112,"Cyclodomorphus maxima"
275,2051,1025,111,"Cyclodomorphus maxima"
273,1740,1085,124,"Cyclodomorphus maxima"
268,2054,1147,105,"Cyclodomorphus maxima"
267,1939,1050,109,"Cyclodomorphus maxima"
260,1929,1259,106,"Cyclodomorphus maxima"
277,1736,1107,116,"Cyclodomorphus maxima"
263,1639,1583,113,"Cyclodomorphus maxima"
262,1782,1650,114,"Cyclodomorphus maxima"
278,1642,1069,122,"Cyclodomorphus maxima"
268,1586,1515,129,"Cyclodomorphus maxima"
268,1981,966,108,"Cyclodomorphus maxima"
277,1457,979,129,"Cyclodomorphus maxima"
258,1978,1355,122,"Cyclodomorphus maxima"
267,1730,1302,113,"Cyclodomorphus maxima"
267,2139,1280,115,"Cyclodomorphus maxima"
271,1997,962,112,"Cyclodomorphus maxima"
265,1794,1592,118,"Cyclodomorphus maxima"
262,1845,1703,116,"Cyclodomorphus maxima"
278,1632,975,119,"Cyclodomorphus maxima"
276,1557,1455,120,"Cyclodomorphus maxima"
