"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
259,1292,1332,101,"Cyrtodactylus adorus"
256,1259,1677,98,"Cyrtodactylus adorus"
260,1381,1383,100,"Cyrtodactylus adorus"
259,1329,1410,109,"Cyrtodactylus adorus"
254,1378,1333,107,"Cyrtodactylus adorus"
254,1206,2055,94,"Cyrtodactylus adorus"
256,1235,1544,107,"Cyrtodactylus adorus"
256,1211,1824,98,"Cyrtodactylus adorus"
259,1261,1564,97,"Cyrtodactylus adorus"
256,1295,1564,98,"Cyrtodactylus adorus"
256,1243,1678,99,"Cyrtodactylus adorus"
251,1412,1215,107,"Cyrtodactylus adorus"
262,1232,1498,96,"Cyrtodactylus adorus"
257,1282,1359,109,"Cyrtodactylus adorus"
250,1254,1825,103,"Cyrtodactylus adorus"
253,1384,1710,100,"Cyrtodactylus adorus"
261,1325,1573,95,"Cyrtodactylus adorus"
257,1320,1462,106,"Cyrtodactylus adorus"
256,1262,1869,94,"Cyrtodactylus adorus"
248,1295,1642,107,"Cyrtodactylus adorus"
262,1148,1680,96,"Cyrtodactylus adorus"
256,1301,1471,113,"Cyrtodactylus adorus"
252,1245,1722,106,"Cyrtodactylus adorus"
263,1145,1832,92,"Cyrtodactylus adorus"
254,1344,1456,103,"Cyrtodactylus adorus"
262,1198,1533,100,"Cyrtodactylus adorus"
263,1185,1490,98,"Cyrtodactylus adorus"
262,1179,1614,95,"Cyrtodactylus adorus"
255,1336,1572,107,"Cyrtodactylus adorus"
262,1160,1685,95,"Cyrtodactylus adorus"
247,1344,1657,104,"Cyrtodactylus adorus"
260,1285,1795,90,"Cyrtodactylus adorus"
259,1324,1713,92,"Cyrtodactylus adorus"
256,1309,1555,100,"Cyrtodactylus adorus"
260,1260,1599,93,"Cyrtodactylus adorus"
256,1378,1512,104,"Cyrtodactylus adorus"
259,1221,1549,99,"Cyrtodactylus adorus"
260,1237,1522,99,"Cyrtodactylus adorus"
250,1390,1673,100,"Cyrtodactylus adorus"
246,1353,1444,113,"Cyrtodactylus adorus"
261,1194,1536,102,"Cyrtodactylus adorus"
260,1379,1557,96,"Cyrtodactylus adorus"
259,1225,1676,99,"Cyrtodactylus adorus"
259,1233,1561,98,"Cyrtodactylus adorus"
251,1258,1637,106,"Cyrtodactylus adorus"
257,1282,1439,104,"Cyrtodactylus adorus"
260,1207,1452,104,"Cyrtodactylus adorus"
263,1154,1608,97,"Cyrtodactylus adorus"
248,1394,1613,102,"Cyrtodactylus adorus"
256,1380,1348,110,"Cyrtodactylus adorus"
251,1408,1308,106,"Cyrtodactylus adorus"
258,1261,1634,99,"Cyrtodactylus adorus"
256,1345,1525,111,"Cyrtodactylus adorus"
242,1277,1994,98,"Cyrtodactylus adorus"
261,1197,1817,93,"Cyrtodactylus adorus"
244,1358,1479,111,"Cyrtodactylus adorus"
261,1215,1501,99,"Cyrtodactylus adorus"
258,1283,1821,91,"Cyrtodactylus adorus"
259,1279,1835,90,"Cyrtodactylus adorus"
261,1265,1545,94,"Cyrtodactylus adorus"
262,1194,1498,99,"Cyrtodactylus adorus"
249,1341,1546,103,"Cyrtodactylus adorus"
254,1406,1440,107,"Cyrtodactylus adorus"
257,1326,1356,107,"Cyrtodactylus adorus"
257,1420,1429,102,"Cyrtodactylus adorus"
258,1304,1666,92,"Cyrtodactylus adorus"
259,1397,1352,101,"Cyrtodactylus adorus"
258,1263,1988,90,"Cyrtodactylus adorus"
256,1376,1294,111,"Cyrtodactylus adorus"
263,1159,1741,90,"Cyrtodactylus adorus"
252,1323,1480,111,"Cyrtodactylus adorus"
246,1306,1947,93,"Cyrtodactylus adorus"
263,1174,1621,94,"Cyrtodactylus adorus"
243,1270,2087,94,"Cyrtodactylus adorus"
