"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
270,5980,304,80,"Delma borea"
276,4487,431,108,"Delma borea"
244,6149,260,74,"Delma borea"
237,5437,349,82,"Delma borea"
212,5009,563,88,"Delma borea"
265,4750,453,100,"Delma borea"
246,6385,236,69,"Delma borea"
263,4699,532,105,"Delma borea"
244,6414,262,66,"Delma borea"
274,1798,1605,111,"Delma borea"
262,3725,560,111,"Delma borea"
276,1859,1490,111,"Delma borea"
268,3545,669,112,"Delma borea"
267,4139,512,111,"Delma borea"
242,6384,283,66,"Delma borea"
268,4226,504,112,"Delma borea"
274,1412,1422,110,"Delma borea"
259,6072,303,64,"Delma borea"
251,5352,418,84,"Delma borea"
266,4241,506,107,"Delma borea"
254,5874,386,70,"Delma borea"
264,2806,950,111,"Delma borea"
286,3592,518,121,"Delma borea"
261,5672,273,85,"Delma borea"
267,4924,372,101,"Delma borea"
271,3913,506,109,"Delma borea"
225,6288,223,50,"Delma borea"
280,4024,567,114,"Delma borea"
283,2546,927,114,"Delma borea"
266,5930,326,75,"Delma borea"
280,2828,694,115,"Delma borea"
269,1651,1381,113,"Delma borea"
277,4033,493,109,"Delma borea"
263,3825,545,112,"Delma borea"
222,6363,246,41,"Delma borea"
277,1531,1449,110,"Delma borea"
262,5697,197,79,"Delma borea"
260,5327,428,94,"Delma borea"
252,6219,239,64,"Delma borea"
273,2034,1447,113,"Delma borea"
256,4496,392,95,"Delma borea"
265,5983,300,82,"Delma borea"
250,6073,349,70,"Delma borea"
225,6369,239,47,"Delma borea"
264,4174,485,115,"Delma borea"
242,5626,367,76,"Delma borea"
261,4603,410,102,"Delma borea"
277,1472,1277,123,"Delma borea"
258,5604,253,81,"Delma borea"
241,6373,245,57,"Delma borea"
262,5740,279,85,"Delma borea"
220,6142,213,50,"Delma borea"
256,6066,246,74,"Delma borea"
241,6411,259,63,"Delma borea"
275,2610,907,112,"Delma borea"
266,2779,822,110,"Delma borea"
278,1580,1641,105,"Delma borea"
280,3174,665,124,"Delma borea"
267,4284,518,109,"Delma borea"
258,4528,434,102,"Delma borea"
260,5031,407,87,"Delma borea"
253,6320,296,73,"Delma borea"
274,1424,1558,109,"Delma borea"
266,4319,449,116,"Delma borea"
265,4833,387,99,"Delma borea"
260,5435,255,83,"Delma borea"
262,6203,314,72,"Delma borea"
277,1495,1709,103,"Delma borea"
264,3545,701,119,"Delma borea"
268,4446,490,100,"Delma borea"
267,6058,275,79,"Delma borea"
253,6091,250,74,"Delma borea"
271,2382,1196,116,"Delma borea"
269,2936,900,108,"Delma borea"
274,3586,622,111,"Delma borea"
232,6314,216,42,"Delma borea"
270,4394,467,115,"Delma borea"
247,6370,209,49,"Delma borea"
289,3673,554,119,"Delma borea"
245,6215,350,62,"Delma borea"
268,1601,1422,108,"Delma borea"
222,6105,225,43,"Delma borea"
243,6387,235,48,"Delma borea"
262,4890,513,101,"Delma borea"
260,5018,407,89,"Delma borea"
249,5403,376,82,"Delma borea"
267,3285,742,116,"Delma borea"
276,4559,439,109,"Delma borea"
226,6169,236,37,"Delma borea"
281,3165,740,126,"Delma borea"
208,6090,233,26,"Delma borea"
283,4118,471,116,"Delma borea"
231,6399,280,55,"Delma borea"
266,2398,898,107,"Delma borea"
243,6307,259,53,"Delma borea"
222,6317,236,42,"Delma borea"
262,6191,279,77,"Delma borea"
257,5221,395,95,"Delma borea"
246,6298,273,54,"Delma borea"
239,5995,327,64,"Delma borea"
218,6157,222,30,"Delma borea"
266,4634,444,103,"Delma borea"
287,2490,649,110,"Delma borea"
254,6267,261,59,"Delma borea"
258,5125,401,94,"Delma borea"
271,3618,614,104,"Delma borea"
257,5778,356,81,"Delma borea"
278,3393,596,124,"Delma borea"
268,2180,1211,101,"Delma borea"
272,3806,586,105,"Delma borea"
267,5208,365,93,"Delma borea"
285,3102,671,125,"Delma borea"
267,6207,292,75,"Delma borea"
258,1996,1219,108,"Delma borea"
264,4644,456,100,"Delma borea"
269,4284,478,109,"Delma borea"
265,1664,1431,108,"Delma borea"
267,2848,892,112,"Delma borea"
260,4711,482,110,"Delma borea"
214,6250,275,38,"Delma borea"
246,6128,352,62,"Delma borea"
268,3951,567,110,"Delma borea"
254,5164,412,92,"Delma borea"
265,4617,309,87,"Delma borea"
261,4332,521,114,"Delma borea"
253,6197,213,71,"Delma borea"
259,3655,600,110,"Delma borea"
265,4886,386,96,"Delma borea"
289,3515,590,120,"Delma borea"
225,6153,245,48,"Delma borea"
256,2223,1144,110,"Delma borea"
265,2928,853,114,"Delma borea"
262,4945,452,102,"Delma borea"
222,6261,269,42,"Delma borea"
267,1531,1346,101,"Delma borea"
261,5890,284,81,"Delma borea"
268,2857,798,120,"Delma borea"
272,3811,557,116,"Delma borea"
259,3323,642,113,"Delma borea"
209,5987,214,49,"Delma borea"
276,3378,585,106,"Delma borea"
266,1806,1253,112,"Delma borea"
269,3117,828,117,"Delma borea"
261,3293,726,112,"Delma borea"
240,5309,429,91,"Delma borea"
241,6071,331,63,"Delma borea"
235,6405,309,52,"Delma borea"
229,6331,286,63,"Delma borea"
240,5930,324,67,"Delma borea"
256,5659,207,80,"Delma borea"
257,2516,1054,108,"Delma borea"
284,3084,679,124,"Delma borea"
274,3091,708,123,"Delma borea"
215,6267,253,39,"Delma borea"
279,1991,1210,112,"Delma borea"
263,3615,629,108,"Delma borea"
258,3396,649,112,"Delma borea"
263,1977,1093,109,"Delma borea"
254,6147,236,69,"Delma borea"
266,5196,311,86,"Delma borea"
269,5060,398,94,"Delma borea"
243,6281,283,58,"Delma borea"
283,3173,665,123,"Delma borea"
241,6417,229,63,"Delma borea"
264,3143,701,115,"Delma borea"
219,6253,247,35,"Delma borea"
273,2441,729,112,"Delma borea"
240,6018,314,62,"Delma borea"
253,6210,260,75,"Delma borea"
262,4862,471,104,"Delma borea"
259,5494,395,90,"Delma borea"
264,4292,572,110,"Delma borea"
266,2147,1170,121,"Delma borea"
261,4419,505,110,"Delma borea"
257,5052,496,95,"Delma borea"
277,1899,1486,103,"Delma borea"
267,2126,990,105,"Delma borea"
284,3852,581,119,"Delma borea"
248,6312,288,54,"Delma borea"
258,2138,1278,109,"Delma borea"
277,1654,1677,105,"Delma borea"
253,6033,292,74,"Delma borea"
266,4463,471,104,"Delma borea"
259,4951,488,98,"Delma borea"
269,4331,454,108,"Delma borea"
268,4011,297,96,"Delma borea"
260,6352,259,71,"Delma borea"
243,5094,367,89,"Delma borea"
272,2807,967,108,"Delma borea"
228,6446,221,46,"Delma borea"
256,6314,280,69,"Delma borea"
275,1610,1174,109,"Delma borea"
274,4286,449,112,"Delma borea"
241,6375,202,45,"Delma borea"
265,2888,835,118,"Delma borea"
216,5937,243,39,"Delma borea"
255,5833,375,73,"Delma borea"
282,2648,809,118,"Delma borea"
264,4827,444,98,"Delma borea"
260,5566,446,88,"Delma borea"
266,3131,876,112,"Delma borea"
