"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
195,4579,455,84,"Delma concinna"
191,4927,459,75,"Delma concinna"
221,3534,288,92,"Delma concinna"
188,3905,751,83,"Delma concinna"
170,4092,941,83,"Delma concinna"
213,3870,321,91,"Delma concinna"
223,4019,249,80,"Delma concinna"
190,4606,525,85,"Delma concinna"
192,4914,450,76,"Delma concinna"
213,4177,318,84,"Delma concinna"
221,4600,264,77,"Delma concinna"
193,4064,620,81,"Delma concinna"
215,4457,301,79,"Delma concinna"
225,2870,223,79,"Delma concinna"
190,4140,642,80,"Delma concinna"
205,4339,404,91,"Delma concinna"
225,3743,253,85,"Delma concinna"
183,4410,712,79,"Delma concinna"
220,4161,273,83,"Delma concinna"
185,4606,631,82,"Delma concinna"
189,4480,513,82,"Delma concinna"
202,4470,453,85,"Delma concinna"
212,3667,374,97,"Delma concinna"
191,4689,486,76,"Delma concinna"
224,4833,243,71,"Delma concinna"
192,4177,624,84,"Delma concinna"
222,3314,277,95,"Delma concinna"
227,3394,216,77,"Delma concinna"
169,4020,1110,83,"Delma concinna"
217,2757,353,97,"Delma concinna"
223,4656,255,74,"Delma concinna"
171,4250,939,85,"Delma concinna"
227,4074,221,75,"Delma concinna"
191,4155,648,82,"Delma concinna"
186,4809,487,78,"Delma concinna"
196,4477,487,78,"Delma concinna"
191,4034,677,84,"Delma concinna"
217,3617,309,94,"Delma concinna"
185,4310,683,83,"Delma concinna"
191,4371,547,81,"Delma concinna"
182,3775,1063,85,"Delma concinna"
218,4558,281,77,"Delma concinna"
219,3313,277,99,"Delma concinna"
202,3733,569,84,"Delma concinna"
190,4107,693,84,"Delma concinna"
167,4306,977,82,"Delma concinna"
223,3050,235,82,"Delma concinna"
206,3832,488,87,"Delma concinna"
191,3864,645,83,"Delma concinna"
191,5011,430,72,"Delma concinna"
187,4791,494,75,"Delma concinna"
212,3995,327,90,"Delma concinna"
166,3746,1258,82,"Delma concinna"
188,3872,796,87,"Delma concinna"
188,4863,465,74,"Delma concinna"
221,4778,260,72,"Delma concinna"
221,4012,259,81,"Delma concinna"
194,3950,586,83,"Delma concinna"
215,4307,297,81,"Delma concinna"
192,4305,595,82,"Delma concinna"
198,3822,582,82,"Delma concinna"
207,3737,475,88,"Delma concinna"
187,4132,823,91,"Delma concinna"
188,4928,482,71,"Delma concinna"
192,4246,605,81,"Delma concinna"
189,4588,536,78,"Delma concinna"
203,4047,523,82,"Delma concinna"
224,2933,222,77,"Delma concinna"
220,4378,269,77,"Delma concinna"
187,4838,492,74,"Delma concinna"
220,4269,270,79,"Delma concinna"
214,4062,305,87,"Delma concinna"
184,4544,655,79,"Delma concinna"
219,4208,276,84,"Delma concinna"
223,4086,244,78,"Delma concinna"
204,3553,548,83,"Delma concinna"
172,4457,875,80,"Delma concinna"
195,3690,626,85,"Delma concinna"
205,3938,483,85,"Delma concinna"
184,4650,604,77,"Delma concinna"
188,4644,513,83,"Delma concinna"
229,3999,218,76,"Delma concinna"
203,4110,511,83,"Delma concinna"
225,2893,216,78,"Delma concinna"
216,3815,317,90,"Delma concinna"
192,4047,553,84,"Delma concinna"
188,3743,805,89,"Delma concinna"
189,4475,565,85,"Delma concinna"
189,4920,464,74,"Delma concinna"
221,3196,297,97,"Delma concinna"
202,3623,553,85,"Delma concinna"
189,4532,540,82,"Delma concinna"
181,4343,799,86,"Delma concinna"
166,4055,966,80,"Delma concinna"
227,4454,232,74,"Delma concinna"
187,4633,588,82,"Delma concinna"
194,4693,453,81,"Delma concinna"
197,3772,613,81,"Delma concinna"
187,4700,562,82,"Delma concinna"
188,4492,545,77,"Delma concinna"
217,4630,287,74,"Delma concinna"
190,4897,452,74,"Delma concinna"
186,3721,867,83,"Delma concinna"
221,4563,261,76,"Delma concinna"
218,3692,312,92,"Delma concinna"
198,3704,621,83,"Delma concinna"
197,3935,577,81,"Delma concinna"
191,3777,674,82,"Delma concinna"
189,4985,461,72,"Delma concinna"
221,4274,256,78,"Delma concinna"
223,3069,257,82,"Delma concinna"
184,4428,706,79,"Delma concinna"
193,4251,591,83,"Delma concinna"
228,3899,225,78,"Delma concinna"
195,3899,529,88,"Delma concinna"
192,5051,412,72,"Delma concinna"
191,4267,568,78,"Delma concinna"
186,3626,844,82,"Delma concinna"
188,3836,733,85,"Delma concinna"
205,3825,497,87,"Delma concinna"
197,3777,601,84,"Delma concinna"
221,2537,275,95,"Delma concinna"
187,4052,843,90,"Delma concinna"
189,4877,469,77,"Delma concinna"
221,2422,234,91,"Delma concinna"
194,4530,483,81,"Delma concinna"
196,3942,585,84,"Delma concinna"
211,3572,396,93,"Delma concinna"
220,4100,275,81,"Delma concinna"
200,4658,412,74,"Delma concinna"
219,4669,270,74,"Delma concinna"
186,4776,525,75,"Delma concinna"
210,3564,417,93,"Delma concinna"
183,3685,1000,83,"Delma concinna"
224,3989,233,79,"Delma concinna"
190,4047,734,87,"Delma concinna"
189,4869,448,75,"Delma concinna"
223,3439,267,92,"Delma concinna"
211,4043,389,87,"Delma concinna"
203,3456,567,83,"Delma concinna"
188,4149,714,81,"Delma concinna"
170,4338,866,87,"Delma concinna"
192,4247,586,76,"Delma concinna"
193,3630,699,84,"Delma concinna"
219,2459,267,95,"Delma concinna"
193,4074,588,83,"Delma concinna"
191,4308,604,79,"Delma concinna"
204,3539,548,83,"Delma concinna"
199,3556,592,84,"Delma concinna"
185,4453,624,79,"Delma concinna"
197,4689,430,82,"Delma concinna"
223,2862,223,76,"Delma concinna"
179,4535,716,77,"Delma concinna"
201,3599,565,85,"Delma concinna"
224,4629,241,72,"Delma concinna"
186,4722,524,79,"Delma concinna"
219,3692,303,91,"Delma concinna"
190,3831,681,84,"Delma concinna"
188,3892,771,82,"Delma concinna"
214,3187,357,92,"Delma concinna"
191,3693,760,85,"Delma concinna"
217,3752,314,91,"Delma concinna"
192,4940,430,79,"Delma concinna"
225,3322,232,79,"Delma concinna"
224,4670,251,73,"Delma concinna"
