"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
205,4420,617,40,"Delma torquata"
200,4404,635,43,"Delma torquata"
212,3883,583,45,"Delma torquata"
207,4459,593,44,"Delma torquata"
189,3977,748,38,"Delma torquata"
200,3737,769,44,"Delma torquata"
201,4124,739,42,"Delma torquata"
211,3596,1151,46,"Delma torquata"
210,3799,698,49,"Delma torquata"
223,3138,1155,51,"Delma torquata"
183,3574,1770,46,"Delma torquata"
218,3401,1030,49,"Delma torquata"
181,4034,944,43,"Delma torquata"
197,3852,715,45,"Delma torquata"
196,3557,1074,53,"Delma torquata"
206,3578,1374,46,"Delma torquata"
203,3679,784,47,"Delma torquata"
200,3768,950,55,"Delma torquata"
181,4141,742,45,"Delma torquata"
207,3969,614,42,"Delma torquata"
198,3952,894,46,"Delma torquata"
222,3854,599,53,"Delma torquata"
203,3774,730,46,"Delma torquata"
217,3418,913,48,"Delma torquata"
197,3792,844,36,"Delma torquata"
201,3725,1091,47,"Delma torquata"
214,3971,696,52,"Delma torquata"
203,3897,864,44,"Delma torquata"
201,3553,1683,50,"Delma torquata"
224,3770,702,54,"Delma torquata"
225,3146,938,54,"Delma torquata"
203,3782,889,44,"Delma torquata"
201,4358,756,46,"Delma torquata"
200,4064,763,45,"Delma torquata"
208,3763,659,49,"Delma torquata"
214,3245,1618,38,"Delma torquata"
224,3519,731,58,"Delma torquata"
175,3499,1016,53,"Delma torquata"
193,4005,757,43,"Delma torquata"
220,3194,1238,43,"Delma torquata"
224,3891,770,51,"Delma torquata"
208,3701,1135,53,"Delma torquata"
222,4105,588,49,"Delma torquata"
212,3734,858,55,"Delma torquata"
221,3291,1012,48,"Delma torquata"
215,3478,1069,45,"Delma torquata"
210,3803,611,43,"Delma torquata"
212,4332,604,41,"Delma torquata"
184,4084,728,45,"Delma torquata"
203,4144,670,41,"Delma torquata"
219,3990,716,53,"Delma torquata"
214,4114,631,46,"Delma torquata"
224,4109,645,47,"Delma torquata"
210,3763,957,53,"Delma torquata"
208,3820,680,45,"Delma torquata"
205,3784,608,48,"Delma torquata"
225,3997,631,53,"Delma torquata"
223,3929,661,52,"Delma torquata"
211,3587,1073,53,"Delma torquata"
210,3872,629,47,"Delma torquata"
211,3541,998,58,"Delma torquata"
219,3371,1064,51,"Delma torquata"
203,3612,1251,45,"Delma torquata"
194,3588,982,50,"Delma torquata"
201,4472,635,40,"Delma torquata"
212,3375,1708,41,"Delma torquata"
212,3611,965,52,"Delma torquata"
218,3612,903,52,"Delma torquata"
189,4080,665,39,"Delma torquata"
210,4093,772,47,"Delma torquata"
178,4160,776,41,"Delma torquata"
222,3927,612,49,"Delma torquata"
217,3359,989,54,"Delma torquata"
184,4115,786,41,"Delma torquata"
213,3885,835,52,"Delma torquata"
173,4042,833,31,"Delma torquata"
202,3815,855,44,"Delma torquata"
216,3475,1034,50,"Delma torquata"
184,4066,741,39,"Delma torquata"
192,4391,670,40,"Delma torquata"
186,3762,1215,51,"Delma torquata"
211,4024,648,41,"Delma torquata"
212,4159,572,46,"Delma torquata"
205,4001,647,48,"Delma torquata"
202,3469,884,54,"Delma torquata"
207,4397,557,39,"Delma torquata"
219,3322,1147,59,"Delma torquata"
189,3709,1198,52,"Delma torquata"
207,3530,853,61,"Delma torquata"
213,3918,748,53,"Delma torquata"
204,4299,674,43,"Delma torquata"
217,3570,989,54,"Delma torquata"
210,3900,739,48,"Delma torquata"
184,3879,1081,42,"Delma torquata"
199,3532,1740,47,"Delma torquata"
227,3426,899,62,"Delma torquata"
219,3169,1291,43,"Delma torquata"
197,4404,628,41,"Delma torquata"
174,4089,823,29,"Delma torquata"
202,4321,615,43,"Delma torquata"
216,4020,752,55,"Delma torquata"
194,4425,642,39,"Delma torquata"
220,3308,1031,49,"Delma torquata"
219,3275,1270,43,"Delma torquata"
204,4160,678,44,"Delma torquata"
223,3571,853,57,"Delma torquata"
198,4371,676,42,"Delma torquata"
195,3922,713,40,"Delma torquata"
198,4055,600,39,"Delma torquata"
201,4146,645,41,"Delma torquata"
226,3334,775,58,"Delma torquata"
189,3866,828,47,"Delma torquata"
201,3644,670,46,"Delma torquata"
199,3698,1096,39,"Delma torquata"
216,3316,1406,40,"Delma torquata"
211,3708,970,50,"Delma torquata"
213,3826,731,50,"Delma torquata"
219,3017,1197,38,"Delma torquata"
206,4055,659,47,"Delma torquata"
212,4159,672,45,"Delma torquata"
207,4226,722,43,"Delma torquata"
218,3449,989,51,"Delma torquata"
215,3511,1010,55,"Delma torquata"
209,4242,638,47,"Delma torquata"
206,4318,585,42,"Delma torquata"
190,4088,661,39,"Delma torquata"
211,3457,1276,43,"Delma torquata"
224,3071,1196,57,"Delma torquata"
223,3424,870,56,"Delma torquata"
223,4118,647,47,"Delma torquata"
200,3730,1098,53,"Delma torquata"
206,3620,749,50,"Delma torquata"
202,3927,797,43,"Delma torquata"
209,3409,1461,40,"Delma torquata"
201,4231,750,45,"Delma torquata"
194,3828,859,37,"Delma torquata"
208,3483,1354,43,"Delma torquata"
197,3560,1797,52,"Delma torquata"
