"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
272,3712,520,111,"Demansia angusticeps"
275,3985,544,112,"Demansia angusticeps"
263,4078,516,111,"Demansia angusticeps"
267,2510,848,125,"Demansia angusticeps"
283,3104,684,121,"Demansia angusticeps"
265,3041,801,115,"Demansia angusticeps"
266,2548,983,114,"Demansia angusticeps"
277,3003,680,117,"Demansia angusticeps"
271,3490,494,114,"Demansia angusticeps"
273,3182,654,128,"Demansia angusticeps"
287,3714,473,116,"Demansia angusticeps"
270,3537,647,106,"Demansia angusticeps"
270,4005,460,108,"Demansia angusticeps"
268,2117,1102,126,"Demansia angusticeps"
273,2784,739,124,"Demansia angusticeps"
270,2272,1039,124,"Demansia angusticeps"
267,4004,548,110,"Demansia angusticeps"
264,4073,553,113,"Demansia angusticeps"
268,1948,1136,109,"Demansia angusticeps"
281,3594,545,124,"Demansia angusticeps"
272,3749,555,109,"Demansia angusticeps"
263,3780,573,107,"Demansia angusticeps"
282,3231,627,122,"Demansia angusticeps"
270,2955,793,114,"Demansia angusticeps"
278,2962,727,126,"Demansia angusticeps"
284,2971,683,115,"Demansia angusticeps"
269,3947,501,117,"Demansia angusticeps"
266,3089,718,120,"Demansia angusticeps"
266,3695,606,112,"Demansia angusticeps"
279,3750,538,130,"Demansia angusticeps"
278,3689,565,126,"Demansia angusticeps"
273,3700,516,127,"Demansia angusticeps"
271,3326,668,104,"Demansia angusticeps"
274,3122,616,117,"Demansia angusticeps"
286,2976,693,112,"Demansia angusticeps"
280,2831,808,126,"Demansia angusticeps"
272,3799,571,112,"Demansia angusticeps"
277,3835,514,118,"Demansia angusticeps"
275,3418,691,112,"Demansia angusticeps"
278,3420,616,113,"Demansia angusticeps"
281,3220,594,116,"Demansia angusticeps"
271,3886,394,102,"Demansia angusticeps"
271,3000,674,115,"Demansia angusticeps"
274,3525,584,119,"Demansia angusticeps"
284,3748,478,116,"Demansia angusticeps"
264,3248,637,117,"Demansia angusticeps"
274,3083,602,124,"Demansia angusticeps"
279,3367,701,123,"Demansia angusticeps"
271,3248,515,118,"Demansia angusticeps"
284,3248,658,122,"Demansia angusticeps"
271,3015,562,120,"Demansia angusticeps"
284,3151,613,112,"Demansia angusticeps"
262,3363,724,117,"Demansia angusticeps"
