"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
249,4037,239,77,"Demansia calodera"
228,3926,227,78,"Demansia calodera"
245,4473,246,73,"Demansia calodera"
234,6379,261,60,"Demansia calodera"
214,4256,325,81,"Demansia calodera"
218,4479,271,76,"Demansia calodera"
240,3695,234,80,"Demansia calodera"
236,5527,196,73,"Demansia calodera"
234,4138,213,70,"Demansia calodera"
240,3662,235,81,"Demansia calodera"
247,3722,277,76,"Demansia calodera"
233,4030,215,70,"Demansia calodera"
251,4588,265,83,"Demansia calodera"
225,4322,243,75,"Demansia calodera"
215,4253,336,80,"Demansia calodera"
240,3794,234,79,"Demansia calodera"
220,2629,286,94,"Demansia calodera"
247,4353,254,79,"Demansia calodera"
216,4284,273,83,"Demansia calodera"
230,4678,224,71,"Demansia calodera"
240,3435,213,82,"Demansia calodera"
232,3220,230,87,"Demansia calodera"
222,3047,242,82,"Demansia calodera"
203,3624,411,90,"Demansia calodera"
214,3306,393,92,"Demansia calodera"
247,4131,248,79,"Demansia calodera"
227,6186,227,45,"Demansia calodera"
213,3800,341,90,"Demansia calodera"
231,4263,216,72,"Demansia calodera"
233,4757,214,67,"Demansia calodera"
251,3931,289,77,"Demansia calodera"
231,4087,211,74,"Demansia calodera"
229,6208,198,44,"Demansia calodera"
234,6394,266,62,"Demansia calodera"
211,3839,386,91,"Demansia calodera"
214,4129,313,86,"Demansia calodera"
246,4240,253,79,"Demansia calodera"
224,4657,247,71,"Demansia calodera"
234,6408,265,59,"Demansia calodera"
208,3596,364,94,"Demansia calodera"
241,3414,295,76,"Demansia calodera"
243,3408,289,73,"Demansia calodera"
247,4064,240,80,"Demansia calodera"
214,4112,360,83,"Demansia calodera"
236,4083,232,73,"Demansia calodera"
220,3208,295,96,"Demansia calodera"
222,4334,247,76,"Demansia calodera"
251,3927,263,77,"Demansia calodera"
242,3817,242,80,"Demansia calodera"
248,4063,233,78,"Demansia calodera"
236,3992,231,74,"Demansia calodera"
231,4541,231,71,"Demansia calodera"
245,4436,248,74,"Demansia calodera"
223,6139,235,49,"Demansia calodera"
233,6397,291,62,"Demansia calodera"
246,4318,248,76,"Demansia calodera"
252,4452,272,82,"Demansia calodera"
237,6401,235,61,"Demansia calodera"
248,3776,225,79,"Demansia calodera"
206,3810,393,88,"Demansia calodera"
250,4548,242,81,"Demansia calodera"
232,4304,217,71,"Demansia calodera"
247,4066,244,80,"Demansia calodera"
223,6152,230,47,"Demansia calodera"
233,4114,211,71,"Demansia calodera"
234,3621,231,79,"Demansia calodera"
231,3124,231,87,"Demansia calodera"
240,4187,229,75,"Demansia calodera"
246,3239,237,77,"Demansia calodera"
236,5435,200,72,"Demansia calodera"
223,4152,243,77,"Demansia calodera"
243,4042,238,76,"Demansia calodera"
238,3853,229,76,"Demansia calodera"
232,3515,233,78,"Demansia calodera"
203,3941,387,84,"Demansia calodera"
232,3805,210,71,"Demansia calodera"
244,4152,281,78,"Demansia calodera"
255,4040,247,79,"Demansia calodera"
258,4268,273,80,"Demansia calodera"
234,6380,281,63,"Demansia calodera"
237,5734,201,71,"Demansia calodera"
257,4316,274,81,"Demansia calodera"
248,3979,255,82,"Demansia calodera"
243,3514,287,76,"Demansia calodera"
255,4079,262,80,"Demansia calodera"
249,4205,278,80,"Demansia calodera"
252,3748,270,79,"Demansia calodera"
223,3012,225,78,"Demansia calodera"
235,6385,277,64,"Demansia calodera"
231,6260,204,47,"Demansia calodera"
221,2779,273,92,"Demansia calodera"
239,3583,233,80,"Demansia calodera"
232,4813,213,68,"Demansia calodera"
