"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
186,4788,175,14,"Demansia psammophis"
237,3120,924,91,"Demansia psammophis"
191,6068,407,14,"Demansia psammophis"
166,3855,413,35,"Demansia psammophis"
174,5818,380,13,"Demansia psammophis"
175,4949,320,35,"Demansia psammophis"
252,6147,223,72,"Demansia psammophis"
248,4664,257,78,"Demansia psammophis"
200,6196,253,35,"Demansia psammophis"
195,6108,402,16,"Demansia psammophis"
204,5259,570,36,"Demansia psammophis"
180,5951,469,11,"Demansia psammophis"
189,6045,195,15,"Demansia psammophis"
211,6240,172,26,"Demansia psammophis"
235,2260,888,110,"Demansia psammophis"
170,5714,503,9,"Demansia psammophis"
193,5777,315,33,"Demansia psammophis"
260,4373,295,84,"Demansia psammophis"
182,5518,243,17,"Demansia psammophis"
195,5634,277,21,"Demansia psammophis"
243,6389,251,67,"Demansia psammophis"
182,4446,172,16,"Demansia psammophis"
196,5337,213,29,"Demansia psammophis"
200,6305,314,38,"Demansia psammophis"
191,5583,274,29,"Demansia psammophis"
186,5063,215,12,"Demansia psammophis"
150,4942,725,24,"Demansia psammophis"
145,5333,787,12,"Demansia psammophis"
163,5678,484,10,"Demansia psammophis"
224,6327,242,47,"Demansia psammophis"
198,5170,192,18,"Demansia psammophis"
206,3530,902,59,"Demansia psammophis"
220,6350,301,42,"Demansia psammophis"
219,6363,245,43,"Demansia psammophis"
220,6468,212,45,"Demansia psammophis"
178,2812,299,30,"Demansia psammophis"
210,6080,265,27,"Demansia psammophis"
202,5178,216,26,"Demansia psammophis"
167,5067,306,20,"Demansia psammophis"
193,4722,204,17,"Demansia psammophis"
213,3424,1344,45,"Demansia psammophis"
200,6120,339,38,"Demansia psammophis"
125,4796,702,25,"Demansia psammophis"
177,2664,320,29,"Demansia psammophis"
195,5687,216,16,"Demansia psammophis"
184,4957,267,28,"Demansia psammophis"
207,6341,227,28,"Demansia psammophis"
178,3668,324,44,"Demansia psammophis"
247,1720,1372,100,"Demansia psammophis"
209,2996,1087,89,"Demansia psammophis"
213,6199,232,40,"Demansia psammophis"
199,6270,287,52,"Demansia psammophis"
209,6139,283,32,"Demansia psammophis"
272,3649,354,99,"Demansia psammophis"
177,3525,225,20,"Demansia psammophis"
226,6435,238,41,"Demansia psammophis"
188,4438,192,15,"Demansia psammophis"
195,6062,409,19,"Demansia psammophis"
230,3702,773,65,"Demansia psammophis"
236,4295,473,76,"Demansia psammophis"
198,5992,287,34,"Demansia psammophis"
169,4134,883,51,"Demansia psammophis"
221,6201,201,44,"Demansia psammophis"
196,4542,852,55,"Demansia psammophis"
180,4279,181,18,"Demansia psammophis"
184,3936,1038,43,"Demansia psammophis"
222,4400,638,50,"Demansia psammophis"
246,1689,1646,96,"Demansia psammophis"
192,5248,202,25,"Demansia psammophis"
185,3924,814,42,"Demansia psammophis"
223,4522,691,52,"Demansia psammophis"
215,6265,234,42,"Demansia psammophis"
232,6437,297,50,"Demansia psammophis"
184,5409,286,24,"Demansia psammophis"
227,3004,792,110,"Demansia psammophis"
230,3925,630,62,"Demansia psammophis"
194,6104,214,22,"Demansia psammophis"
122,4733,687,13,"Demansia psammophis"
239,4328,580,69,"Demansia psammophis"
187,5373,312,57,"Demansia psammophis"
251,5794,331,77,"Demansia psammophis"
177,3710,254,16,"Demansia psammophis"
195,6136,218,20,"Demansia psammophis"
246,4017,245,80,"Demansia psammophis"
153,5610,585,15,"Demansia psammophis"
202,6261,254,18,"Demansia psammophis"
261,3973,312,87,"Demansia psammophis"
202,6303,257,39,"Demansia psammophis"
258,5009,288,83,"Demansia psammophis"
210,6193,282,35,"Demansia psammophis"
137,4777,859,30,"Demansia psammophis"
184,4611,174,13,"Demansia psammophis"
220,6385,219,44,"Demansia psammophis"
226,3383,737,103,"Demansia psammophis"
214,6377,300,46,"Demansia psammophis"
265,5018,291,88,"Demansia psammophis"
215,6014,223,38,"Demansia psammophis"
201,6001,291,31,"Demansia psammophis"
203,5849,247,24,"Demansia psammophis"
183,5458,329,48,"Demansia psammophis"
205,5241,211,21,"Demansia psammophis"
228,3854,583,60,"Demansia psammophis"
172,5801,461,7,"Demansia psammophis"
200,6117,382,24,"Demansia psammophis"
265,3860,309,88,"Demansia psammophis"
174,4100,324,45,"Demansia psammophis"
158,4830,446,41,"Demansia psammophis"
176,4836,254,40,"Demansia psammophis"
213,6180,147,29,"Demansia psammophis"
244,6400,264,66,"Demansia psammophis"
265,5086,344,89,"Demansia psammophis"
184,5537,335,40,"Demansia psammophis"
220,6173,324,50,"Demansia psammophis"
270,4159,327,105,"Demansia psammophis"
171,4892,447,38,"Demansia psammophis"
135,4261,863,40,"Demansia psammophis"
240,4135,622,83,"Demansia psammophis"
206,6089,182,24,"Demansia psammophis"
194,5186,212,17,"Demansia psammophis"
203,5465,508,31,"Demansia psammophis"
216,6002,228,53,"Demansia psammophis"
187,6060,298,14,"Demansia psammophis"
173,5344,301,17,"Demansia psammophis"
212,6346,282,29,"Demansia psammophis"
226,3807,598,58,"Demansia psammophis"
186,3549,1238,45,"Demansia psammophis"
241,6440,225,58,"Demansia psammophis"
158,5857,277,24,"Demansia psammophis"
247,3097,1208,100,"Demansia psammophis"
252,6212,211,69,"Demansia psammophis"
232,3601,668,82,"Demansia psammophis"
229,2213,1121,110,"Demansia psammophis"
238,4034,609,67,"Demansia psammophis"
206,5299,216,23,"Demansia psammophis"
205,5714,244,26,"Demansia psammophis"
237,4074,594,67,"Demansia psammophis"
196,5769,290,58,"Demansia psammophis"
175,4016,352,51,"Demansia psammophis"
264,5177,265,86,"Demansia psammophis"
203,5741,293,57,"Demansia psammophis"
256,6028,269,76,"Demansia psammophis"
235,3652,230,79,"Demansia psammophis"
230,6427,277,48,"Demansia psammophis"
201,5501,234,23,"Demansia psammophis"
204,5236,215,26,"Demansia psammophis"
259,5975,247,66,"Demansia psammophis"
172,3995,326,50,"Demansia psammophis"
198,6166,236,20,"Demansia psammophis"
222,2578,852,109,"Demansia psammophis"
208,4920,569,53,"Demansia psammophis"
189,5247,224,23,"Demansia psammophis"
178,3853,213,21,"Demansia psammophis"
210,3072,938,90,"Demansia psammophis"
239,6300,219,57,"Demansia psammophis"
152,5500,647,13,"Demansia psammophis"
185,4821,263,28,"Demansia psammophis"
159,4167,327,29,"Demansia psammophis"
220,3598,795,94,"Demansia psammophis"
143,4512,777,24,"Demansia psammophis"
211,6175,176,32,"Demansia psammophis"
204,5683,233,37,"Demansia psammophis"
205,4468,362,80,"Demansia psammophis"
204,6288,270,17,"Demansia psammophis"
261,1636,1083,110,"Demansia psammophis"
244,6112,266,72,"Demansia psammophis"
203,6244,307,23,"Demansia psammophis"
196,5606,193,16,"Demansia psammophis"
241,3955,652,74,"Demansia psammophis"
190,5157,182,11,"Demansia psammophis"
172,5691,360,13,"Demansia psammophis"
213,6143,378,36,"Demansia psammophis"
218,6257,243,35,"Demansia psammophis"
202,5240,220,28,"Demansia psammophis"
232,3335,609,86,"Demansia psammophis"
175,4258,331,46,"Demansia psammophis"
196,3805,934,40,"Demansia psammophis"
186,4980,349,29,"Demansia psammophis"
206,2709,1160,78,"Demansia psammophis"
195,5625,280,20,"Demansia psammophis"
240,6242,236,62,"Demansia psammophis"
224,5577,242,60,"Demansia psammophis"
121,4289,845,24,"Demansia psammophis"
167,4862,761,36,"Demansia psammophis"
184,5266,592,27,"Demansia psammophis"
168,3321,430,35,"Demansia psammophis"
171,5375,323,15,"Demansia psammophis"
189,5369,263,29,"Demansia psammophis"
183,4678,235,28,"Demansia psammophis"
189,5312,204,14,"Demansia psammophis"
198,4963,682,47,"Demansia psammophis"
220,6093,250,48,"Demansia psammophis"
190,5110,261,18,"Demansia psammophis"
169,4741,304,35,"Demansia psammophis"
198,5712,169,17,"Demansia psammophis"
111,4480,968,15,"Demansia psammophis"
192,6038,238,14,"Demansia psammophis"
228,6214,225,42,"Demansia psammophis"
228,6256,198,37,"Demansia psammophis"
261,5399,225,84,"Demansia psammophis"
190,6102,309,15,"Demansia psammophis"
187,5662,592,24,"Demansia psammophis"
178,4822,256,40,"Demansia psammophis"
208,5901,249,36,"Demansia psammophis"
211,5959,287,55,"Demansia psammophis"
239,6422,215,59,"Demansia psammophis"
214,6037,190,49,"Demansia psammophis"
239,5707,263,63,"Demansia psammophis"
189,5283,176,13,"Demansia psammophis"
239,4079,687,74,"Demansia psammophis"
255,6078,246,73,"Demansia psammophis"
153,4301,1035,22,"Demansia psammophis"
178,3662,297,43,"Demansia psammophis"
152,5476,658,10,"Demansia psammophis"
233,6110,218,54,"Demansia psammophis"
197,4817,643,43,"Demansia psammophis"
211,5692,215,32,"Demansia psammophis"
262,4801,356,93,"Demansia psammophis"
244,3306,821,91,"Demansia psammophis"
225,6502,170,56,"Demansia psammophis"
232,6379,320,52,"Demansia psammophis"
209,6313,306,24,"Demansia psammophis"
200,5942,297,30,"Demansia psammophis"
189,4766,711,50,"Demansia psammophis"
200,5867,214,23,"Demansia psammophis"
227,5112,229,67,"Demansia psammophis"
166,4251,413,37,"Demansia psammophis"
188,4463,183,13,"Demansia psammophis"
209,6292,327,25,"Demansia psammophis"
243,4518,237,74,"Demansia psammophis"
176,3739,268,16,"Demansia psammophis"
247,5943,246,78,"Demansia psammophis"
228,6478,149,38,"Demansia psammophis"
208,6070,147,26,"Demansia psammophis"
179,5974,395,12,"Demansia psammophis"
226,6456,132,34,"Demansia psammophis"
175,4952,339,39,"Demansia psammophis"
186,5954,477,20,"Demansia psammophis"
203,4346,656,45,"Demansia psammophis"
187,4830,190,11,"Demansia psammophis"
204,6238,221,26,"Demansia psammophis"
192,5743,221,19,"Demansia psammophis"
161,4337,653,31,"Demansia psammophis"
186,6038,307,11,"Demansia psammophis"
186,5861,260,13,"Demansia psammophis"
169,4864,282,24,"Demansia psammophis"
167,4703,282,22,"Demansia psammophis"
195,5581,567,25,"Demansia psammophis"
240,3004,1042,90,"Demansia psammophis"
186,4835,185,12,"Demansia psammophis"
185,6051,415,16,"Demansia psammophis"
202,6163,241,34,"Demansia psammophis"
205,5816,234,41,"Demansia psammophis"
198,5976,238,31,"Demansia psammophis"
223,3260,740,100,"Demansia psammophis"
233,5379,234,73,"Demansia psammophis"
225,4617,569,52,"Demansia psammophis"
236,6257,226,56,"Demansia psammophis"
226,4309,684,50,"Demansia psammophis"
237,5368,205,69,"Demansia psammophis"
233,6333,333,51,"Demansia psammophis"
218,6170,234,47,"Demansia psammophis"
175,4849,306,27,"Demansia psammophis"
250,2214,894,113,"Demansia psammophis"
215,5957,228,41,"Demansia psammophis"
215,6386,205,41,"Demansia psammophis"
225,4397,717,51,"Demansia psammophis"
223,4477,538,56,"Demansia psammophis"
235,5688,200,74,"Demansia psammophis"
199,6126,395,25,"Demansia psammophis"
253,6392,253,70,"Demansia psammophis"
197,4938,203,20,"Demansia psammophis"
217,6314,237,43,"Demansia psammophis"
210,4298,798,53,"Demansia psammophis"
170,5936,219,20,"Demansia psammophis"
230,6303,211,54,"Demansia psammophis"
184,6022,323,11,"Demansia psammophis"
201,5953,233,30,"Demansia psammophis"
255,1650,1494,102,"Demansia psammophis"
141,4503,911,38,"Demansia psammophis"
197,5816,234,21,"Demansia psammophis"
151,4622,703,18,"Demansia psammophis"
219,6423,185,37,"Demansia psammophis"
138,4636,693,18,"Demansia psammophis"
183,4092,212,16,"Demansia psammophis"
181,5879,266,21,"Demansia psammophis"
183,4766,227,19,"Demansia psammophis"
211,6304,322,47,"Demansia psammophis"
175,5106,260,18,"Demansia psammophis"
