"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
263,2823,1007,112,"Demansia quaesitor"
245,5500,356,78,"Demansia quaesitor"
268,3676,627,113,"Demansia quaesitor"
285,2884,679,109,"Demansia quaesitor"
266,3230,787,116,"Demansia quaesitor"
272,2786,813,114,"Demansia quaesitor"
264,2565,1016,107,"Demansia quaesitor"
243,5844,260,69,"Demansia quaesitor"
263,3527,715,111,"Demansia quaesitor"
269,3475,616,113,"Demansia quaesitor"
273,3364,696,114,"Demansia quaesitor"
265,3536,717,113,"Demansia quaesitor"
265,2644,1048,117,"Demansia quaesitor"
263,3052,791,118,"Demansia quaesitor"
256,3094,782,112,"Demansia quaesitor"
267,2748,933,115,"Demansia quaesitor"
269,2702,826,112,"Demansia quaesitor"
274,3017,790,112,"Demansia quaesitor"
263,2919,959,112,"Demansia quaesitor"
271,3022,790,114,"Demansia quaesitor"
254,3230,898,111,"Demansia quaesitor"
281,2723,912,113,"Demansia quaesitor"
268,3173,753,119,"Demansia quaesitor"
247,5199,350,91,"Demansia quaesitor"
271,3189,814,107,"Demansia quaesitor"
275,3393,643,106,"Demansia quaesitor"
263,3767,704,113,"Demansia quaesitor"
262,2930,884,114,"Demansia quaesitor"
270,2992,854,115,"Demansia quaesitor"
263,2868,878,117,"Demansia quaesitor"
264,3310,697,110,"Demansia quaesitor"
277,3338,654,113,"Demansia quaesitor"
269,2833,837,107,"Demansia quaesitor"
266,2756,955,118,"Demansia quaesitor"
253,3153,920,109,"Demansia quaesitor"
277,2937,725,110,"Demansia quaesitor"
271,2919,832,110,"Demansia quaesitor"
268,2872,892,112,"Demansia quaesitor"
272,3314,680,116,"Demansia quaesitor"
256,5351,351,88,"Demansia quaesitor"
256,4699,404,96,"Demansia quaesitor"
263,2870,769,119,"Demansia quaesitor"
270,3099,814,114,"Demansia quaesitor"
250,5210,352,87,"Demansia quaesitor"
258,4402,446,105,"Demansia quaesitor"
285,3385,635,113,"Demansia quaesitor"
269,2833,875,112,"Demansia quaesitor"
266,3367,720,107,"Demansia quaesitor"
284,3388,681,112,"Demansia quaesitor"
242,4884,510,94,"Demansia quaesitor"
280,3050,718,115,"Demansia quaesitor"
259,5050,362,93,"Demansia quaesitor"
270,3003,839,115,"Demansia quaesitor"
256,3745,739,112,"Demansia quaesitor"
286,3224,676,111,"Demansia quaesitor"
271,2856,735,109,"Demansia quaesitor"
253,3396,703,109,"Demansia quaesitor"
249,4905,448,102,"Demansia quaesitor"
256,5270,357,91,"Demansia quaesitor"
274,3578,609,105,"Demansia quaesitor"
256,5287,342,88,"Demansia quaesitor"
269,3408,711,107,"Demansia quaesitor"
245,5183,347,90,"Demansia quaesitor"
262,3430,655,110,"Demansia quaesitor"
275,3079,684,112,"Demansia quaesitor"
285,3003,678,112,"Demansia quaesitor"
277,3457,658,107,"Demansia quaesitor"
270,2812,729,112,"Demansia quaesitor"
257,5433,330,88,"Demansia quaesitor"
273,2581,906,109,"Demansia quaesitor"
251,5460,337,89,"Demansia quaesitor"
258,5139,358,93,"Demansia quaesitor"
267,3025,923,112,"Demansia quaesitor"
255,3186,826,111,"Demansia quaesitor"
265,2716,1001,117,"Demansia quaesitor"
266,3534,627,106,"Demansia quaesitor"
249,5018,373,90,"Demansia quaesitor"
242,4962,444,92,"Demansia quaesitor"
