"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
178,3509,1040,81,"Demansia reticulata"
194,5174,382,70,"Demansia reticulata"
162,4609,458,67,"Demansia reticulata"
188,5383,308,57,"Demansia reticulata"
183,5266,345,62,"Demansia reticulata"
186,5366,313,48,"Demansia reticulata"
176,4406,747,79,"Demansia reticulata"
186,4605,597,78,"Demansia reticulata"
220,3909,276,87,"Demansia reticulata"
219,3365,301,98,"Demansia reticulata"
225,3838,235,84,"Demansia reticulata"
195,3721,631,84,"Demansia reticulata"
188,5442,333,64,"Demansia reticulata"
189,5301,399,68,"Demansia reticulata"
202,4554,440,80,"Demansia reticulata"
164,4719,438,65,"Demansia reticulata"
160,4435,489,67,"Demansia reticulata"
182,5190,377,54,"Demansia reticulata"
208,3748,459,92,"Demansia reticulata"
194,5463,348,72,"Demansia reticulata"
186,5322,319,54,"Demansia reticulata"
164,4266,891,77,"Demansia reticulata"
225,3124,223,78,"Demansia reticulata"
176,5100,329,55,"Demansia reticulata"
209,3535,468,93,"Demansia reticulata"
203,5065,384,72,"Demansia reticulata"
157,4039,571,67,"Demansia reticulata"
189,4937,452,74,"Demansia reticulata"
191,4437,586,80,"Demansia reticulata"
164,4175,868,81,"Demansia reticulata"
184,3688,941,83,"Demansia reticulata"
185,5278,332,65,"Demansia reticulata"
160,4559,472,71,"Demansia reticulata"
194,4070,603,83,"Demansia reticulata"
168,4136,905,82,"Demansia reticulata"
189,4969,483,71,"Demansia reticulata"
187,4312,677,86,"Demansia reticulata"
177,4687,661,73,"Demansia reticulata"
158,3729,903,83,"Demansia reticulata"
180,5073,412,67,"Demansia reticulata"
211,3556,365,95,"Demansia reticulata"
160,4487,647,79,"Demansia reticulata"
204,4106,366,87,"Demansia reticulata"
193,5642,323,62,"Demansia reticulata"
195,5520,319,70,"Demansia reticulata"
214,4667,292,73,"Demansia reticulata"
159,3825,1070,77,"Demansia reticulata"
194,5329,384,72,"Demansia reticulata"
212,5024,293,69,"Demansia reticulata"
186,3553,818,84,"Demansia reticulata"
195,4184,526,76,"Demansia reticulata"
160,3827,1097,81,"Demansia reticulata"
189,5120,430,65,"Demansia reticulata"
175,4864,416,67,"Demansia reticulata"
167,4501,684,78,"Demansia reticulata"
187,4696,530,76,"Demansia reticulata"
189,3766,769,87,"Demansia reticulata"
164,4374,828,83,"Demansia reticulata"
159,3627,1039,78,"Demansia reticulata"
203,4080,394,82,"Demansia reticulata"
