"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
279,1588,998,122,"Demansia simplex"
256,2149,1285,109,"Demansia simplex"
263,1933,1377,110,"Demansia simplex"
265,2023,1332,120,"Demansia simplex"
261,2092,1139,109,"Demansia simplex"
259,2153,1130,107,"Demansia simplex"
268,1739,1243,113,"Demansia simplex"
264,1963,1167,108,"Demansia simplex"
266,2038,1290,113,"Demansia simplex"
274,1895,1207,114,"Demansia simplex"
259,2241,1169,108,"Demansia simplex"
260,1981,1382,109,"Demansia simplex"
274,1769,1559,126,"Demansia simplex"
278,1740,1307,118,"Demansia simplex"
276,2093,1001,110,"Demansia simplex"
273,2233,1021,111,"Demansia simplex"
262,1954,1386,110,"Demansia simplex"
275,2112,1009,110,"Demansia simplex"
262,1954,1216,107,"Demansia simplex"
270,1712,1267,118,"Demansia simplex"
261,2149,1148,111,"Demansia simplex"
278,1563,1324,130,"Demansia simplex"
269,1614,1660,125,"Demansia simplex"
254,1913,1543,119,"Demansia simplex"
261,1843,1363,112,"Demansia simplex"
274,2151,1065,112,"Demansia simplex"
255,2081,1445,111,"Demansia simplex"
258,2064,1357,115,"Demansia simplex"
269,1869,1197,111,"Demansia simplex"
268,1754,1309,113,"Demansia simplex"
276,1577,1355,125,"Demansia simplex"
258,1815,1730,112,"Demansia simplex"
276,1916,968,111,"Demansia simplex"
271,1822,1370,121,"Demansia simplex"
265,2004,1272,110,"Demansia simplex"
270,2053,1136,107,"Demansia simplex"
270,1769,1438,117,"Demansia simplex"
250,2043,1536,115,"Demansia simplex"
264,1987,1182,107,"Demansia simplex"
279,1727,1110,114,"Demansia simplex"
275,1802,1162,124,"Demansia simplex"
268,1851,1206,110,"Demansia simplex"
273,1977,1263,116,"Demansia simplex"
268,1885,1159,109,"Demansia simplex"
265,2127,1283,115,"Demansia simplex"
268,2149,1125,110,"Demansia simplex"
265,1933,1371,112,"Demansia simplex"
267,1819,1159,110,"Demansia simplex"
274,1924,1186,112,"Demansia simplex"
272,1863,1208,116,"Demansia simplex"
265,1589,1624,119,"Demansia simplex"
269,1929,1182,110,"Demansia simplex"
274,1826,1291,120,"Demansia simplex"
261,2045,1281,109,"Demansia simplex"
275,1522,906,119,"Demansia simplex"
264,1635,1667,118,"Demansia simplex"
259,2131,1276,110,"Demansia simplex"
273,1655,1128,115,"Demansia simplex"
273,1473,1086,127,"Demansia simplex"
268,1928,1135,110,"Demansia simplex"
275,2040,1055,111,"Demansia simplex"
268,2230,969,107,"Demansia simplex"
256,2084,1516,112,"Demansia simplex"
272,1849,1078,109,"Demansia simplex"
272,1810,1111,110,"Demansia simplex"
264,1690,1700,117,"Demansia simplex"
269,2214,962,109,"Demansia simplex"
266,1986,1200,109,"Demansia simplex"
259,2230,1051,108,"Demansia simplex"
278,1624,1318,125,"Demansia simplex"
262,2029,1300,110,"Demansia simplex"
263,2272,1071,108,"Demansia simplex"
270,2141,1043,109,"Demansia simplex"
269,2263,949,110,"Demansia simplex"
257,2082,1301,115,"Demansia simplex"
268,2174,1136,112,"Demansia simplex"
259,2120,1230,110,"Demansia simplex"
264,2034,1180,105,"Demansia simplex"
274,1862,1409,124,"Demansia simplex"
276,1646,1106,118,"Demansia simplex"
267,2131,1089,105,"Demansia simplex"
275,2069,1014,112,"Demansia simplex"
263,1834,1504,114,"Demansia simplex"
274,1909,1311,118,"Demansia simplex"
263,1950,1424,112,"Demansia simplex"
271,1805,1193,113,"Demansia simplex"
262,2211,1127,107,"Demansia simplex"
262,2022,1250,110,"Demansia simplex"
266,1820,1494,113,"Demansia simplex"
260,2139,1233,113,"Demansia simplex"
261,2157,1154,111,"Demansia simplex"
276,1905,1067,113,"Demansia simplex"
273,1844,1117,109,"Demansia simplex"
263,2014,1235,107,"Demansia simplex"
257,2099,1414,111,"Demansia simplex"
273,1815,1187,119,"Demansia simplex"
273,1928,1104,112,"Demansia simplex"
275,1762,1182,119,"Demansia simplex"
278,1627,969,119,"Demansia simplex"
266,2074,1319,110,"Demansia simplex"
259,1829,1464,115,"Demansia simplex"
273,1814,1013,108,"Demansia simplex"
259,1980,1512,109,"Demansia simplex"
273,1575,1205,121,"Demansia simplex"
269,2138,1283,109,"Demansia simplex"
262,1955,1452,111,"Demansia simplex"
265,1838,1283,115,"Demansia simplex"
271,2086,1113,107,"Demansia simplex"
263,1974,1348,109,"Demansia simplex"
275,1690,1217,121,"Demansia simplex"
264,1705,1811,120,"Demansia simplex"
276,1964,1106,111,"Demansia simplex"
269,2049,1227,112,"Demansia simplex"
268,1590,1405,116,"Demansia simplex"
269,1566,1652,124,"Demansia simplex"
260,1991,1503,109,"Demansia simplex"
263,1965,1200,113,"Demansia simplex"
258,2041,1416,108,"Demansia simplex"
271,1596,1379,124,"Demansia simplex"
257,2172,1220,108,"Demansia simplex"
273,1660,1134,110,"Demansia simplex"
261,1790,1643,114,"Demansia simplex"
268,1981,1106,109,"Demansia simplex"
263,1815,1373,113,"Demansia simplex"
277,1673,1155,122,"Demansia simplex"
261,2122,1201,108,"Demansia simplex"
266,1993,1149,107,"Demansia simplex"
260,2106,1172,108,"Demansia simplex"
276,1827,1142,120,"Demansia simplex"
263,2073,1234,109,"Demansia simplex"
261,1834,1574,120,"Demansia simplex"
269,1796,1511,123,"Demansia simplex"
273,1847,1053,109,"Demansia simplex"
262,2229,1129,108,"Demansia simplex"
268,1922,1183,111,"Demansia simplex"
271,1610,1216,111,"Demansia simplex"
262,2221,1077,109,"Demansia simplex"
259,1878,1544,121,"Demansia simplex"
256,2151,1229,111,"Demansia simplex"
269,1804,1262,112,"Demansia simplex"
270,1889,1502,123,"Demansia simplex"
267,1910,1288,109,"Demansia simplex"
266,1786,1390,113,"Demansia simplex"
258,2135,1160,109,"Demansia simplex"
263,2042,1188,107,"Demansia simplex"
258,1851,1618,110,"Demansia simplex"
276,1595,1387,131,"Demansia simplex"
259,2159,1193,108,"Demansia simplex"
261,1885,1261,106,"Demansia simplex"
265,2252,1028,108,"Demansia simplex"
266,1623,1397,116,"Demansia simplex"
265,2179,1331,112,"Demansia simplex"
263,2033,1326,110,"Demansia simplex"
261,1812,1463,113,"Demansia simplex"
274,2190,1191,114,"Demansia simplex"
263,1756,1499,116,"Demansia simplex"
273,1536,1091,123,"Demansia simplex"
270,1645,1704,124,"Demansia simplex"
262,1729,1753,116,"Demansia simplex"
269,1954,1203,113,"Demansia simplex"
278,1624,1370,122,"Demansia simplex"
275,1883,1229,117,"Demansia simplex"
274,2042,1090,109,"Demansia simplex"
279,1667,1247,121,"Demansia simplex"
268,1762,1222,111,"Demansia simplex"
259,1932,1472,112,"Demansia simplex"
259,1943,1462,110,"Demansia simplex"
272,1626,1288,127,"Demansia simplex"
275,1654,1181,120,"Demansia simplex"
264,1963,1363,112,"Demansia simplex"
279,1617,1197,118,"Demansia simplex"
273,2032,1087,114,"Demansia simplex"
266,1937,1419,114,"Demansia simplex"
271,2137,1056,107,"Demansia simplex"
257,1853,1740,112,"Demansia simplex"
267,1621,1491,115,"Demansia simplex"
273,1609,1375,123,"Demansia simplex"
268,1923,1356,113,"Demansia simplex"
279,1656,1061,121,"Demansia simplex"
262,2039,1449,113,"Demansia simplex"
257,2108,1247,110,"Demansia simplex"
264,2054,1171,108,"Demansia simplex"
271,1657,1345,120,"Demansia simplex"
278,1784,1105,116,"Demansia simplex"
267,2014,1165,109,"Demansia simplex"
267,1718,1670,120,"Demansia simplex"
265,2262,999,108,"Demansia simplex"
270,1905,1131,109,"Demansia simplex"
258,2226,1149,109,"Demansia simplex"
276,1657,1385,116,"Demansia simplex"
275,2109,1176,115,"Demansia simplex"
264,2063,1240,115,"Demansia simplex"
264,1963,1463,112,"Demansia simplex"
255,2138,1416,113,"Demansia simplex"
275,1759,1157,110,"Demansia simplex"
268,1850,1300,111,"Demansia simplex"
261,1742,1566,112,"Demansia simplex"
267,1738,1404,113,"Demansia simplex"
263,1979,1480,115,"Demansia simplex"
274,1646,1341,119,"Demansia simplex"
268,2015,1223,116,"Demansia simplex"
265,1916,1314,110,"Demansia simplex"
269,1570,1519,116,"Demansia simplex"
272,1654,1546,119,"Demansia simplex"
263,1854,1677,117,"Demansia simplex"
261,2062,1429,113,"Demansia simplex"
278,1698,1208,121,"Demansia simplex"
270,1695,1307,117,"Demansia simplex"
268,1710,1676,124,"Demansia simplex"
262,1967,1395,110,"Demansia simplex"
279,1698,1138,116,"Demansia simplex"
267,2115,1215,110,"Demansia simplex"
272,1961,1345,115,"Demansia simplex"
273,2090,1070,116,"Demansia simplex"
278,1787,1217,113,"Demansia simplex"
276,1698,1159,120,"Demansia simplex"
263,2003,1242,107,"Demansia simplex"
269,1695,1347,118,"Demansia simplex"
272,1772,1151,114,"Demansia simplex"
268,2067,1282,110,"Demansia simplex"
261,2194,1127,107,"Demansia simplex"
273,1529,1476,127,"Demansia simplex"
275,1761,1432,117,"Demansia simplex"
269,1902,1196,116,"Demansia simplex"
267,2099,1322,112,"Demansia simplex"
259,2079,1216,110,"Demansia simplex"
254,2171,1349,112,"Demansia simplex"
272,1619,1517,120,"Demansia simplex"
267,2034,1155,112,"Demansia simplex"
270,1677,1296,112,"Demansia simplex"
255,2104,1334,108,"Demansia simplex"
273,2059,1182,114,"Demansia simplex"
264,1918,1380,112,"Demansia simplex"
257,1958,1314,111,"Demansia simplex"
254,2161,1289,109,"Demansia simplex"
276,1567,1148,124,"Demansia simplex"
259,2104,1362,110,"Demansia simplex"
