"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
237,300,2604,15,"Dendrelaphis calligastra"
261,563,4690,20,"Dendrelaphis calligastra"
251,666,3385,24,"Dendrelaphis calligastra"
248,2013,949,111,"Dendrelaphis calligastra"
255,229,2734,16,"Dendrelaphis calligastra"
249,552,3683,11,"Dendrelaphis calligastra"
258,484,3638,42,"Dendrelaphis calligastra"
220,212,3129,8,"Dendrelaphis calligastra"
260,475,2544,13,"Dendrelaphis calligastra"
258,846,1913,25,"Dendrelaphis calligastra"
261,616,2208,53,"Dendrelaphis calligastra"
261,407,2594,9,"Dendrelaphis calligastra"
222,352,3659,34,"Dendrelaphis calligastra"
263,157,2235,34,"Dendrelaphis calligastra"
230,391,3043,27,"Dendrelaphis calligastra"
258,450,4689,11,"Dendrelaphis calligastra"
258,747,2044,53,"Dendrelaphis calligastra"
262,194,2271,29,"Dendrelaphis calligastra"
230,648,2054,33,"Dendrelaphis calligastra"
231,484,2892,21,"Dendrelaphis calligastra"
263,228,3157,8,"Dendrelaphis calligastra"
248,794,2452,17,"Dendrelaphis calligastra"
223,507,3131,16,"Dendrelaphis calligastra"
263,747,1633,66,"Dendrelaphis calligastra"
264,206,2468,8,"Dendrelaphis calligastra"
262,853,1617,58,"Dendrelaphis calligastra"
256,1614,1485,108,"Dendrelaphis calligastra"
263,1126,1574,112,"Dendrelaphis calligastra"
236,1524,1646,111,"Dendrelaphis calligastra"
257,513,3689,31,"Dendrelaphis calligastra"
259,344,3001,17,"Dendrelaphis calligastra"
260,529,1521,46,"Dendrelaphis calligastra"
241,1930,1629,105,"Dendrelaphis calligastra"
259,560,5892,12,"Dendrelaphis calligastra"
214,528,4419,33,"Dendrelaphis calligastra"
230,312,3903,10,"Dendrelaphis calligastra"
249,2040,948,111,"Dendrelaphis calligastra"
261,548,4483,32,"Dendrelaphis calligastra"
254,239,2098,28,"Dendrelaphis calligastra"
265,607,2466,64,"Dendrelaphis calligastra"
262,186,2625,40,"Dendrelaphis calligastra"
229,2805,2416,80,"Dendrelaphis calligastra"
217,1869,2995,86,"Dendrelaphis calligastra"
255,1357,1512,107,"Dendrelaphis calligastra"
259,514,1602,58,"Dendrelaphis calligastra"
226,202,3269,24,"Dendrelaphis calligastra"
258,561,2558,45,"Dendrelaphis calligastra"
262,171,2809,36,"Dendrelaphis calligastra"
269,178,2759,8,"Dendrelaphis calligastra"
212,2784,918,100,"Dendrelaphis calligastra"
236,221,2359,14,"Dendrelaphis calligastra"
215,538,4519,18,"Dendrelaphis calligastra"
249,97,4117,34,"Dendrelaphis calligastra"
255,624,3435,28,"Dendrelaphis calligastra"
265,283,4162,10,"Dendrelaphis calligastra"
214,2668,900,103,"Dendrelaphis calligastra"
246,202,2568,28,"Dendrelaphis calligastra"
261,286,2510,13,"Dendrelaphis calligastra"
257,1642,1301,109,"Dendrelaphis calligastra"
253,430,3206,13,"Dendrelaphis calligastra"
243,825,2665,18,"Dendrelaphis calligastra"
261,215,2070,25,"Dendrelaphis calligastra"
263,255,2455,22,"Dendrelaphis calligastra"
264,857,1972,57,"Dendrelaphis calligastra"
244,216,3400,10,"Dendrelaphis calligastra"
263,573,1496,52,"Dendrelaphis calligastra"
215,282,3489,32,"Dendrelaphis calligastra"
265,185,2724,13,"Dendrelaphis calligastra"
204,2500,3484,62,"Dendrelaphis calligastra"
259,1175,1647,107,"Dendrelaphis calligastra"
257,481,4604,10,"Dendrelaphis calligastra"
223,469,2191,53,"Dendrelaphis calligastra"
259,361,2943,9,"Dendrelaphis calligastra"
262,764,1688,65,"Dendrelaphis calligastra"
258,480,4973,11,"Dendrelaphis calligastra"
260,232,2841,39,"Dendrelaphis calligastra"
258,566,3310,33,"Dendrelaphis calligastra"
260,202,1914,19,"Dendrelaphis calligastra"
257,484,3833,20,"Dendrelaphis calligastra"
247,214,2665,24,"Dendrelaphis calligastra"
244,678,2472,50,"Dendrelaphis calligastra"
259,479,3517,43,"Dendrelaphis calligastra"
247,534,3235,14,"Dendrelaphis calligastra"
267,638,2296,66,"Dendrelaphis calligastra"
262,202,2338,18,"Dendrelaphis calligastra"
262,453,3191,13,"Dendrelaphis calligastra"
262,504,3243,48,"Dendrelaphis calligastra"
261,525,2256,24,"Dendrelaphis calligastra"
259,1539,1475,110,"Dendrelaphis calligastra"
264,619,2312,60,"Dendrelaphis calligastra"
229,615,3783,43,"Dendrelaphis calligastra"
259,526,5108,11,"Dendrelaphis calligastra"
256,762,2878,38,"Dendrelaphis calligastra"
217,479,6922,21,"Dendrelaphis calligastra"
264,652,3353,25,"Dendrelaphis calligastra"
254,241,4211,9,"Dendrelaphis calligastra"
246,2216,1595,95,"Dendrelaphis calligastra"
262,805,1682,57,"Dendrelaphis calligastra"
263,219,2854,33,"Dendrelaphis calligastra"
257,356,3520,21,"Dendrelaphis calligastra"
251,266,3418,13,"Dendrelaphis calligastra"
235,1345,1892,104,"Dendrelaphis calligastra"
260,395,4083,26,"Dendrelaphis calligastra"
224,231,4642,9,"Dendrelaphis calligastra"
258,1253,1575,98,"Dendrelaphis calligastra"
256,566,4894,15,"Dendrelaphis calligastra"
254,191,2535,26,"Dendrelaphis calligastra"
264,721,1724,66,"Dendrelaphis calligastra"
226,471,2340,42,"Dendrelaphis calligastra"
226,560,4621,37,"Dendrelaphis calligastra"
190,2546,2053,67,"Dendrelaphis calligastra"
262,249,2340,27,"Dendrelaphis calligastra"
255,761,4409,20,"Dendrelaphis calligastra"
215,381,3678,12,"Dendrelaphis calligastra"
262,224,3313,8,"Dendrelaphis calligastra"
234,1933,1548,107,"Dendrelaphis calligastra"
250,180,2744,43,"Dendrelaphis calligastra"
250,194,3172,21,"Dendrelaphis calligastra"
251,101,2383,45,"Dendrelaphis calligastra"
246,777,1755,41,"Dendrelaphis calligastra"
253,693,4274,18,"Dendrelaphis calligastra"
261,769,1745,61,"Dendrelaphis calligastra"
263,718,1696,65,"Dendrelaphis calligastra"
248,717,2678,45,"Dendrelaphis calligastra"
258,126,3285,30,"Dendrelaphis calligastra"
261,452,4380,15,"Dendrelaphis calligastra"
256,261,3825,10,"Dendrelaphis calligastra"
257,227,1925,21,"Dendrelaphis calligastra"
261,824,1704,55,"Dendrelaphis calligastra"
207,295,3890,21,"Dendrelaphis calligastra"
262,1808,1101,113,"Dendrelaphis calligastra"
244,1993,1267,99,"Dendrelaphis calligastra"
245,170,2295,36,"Dendrelaphis calligastra"
261,1490,1341,109,"Dendrelaphis calligastra"
249,1354,1683,97,"Dendrelaphis calligastra"
260,665,1970,58,"Dendrelaphis calligastra"
257,586,4102,21,"Dendrelaphis calligastra"
265,480,3429,13,"Dendrelaphis calligastra"
256,207,2961,10,"Dendrelaphis calligastra"
261,427,4073,18,"Dendrelaphis calligastra"
247,539,2974,40,"Dendrelaphis calligastra"
266,638,2281,67,"Dendrelaphis calligastra"
262,245,2387,23,"Dendrelaphis calligastra"
265,282,2905,18,"Dendrelaphis calligastra"
252,708,2800,38,"Dendrelaphis calligastra"
