"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
263,4029,492,111,"Diplodactylus barraganae"
267,3603,627,113,"Diplodactylus barraganae"
262,3122,748,116,"Diplodactylus barraganae"
263,3194,628,117,"Diplodactylus barraganae"
262,3992,524,113,"Diplodactylus barraganae"
264,3251,698,112,"Diplodactylus barraganae"
263,3905,552,113,"Diplodactylus barraganae"
267,3517,704,112,"Diplodactylus barraganae"
261,3229,701,114,"Diplodactylus barraganae"
263,3954,527,113,"Diplodactylus barraganae"
264,3381,658,113,"Diplodactylus barraganae"
257,3361,696,112,"Diplodactylus barraganae"
268,3556,664,113,"Diplodactylus barraganae"
257,3736,681,111,"Diplodactylus barraganae"
263,3146,724,115,"Diplodactylus barraganae"
262,3821,669,114,"Diplodactylus barraganae"
269,3623,652,112,"Diplodactylus barraganae"
267,3694,689,114,"Diplodactylus barraganae"
263,3136,721,114,"Diplodactylus barraganae"
265,3989,514,112,"Diplodactylus barraganae"
262,3267,722,113,"Diplodactylus barraganae"
264,3345,622,113,"Diplodactylus barraganae"
260,3327,694,113,"Diplodactylus barraganae"
269,3489,662,111,"Diplodactylus barraganae"
261,3226,686,114,"Diplodactylus barraganae"
262,3897,601,113,"Diplodactylus barraganae"
264,3655,670,114,"Diplodactylus barraganae"
262,3326,632,114,"Diplodactylus barraganae"
263,3234,703,113,"Diplodactylus barraganae"
264,3345,709,112,"Diplodactylus barraganae"
266,3379,675,111,"Diplodactylus barraganae"
267,3769,643,113,"Diplodactylus barraganae"
264,3313,675,111,"Diplodactylus barraganae"
268,3572,664,112,"Diplodactylus barraganae"
262,3100,716,117,"Diplodactylus barraganae"
261,3237,698,115,"Diplodactylus barraganae"
265,3971,471,111,"Diplodactylus barraganae"
262,3249,645,116,"Diplodactylus barraganae"
264,3223,670,115,"Diplodactylus barraganae"
268,3428,664,111,"Diplodactylus barraganae"
268,3575,667,110,"Diplodactylus barraganae"
262,3321,698,113,"Diplodactylus barraganae"
266,3348,596,113,"Diplodactylus barraganae"
260,3148,804,115,"Diplodactylus barraganae"
247,4910,431,98,"Diplodactylus barraganae"
259,3355,651,114,"Diplodactylus barraganae"
262,3257,671,114,"Diplodactylus barraganae"
264,3186,651,117,"Diplodactylus barraganae"
263,4038,482,111,"Diplodactylus barraganae"
264,3697,647,112,"Diplodactylus barraganae"
262,3934,558,113,"Diplodactylus barraganae"
262,3236,681,114,"Diplodactylus barraganae"
259,3795,525,113,"Diplodactylus barraganae"
259,3316,679,113,"Diplodactylus barraganae"
265,3862,596,114,"Diplodactylus barraganae"
258,3359,711,113,"Diplodactylus barraganae"
267,3665,565,113,"Diplodactylus barraganae"
260,3249,695,114,"Diplodactylus barraganae"
261,3196,711,115,"Diplodactylus barraganae"
263,3281,631,114,"Diplodactylus barraganae"
258,3332,638,113,"Diplodactylus barraganae"
268,3455,667,110,"Diplodactylus barraganae"
260,3154,789,115,"Diplodactylus barraganae"
262,3250,720,113,"Diplodactylus barraganae"
261,3239,702,114,"Diplodactylus barraganae"
261,3764,743,112,"Diplodactylus barraganae"
266,3741,636,113,"Diplodactylus barraganae"
261,3979,552,113,"Diplodactylus barraganae"
263,3168,663,116,"Diplodactylus barraganae"
264,3315,699,113,"Diplodactylus barraganae"
262,3275,678,113,"Diplodactylus barraganae"
268,3585,632,113,"Diplodactylus barraganae"
260,3961,576,112,"Diplodactylus barraganae"
260,3183,747,115,"Diplodactylus barraganae"
262,3992,532,115,"Diplodactylus barraganae"
264,3721,619,115,"Diplodactylus barraganae"
258,3380,662,112,"Diplodactylus barraganae"
260,3874,588,113,"Diplodactylus barraganae"
263,3078,726,117,"Diplodactylus barraganae"
260,3312,667,113,"Diplodactylus barraganae"
260,3224,741,113,"Diplodactylus barraganae"
263,3819,503,112,"Diplodactylus barraganae"
260,3182,729,115,"Diplodactylus barraganae"
259,3319,693,112,"Diplodactylus barraganae"
262,3229,686,116,"Diplodactylus barraganae"
259,3247,716,115,"Diplodactylus barraganae"
261,3300,645,113,"Diplodactylus barraganae"
268,3470,683,110,"Diplodactylus barraganae"
267,3320,657,111,"Diplodactylus barraganae"
261,3276,672,112,"Diplodactylus barraganae"
256,3704,663,112,"Diplodactylus barraganae"
266,3537,717,111,"Diplodactylus barraganae"
264,4009,494,111,"Diplodactylus barraganae"
