"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
266,5245,312,88,"Diplodactylus bilybara"
243,5039,411,89,"Diplodactylus bilybara"
232,5375,272,73,"Diplodactylus bilybara"
253,4161,285,81,"Diplodactylus bilybara"
264,4722,309,88,"Diplodactylus bilybara"
245,5937,236,70,"Diplodactylus bilybara"
255,5335,301,80,"Diplodactylus bilybara"
236,4348,219,69,"Diplodactylus bilybara"
245,4895,431,93,"Diplodactylus bilybara"
236,5461,260,76,"Diplodactylus bilybara"
266,4618,316,89,"Diplodactylus bilybara"
243,5305,344,85,"Diplodactylus bilybara"
269,3523,259,92,"Diplodactylus bilybara"
247,5543,333,81,"Diplodactylus bilybara"
264,5420,276,89,"Diplodactylus bilybara"
270,3501,247,91,"Diplodactylus bilybara"
247,5403,256,78,"Diplodactylus bilybara"
248,5398,251,78,"Diplodactylus bilybara"
262,4793,373,96,"Diplodactylus bilybara"
249,5486,281,82,"Diplodactylus bilybara"
249,5330,279,80,"Diplodactylus bilybara"
242,5992,237,70,"Diplodactylus bilybara"
242,5543,222,65,"Diplodactylus bilybara"
263,5433,324,88,"Diplodactylus bilybara"
258,4193,293,82,"Diplodactylus bilybara"
239,5582,230,64,"Diplodactylus bilybara"
268,4206,290,90,"Diplodactylus bilybara"
265,5245,292,85,"Diplodactylus bilybara"
241,5437,331,87,"Diplodactylus bilybara"
249,4783,251,80,"Diplodactylus bilybara"
237,5071,381,91,"Diplodactylus bilybara"
232,5410,252,73,"Diplodactylus bilybara"
251,5660,319,88,"Diplodactylus bilybara"
249,4376,253,80,"Diplodactylus bilybara"
263,4586,382,93,"Diplodactylus bilybara"
258,4816,371,94,"Diplodactylus bilybara"
254,5412,265,80,"Diplodactylus bilybara"
253,5248,377,96,"Diplodactylus bilybara"
240,5340,358,94,"Diplodactylus bilybara"
263,5715,263,88,"Diplodactylus bilybara"
244,4919,239,73,"Diplodactylus bilybara"
246,5375,367,82,"Diplodactylus bilybara"
244,4915,231,76,"Diplodactylus bilybara"
259,4539,278,84,"Diplodactylus bilybara"
262,5462,297,92,"Diplodactylus bilybara"
235,3691,231,79,"Diplodactylus bilybara"
259,4358,397,94,"Diplodactylus bilybara"
259,3874,314,87,"Diplodactylus bilybara"
255,4705,252,85,"Diplodactylus bilybara"
265,5239,323,89,"Diplodactylus bilybara"
259,4642,277,85,"Diplodactylus bilybara"
259,5290,331,98,"Diplodactylus bilybara"
248,4501,248,79,"Diplodactylus bilybara"
238,4552,219,68,"Diplodactylus bilybara"
259,4384,279,83,"Diplodactylus bilybara"
240,5504,375,86,"Diplodactylus bilybara"
260,4152,302,84,"Diplodactylus bilybara"
266,4352,311,88,"Diplodactylus bilybara"
266,5341,293,86,"Diplodactylus bilybara"
266,4282,317,97,"Diplodactylus bilybara"
240,5159,413,87,"Diplodactylus bilybara"
242,4736,234,71,"Diplodactylus bilybara"
247,4560,251,77,"Diplodactylus bilybara"
246,4897,424,100,"Diplodactylus bilybara"
268,3771,267,95,"Diplodactylus bilybara"
241,3865,235,78,"Diplodactylus bilybara"
242,5125,379,92,"Diplodactylus bilybara"
233,3709,220,74,"Diplodactylus bilybara"
262,4228,324,100,"Diplodactylus bilybara"
248,5468,389,88,"Diplodactylus bilybara"
262,5824,247,84,"Diplodactylus bilybara"
256,5069,391,97,"Diplodactylus bilybara"
238,3898,228,77,"Diplodactylus bilybara"
246,5606,283,77,"Diplodactylus bilybara"
250,4591,242,81,"Diplodactylus bilybara"
237,5114,485,88,"Diplodactylus bilybara"
241,6088,215,66,"Diplodactylus bilybara"
247,4854,425,101,"Diplodactylus bilybara"
265,5519,288,90,"Diplodactylus bilybara"
259,5095,290,82,"Diplodactylus bilybara"
249,5728,282,86,"Diplodactylus bilybara"
238,4519,227,67,"Diplodactylus bilybara"
257,5223,295,82,"Diplodactylus bilybara"
258,3648,310,87,"Diplodactylus bilybara"
249,5018,245,79,"Diplodactylus bilybara"
239,4625,227,67,"Diplodactylus bilybara"
259,4828,386,94,"Diplodactylus bilybara"
268,4744,304,87,"Diplodactylus bilybara"
235,3323,224,86,"Diplodactylus bilybara"
270,3451,256,91,"Diplodactylus bilybara"
242,4519,236,73,"Diplodactylus bilybara"
253,4477,268,82,"Diplodactylus bilybara"
264,4355,344,95,"Diplodactylus bilybara"
246,5529,241,77,"Diplodactylus bilybara"
240,5250,389,82,"Diplodactylus bilybara"
237,4057,237,73,"Diplodactylus bilybara"
245,5144,282,81,"Diplodactylus bilybara"
258,5668,256,82,"Diplodactylus bilybara"
245,5567,275,77,"Diplodactylus bilybara"
248,5190,380,103,"Diplodactylus bilybara"
233,3623,229,77,"Diplodactylus bilybara"
259,4158,338,92,"Diplodactylus bilybara"
253,5517,311,84,"Diplodactylus bilybara"
245,5482,238,76,"Diplodactylus bilybara"
260,5509,315,90,"Diplodactylus bilybara"
247,5639,276,75,"Diplodactylus bilybara"
258,5449,289,84,"Diplodactylus bilybara"
244,5413,385,88,"Diplodactylus bilybara"
249,5394,267,80,"Diplodactylus bilybara"
234,5392,425,80,"Diplodactylus bilybara"
256,4705,392,98,"Diplodactylus bilybara"
264,4980,301,86,"Diplodactylus bilybara"
262,4940,360,93,"Diplodactylus bilybara"
268,4808,311,88,"Diplodactylus bilybara"
269,3493,304,90,"Diplodactylus bilybara"
233,3513,232,80,"Diplodactylus bilybara"
241,5629,229,62,"Diplodactylus bilybara"
243,4919,232,72,"Diplodactylus bilybara"
259,4559,387,98,"Diplodactylus bilybara"
245,5646,238,62,"Diplodactylus bilybara"
243,5451,348,88,"Diplodactylus bilybara"
267,3850,282,87,"Diplodactylus bilybara"
232,5403,256,72,"Diplodactylus bilybara"
243,4958,251,75,"Diplodactylus bilybara"
247,5675,243,73,"Diplodactylus bilybara"
255,5734,267,87,"Diplodactylus bilybara"
267,3874,281,89,"Diplodactylus bilybara"
245,4160,278,80,"Diplodactylus bilybara"
252,4781,390,97,"Diplodactylus bilybara"
