"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
196,4132,493,92,"Diplodactylus ornatus"
205,3511,530,83,"Diplodactylus ornatus"
242,5248,211,75,"Diplodactylus ornatus"
194,4748,439,78,"Diplodactylus ornatus"
193,4097,547,79,"Diplodactylus ornatus"
237,5404,210,68,"Diplodactylus ornatus"
207,4819,343,75,"Diplodactylus ornatus"
240,3756,229,79,"Diplodactylus ornatus"
235,4852,219,67,"Diplodactylus ornatus"
210,3684,402,97,"Diplodactylus ornatus"
231,4188,210,76,"Diplodactylus ornatus"
220,3570,292,92,"Diplodactylus ornatus"
252,3787,285,79,"Diplodactylus ornatus"
204,3732,536,83,"Diplodactylus ornatus"
194,4142,587,76,"Diplodactylus ornatus"
238,5287,236,74,"Diplodactylus ornatus"
245,4871,229,78,"Diplodactylus ornatus"
224,5225,230,65,"Diplodactylus ornatus"
219,5230,273,62,"Diplodactylus ornatus"
247,5197,240,79,"Diplodactylus ornatus"
232,5559,204,69,"Diplodactylus ornatus"
240,4523,234,70,"Diplodactylus ornatus"
231,5406,272,72,"Diplodactylus ornatus"
233,4787,213,68,"Diplodactylus ornatus"
220,4071,271,80,"Diplodactylus ornatus"
247,5254,233,78,"Diplodactylus ornatus"
244,5243,204,74,"Diplodactylus ornatus"
192,4224,614,80,"Diplodactylus ornatus"
241,5056,220,72,"Diplodactylus ornatus"
239,3292,316,78,"Diplodactylus ornatus"
230,5338,209,69,"Diplodactylus ornatus"
252,4827,242,82,"Diplodactylus ornatus"
209,3795,446,90,"Diplodactylus ornatus"
233,3226,235,87,"Diplodactylus ornatus"
222,3513,272,89,"Diplodactylus ornatus"
214,5299,297,62,"Diplodactylus ornatus"
207,3740,479,87,"Diplodactylus ornatus"
203,3863,425,84,"Diplodactylus ornatus"
213,4281,329,79,"Diplodactylus ornatus"
210,3566,439,86,"Diplodactylus ornatus"
205,5102,359,71,"Diplodactylus ornatus"
197,4369,486,86,"Diplodactylus ornatus"
207,5056,341,77,"Diplodactylus ornatus"
212,4782,289,75,"Diplodactylus ornatus"
226,5450,221,62,"Diplodactylus ornatus"
205,5097,367,69,"Diplodactylus ornatus"
241,4325,234,74,"Diplodactylus ornatus"
239,4580,225,66,"Diplodactylus ornatus"
253,4903,245,84,"Diplodactylus ornatus"
213,4273,299,85,"Diplodactylus ornatus"
225,3467,254,81,"Diplodactylus ornatus"
213,5322,309,63,"Diplodactylus ornatus"
237,4324,230,70,"Diplodactylus ornatus"
202,3687,429,88,"Diplodactylus ornatus"
198,4160,511,86,"Diplodactylus ornatus"
232,3370,230,80,"Diplodactylus ornatus"
217,3767,314,92,"Diplodactylus ornatus"
219,4571,270,75,"Diplodactylus ornatus"
243,5507,233,68,"Diplodactylus ornatus"
237,4472,222,68,"Diplodactylus ornatus"
233,5191,212,70,"Diplodactylus ornatus"
213,5159,298,64,"Diplodactylus ornatus"
188,4762,489,75,"Diplodactylus ornatus"
254,5082,262,82,"Diplodactylus ornatus"
240,5266,218,67,"Diplodactylus ornatus"
202,4788,384,75,"Diplodactylus ornatus"
248,4344,254,81,"Diplodactylus ornatus"
245,4513,247,74,"Diplodactylus ornatus"
245,5144,282,81,"Diplodactylus ornatus"
240,4840,227,69,"Diplodactylus ornatus"
244,3896,236,80,"Diplodactylus ornatus"
233,5551,214,72,"Diplodactylus ornatus"
224,3358,253,80,"Diplodactylus ornatus"
247,5410,239,78,"Diplodactylus ornatus"
238,3743,230,79,"Diplodactylus ornatus"
243,4807,235,73,"Diplodactylus ornatus"
241,3717,245,80,"Diplodactylus ornatus"
243,4560,243,74,"Diplodactylus ornatus"
183,4331,730,87,"Diplodactylus ornatus"
232,3434,236,80,"Diplodactylus ornatus"
240,5300,212,67,"Diplodactylus ornatus"
219,2637,309,96,"Diplodactylus ornatus"
187,4427,618,91,"Diplodactylus ornatus"
210,5227,318,67,"Diplodactylus ornatus"
242,4679,237,71,"Diplodactylus ornatus"
246,5313,257,79,"Diplodactylus ornatus"
246,4289,249,77,"Diplodactylus ornatus"
201,4418,486,81,"Diplodactylus ornatus"
243,5516,222,72,"Diplodactylus ornatus"
209,3779,455,89,"Diplodactylus ornatus"
247,3673,261,75,"Diplodactylus ornatus"
203,4325,428,83,"Diplodactylus ornatus"
245,4105,259,79,"Diplodactylus ornatus"
251,5003,228,81,"Diplodactylus ornatus"
184,4680,592,78,"Diplodactylus ornatus"
253,4774,243,82,"Diplodactylus ornatus"
235,4264,214,69,"Diplodactylus ornatus"
237,3847,231,77,"Diplodactylus ornatus"
200,4465,433,82,"Diplodactylus ornatus"
200,4568,413,87,"Diplodactylus ornatus"
232,3157,240,89,"Diplodactylus ornatus"
241,5433,222,75,"Diplodactylus ornatus"
238,3522,256,82,"Diplodactylus ornatus"
242,5492,234,67,"Diplodactylus ornatus"
247,5118,240,81,"Diplodactylus ornatus"
210,5121,329,68,"Diplodactylus ornatus"
249,4963,242,80,"Diplodactylus ornatus"
240,4982,217,68,"Diplodactylus ornatus"
239,4769,214,66,"Diplodactylus ornatus"
247,4352,293,81,"Diplodactylus ornatus"
194,3925,607,84,"Diplodactylus ornatus"
199,4107,519,88,"Diplodactylus ornatus"
253,4984,256,83,"Diplodactylus ornatus"
253,5059,275,82,"Diplodactylus ornatus"
243,5125,231,75,"Diplodactylus ornatus"
198,4721,415,79,"Diplodactylus ornatus"
198,4541,468,83,"Diplodactylus ornatus"
248,4731,257,78,"Diplodactylus ornatus"
205,4541,386,83,"Diplodactylus ornatus"
251,4528,253,82,"Diplodactylus ornatus"
244,3830,259,83,"Diplodactylus ornatus"
250,4318,269,81,"Diplodactylus ornatus"
250,4758,240,79,"Diplodactylus ornatus"
228,4087,215,76,"Diplodactylus ornatus"
205,4111,455,83,"Diplodactylus ornatus"
237,5664,200,73,"Diplodactylus ornatus"
224,4743,257,72,"Diplodactylus ornatus"
237,5637,206,72,"Diplodactylus ornatus"
244,3880,243,81,"Diplodactylus ornatus"
232,5288,212,69,"Diplodactylus ornatus"
218,5257,273,63,"Diplodactylus ornatus"
233,3153,222,82,"Diplodactylus ornatus"
244,5593,237,72,"Diplodactylus ornatus"
221,4865,267,68,"Diplodactylus ornatus"
221,5319,268,60,"Diplodactylus ornatus"
206,3876,480,90,"Diplodactylus ornatus"
192,4664,501,80,"Diplodactylus ornatus"
242,5656,240,63,"Diplodactylus ornatus"
237,5804,213,65,"Diplodactylus ornatus"
251,4566,244,81,"Diplodactylus ornatus"
238,4081,230,75,"Diplodactylus ornatus"
215,5330,286,63,"Diplodactylus ornatus"
237,4275,224,69,"Diplodactylus ornatus"
194,4790,415,78,"Diplodactylus ornatus"
194,4077,603,83,"Diplodactylus ornatus"
233,3882,212,71,"Diplodactylus ornatus"
245,4607,247,75,"Diplodactylus ornatus"
204,3709,531,85,"Diplodactylus ornatus"
245,5068,268,80,"Diplodactylus ornatus"
248,4867,251,79,"Diplodactylus ornatus"
195,3938,616,82,"Diplodactylus ornatus"
237,4793,219,67,"Diplodactylus ornatus"
207,5126,345,75,"Diplodactylus ornatus"
231,4106,222,74,"Diplodactylus ornatus"
234,4971,227,68,"Diplodactylus ornatus"
236,5309,212,72,"Diplodactylus ornatus"
231,4806,224,67,"Diplodactylus ornatus"
210,4320,337,82,"Diplodactylus ornatus"
243,4486,234,74,"Diplodactylus ornatus"
241,5136,220,72,"Diplodactylus ornatus"
243,5291,206,74,"Diplodactylus ornatus"
205,3548,471,87,"Diplodactylus ornatus"
202,4235,432,88,"Diplodactylus ornatus"
235,4921,224,67,"Diplodactylus ornatus"
243,5532,225,73,"Diplodactylus ornatus"
204,3950,472,88,"Diplodactylus ornatus"
236,5384,233,73,"Diplodactylus ornatus"
228,5400,223,66,"Diplodactylus ornatus"
248,3338,221,75,"Diplodactylus ornatus"
234,3592,233,79,"Diplodactylus ornatus"
201,5183,411,73,"Diplodactylus ornatus"
238,5297,218,65,"Diplodactylus ornatus"
189,3703,809,86,"Diplodactylus ornatus"
253,3965,265,77,"Diplodactylus ornatus"
240,5351,214,66,"Diplodactylus ornatus"
193,4294,599,82,"Diplodactylus ornatus"
224,2834,225,80,"Diplodactylus ornatus"
217,3268,304,96,"Diplodactylus ornatus"
230,5456,225,72,"Diplodactylus ornatus"
244,3216,244,77,"Diplodactylus ornatus"
241,4498,236,70,"Diplodactylus ornatus"
236,5728,196,74,"Diplodactylus ornatus"
249,4109,235,79,"Diplodactylus ornatus"
233,4611,224,67,"Diplodactylus ornatus"
243,5279,208,74,"Diplodactylus ornatus"
243,5242,230,75,"Diplodactylus ornatus"
199,4954,436,75,"Diplodactylus ornatus"
234,4561,223,69,"Diplodactylus ornatus"
253,5229,265,80,"Diplodactylus ornatus"
238,3595,231,81,"Diplodactylus ornatus"
204,5030,367,73,"Diplodactylus ornatus"
259,4843,277,86,"Diplodactylus ornatus"
209,3710,471,88,"Diplodactylus ornatus"
238,5617,222,64,"Diplodactylus ornatus"
191,4326,562,79,"Diplodactylus ornatus"
243,4962,259,74,"Diplodactylus ornatus"
201,4289,482,83,"Diplodactylus ornatus"
206,3826,390,88,"Diplodactylus ornatus"
222,4054,255,80,"Diplodactylus ornatus"
219,4310,269,81,"Diplodactylus ornatus"
218,4279,301,80,"Diplodactylus ornatus"
224,5283,257,66,"Diplodactylus ornatus"
237,3551,227,81,"Diplodactylus ornatus"
247,5426,219,76,"Diplodactylus ornatus"
223,3576,257,87,"Diplodactylus ornatus"
242,5544,222,65,"Diplodactylus ornatus"
237,3508,229,82,"Diplodactylus ornatus"
216,4261,285,82,"Diplodactylus ornatus"
190,3712,742,85,"Diplodactylus ornatus"
236,3769,232,78,"Diplodactylus ornatus"
244,5011,240,73,"Diplodactylus ornatus"
238,3912,229,76,"Diplodactylus ornatus"
224,4514,238,73,"Diplodactylus ornatus"
253,4973,248,83,"Diplodactylus ornatus"
242,5115,228,72,"Diplodactylus ornatus"
222,4625,258,75,"Diplodactylus ornatus"
204,5273,347,74,"Diplodactylus ornatus"
240,5368,208,68,"Diplodactylus ornatus"
251,5170,255,80,"Diplodactylus ornatus"
248,3868,283,78,"Diplodactylus ornatus"
233,5517,216,74,"Diplodactylus ornatus"
204,4855,348,74,"Diplodactylus ornatus"
190,4552,543,81,"Diplodactylus ornatus"
239,4720,218,67,"Diplodactylus ornatus"
202,5288,339,74,"Diplodactylus ornatus"
246,3736,238,79,"Diplodactylus ornatus"
251,5288,257,81,"Diplodactylus ornatus"
205,3981,361,89,"Diplodactylus ornatus"
208,5275,318,70,"Diplodactylus ornatus"
242,4093,233,74,"Diplodactylus ornatus"
237,5831,208,64,"Diplodactylus ornatus"
200,4395,465,92,"Diplodactylus ornatus"
222,2936,229,78,"Diplodactylus ornatus"
241,5552,266,71,"Diplodactylus ornatus"
241,5470,242,72,"Diplodactylus ornatus"
214,3511,383,90,"Diplodactylus ornatus"
209,5402,339,65,"Diplodactylus ornatus"
239,4515,232,67,"Diplodactylus ornatus"
236,3842,238,77,"Diplodactylus ornatus"
