"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
187,3675,800,85,"Diplodactylus polyophthalmus"
154,3788,740,75,"Diplodactylus polyophthalmus"
189,3787,750,87,"Diplodactylus polyophthalmus"
173,4337,819,89,"Diplodactylus polyophthalmus"
198,3618,623,85,"Diplodactylus polyophthalmus"
168,4269,664,80,"Diplodactylus polyophthalmus"
187,3866,791,84,"Diplodactylus polyophthalmus"
154,3943,439,59,"Diplodactylus polyophthalmus"
185,3858,915,85,"Diplodactylus polyophthalmus"
194,3981,572,88,"Diplodactylus polyophthalmus"
147,3608,488,48,"Diplodactylus polyophthalmus"
160,4486,491,64,"Diplodactylus polyophthalmus"
190,3743,730,85,"Diplodactylus polyophthalmus"
187,3641,834,84,"Diplodactylus polyophthalmus"
157,4378,485,63,"Diplodactylus polyophthalmus"
187,4607,568,78,"Diplodactylus polyophthalmus"
147,3757,517,58,"Diplodactylus polyophthalmus"
195,4278,546,84,"Diplodactylus polyophthalmus"
159,4395,666,73,"Diplodactylus polyophthalmus"
160,4384,486,65,"Diplodactylus polyophthalmus"
161,3445,1114,86,"Diplodactylus polyophthalmus"
155,3859,562,67,"Diplodactylus polyophthalmus"
187,3757,832,81,"Diplodactylus polyophthalmus"
165,3912,1244,81,"Diplodactylus polyophthalmus"
191,4308,587,78,"Diplodactylus polyophthalmus"
170,4736,437,76,"Diplodactylus polyophthalmus"
149,3802,455,53,"Diplodactylus polyophthalmus"
188,4754,521,78,"Diplodactylus polyophthalmus"
170,4611,713,79,"Diplodactylus polyophthalmus"
179,3548,1071,83,"Diplodactylus polyophthalmus"
154,3932,508,62,"Diplodactylus polyophthalmus"
159,4245,491,63,"Diplodactylus polyophthalmus"
150,3642,501,55,"Diplodactylus polyophthalmus"
157,4331,496,63,"Diplodactylus polyophthalmus"
164,3583,1312,81,"Diplodactylus polyophthalmus"
153,3914,530,62,"Diplodactylus polyophthalmus"
160,4539,536,70,"Diplodactylus polyophthalmus"
168,4532,768,80,"Diplodactylus polyophthalmus"
182,3620,1043,84,"Diplodactylus polyophthalmus"
151,3448,562,58,"Diplodactylus polyophthalmus"
151,3641,423,53,"Diplodactylus polyophthalmus"
188,4685,534,79,"Diplodactylus polyophthalmus"
204,3557,546,83,"Diplodactylus polyophthalmus"
174,4815,593,80,"Diplodactylus polyophthalmus"
192,4069,642,84,"Diplodactylus polyophthalmus"
182,4364,784,83,"Diplodactylus polyophthalmus"
153,3865,552,63,"Diplodactylus polyophthalmus"
157,4280,686,69,"Diplodactylus polyophthalmus"
194,4141,605,82,"Diplodactylus polyophthalmus"
162,3928,1214,78,"Diplodactylus polyophthalmus"
189,3751,772,86,"Diplodactylus polyophthalmus"
190,4852,460,76,"Diplodactylus polyophthalmus"
162,4559,485,68,"Diplodactylus polyophthalmus"
146,3658,578,54,"Diplodactylus polyophthalmus"
162,4080,899,80,"Diplodactylus polyophthalmus"
148,3710,466,55,"Diplodactylus polyophthalmus"
189,4952,477,74,"Diplodactylus polyophthalmus"
193,4973,415,76,"Diplodactylus polyophthalmus"
184,4698,566,79,"Diplodactylus polyophthalmus"
188,4784,503,80,"Diplodactylus polyophthalmus"
152,3697,781,73,"Diplodactylus polyophthalmus"
197,3627,640,86,"Diplodactylus polyophthalmus"
178,4747,571,76,"Diplodactylus polyophthalmus"
170,3979,1053,80,"Diplodactylus polyophthalmus"
187,4353,617,83,"Diplodactylus polyophthalmus"
191,4239,628,80,"Diplodactylus polyophthalmus"
157,3992,526,64,"Diplodactylus polyophthalmus"
186,3465,827,83,"Diplodactylus polyophthalmus"
187,4570,553,77,"Diplodactylus polyophthalmus"
172,4615,701,80,"Diplodactylus polyophthalmus"
191,4192,671,83,"Diplodactylus polyophthalmus"
159,3782,731,75,"Diplodactylus polyophthalmus"
157,4281,453,55,"Diplodactylus polyophthalmus"
150,3655,450,51,"Diplodactylus polyophthalmus"
152,3982,506,58,"Diplodactylus polyophthalmus"
174,4727,604,79,"Diplodactylus polyophthalmus"
160,4311,384,53,"Diplodactylus polyophthalmus"
153,4125,697,70,"Diplodactylus polyophthalmus"
156,4091,608,71,"Diplodactylus polyophthalmus"
181,3527,1029,81,"Diplodactylus polyophthalmus"
155,4202,531,66,"Diplodactylus polyophthalmus"
177,4595,725,81,"Diplodactylus polyophthalmus"
175,3350,910,81,"Diplodactylus polyophthalmus"
188,4813,478,74,"Diplodactylus polyophthalmus"
169,4540,729,82,"Diplodactylus polyophthalmus"
161,3899,763,74,"Diplodactylus polyophthalmus"
158,4342,428,60,"Diplodactylus polyophthalmus"
186,4420,618,76,"Diplodactylus polyophthalmus"
152,3519,714,66,"Diplodactylus polyophthalmus"
