"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
264,1046,1910,97,"Diporiphora bilineata"
221,3492,751,68,"Diporiphora bilineata"
270,1961,1264,125,"Diporiphora bilineata"
252,3116,744,116,"Diporiphora bilineata"
273,2582,966,111,"Diporiphora bilineata"
264,2042,1090,117,"Diporiphora bilineata"
238,3357,848,81,"Diporiphora bilineata"
213,3706,661,95,"Diporiphora bilineata"
243,2021,1214,110,"Diporiphora bilineata"
258,1779,1251,112,"Diporiphora bilineata"
246,1888,1666,103,"Diporiphora bilineata"
266,2432,949,117,"Diporiphora bilineata"
248,2042,954,111,"Diporiphora bilineata"
260,2778,1079,115,"Diporiphora bilineata"
270,3532,614,120,"Diporiphora bilineata"
264,3149,807,112,"Diporiphora bilineata"
270,3724,576,109,"Diporiphora bilineata"
269,3577,609,119,"Diporiphora bilineata"
228,3416,729,99,"Diporiphora bilineata"
236,3516,564,81,"Diporiphora bilineata"
266,2183,954,101,"Diporiphora bilineata"
279,1789,1462,107,"Diporiphora bilineata"
236,3524,690,81,"Diporiphora bilineata"
267,2267,977,107,"Diporiphora bilineata"
258,1427,1302,112,"Diporiphora bilineata"
266,2267,964,108,"Diporiphora bilineata"
268,2401,1158,108,"Diporiphora bilineata"
271,3422,626,111,"Diporiphora bilineata"
267,2693,951,118,"Diporiphora bilineata"
271,2959,753,112,"Diporiphora bilineata"
269,2555,1016,128,"Diporiphora bilineata"
277,1660,1531,107,"Diporiphora bilineata"
265,1469,1465,94,"Diporiphora bilineata"
274,2222,1134,111,"Diporiphora bilineata"
250,3095,958,108,"Diporiphora bilineata"
270,1756,1316,109,"Diporiphora bilineata"
246,3218,780,90,"Diporiphora bilineata"
269,2396,1055,118,"Diporiphora bilineata"
259,1950,1054,112,"Diporiphora bilineata"
276,2684,859,111,"Diporiphora bilineata"
276,1901,1468,112,"Diporiphora bilineata"
276,1679,1628,103,"Diporiphora bilineata"
272,2314,1122,108,"Diporiphora bilineata"
266,3170,769,113,"Diporiphora bilineata"
211,3534,710,100,"Diporiphora bilineata"
261,1543,1409,112,"Diporiphora bilineata"
227,3245,788,86,"Diporiphora bilineata"
264,2973,948,116,"Diporiphora bilineata"
210,2576,817,100,"Diporiphora bilineata"
263,2509,899,109,"Diporiphora bilineata"
263,3007,893,114,"Diporiphora bilineata"
259,4138,575,110,"Diporiphora bilineata"
271,3639,598,111,"Diporiphora bilineata"
236,3451,887,114,"Diporiphora bilineata"
247,2404,973,112,"Diporiphora bilineata"
248,2331,1960,78,"Diporiphora bilineata"
265,2194,1030,102,"Diporiphora bilineata"
269,2240,1145,118,"Diporiphora bilineata"
269,2568,802,111,"Diporiphora bilineata"
264,1051,1734,100,"Diporiphora bilineata"
257,1808,1105,122,"Diporiphora bilineata"
253,2763,857,118,"Diporiphora bilineata"
268,4017,554,112,"Diporiphora bilineata"
267,4079,572,111,"Diporiphora bilineata"
253,1790,1106,116,"Diporiphora bilineata"
263,4204,479,107,"Diporiphora bilineata"
274,1295,1319,107,"Diporiphora bilineata"
258,1665,1319,116,"Diporiphora bilineata"
