"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
230,4030,732,54,"Diporiphora phaeospinosa"
226,4070,818,53,"Diporiphora phaeospinosa"
213,4797,724,48,"Diporiphora phaeospinosa"
228,4133,735,55,"Diporiphora phaeospinosa"
215,4783,583,51,"Diporiphora phaeospinosa"
223,3841,684,53,"Diporiphora phaeospinosa"
217,4435,590,54,"Diporiphora phaeospinosa"
230,4078,675,51,"Diporiphora phaeospinosa"
217,4315,526,51,"Diporiphora phaeospinosa"
225,4256,674,50,"Diporiphora phaeospinosa"
227,4111,642,50,"Diporiphora phaeospinosa"
185,4703,685,50,"Diporiphora phaeospinosa"
230,3929,580,51,"Diporiphora phaeospinosa"
221,4541,686,51,"Diporiphora phaeospinosa"
192,4847,622,55,"Diporiphora phaeospinosa"
204,4903,675,52,"Diporiphora phaeospinosa"
223,4559,682,59,"Diporiphora phaeospinosa"
217,4550,647,54,"Diporiphora phaeospinosa"
188,4768,768,55,"Diporiphora phaeospinosa"
191,4671,659,58,"Diporiphora phaeospinosa"
223,3953,793,50,"Diporiphora phaeospinosa"
230,4136,629,57,"Diporiphora phaeospinosa"
215,4392,821,58,"Diporiphora phaeospinosa"
224,4445,695,52,"Diporiphora phaeospinosa"
222,3928,612,45,"Diporiphora phaeospinosa"
217,4807,587,51,"Diporiphora phaeospinosa"
221,4482,755,52,"Diporiphora phaeospinosa"
216,4810,606,53,"Diporiphora phaeospinosa"
198,4865,655,47,"Diporiphora phaeospinosa"
220,4379,621,49,"Diporiphora phaeospinosa"
232,3968,615,51,"Diporiphora phaeospinosa"
219,4639,657,58,"Diporiphora phaeospinosa"
202,4971,641,48,"Diporiphora phaeospinosa"
216,4713,703,51,"Diporiphora phaeospinosa"
228,4147,797,52,"Diporiphora phaeospinosa"
231,3863,648,54,"Diporiphora phaeospinosa"
219,4479,604,55,"Diporiphora phaeospinosa"
225,3863,748,57,"Diporiphora phaeospinosa"
220,4617,734,50,"Diporiphora phaeospinosa"
204,4971,549,46,"Diporiphora phaeospinosa"
220,4643,631,50,"Diporiphora phaeospinosa"
188,4796,630,56,"Diporiphora phaeospinosa"
220,4326,562,50,"Diporiphora phaeospinosa"
209,4702,741,56,"Diporiphora phaeospinosa"
232,4020,654,52,"Diporiphora phaeospinosa"
231,4047,637,57,"Diporiphora phaeospinosa"
226,4300,656,50,"Diporiphora phaeospinosa"
224,4452,639,50,"Diporiphora phaeospinosa"
199,4993,534,46,"Diporiphora phaeospinosa"
204,4974,531,49,"Diporiphora phaeospinosa"
227,4160,723,54,"Diporiphora phaeospinosa"
177,4680,698,47,"Diporiphora phaeospinosa"
205,4580,649,48,"Diporiphora phaeospinosa"
218,4532,652,54,"Diporiphora phaeospinosa"
226,4279,654,50,"Diporiphora phaeospinosa"
226,4391,683,50,"Diporiphora phaeospinosa"
189,4748,638,53,"Diporiphora phaeospinosa"
174,4617,609,48,"Diporiphora phaeospinosa"
230,4084,627,54,"Diporiphora phaeospinosa"
217,4131,799,53,"Diporiphora phaeospinosa"
214,4823,556,51,"Diporiphora phaeospinosa"
206,4216,857,55,"Diporiphora phaeospinosa"
228,4181,623,50,"Diporiphora phaeospinosa"
209,4737,780,50,"Diporiphora phaeospinosa"
228,4166,650,55,"Diporiphora phaeospinosa"
221,4415,762,54,"Diporiphora phaeospinosa"
189,4709,581,53,"Diporiphora phaeospinosa"
217,4851,561,52,"Diporiphora phaeospinosa"
215,4513,662,50,"Diporiphora phaeospinosa"
220,4606,681,57,"Diporiphora phaeospinosa"
230,4069,664,50,"Diporiphora phaeospinosa"
188,4609,848,55,"Diporiphora phaeospinosa"
222,4407,616,53,"Diporiphora phaeospinosa"
217,4618,618,46,"Diporiphora phaeospinosa"
225,4427,648,51,"Diporiphora phaeospinosa"
215,4405,851,55,"Diporiphora phaeospinosa"
214,4789,671,46,"Diporiphora phaeospinosa"
216,4772,631,46,"Diporiphora phaeospinosa"
194,4639,774,50,"Diporiphora phaeospinosa"
183,4562,820,58,"Diporiphora phaeospinosa"
211,4824,618,49,"Diporiphora phaeospinosa"
224,4474,744,50,"Diporiphora phaeospinosa"
219,4511,654,57,"Diporiphora phaeospinosa"
214,4140,806,52,"Diporiphora phaeospinosa"
220,4650,661,56,"Diporiphora phaeospinosa"
207,4825,602,55,"Diporiphora phaeospinosa"
222,4603,610,56,"Diporiphora phaeospinosa"
224,4514,677,53,"Diporiphora phaeospinosa"
204,4905,569,53,"Diporiphora phaeospinosa"
216,4656,790,52,"Diporiphora phaeospinosa"
199,4612,758,59,"Diporiphora phaeospinosa"
217,4606,725,58,"Diporiphora phaeospinosa"
208,4502,771,52,"Diporiphora phaeospinosa"
224,4508,614,57,"Diporiphora phaeospinosa"
200,4841,632,55,"Diporiphora phaeospinosa"
214,4717,591,54,"Diporiphora phaeospinosa"
226,4024,648,48,"Diporiphora phaeospinosa"
229,4135,641,49,"Diporiphora phaeospinosa"
206,4756,775,47,"Diporiphora phaeospinosa"
201,4595,826,44,"Diporiphora phaeospinosa"
227,4058,635,49,"Diporiphora phaeospinosa"
217,4707,681,54,"Diporiphora phaeospinosa"
215,4633,596,47,"Diporiphora phaeospinosa"
222,4615,648,57,"Diporiphora phaeospinosa"
192,4087,570,49,"Diporiphora phaeospinosa"
225,4184,671,54,"Diporiphora phaeospinosa"
224,4470,640,53,"Diporiphora phaeospinosa"
223,4198,721,51,"Diporiphora phaeospinosa"
215,4770,582,43,"Diporiphora phaeospinosa"
222,4495,643,58,"Diporiphora phaeospinosa"
180,4590,773,55,"Diporiphora phaeospinosa"
225,4539,632,58,"Diporiphora phaeospinosa"
210,4677,651,60,"Diporiphora phaeospinosa"
211,4733,671,55,"Diporiphora phaeospinosa"
195,4706,616,59,"Diporiphora phaeospinosa"
184,4038,805,52,"Diporiphora phaeospinosa"
212,4731,714,50,"Diporiphora phaeospinosa"
220,4533,650,56,"Diporiphora phaeospinosa"
230,4091,621,49,"Diporiphora phaeospinosa"
230,4091,620,50,"Diporiphora phaeospinosa"
194,4694,702,62,"Diporiphora phaeospinosa"
218,4677,676,55,"Diporiphora phaeospinosa"
222,4395,750,55,"Diporiphora phaeospinosa"
229,3872,651,54,"Diporiphora phaeospinosa"
218,4826,564,51,"Diporiphora phaeospinosa"
