"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
261,1887,1562,111,"Diporiphora superba"
267,2156,1114,121,"Diporiphora superba"
263,1797,1404,111,"Diporiphora superba"
271,2249,1049,112,"Diporiphora superba"
279,2057,799,111,"Diporiphora superba"
258,1994,1247,120,"Diporiphora superba"
260,2253,1059,108,"Diporiphora superba"
262,2219,1032,112,"Diporiphora superba"
268,3101,656,111,"Diporiphora superba"
267,2490,855,114,"Diporiphora superba"
273,1738,1049,109,"Diporiphora superba"
275,1855,1062,116,"Diporiphora superba"
275,3055,690,119,"Diporiphora superba"
258,2154,1180,109,"Diporiphora superba"
265,2592,791,110,"Diporiphora superba"
268,2495,760,114,"Diporiphora superba"
257,2528,856,113,"Diporiphora superba"
266,1619,1408,116,"Diporiphora superba"
256,2089,1364,114,"Diporiphora superba"
278,1772,1163,124,"Diporiphora superba"
251,2304,1110,108,"Diporiphora superba"
257,1834,1493,115,"Diporiphora superba"
278,3319,546,118,"Diporiphora superba"
262,2408,982,117,"Diporiphora superba"
265,2033,1147,109,"Diporiphora superba"
264,1960,1386,110,"Diporiphora superba"
259,1977,1540,111,"Diporiphora superba"
279,1816,1464,117,"Diporiphora superba"
270,1857,1375,121,"Diporiphora superba"
278,2276,833,122,"Diporiphora superba"
271,1531,1611,122,"Diporiphora superba"
266,2500,820,113,"Diporiphora superba"
257,2023,1133,116,"Diporiphora superba"
267,2112,977,112,"Diporiphora superba"
274,2897,683,114,"Diporiphora superba"
264,2340,980,110,"Diporiphora superba"
258,2438,1027,111,"Diporiphora superba"
282,3302,676,119,"Diporiphora superba"
259,2460,1128,113,"Diporiphora superba"
267,2346,937,112,"Diporiphora superba"
280,3371,591,115,"Diporiphora superba"
264,2165,1113,110,"Diporiphora superba"
261,2105,1247,110,"Diporiphora superba"
263,2139,1195,112,"Diporiphora superba"
266,1714,1615,117,"Diporiphora superba"
266,2524,801,112,"Diporiphora superba"
265,1875,1312,120,"Diporiphora superba"
272,2776,818,120,"Diporiphora superba"
274,1757,1200,116,"Diporiphora superba"
280,2997,789,124,"Diporiphora superba"
265,2612,899,115,"Diporiphora superba"
266,2316,832,110,"Diporiphora superba"
268,2701,984,123,"Diporiphora superba"
259,2103,1278,112,"Diporiphora superba"
262,2423,981,108,"Diporiphora superba"
269,2927,647,108,"Diporiphora superba"
285,3364,613,119,"Diporiphora superba"
282,3278,677,122,"Diporiphora superba"
263,2419,947,108,"Diporiphora superba"
266,2364,925,110,"Diporiphora superba"
259,2265,1157,110,"Diporiphora superba"
268,3020,659,112,"Diporiphora superba"
271,1759,1084,111,"Diporiphora superba"
264,2340,1106,117,"Diporiphora superba"
266,2891,845,112,"Diporiphora superba"
270,2261,815,111,"Diporiphora superba"
272,2143,990,112,"Diporiphora superba"
269,1844,1128,111,"Diporiphora superba"
264,2996,733,113,"Diporiphora superba"
279,3090,677,117,"Diporiphora superba"
260,2301,998,107,"Diporiphora superba"
269,2521,774,116,"Diporiphora superba"
268,2915,721,116,"Diporiphora superba"
276,1598,1252,127,"Diporiphora superba"
277,1669,1206,126,"Diporiphora superba"
270,2484,721,113,"Diporiphora superba"
275,2710,682,114,"Diporiphora superba"
280,3007,713,119,"Diporiphora superba"
275,2845,647,112,"Diporiphora superba"
285,3348,556,117,"Diporiphora superba"
275,1621,1196,112,"Diporiphora superba"
266,2783,806,116,"Diporiphora superba"
272,1908,1107,110,"Diporiphora superba"
272,2584,771,114,"Diporiphora superba"
275,2571,798,118,"Diporiphora superba"
270,2355,820,116,"Diporiphora superba"
275,2064,1060,111,"Diporiphora superba"
264,2507,839,110,"Diporiphora superba"
274,2887,784,120,"Diporiphora superba"
266,1887,1199,108,"Diporiphora superba"
273,2195,894,113,"Diporiphora superba"
276,1652,1203,127,"Diporiphora superba"
266,2988,788,119,"Diporiphora superba"
260,2176,1134,107,"Diporiphora superba"
262,1782,1549,113,"Diporiphora superba"
254,2514,935,113,"Diporiphora superba"
261,2080,1286,108,"Diporiphora superba"
280,3238,698,122,"Diporiphora superba"
264,2369,1027,110,"Diporiphora superba"
276,3263,652,122,"Diporiphora superba"
273,1857,1011,109,"Diporiphora superba"
259,2264,944,111,"Diporiphora superba"
279,1503,1266,122,"Diporiphora superba"
266,2829,799,120,"Diporiphora superba"
274,1717,1279,124,"Diporiphora superba"
275,3001,697,118,"Diporiphora superba"
270,3069,722,117,"Diporiphora superba"
270,2906,784,123,"Diporiphora superba"
266,2448,811,113,"Diporiphora superba"
279,1590,1232,119,"Diporiphora superba"
273,2714,714,114,"Diporiphora superba"
278,1624,942,119,"Diporiphora superba"
269,3012,735,118,"Diporiphora superba"
280,3237,624,116,"Diporiphora superba"
282,3227,624,122,"Diporiphora superba"
270,2983,654,120,"Diporiphora superba"
278,1575,1291,121,"Diporiphora superba"
263,2827,797,113,"Diporiphora superba"
266,2089,1037,118,"Diporiphora superba"
273,1899,1233,113,"Diporiphora superba"
265,1716,1662,119,"Diporiphora superba"
266,2867,720,114,"Diporiphora superba"
258,1900,1397,116,"Diporiphora superba"
260,2066,1340,111,"Diporiphora superba"
261,2445,985,116,"Diporiphora superba"
270,2564,735,113,"Diporiphora superba"
268,1866,1058,108,"Diporiphora superba"
267,1701,1200,109,"Diporiphora superba"
273,2723,719,109,"Diporiphora superba"
269,2649,779,113,"Diporiphora superba"
275,1733,1081,116,"Diporiphora superba"
272,2113,982,109,"Diporiphora superba"
279,1864,904,108,"Diporiphora superba"
265,2794,851,117,"Diporiphora superba"
264,2445,822,110,"Diporiphora superba"
260,2318,1083,108,"Diporiphora superba"
279,1487,1415,124,"Diporiphora superba"
274,2701,898,120,"Diporiphora superba"
258,1862,1708,111,"Diporiphora superba"
268,1997,1121,113,"Diporiphora superba"
270,1872,1217,112,"Diporiphora superba"
260,2463,875,112,"Diporiphora superba"
275,1507,1477,126,"Diporiphora superba"
273,2807,688,110,"Diporiphora superba"
257,2535,886,112,"Diporiphora superba"
268,2159,1235,116,"Diporiphora superba"
276,1690,1190,115,"Diporiphora superba"
262,2025,1400,112,"Diporiphora superba"
265,2948,725,108,"Diporiphora superba"
257,2189,1218,121,"Diporiphora superba"
271,3190,623,119,"Diporiphora superba"
259,1854,1474,109,"Diporiphora superba"
278,1467,1098,121,"Diporiphora superba"
269,1865,1198,110,"Diporiphora superba"
263,2341,1001,120,"Diporiphora superba"
267,2243,1099,114,"Diporiphora superba"
268,2047,1351,112,"Diporiphora superba"
267,1930,1217,113,"Diporiphora superba"
258,2122,1360,110,"Diporiphora superba"
271,1549,1553,122,"Diporiphora superba"
271,2860,721,110,"Diporiphora superba"
269,1760,1332,114,"Diporiphora superba"
274,3087,606,116,"Diporiphora superba"
260,2587,844,109,"Diporiphora superba"
273,1633,1292,123,"Diporiphora superba"
256,2517,923,113,"Diporiphora superba"
264,1890,1245,107,"Diporiphora superba"
271,1926,1244,111,"Diporiphora superba"
256,2183,1135,112,"Diporiphora superba"
272,2011,1064,117,"Diporiphora superba"
262,2789,875,115,"Diporiphora superba"
270,2431,867,118,"Diporiphora superba"
277,2005,867,109,"Diporiphora superba"
279,1801,1184,116,"Diporiphora superba"
264,1943,1403,110,"Diporiphora superba"
271,2815,827,118,"Diporiphora superba"
277,2980,675,116,"Diporiphora superba"
266,2533,914,114,"Diporiphora superba"
262,1969,1273,109,"Diporiphora superba"
257,2068,1373,113,"Diporiphora superba"
274,1864,1182,117,"Diporiphora superba"
271,1792,1105,111,"Diporiphora superba"
274,1629,1018,116,"Diporiphora superba"
277,2881,716,116,"Diporiphora superba"
269,3055,612,113,"Diporiphora superba"
270,2046,880,119,"Diporiphora superba"
262,1769,1602,114,"Diporiphora superba"
260,2136,1250,113,"Diporiphora superba"
276,1980,976,109,"Diporiphora superba"
258,2563,806,109,"Diporiphora superba"
261,2537,816,115,"Diporiphora superba"
266,1948,1402,119,"Diporiphora superba"
262,2338,946,111,"Diporiphora superba"
262,2182,1120,121,"Diporiphora superba"
267,2670,811,117,"Diporiphora superba"
268,3133,735,114,"Diporiphora superba"
259,2287,1148,113,"Diporiphora superba"
261,2053,1423,109,"Diporiphora superba"
273,1701,1327,120,"Diporiphora superba"
275,1599,1240,126,"Diporiphora superba"
264,1919,1199,107,"Diporiphora superba"
270,1882,1076,109,"Diporiphora superba"
252,2054,1346,117,"Diporiphora superba"
276,1817,959,107,"Diporiphora superba"
275,2035,1063,110,"Diporiphora superba"
266,2911,735,123,"Diporiphora superba"
273,2572,707,113,"Diporiphora superba"
261,2259,850,113,"Diporiphora superba"
253,2202,1194,116,"Diporiphora superba"
267,1658,1415,122,"Diporiphora superba"
274,2793,697,116,"Diporiphora superba"
276,1965,1044,113,"Diporiphora superba"
264,1708,1469,113,"Diporiphora superba"
274,1776,1127,120,"Diporiphora superba"
